,close,date,high,low,market_cap,open,volume
0,310.70,"Jun 08, 2018",316.39,303.59,"2,538,880,000",312.64,"68,043,600"
1,312.67,"Jun 07, 2018",318.47,311.96,"2,552,660,000",314.40,"75,098,900"
2,314.55,"Jun 06, 2018",319.52,307.71,"2,577,680,000",317.56,"75,630,800"
3,317.42,"Jun 05, 2018",319.87,307.91,"2,572,800,000",317.03,"79,467,900"
4,316.89,"Jun 04, 2018",334.10,312.33,"2,683,400,000",330.73,"79,868,600"
5,331.19,"Jun 03, 2018",334.65,321.38,"2,612,610,000",322.31,"75,377,100"
6,321.43,"Jun 02, 2018",326.78,310.95,"2,555,530,000",315.34,"80,244,500"
7,315.35,"Jun 01, 2018",316.02,301.66,"2,470,670,000",304.94,"82,723,800"
8,306.25,"May 31, 2018",314.66,300.90,"2,457,790,000",303.42,"81,447,900"
9,304.14,"May 30, 2018",319.14,297.97,"2,566,320,000",316.89,"74,927,100"
10,316.10,"May 29, 2018",318.53,286.14,"2,334,860,000",288.37,"98,299,700"
11,288.44,"May 28, 2018",320.37,288.02,"2,557,650,000",315.96,"84,403,700"
12,315.97,"May 27, 2018",322.87,313.18,"2,603,640,000",321.72,"85,613,500"
13,321.79,"May 26, 2018",339.48,321.57,"2,745,300,000",339.30,"86,956,800"
14,339.71,"May 25, 2018",346.97,329.97,"2,786,340,000",344.45,"83,410,200"
15,343.71,"May 24, 2018",348.99,325.95,"2,753,150,000",340.42,"93,794,600"
16,340.67,"May 23, 2018",361.04,331.37,"2,914,440,000",360.44,"80,860,800"
17,360.38,"May 22, 2018",386.40,359.02,"3,109,020,000",384.60,"78,835,700"
18,384.79,"May 21, 2018",404.68,384.66,"3,253,110,000",402.51,"85,493,500"
19,402.08,"May 20, 2018",404.25,384.94,"3,126,230,000",386.90,"94,187,200"
20,386.53,"May 19, 2018",402.83,385.72,"3,198,480,000",395.93,"99,795,000"
21,395.89,"May 18, 2018",396.43,376.92,"3,133,360,000",387.96,"125,453,000"
22,387.41,"May 17, 2018",417.80,385.22,"3,335,080,000",413.03,"198,663,000"
23,412.60,"May 16, 2018",429.32,399.22,"3,465,860,000",429.32,"177,326,000"
24,429.34,"May 15, 2018",451.96,424.23,"3,488,120,000",432.18,"174,088,000"
25,432.71,"May 14, 2018",447.55,390.87,"3,360,740,000",416.49,"157,681,000"
26,416.84,"May 13, 2018",421.23,395.07,"3,260,120,000",404.11,"99,754,100"
27,404.53,"May 12, 2018",409.24,379.01,"3,139,460,000",389.24,"77,808,900"
28,394.21,"May 11, 2018",424.12,389.61,"3,399,780,000",421.61,"108,972,000"
29,421.34,"May 10, 2018",460.73,420.41,"3,572,620,000",443.15,"100,427,000"
30,443.16,"May 09, 2018",446.00,416.56,"3,571,640,000",443.13,"102,561,000"
31,443.78,"May 08, 2018",467.00,438.34,"3,696,820,000",458.76,"98,776,400"
32,457.99,"May 07, 2018",486.01,448.33,"3,913,320,000",485.74,"108,330,000"
33,485.22,"May 06, 2018",521.14,482.57,"4,076,100,000",506.06,"97,449,000"
34,505.71,"May 05, 2018",508.47,485.69,"3,916,180,000",486.32,"113,858,000"
35,486.32,"May 04, 2018",502.68,480.00,"4,047,060,000",502.68,"150,130,000"
36,503.32,"May 03, 2018",511.29,480.00,"3,873,300,000",481.56,"124,091,000"
37,481.49,"May 02, 2018",482.65,461.84,"3,845,140,000",478.17,"129,694,000"
38,478.90,"May 01, 2018",478.90,455.47,"3,803,990,000",473.16,"101,299,000"
39,472.77,"Apr 30, 2018",499.43,472.02,"4,006,280,000",498.44,"118,497,000"
40,498.69,"Apr 29, 2018",505.19,478.62,"3,972,130,000",494.30,"101,137,000"
41,494.11,"Apr 28, 2018",500.29,469.61,"3,781,980,000",470.75,"101,078,000"
42,472.06,"Apr 27, 2018",504.29,471.56,"4,050,560,000",504.29,"108,192,000"
43,503.86,"Apr 26, 2018",504.12,450.95,"3,718,970,000",463.12,"132,803,000"
44,461.01,"Apr 25, 2018",528.05,449.23,"4,237,510,000",527.81,"125,297,000"
45,530.13,"Apr 24, 2018",541.29,504.88,"4,052,500,000",504.88,"140,409,000"
