,close,date,high,low,market_cap,open,volume
0,0.020654,"Jun 08, 2018",0.020786,0.020412,-,0.020743,43
1,0.020727,"Jun 07, 2018",0.020920,0.020596,-,0.020673,57
2,0.020654,"Jun 06, 2018",0.025526,0.020253,-,0.025464,36
3,0.025471,"Jun 05, 2018",0.025517,0.020372,-,0.021157,28
4,0.021146,"Jun 04, 2018",0.025121,0.021105,-,0.025054,5
5,0.025042,"Jun 03, 2018",0.025110,0.020441,-,0.023515,36
6,0.023509,"Jun 02, 2018",0.030454,0.023418,-,0.029841,2
7,0.029854,"Jun 01, 2018",0.030139,0.029239,-,0.029892,6
8,0.029870,"May 31, 2018",0.030280,0.021085,-,0.021188,73
9,0.021192,"May 30, 2018",0.027546,0.019905,-,0.019931,68
10,0.019917,"May 29, 2018",0.024077,0.019822,-,0.019932,33
11,0.019938,"May 28, 2018",0.027345,0.019878,-,0.020347,51
12,0.020342,"May 27, 2018",0.020400,0.019532,-,0.019805,4
13,0.019796,"May 26, 2018",0.020583,0.019689,-,0.020164,143
14,0.020190,"May 25, 2018",0.023644,0.019933,-,0.023369,36
15,0.023325,"May 24, 2018",0.023487,0.019719,-,0.020378,6
16,0.020429,"May 23, 2018",0.022635,0.020263,-,0.022570,72
17,0.022593,"May 22, 2018",0.023234,0.022074,-,0.023121,15
18,0.023125,"May 21, 2018",0.030835,0.022847,-,0.023280,109
19,0.023251,"May 20, 2018",0.025322,0.023141,-,0.024901,12
20,0.024883,"May 19, 2018",0.025155,0.024795,-,0.025118,16
21,0.027939,"May 18, 2018",0.028118,0.027058,-,0.027465,3
22,0.027441,"May 17, 2018",0.030419,0.027284,-,0.030386,5
23,0.028728,"May 15, 2018",0.029985,0.028703,-,0.029493,1
24,0.029544,"May 14, 2018",0.029596,0.029367,-,0.029596,2
25,0.028225,"May 12, 2018",0.028691,0.027919,-,0.028459,1
26,0.028543,"May 11, 2018",0.030639,0.028355,-,0.030639,3
27,0.030602,"May 10, 2018",0.036053,0.030572,-,0.035765,1
28,0.035775,"May 09, 2018",0.036353,0.031327,-,0.035968,29
29,0.036023,"May 08, 2018",0.037719,0.035652,-,0.037374,21
30,0.037295,"May 07, 2018",0.044823,0.037060,-,0.044800,37
31,0.044768,"May 06, 2018",0.046429,0.044011,-,0.045998,8
32,0.045967,"May 05, 2018",0.046608,0.035516,-,0.035572,4
33,0.035589,"May 04, 2018",0.045791,0.034592,-,0.041233,77
34,0.041249,"May 03, 2018",0.046737,0.038348,-,0.041394,78
35,0.041393,"May 02, 2018",0.041553,0.035012,-,0.040784,6
36,0.040845,"May 01, 2018",0.040845,0.039098,-,0.040752,12
37,0.040716,"Apr 30, 2018",0.040925,0.036964,-,0.037982,7
38,0.037995,"Apr 29, 2018",0.043422,0.033484,-,0.034534,4
39,0.040830,"Apr 28, 2018",0.041103,0.038772,-,0.038872,23
40,0.039006,"Apr 27, 2018",0.044533,0.039006,-,0.044533,22
41,0.044472,"Apr 26, 2018",0.044571,0.037440,-,0.038377,22
42,0.038061,"Apr 25, 2018",0.042196,0.038008,-,0.041993,6
43,0.042280,"Apr 24, 2018",0.042280,0.039163,-,0.039181,95
44,0.039147,"Apr 23, 2018",0.041490,0.038078,-,0.038110,7
45,0.038187,"Apr 22, 2018",0.043022,0.037991,-,0.038570,9
46,0.038570,"Apr 21, 2018",0.038760,0.037419,-,0.038197,1
47,0.038184,"Apr 20, 2018",0.038539,0.033846,-,0.033985,63
48,0.033962,"Apr 19, 2018",0.039279,0.028727,-,0.038617,91
49,0.038589,"Apr 18, 2018",0.038831,0.032312,-,0.032374,56
50,0.032344,"Apr 17, 2018",0.033306,0.032160,-,0.032922,3
51,0.032906,"Apr 16, 2018",0.034973,0.020118,-,0.020863,29
52,0.020872,"Apr 15, 2018",0.040929,0.020698,-,0.034325,276
53,0.034288,"Apr 14, 2018",0.035058,0.033633,-,0.033749,2
54,0.033749,"Apr 13, 2018",0.035256,0.033269,-,0.033890,14
55,0.033848,"Apr 12, 2018",0.034734,0.028943,-,0.034732,2
56,0.034816,"Apr 11, 2018",0.034947,0.027984,-,0.034360,2
57,0.034327,"Apr 10, 2018",0.034534,0.027601,-,0.031233,11
58,0.031208,"Apr 09, 2018",0.036351,0.030576,-,0.035618,77
59,0.035560,"Apr 08, 2018",0.035978,0.035005,-,0.035005,19
60,0.034973,"Apr 07, 2018",0.035694,0.033256,-,0.033305,18
61,0.033266,"Apr 06, 2018",0.033277,0.030861,-,0.032052,16
62,0.032216,"Apr 05, 2018",0.048593,0.032102,-,0.048290,106
63,0.048269,"Apr 04, 2018",0.052540,0.037024,-,0.037675,80
64,0.037701,"Apr 03, 2018",0.053503,0.037080,-,0.050754,86
65,0.050718,"Apr 02, 2018",0.051108,0.035058,-,0.041019,56
66,0.040819,"Apr 01, 2018",0.042283,0.039463,-,0.041648,41
67,0.041649,"Mar 31, 2018",0.050380,0.041178,-,0.047860,6
68,0.047853,"Mar 30, 2018",0.049319,0.039665,-,0.047886,58
69,0.048006,"Mar 29, 2018",0.049670,0.038956,-,0.049236,75
70,0.049178,"Mar 28, 2018",0.051765,0.039879,-,0.040102,72
71,0.040111,"Mar 27, 2018",0.043353,0.040060,-,0.043214,2
72,0.043280,"Mar 26, 2018",0.043519,0.040179,-,0.042621,2
73,0.042654,"Mar 25, 2018",0.049322,0.042216,-,0.043961,46
74,0.044574,"Mar 24, 2018",0.046339,0.043517,-,0.044649,4
75,0.044008,"Mar 23, 2018",0.044008,0.041660,-,0.043594,9
76,0.043595,"Mar 22, 2018",0.047177,0.042695,-,0.046257,47
77,0.046341,"Mar 21, 2018",0.047621,0.044546,-,0.044611,20
78,0.044530,"Mar 20, 2018",0.045053,0.039645,-,0.040960,8
79,0.040508,"Mar 19, 2018",0.045220,0.039825,-,0.042671,5
80,0.042852,"Mar 18, 2018",0.043296,0.035243,-,0.036672,94
81,0.036762,"Mar 17, 2018",0.038599,0.036025,-,0.038269,44
82,0.038206,"Mar 16, 2018",0.039550,0.036497,-,0.037916,55
83,0.037937,"Mar 15, 2018",0.045175,0.036062,-,0.044893,8
84,0.044913,"Mar 14, 2018",0.045734,0.035404,-,0.039434,12
85,0.039428,"Mar 13, 2018",0.054620,0.038158,-,0.052351,64
86,0.052653,"Mar 12, 2018",0.052796,0.037364,-,0.040563,67
87,0.040692,"Mar 11, 2018",0.044628,0.036022,-,0.037295,46
88,0.037424,"Mar 10, 2018",0.042587,0.037361,-,0.039168,79
89,0.039151,"Mar 09, 2018",0.042756,0.035147,-,0.038754,71
90,0.039001,"Mar 08, 2018",0.051876,0.038855,-,0.042529,38
91,0.042590,"Mar 07, 2018",0.058970,0.040613,-,0.058097,71
92,0.058172,"Mar 06, 2018",0.058592,0.043938,-,0.046596,119
93,0.046726,"Mar 05, 2018",0.056844,0.046708,-,0.050589,168
94,0.050626,"Mar 04, 2018",0.063215,0.050112,-,0.050450,31
95,0.050537,"Mar 03, 2018",0.067780,0.049765,-,0.056089,64
96,0.056157,"Mar 02, 2018",0.072410,0.045488,-,0.046449,65
97,0.046569,"Mar 01, 2018",0.054711,0.043539,-,0.043881,59
98,0.043817,"Feb 28, 2018",0.050110,0.042222,-,0.042978,29
99,0.043028,"Feb 27, 2018",0.048197,0.040783,-,0.041350,12
100,0.041231,"Feb 26, 2018",0.049510,0.040838,-,0.045919,8
101,0.045861,"Feb 25, 2018",0.046106,0.039044,-,0.043632,52
102,0.043698,"Feb 24, 2018",0.043783,0.038318,-,0.040587,11
103,0.040638,"Feb 23, 2018",0.051674,0.035815,-,0.036525,173
104,0.036559,"Feb 22, 2018",0.049083,0.036171,-,0.047099,13
105,0.047147,"Feb 21, 2018",0.062489,0.039062,-,0.053054,552
106,0.053120,"Feb 20, 2018",0.068805,0.049383,-,0.049601,"1,931"
107,0.049556,"Feb 19, 2018",0.156478,0.045094,-,0.057652,"11,543"
108,0.057918,"Feb 18, 2018",0.072211,0.057782,-,0.070999,7
109,0.070781,"Feb 17, 2018",0.085691,0.067826,-,0.080529,25
110,0.080547,"Feb 16, 2018",0.085450,0.069704,-,0.083246,80
111,0.083603,"Feb 15, 2018",0.084170,0.066978,-,0.067746,77
112,0.067709,"Feb 14, 2018",0.071071,0.062830,-,0.067908,1
113,0.068112,"Feb 13, 2018",0.077672,0.060003,-,0.077320,31
114,0.077179,"Feb 12, 2018",0.078066,0.070849,-,0.070849,2
115,0.070401,"Feb 11, 2018",0.074098,0.060380,-,0.064636,7
116,0.064691,"Feb 10, 2018",0.087901,0.061841,-,0.084369,9
117,0.084307,"Feb 09, 2018",0.084674,0.061229,-,0.064389,43
118,0.064191,"Feb 08, 2018",0.080892,0.063424,-,0.065605,17
