,close,date,high,low,market_cap,open,volume
0,0.008748,"Jun 08, 2018",0.009712,0.008340,"990,215",0.008477,"39,141"
1,0.008416,"Jun 07, 2018",0.010985,0.007475,"1,139,720",0.009694,"131,557"
2,0.009695,"Jun 06, 2018",0.011073,0.009600,"1,299,910",0.011023,"25,203"
3,0.011021,"Jun 05, 2018",0.012231,0.010039,"1,439,100",0.012147,"51,134"
4,0.012150,"Jun 04, 2018",0.014119,0.011774,"1,589,080",0.013396,"52,801"
5,0.013172,"Jun 03, 2018",0.013680,0.011737,"1,386,590",0.011741,"49,538"
6,0.011761,"Jun 02, 2018",0.012431,0.009706,"1,185,240",0.010062,"60,356"
7,0.010076,"Jun 01, 2018",0.012891,0.009243,"1,154,860",0.009816,"108,860"
8,0.009807,"May 31, 2018",0.010725,0.009327,"1,234,950",0.010466,"41,819"
9,0.010461,"May 30, 2018",0.011734,0.009193,"1,260,650",0.010677,"101,852"
10,0.010660,"May 29, 2018",0.011743,0.007763,"1,046,360",0.008837,"133,684"
11,0.009081,"May 28, 2018",0.014420,0.008659,"1,738,130",0.014401,"100,891"
12,0.014362,"May 27, 2018",0.016071,0.009017,"1,414,640",0.011721,"182,437"
13,0.011753,"May 26, 2018",0.015297,0.009549,"1,841,780",0.015260,"169,836"
14,0.015136,"May 25, 2018",0.021686,0.012664,"1,973,400",0.016350,"309,470"
15,0.018835,"May 24, 2018",0.020834,0.011751,-,0.017612,"697,399"
16,0.017598,"May 23, 2018",0.020574,0.010203,-,0.010203,"786,979"
17,0.010221,"May 22, 2018",0.013522,0.005395,-,0.005790,"705,609"
18,0.005782,"May 21, 2018",0.005787,0.004068,-,0.004108,"120,773"
