,close,date,high,low,market_cap,open,volume
0,0.022060,"Jun 08, 2018",0.022956,0.021448,"31,938,500",0.022956,"2,723,630"
1,0.022926,"Jun 07, 2018",0.023138,0.022087,"31,698,300",0.022783,"2,267,910"
2,0.022860,"Jun 06, 2018",0.023432,0.022297,"32,079,200",0.023057,"2,036,360"
3,0.023120,"Jun 05, 2018",0.023415,0.021919,"31,903,500",0.022931,"2,364,720"
4,0.022993,"Jun 04, 2018",0.025016,0.022272,"33,717,500",0.024234,"1,708,140"
5,0.024279,"Jun 03, 2018",0.024716,0.023382,"33,290,200",0.023927,"1,257,810"
6,0.023976,"Jun 02, 2018",0.024481,0.022968,"32,774,600",0.023557,"1,579,680"
7,0.023440,"Jun 01, 2018",0.023514,0.022441,"31,531,700",0.022663,"1,067,200"
8,0.022664,"May 31, 2018",0.023498,0.022109,"31,340,700",0.022526,"732,362"
9,0.022464,"May 30, 2018",0.024307,0.021951,"31,686,600",0.022775,"4,500,990"
10,0.022778,"May 29, 2018",0.024534,0.020894,"30,053,500",0.021601,"3,164,730"
11,0.021656,"May 28, 2018",0.024577,0.021525,"33,877,800",0.024350,"1,886,550"
12,0.024574,"May 27, 2018",0.025885,0.023306,"34,628,800",0.024889,"4,416,190"
13,0.024853,"May 26, 2018",0.026224,0.024655,"35,782,800",0.025719,"2,581,550"
14,0.025667,"May 25, 2018",0.027334,0.025251,"36,696,500",0.026376,"2,054,940"
15,0.026317,"May 24, 2018",0.028725,0.023961,"38,360,500",0.027572,"3,865,790"
16,0.027740,"May 23, 2018",0.037014,0.027135,"39,143,800",0.030317,"1,782,560"
17,0.030364,"May 22, 2018",0.035021,0.030178,"44,532,600",0.034508,"13,597"
18,0.034537,"May 21, 2018",0.038258,0.032634,"49,338,800",0.038232,"7,327"
19,0.038184,"May 20, 2018",0.043421,0.034107,"49,416,900",0.038293,"8,943"
20,0.038262,"May 19, 2018",0.041430,0.036559,"52,570,000",0.040739,"36,710"
21,0.040743,"May 18, 2018",0.050861,0.038708,"55,074,100",0.042672,"32,504"
22,0.042662,"May 17, 2018",0.048853,0.041140,"55,200,000",0.042769,"38,253"
23,0.042738,"May 16, 2018",0.049518,0.037277,"57,201,000",0.044319,"17,643"
24,0.044261,"May 15, 2018",0.055714,0.043728,"68,920,100",0.053399,"65,590"
25,0.053636,"May 14, 2018",0.058118,0.036130,"51,357,500",0.039792,"160,318"
26,0.039801,"May 13, 2018",0.040170,0.031832,"41,084,700",0.031832,"84,502"
