,close,date,high,low,market_cap,open,volume
0,2.44,"Jun 08, 2018",2.93,2.30,"5,794,760",2.32,"50,016"
1,2.38,"Jun 07, 2018",2.49,2.31,"5,898,610",2.37,"37,143"
2,2.37,"Jun 06, 2018",2.51,2.30,"5,931,460",2.39,"55,931"
3,2.40,"Jun 05, 2018",2.59,2.29,"5,703,770",2.31,"56,061"
4,2.31,"Jun 04, 2018",2.67,2.31,"6,508,430",2.65,"48,895"
5,2.61,"Jun 03, 2018",2.93,2.36,"5,829,480",2.39,"63,868"
6,2.44,"Jun 02, 2018",3.03,2.41,"6,978,640",2.88,"66,417"
7,2.88,"Jun 01, 2018",3.34,2.83,"7,897,450",3.27,"49,260"
8,3.28,"May 31, 2018",3.68,2.73,"7,295,320",3.04,"95,483"
9,3.04,"May 30, 2018",3.17,2.45,"6,320,600",2.65,"37,648"
10,2.64,"May 29, 2018",2.70,2.27,"5,570,710",2.34,"30,612"
11,2.34,"May 28, 2018",2.64,2.28,"6,131,870",2.59,"31,436"
12,2.64,"May 27, 2018",2.76,2.17,"6,139,670",2.61,"46,095"
13,2.61,"May 26, 2018",2.90,2.61,"6,611,270",2.83,"29,863"
14,2.83,"May 25, 2018",3.15,2.78,"6,563,380",2.82,"49,680"
15,2.92,"May 24, 2018",3.57,2.68,"7,568,820",3.27,"98,461"
16,3.28,"May 23, 2018",4.02,3.28,"8,866,450",3.85,"74,653"
17,3.86,"May 22, 2018",4.64,3.70,"10,370,300",4.53,"118,154"
18,4.57,"May 21, 2018",5.73,3.96,"9,127,470",4.01,"262,513"
19,4.01,"May 20, 2018",5.22,2.89,"7,937,120",3.51,"437,072"
20,3.43,"May 19, 2018",3.96,2.33,"5,323,470",2.37,"138,879"
21,2.37,"May 18, 2018",2.59,2.28,"5,219,830",2.33,"57,894"
22,2.33,"May 17, 2018",3.73,2.04,"4,721,140",2.12,"89,081"
23,2.12,"May 16, 2018",2.37,2.00,"5,050,760",2.28,"34,771"
24,2.28,"May 15, 2018",2.66,2.26,"5,576,760",2.54,"40,730"
25,2.54,"May 14, 2018",4.28,2.16,"4,984,510",2.28,"83,077"
26,2.28,"May 13, 2018",2.47,2.20,"5,221,160",2.40,"26,781"
27,2.40,"May 12, 2018",2.44,2.06,"4,610,940",2.13,"50,202"
28,2.14,"May 11, 2018",2.45,2.06,"4,976,470",2.32,"31,168"
29,2.33,"May 10, 2018",2.76,2.33,"5,814,610",2.72,"37,342"
30,2.72,"May 09, 2018",2.92,2.35,"5,483,900",2.58,"64,365"
31,2.59,"May 08, 2018",2.63,2.07,"4,490,790",2.13,"72,974"
32,2.12,"May 07, 2018",2.44,1.96,"5,084,330",2.42,"31,773"
33,2.42,"May 06, 2018",2.77,2.39,"5,419,110",2.60,"33,309"
34,2.60,"May 05, 2018",3.63,2.53,"6,093,130",2.94,"45,835"
35,3.06,"May 04, 2018",3.11,2.42,"5,159,570",2.50,"56,855"
36,2.50,"May 03, 2018",2.60,2.19,"4,837,490",2.36,"60,216"
37,2.36,"May 02, 2018",2.62,2.25,"5,157,580",2.53,"50,295"
38,2.41,"May 01, 2018",3.03,2.23,"5,959,020",2.95,"58,973"
39,3.03,"Apr 30, 2018",3.89,2.57,"7,174,750",3.57,"87,244"
40,3.57,"Apr 29, 2018",4.61,3.54,"7,383,760",3.70,"128,545"
41,3.70,"Apr 28, 2018",3.98,2.71,-,2.76,"104,106"
42,2.77,"Apr 27, 2018",3.23,2.57,-,2.65,"55,137"
43,2.65,"Apr 26, 2018",2.81,2.10,-,2.21,"74,494"
44,2.19,"Apr 25, 2018",2.76,1.53,-,2.76,"54,280"
45,2.78,"Apr 24, 2018",3.49,2.18,-,2.22,"143,194"
46,2.14,"Apr 23, 2018",2.22,2.14,-,2.22,"205,750"
