,close,date,high,low,market_cap,open,volume
0,0.096007,"Jun 08, 2018",0.107082,0.090098,"6,290,580",0.099980,"20,522"
1,0.099809,"Jun 07, 2018",0.109694,0.097416,"6,438,310",0.102328,"21,398"
2,0.102359,"Jun 06, 2018",0.117832,0.099647,"7,239,720",0.115065,"40,275"
3,0.115297,"Jun 05, 2018",0.117615,0.102703,"6,898,310",0.109639,"57,532"
4,0.109647,"Jun 04, 2018",0.129918,0.102555,"8,057,230",0.128058,"68,702"
5,0.128251,"Jun 03, 2018",0.130459,0.108140,"6,989,800",0.111093,"52,710"
6,0.114032,"Jun 02, 2018",0.121804,0.109684,"6,995,200",0.111179,"34,968"
7,0.111203,"Jun 01, 2018",0.123399,0.104751,"7,129,540",0.113314,"24,291"
8,0.113070,"May 31, 2018",0.135836,0.112857,"8,414,690",0.133740,"54,730"
9,0.133868,"May 30, 2018",0.146525,0.119073,"7,835,420",0.124533,"121,036"
10,0.132723,"May 29, 2018",0.141393,0.097393,"7,038,330",0.111864,"206,023"
11,0.106680,"May 28, 2018",0.128752,0.104779,"7,700,030",0.122381,"156,192"
12,0.125496,"May 27, 2018",0.152217,0.119014,"8,092,040",0.128612,"98,618"
13,0.128364,"May 26, 2018",0.139375,0.120421,"8,769,240",0.139375,"32,257"
14,0.139354,"May 25, 2018",0.157568,0.118712,"8,898,430",0.141428,"74,212"
15,0.141275,"May 24, 2018",0.151688,0.100148,"7,585,850",0.120566,"181,549"
16,0.122147,"May 23, 2018",0.133131,0.098883,"6,883,420",0.109402,"277,366"
17,0.109620,"May 22, 2018",0.152338,0.109620,"9,584,060",0.152325,"108,382"
18,0.152647,"May 21, 2018",0.175943,0.126916,"10,266,600",0.163174,"126,202"
19,0.162962,"May 20, 2018",0.192961,0.151138,"11,800,800",0.187558,"85,166"
20,0.187610,"May 19, 2018",0.194645,0.155104,"11,779,600",0.187220,"111,266"
21,0.194077,"May 18, 2018",0.194316,0.151352,"10,478,900",0.166548,"51,675"
22,0.166880,"May 17, 2018",0.186277,0.140684,"11,720,300",0.186277,"142,894"
23,0.181104,"May 16, 2018",0.201299,0.169253,"11,891,100",0.188993,"211,574"
24,0.188665,"May 15, 2018",0.211102,0.167307,"12,875,500",0.204638,"92,756"
25,0.192982,"May 14, 2018",0.238412,0.182526,"13,312,800",0.211588,"201,995"
26,0.211675,"May 13, 2018",0.229043,0.183976,"13,304,400",0.211455,"169,345"
27,0.211832,"May 12, 2018",0.213479,0.154181,"12,405,300",0.197165,"120,059"
28,0.197797,"May 11, 2018",0.239517,0.191296,"13,691,500",0.217607,"78,267"
29,0.210278,"May 10, 2018",0.265535,0.210278,"16,443,300",0.261344,"198,095"
30,0.261096,"May 09, 2018",0.342834,0.196273,"16,006,100",0.254394,"41,894"
31,0.254711,"May 08, 2018",0.301429,0.168510,"16,848,400",0.267781,"23,707"
32,0.263549,"May 07, 2018",0.293240,0.235933,"18,365,700",0.291897,"20,175"
33,0.291734,"May 06, 2018",0.329157,0.248293,"20,305,100",0.322721,"21,354"
34,0.322779,"May 05, 2018",0.352961,0.289846,"19,062,800",0.302977,"30,299"
