,close,date,high,low,market_cap,open,volume
0,5.03,"Jun 08, 2018",5.22,4.67,"13,903,200",4.95,"27,975"
1,4.84,"Jun 07, 2018",5.10,4.83,"14,158,600",5.04,"46,343"
2,5.03,"Jun 06, 2018",5.11,4.82,"14,131,400",5.03,"22,276"
3,5.03,"Jun 05, 2018",5.22,4.88,"14,103,700",5.02,"20,819"
4,5.02,"Jun 04, 2018",5.33,5.01,"14,663,900",5.23,"5,535"
5,5.22,"Jun 03, 2018",5.38,5.05,"14,655,300",5.23,"37,500"
6,5.22,"Jun 02, 2018",5.28,5.07,"14,323,200",5.11,"8,236"
7,5.11,"Jun 01, 2018",5.17,4.94,"13,851,900",4.94,"12,773"
8,4.94,"May 31, 2018",5.14,4.85,"13,657,600",4.88,"12,947"
9,4.88,"May 30, 2018",5.16,4.83,"14,015,400",5.01,"9,133"
10,5.00,"May 29, 2018",5.11,4.73,"13,292,900",4.75,"13,862"
11,4.75,"May 28, 2018",5.40,4.59,"15,104,600",5.40,"54,775"
12,5.40,"May 27, 2018",5.40,5.12,"14,559,300",5.21,"9,054"
13,5.21,"May 26, 2018",5.42,5.08,"14,373,600",5.15,"7,314"
14,5.15,"May 25, 2018",5.45,5.04,"15,175,800",5.44,"15,785"
15,5.43,"May 24, 2018",5.60,5.29,"15,187,900",5.44,"7,945"
16,5.46,"May 23, 2018",6.02,5.33,"16,618,400",5.96,"37,852"
17,5.96,"May 22, 2018",6.19,5.77,"16,898,300",6.06,"23,382"
18,6.09,"May 21, 2018",6.39,6.01,"17,499,200",6.28,"16,555"
19,6.27,"May 20, 2018",6.36,5.90,"16,658,900",5.98,"15,021"
20,5.98,"May 19, 2018",6.08,5.81,"16,318,100",5.86,"15,668"
21,5.86,"May 18, 2018",5.97,5.64,"16,607,100",5.97,"16,039"
22,5.96,"May 17, 2018",6.24,5.74,"17,211,000",6.19,"69,952"
23,6.19,"May 16, 2018",6.39,5.91,"17,580,100",6.33,"19,762"
24,6.33,"May 15, 2018",6.62,5.97,"17,355,900",6.25,"73,391"
25,6.26,"May 14, 2018",6.54,6.03,"17,685,400",6.37,"49,030"
26,6.37,"May 13, 2018",6.63,6.00,"17,357,200",6.25,"30,694"
27,6.26,"May 12, 2018",6.72,5.94,"16,763,000",6.04,"45,494"
28,6.06,"May 11, 2018",6.74,5.92,"18,698,300",6.74,"48,854"
29,6.78,"May 10, 2018",7.61,6.75,"19,548,800",7.05,"50,490"
30,6.96,"May 09, 2018",7.47,6.73,"20,554,500",7.42,"131,161"
31,7.44,"May 08, 2018",7.79,7.28,"21,156,700",7.64,"22,834"
32,7.67,"May 07, 2018",7.84,7.42,"21,668,000",7.83,"19,927"
33,7.83,"May 06, 2018",8.64,7.62,"23,245,200",8.41,"85,483"
34,8.40,"May 05, 2018",8.59,8.04,"22,248,200",8.05,"82,945"
35,8.05,"May 04, 2018",8.55,8.04,"23,624,200",8.55,"43,791"
36,8.39,"May 03, 2018",8.56,8.02,"22,212,700",8.04,"48,982"
37,8.04,"May 02, 2018",8.18,7.70,"21,969,500",7.96,"65,810"
38,7.97,"May 01, 2018",7.98,7.34,"21,476,900",7.79,"73,556"
39,7.78,"Apr 30, 2018",8.79,7.70,"23,716,500",8.60,"119,018"
40,8.61,"Apr 29, 2018",8.77,6.96,"22,415,200",8.14,"249,996"
41,8.14,"Apr 28, 2018",8.27,7.67,"21,170,200",7.69,"40,132"
42,7.71,"Apr 27, 2018",8.35,7.61,"22,512,800",8.18,"107,758"
43,8.17,"Apr 26, 2018",8.19,7.11,"22,042,900",8.01,"166,976"
44,7.95,"Apr 25, 2018",9.24,7.94,"25,396,500",9.24,"52,425"
45,9.21,"Apr 24, 2018",9.50,8.81,"24,332,500",8.85,"148,131"
46,8.85,"Apr 23, 2018",9.65,8.80,"24,558,700",8.94,"154,390"
47,8.96,"Apr 22, 2018",9.12,8.14,"23,318,900",8.49,"106,445"
48,8.49,"Apr 21, 2018",8.51,8.16,"23,124,800",8.43,"23,625"
49,8.42,"Apr 20, 2018",8.47,7.67,"21,595,300",7.87,"49,021"
50,7.87,"Apr 19, 2018",7.91,7.19,"20,138,600",7.35,"81,838"
51,7.34,"Apr 18, 2018",7.42,6.80,"19,433,700",7.09,"54,703"
52,7.09,"Apr 17, 2018",7.43,6.93,"19,445,200",7.10,"47,744"
53,7.10,"Apr 16, 2018",7.60,7.04,"20,191,600",7.38,"14,190"
54,7.44,"Apr 15, 2018",7.68,7.24,"19,917,600",7.28,"26,381"
55,7.27,"Apr 14, 2018",7.50,7.09,"20,073,700",7.34,"28,264"
56,7.34,"Apr 13, 2018",7.55,6.53,"18,777,100",6.87,"73,928"
57,6.86,"Apr 12, 2018",7.30,6.21,"17,453,600",6.39,"19,535"
58,6.41,"Apr 11, 2018",6.41,6.04,"17,247,000",6.32,"8,918"
59,6.31,"Apr 10, 2018",6.40,5.94,"16,653,400",6.10,"11,925"
60,6.22,"Apr 09, 2018",6.37,5.68,"16,305,400",5.98,"46,004"
61,5.89,"Apr 08, 2018",6.17,5.70,"15,526,800",5.70,"15,513"
62,5.69,"Apr 07, 2018",5.91,5.40,"14,756,500",5.42,"12,350"
63,5.41,"Apr 06, 2018",5.60,5.19,"15,155,800",5.57,"6,724"
64,5.59,"Apr 05, 2018",5.96,5.32,"15,724,800",5.78,"39,546"
65,5.78,"Apr 04, 2018",6.79,5.72,"18,457,800",6.79,"60,252"
66,6.79,"Apr 03, 2018",7.06,6.44,"17,654,600",6.50,"75,581"
67,6.40,"Apr 02, 2018",6.88,6.03,"16,857,600",6.21,"21,782"
68,6.18,"Apr 01, 2018",7.76,5.56,"15,358,100",5.66,"119,248"
69,5.66,"Mar 31, 2018",5.74,5.37,"14,855,800",5.47,"28,621"
70,5.47,"Mar 30, 2018",5.88,5.28,"15,873,400",5.85,"21,580"
71,5.87,"Mar 29, 2018",7.22,5.67,"19,266,800",7.11,"70,436"
72,7.10,"Mar 28, 2018",7.33,6.04,"16,456,700",6.07,"96,285"
73,6.08,"Mar 27, 2018",6.79,6.05,"18,108,300",6.69,"82,635"
74,6.70,"Mar 26, 2018",6.70,6.00,"16,815,000",6.21,"23,384"
75,6.22,"Mar 25, 2018",6.76,5.88,"16,959,100",6.27,"97,670"
76,6.52,"Mar 24, 2018",7.33,6.39,"19,465,900",7.20,"88,219"
77,7.11,"Mar 23, 2018",7.14,6.70,"19,298,600",7.14,"24,289"
78,7.14,"Mar 22, 2018",8.22,6.80,"21,205,700",7.85,"41,888"
79,7.87,"Mar 21, 2018",8.01,7.53,"21,096,100",7.82,"14,534"
80,7.80,"Mar 20, 2018",8.52,6.88,"18,959,800",7.03,"60,893"
81,7.09,"Mar 19, 2018",8.00,6.70,"20,018,000",7.43,"62,132"
82,7.61,"Mar 18, 2018",7.61,6.30,"18,512,600",6.87,"43,614"
83,7.06,"Mar 17, 2018",8.00,6.54,"21,541,200",8.00,"52,835"
84,7.99,"Mar 16, 2018",8.28,7.71,"21,773,200",8.09,"25,442"
85,8.09,"Mar 15, 2018",8.24,7.34,"21,757,900",8.09,"49,064"
86,8.09,"Mar 14, 2018",9.46,7.76,"24,336,200",9.05,"27,386"
87,9.05,"Mar 13, 2018",9.31,8.71,"24,080,700",8.96,"17,326"
88,9.05,"Mar 12, 2018",9.99,8.75,"25,776,900",9.60,"20,241"
