,close,date,high,low,market_cap,open,volume
0,1.25,"Jun 08, 2018",1.50,1.22,"3,378,240",1.49,"4,233"
1,1.49,"Jun 07, 2018",1.56,1.26,"2,842,560",1.26,"2,544"
2,1.26,"Jun 06, 2018",1.45,1.23,"2,858,720",1.26,"3,633"
3,1.26,"Jun 05, 2018",1.28,1.11,"2,850,030",1.26,"1,911"
4,1.26,"Jun 04, 2018",1.43,1.21,"3,001,570",1.33,"1,660"
5,1.33,"Jun 03, 2018",1.53,1.32,"3,301,550",1.46,"5,249"
6,1.46,"Jun 02, 2018",1.67,1.37,"3,142,050",1.39,"4,142"
7,1.39,"Jun 01, 2018",1.54,1.22,"3,409,520",1.51,"12,905"
8,1.50,"May 31, 2018",1.52,1.27,"3,225,300",1.43,"3,119"
9,1.43,"May 30, 2018",1.49,0.679739,"2,333,990",1.03,"3,133"
10,1.03,"May 29, 2018",1.04,0.620769,"1,745,050",0.771187,"4,335"
11,0.773033,"May 28, 2018",1.55,0.772563,"3,481,720",1.54,"3,395"
12,1.54,"May 27, 2018",1.64,1.50,"3,554,650",1.57,"2,739"
13,1.57,"May 26, 2018",1.63,1.53,"3,607,940",1.59,676
14,1.60,"May 25, 2018",1.71,1.56,"3,863,290",1.71,"1,120"
15,1.70,"May 24, 2018",1.72,1.46,"3,601,800",1.59,"4,846"
16,1.60,"May 23, 2018",1.82,1.42,"4,106,630",1.81,"15,149"
17,1.82,"May 22, 2018",2.00,1.81,"4,480,270",1.98,"3,996"
18,1.98,"May 21, 2018",2.18,1.87,"4,658,410",2.06,"16,935"
19,2.06,"May 20, 2018",2.16,1.98,"4,646,570",2.05,"15,293"
20,2.10,"May 19, 2018",2.14,1.74,"4,232,270",1.87,"12,450"
21,1.87,"May 18, 2018",2.08,1.72,"4,238,280",1.87,"9,199"
22,1.87,"May 17, 2018",1.87,1.58,"3,959,690",1.75,"11,469"
23,1.75,"May 16, 2018",1.95,1.68,"2,738,770",1.95,"17,456"
24,1.95,"May 15, 2018",2.07,1.89,"2,906,260",2.07,"19,900"
25,2.08,"May 14, 2018",2.35,1.89,"3,160,820",2.25,"60,334"
26,2.25,"May 13, 2018",3.64,2.07,"3,333,700",2.38,"995,826"
27,2.37,"May 12, 2018",3.56,1.34,"1,889,200",1.35,"103,892"
28,1.35,"May 11, 2018",1.59,1.34,"2,172,060",1.55,"4,426"
29,1.55,"May 10, 2018",1.83,1.55,"2,175,310",1.55,"6,688"
30,1.55,"May 09, 2018",1.70,1.55,"2,335,280",1.66,"4,820"
31,1.67,"May 08, 2018",1.86,1.54,"2,551,650",1.82,"4,983"
