,close,date,high,low,market_cap,open,volume
0,0.161448,"Jun 08, 2018",0.211357,0.146349,"56,784,500",0.205183,"1,693,490"
1,0.205913,"Jun 07, 2018",0.266770,0.199388,"73,045,600",0.266578,"849,835"
2,0.266219,"Jun 06, 2018",0.274299,0.215020,"73,343,000",0.267929,"1,256,650"
3,0.271449,"Jun 05, 2018",0.272880,0.234209,"68,907,500",0.251726,"804,777"
4,0.251632,"Jun 04, 2018",0.282326,0.241708,"77,103,300",0.281666,"1,209,200"
5,0.275931,"Jun 03, 2018",0.303592,0.240503,"65,857,800",0.240585,"1,934,030"
6,0.240535,"Jun 02, 2018",0.246960,0.225966,"63,526,700",0.232069,"901,025"
7,0.234615,"Jun 01, 2018",0.260625,0.216223,"71,029,000",0.260625,"1,341,750"
8,0.260811,"May 31, 2018",0.366442,0.208529,"83,866,100",0.308819,"3,036,090"
9,0.308820,"May 30, 2018",0.324384,0.198695,"68,991,300",0.254046,"1,994,920"
10,0.251963,"May 29, 2018",0.362647,0.235117,"91,469,100",0.337924,"4,790,880"
11,0.332640,"May 28, 2018",0.419391,0.296791,"103,701,000",0.383114,"7,853,780"
12,0.380293,"May 27, 2018",0.491499,0.191205,"54,418,900",0.201046,"12,050,300"
13,0.201298,"May 26, 2018",0.231144,0.139975,"39,415,000",0.145615,"5,253,330"
14,0.145317,"May 25, 2018",0.148703,0.125078,"39,528,300",0.146034,"1,066,960"
15,0.144725,"May 24, 2018",0.173742,0.131220,"30,953,800",0.166804,"1,847,590"
16,0.167537,"May 23, 2018",0.222103,0.096010,"20,539,300",0.110682,"4,355,070"
17,0.109462,"May 22, 2018",0.109462,0.077164,"15,738,300",0.084810,"956,802"
18,0.084453,"May 21, 2018",0.085464,0.065921,"12,993,600",0.070020,"576,618"
19,0.069681,"May 20, 2018",0.070492,0.061864,"11,490,500",0.061920,"234,888"
20,0.062126,"May 19, 2018",0.065174,0.058917,"11,048,200",0.059536,"503,548"
21,0.060131,"May 18, 2018",0.067120,0.059332,"12,208,300",0.065788,"403,037"
22,0.064508,"May 17, 2018",0.072996,0.064349,"13,042,800",0.070285,"805,666"
23,0.070265,"May 16, 2018",0.076476,0.068946,"13,755,800",0.074127,"752,158"
24,0.074637,"May 15, 2018",0.084468,0.064981,"15,097,400",0.081357,"1,523,700"
25,0.085947,"May 14, 2018",0.116573,0.042445,"7,934,620",0.042758,"4,089,640"
26,0.043172,"May 13, 2018",0.043172,0.019505,"3,715,460",0.020022,"821,444"
27,0.020034,"May 12, 2018",0.022047,0.017097,"3,172,650",0.017097,"186,546"
28,0.017334,"May 11, 2018",0.021378,0.017257,"3,942,340",0.021244,"59,188"
29,0.021226,"May 10, 2018",0.023875,0.020975,"8,005,280",0.023856,"105,237"
30,0.023630,"May 09, 2018",0.025204,0.020472,-,0.023480,"220,008"
31,0.023602,"May 08, 2018",0.041143,0.017801,-,0.035799,"716,822"
