,close,date,high,low,market_cap,open,volume
0,0.015566,"Jun 08, 2018",0.020016,0.013408,"15,056",0.019975,200
1,0.019959,"Jun 07, 2018",0.021540,0.019892,"16,045",0.021286,38
2,0.021266,"Jun 06, 2018",0.032765,0.017165,"16,666",0.022109,99
3,0.022115,"Jun 05, 2018",0.022155,0.017908,"13,516",0.017930,55
4,0.017922,"Jun 04, 2018",0.018551,0.017894,"13,946",0.018501,55
5,0.018493,"Jun 03, 2018",0.021412,0.018413,"15,021",0.019927,15
6,0.019922,"Jun 02, 2018",0.032799,0.019869,"16,941",0.022475,"1,185"
7,0.022484,"Jun 01, 2018",0.033339,0.015172,"11,633",0.015433,"1,596"
8,0.015421,"May 31, 2018",0.021022,0.015327,"15,415",0.020450,2
9,0.020454,"May 30, 2018",0.021820,0.014687,"16,261",0.021573,5
10,0.021558,"May 29, 2018",0.021768,0.020459,"15,507",0.020573,102
11,0.020579,"May 28, 2018",0.020970,0.013515,"10,409",0.013809,160
12,0.013806,"May 27, 2018",0.020207,0.013245,"15,205",0.020171,16
13,0.020163,"May 26, 2018",0.021040,0.020054,"15,537",0.020612,4
14,0.020639,"May 25, 2018",0.020639,0.017003,"13,169",0.017470,72
15,0.017437,"May 24, 2018",0.017558,0.012734,"9,919",0.013159,1
16,0.013192,"May 23, 2018",0.014047,0.013075,"10,557",0.014006,19
17,0.014020,"May 22, 2018",0.015027,0.013744,"10,520",0.013957,94
18,0.013959,"May 21, 2018",0.019831,0.013672,"10,606",0.014070,83
19,0.014053,"May 20, 2018",0.018222,0.013772,"13,736",0.018222,101
20,0.018209,"May 19, 2018",0.018492,0.018065,"13,725",0.018208,5
21,0.018211,"May 18, 2018",0.018277,0.018160,"13,738",0.018226,5
22,0.019763,"May 17, 2018",0.020179,0.019652,"15,040",0.019953,37
23,0.019940,"May 16, 2018",0.020299,0.019442,"15,288",0.020282,37
24,0.020294,"May 15, 2018",0.021078,0.019094,"15,627",0.020732,39
25,0.020768,"May 14, 2018",0.021257,0.018319,"14,411",0.019119,42
26,0.019122,"May 13, 2018",0.025573,0.018848,"19,148",0.025403,393
27,0.025412,"May 12, 2018",0.027042,0.017175,"13,352",0.017713,753
28,0.017766,"May 11, 2018",0.019974,0.017732,"15,056",0.019974,7
29,0.019950,"May 10, 2018",0.020749,0.019931,"15,515",0.020584,2
30,0.020589,"May 09, 2018",0.023834,0.018570,"17,959",0.023825,25
31,0.023862,"May 08, 2018",0.029494,0.023497,"22,029",0.029225,959
32,0.029163,"May 07, 2018",0.029857,0.023353,"19,031",0.025248,"1,310"
33,0.030286,"May 06, 2018",0.031449,0.029939,"23,485",0.031157,115
34,0.031136,"May 05, 2018",0.031570,0.030677,"23,160",0.030726,118
35,0.030740,"May 04, 2018",0.037614,0.024599,"23,218",0.030803,828
36,0.030815,"May 03, 2018",0.038510,0.030038,"22,724",0.030147,153
37,0.030146,"May 02, 2018",0.030262,0.029387,"22,389",0.029702,4
