,close,date,high,low,market_cap,open,volume
0,0.168612,"Jun 08, 2018",0.169362,0.150151,"539,659",0.152862,224
1,0.152670,"Jun 07, 2018",0.179709,0.151982,"539,197",0.152731,543
2,0.152771,"Jun 06, 2018",0.172926,0.149178,"607,668",0.172126,"4,879"
3,0.172450,"Jun 05, 2018",0.173408,0.165724,"589,889",0.167090,"1,271"
4,0.167101,"Jun 04, 2018",0.214225,0.152293,"537,651",0.152293,"22,839"
5,0.163855,"Jun 03, 2018",0.171147,0.133551,"552,487",0.156495,"1,568"
6,0.156510,"Jun 02, 2018",0.158293,0.134729,"522,849",0.148100,838
7,0.148081,"Jun 01, 2018",0.148081,0.122987,"450,073",0.127486,"1,118"
8,0.127309,"May 31, 2018",0.160962,0.126978,"523,586",0.148309,"4,600"
9,0.157424,"May 30, 2018",0.164714,0.144933,"563,205",0.159531,913
10,0.159434,"May 29, 2018",0.178859,0.157872,"574,458",0.162719,"48,511"
11,0.163176,"May 28, 2018",0.174234,0.146321,"595,710",0.168739,"19,122"
12,0.168726,"May 27, 2018",0.188386,0.166080,"665,073",0.188386,813
13,0.188196,"May 26, 2018",0.205393,0.187682,"724,430",0.205199,"2,293"
14,0.205337,"May 25, 2018",0.242088,0.188113,"675,332",0.191292,"8,960"
15,0.191072,"May 24, 2018",0.252997,0.179806,"701,593",0.198731,"36,932"
16,0.199250,"May 23, 2018",0.244521,0.191138,"857,555",0.242908,"2,125"
17,0.243315,"May 22, 2018",0.255865,0.216810,"783,685",0.221984,"27,257"
18,0.222223,"May 21, 2018",0.228985,0.220305,"807,922",0.228849,697
19,0.228553,"May 20, 2018",0.271385,0.222679,"801,352",0.226988,"27,365"
20,0.226816,"May 19, 2018",0.226816,0.216093,"769,446",0.217950,128
21,0.217978,"May 18, 2018",0.242604,0.216934,"808,501",0.229013,"1,394"
22,0.228827,"May 17, 2018",0.247230,0.227415,"862,970",0.244442,"1,389"
23,0.244290,"May 16, 2018",0.263147,0.224812,"827,121",0.234287,"1,891"
24,0.234385,"May 15, 2018",0.241782,0.225789,"812,182",0.230056,744
25,0.230451,"May 14, 2018",0.234471,0.213670,"803,028",0.227463,492
26,0.227513,"May 13, 2018",0.233208,0.209185,"750,805",0.212670,325
27,0.213075,"May 12, 2018",0.262462,0.181167,"675,040",0.191209,"88,607"
28,0.191559,"May 11, 2018",0.306101,0.188827,"798,714",0.226241,"9,720"
29,0.226018,"May 10, 2018",0.227986,0.207999,"775,294",0.219607,596
30,0.219556,"May 09, 2018",0.271356,0.215912,"799,803",0.226549,"1,800"
31,0.226833,"May 08, 2018",0.261541,0.213190,"878,149",0.248741,"12,011"
32,0.247371,"May 07, 2018",0.263172,0.216911,"886,530",0.251115,"17,880"
33,0.250938,"May 06, 2018",0.251224,0.227563,"841,916",0.238478,"3,445"
34,0.238388,"May 05, 2018",0.266343,0.238092,"915,237",0.259247,"1,063"
35,0.259190,"May 04, 2018",0.261004,0.225606,"838,549",0.237524,"1,840"
