,close,date,high,low,market_cap,open,volume
0,0.049461,"Jun 08, 2018",0.052325,0.044688,"63,057,800",0.051769,"23,629"
1,0.051710,"Jun 07, 2018",0.052214,0.049953,"61,032,100",0.050106,"5,298"
2,0.050086,"Jun 06, 2018",0.053827,0.047984,"64,041,300",0.052577,"15,811"
3,0.052639,"Jun 05, 2018",0.053702,0.048951,"62,715,500",0.051701,"13,664"
4,0.051694,"Jun 04, 2018",0.054006,0.049929,"63,767,300",0.053049,"9,212"
5,0.053058,"Jun 03, 2018",0.054480,0.051006,"62,314,500",0.051840,"7,992"
6,0.051869,"Jun 02, 2018",0.054630,0.048175,"63,540,800",0.052860,"24,790"
7,0.052876,"Jun 01, 2018",0.055876,0.046810,"63,861,900",0.053127,"17,267"
8,0.053058,"May 31, 2018",0.054825,0.050867,"61,403,800",0.051083,"8,420"
9,0.051121,"May 30, 2018",0.057046,0.049361,"67,581,000",0.056221,"33,591"
10,0.055817,"May 29, 2018",0.060001,0.051719,"66,366,200",0.055211,"31,464"
11,0.055338,"May 28, 2018",0.058130,0.045181,"68,817,100",0.057250,"26,018"
12,0.057250,"May 27, 2018",0.057295,0.054024,"65,857,300",0.054787,"9,779"
13,0.054742,"May 26, 2018",0.057364,0.054374,"67,196,700",0.055902,"4,752"
14,0.055938,"May 25, 2018",0.060620,0.050046,"66,474,800",0.055301,"44,579"
15,0.055226,"May 24, 2018",0.060265,0.051671,"65,838,200",0.054771,"22,069"
16,0.054963,"May 23, 2018",0.060794,0.053786,"72,696,100",0.060477,"26,847"
17,0.060564,"May 22, 2018",0.063715,0.058908,"75,179,800",0.062543,"12,387"
18,0.062596,"May 21, 2018",0.067119,0.058818,"80,161,500",0.066687,"17,193"
19,0.066602,"May 20, 2018",0.066779,0.058637,"71,007,800",0.059072,"3,104"
20,0.059026,"May 19, 2018",0.066721,0.059009,"78,360,900",0.065189,"21,520"
21,0.065193,"May 18, 2018",0.065237,0.060014,"72,140,500",0.060014,"10,087"
22,0.060039,"May 17, 2018",0.068591,0.057448,"80,714,900",0.067147,"51,726"
23,0.067031,"May 16, 2018",0.068254,0.061072,"81,951,600",0.068176,"42,032"
24,0.068202,"May 15, 2018",0.072555,0.062611,"85,191,200",0.070871,"31,915"
25,0.070979,"May 14, 2018",0.071988,0.055329,"81,453,900",0.067762,"50,619"
26,0.067782,"May 13, 2018",0.070385,0.060474,"78,989,800",0.065712,"15,311"
27,0.065788,"May 12, 2018",0.069939,0.062302,"77,424,900",0.064410,"20,594"
28,0.064549,"May 11, 2018",0.075578,0.060299,"90,842,200",0.075573,"39,096"
29,0.075497,"May 10, 2018",0.079568,0.068070,"92,743,100",0.077154,"70,154"
30,0.077134,"May 09, 2018",0.082764,0.074308,"99,411,200",0.082701,"37,341"
31,0.082821,"May 08, 2018",0.086603,0.078331,"97,740,900",0.081312,"41,774"
32,0.082298,"May 07, 2018",0.087110,0.072848,"97,757,900",0.081326,"23,861"
33,0.081270,"May 06, 2018",0.085449,0.080666,"99,026,300",0.082381,"6,665"
34,0.082342,"May 05, 2018",0.092661,0.081958,"105,763,000",0.087985,"16,607"
35,0.087979,"May 04, 2018",0.097576,0.079868,"109,092,000",0.090755,"64,492"
36,0.090877,"May 03, 2018",0.092141,0.074084,"107,866,000",0.089735,"84,661"
37,0.089735,"May 02, 2018",0.093536,0.081135,"111,552,000",0.092801,"18,455"
38,0.093007,"May 01, 2018",0.094371,0.070374,"102,219,000",0.085037,"58,274"
39,0.084845,"Apr 30, 2018",0.097352,0.079916,"111,508,000",0.092764,"38,852"
40,0.092769,"Apr 29, 2018",0.097054,0.086382,"115,042,000",0.095704,"48,832"
41,0.095701,"Apr 28, 2018",0.106281,0.093042,"122,317,000",0.101756,"60,676"
42,0.102360,"Apr 27, 2018",0.107420,0.095622,"129,125,000",0.107420,"92,494"
43,0.107248,"Apr 26, 2018",0.108020,0.097412,"119,937,000",0.099777,"108,288"
44,0.098865,"Apr 25, 2018",0.108043,0.092896,"127,745,000",0.106272,"98,601"
45,0.106657,"Apr 24, 2018",0.113162,0.088133,"113,738,000",0.094620,"201,600"
46,0.096764,"Apr 23, 2018",0.096774,0.077524,"95,211,800",0.079208,"82,838"
47,0.079442,"Apr 22, 2018",0.086594,0.079005,"101,171,000",0.084165,"28,688"
48,0.084209,"Apr 21, 2018",0.086858,0.080342,"104,378,000",0.086833,"59,048"
49,0.086850,"Apr 20, 2018",0.088645,0.078356,"99,509,000",0.082782,"49,980"
50,0.082838,"Apr 19, 2018",0.084582,0.076754,"94,515,400",0.078628,"50,728"
51,0.078582,"Apr 18, 2018",0.078721,0.070580,"88,921,900",0.073975,"45,972"
52,0.073925,"Apr 17, 2018",0.082148,0.071493,"89,429,800",0.074398,"116,038"
53,0.074391,"Apr 16, 2018",0.078745,0.069990,"91,277,000",0.076771,"57,718"
54,0.076737,"Apr 15, 2018",0.078322,0.072219,"86,003,700",0.072335,"37,450"
55,0.072687,"Apr 14, 2018",0.074255,0.068164,"81,562,000",0.068600,"18,772"
56,0.068600,"Apr 13, 2018",0.081657,0.065707,"80,226,400",0.067461,"51,977"
57,0.067355,"Apr 12, 2018",0.072691,0.059199,"73,407,000",0.061726,"60,883"
58,0.061941,"Apr 11, 2018",0.062491,0.052210,"62,346,200",0.052426,"52,526"
59,0.052326,"Apr 10, 2018",0.052873,0.044920,"62,701,100",0.052724,"29,967"
60,0.052545,"Apr 09, 2018",0.052965,0.044779,"55,150,800",0.046375,"29,465"
61,0.046280,"Apr 08, 2018",0.048846,0.043496,"55,504,400",0.046673,"28,888"
