,close,date,high,low,market_cap,open,volume
0,0.000694,"Jun 08, 2018",0.000766,0.000688,-,0.000695,96
1,0.000694,"Jun 07, 2018",0.000739,0.000686,-,0.000686,169
2,0.000686,"Jun 06, 2018",0.000725,0.000667,-,0.000717,94
3,0.000717,"Jun 05, 2018",0.000775,0.000631,-,0.000684,404
4,0.000683,"Jun 04, 2018",0.000825,0.000681,-,0.000785,308
5,0.000785,"Jun 03, 2018",0.000798,0.000690,-,0.000690,10
6,0.000690,"Jun 02, 2018",0.000923,0.000690,-,0.000836,125
7,0.000836,"Jun 01, 2018",0.000844,0.000632,-,0.000678,118
8,0.000678,"May 31, 2018",0.000803,0.000617,-,0.000738,434
9,0.000738,"May 30, 2018",0.000754,0.000672,-,0.000673,22
10,0.000673,"May 29, 2018",0.000785,0.000644,-,0.000731,149
11,0.000731,"May 28, 2018",0.000800,0.000664,-,0.000717,240
12,0.000717,"May 27, 2018",0.000825,0.000691,-,0.000795,11
13,0.000794,"May 26, 2018",0.000808,0.000662,-,0.000675,36
14,0.000675,"May 25, 2018",0.000844,0.000646,-,0.000838,902
15,0.000837,"May 24, 2018",0.000853,0.000715,-,0.000834,93
16,0.000836,"May 23, 2018",0.001038,0.000830,-,0.000960,111
17,0.000961,"May 22, 2018",0.001007,0.000935,-,0.000946,648
18,0.000946,"May 21, 2018",0.000988,0.000871,-,0.000891,475
19,0.000891,"May 20, 2018",0.000985,0.000890,-,0.000908,963
20,0.000908,"May 19, 2018",0.000926,0.000905,-,0.000925,232
21,0.000925,"May 18, 2018",0.000988,0.000894,-,0.000969,170
22,0.000969,"May 17, 2018",0.001000,0.000900,-,0.000916,38
23,0.000916,"May 16, 2018",0.001001,0.000857,-,0.000871,402
24,0.000871,"May 15, 2018",0.001029,0.000871,-,0.001014,469
25,0.001015,"May 14, 2018",0.001053,0.000966,-,0.001039,234
26,0.001039,"May 13, 2018",0.001061,0.000909,-,0.000928,364
27,0.000929,"May 12, 2018",0.001072,0.000929,-,0.001008,156
28,0.001009,"May 11, 2018",0.001143,0.000975,-,0.001129,172
29,0.001128,"May 10, 2018",0.001183,0.001034,-,0.001038,253
30,0.001038,"May 09, 2018",0.001116,0.000908,-,0.001116,226
31,0.001116,"May 08, 2018",0.001143,0.001033,-,0.001071,4
32,0.001070,"May 07, 2018",0.001180,0.001026,-,0.001160,261
33,0.001159,"May 06, 2018",0.001193,0.001066,-,0.001182,282
34,0.001182,"May 05, 2018",0.001218,0.001035,-,0.001192,418
35,0.001192,"May 04, 2018",0.001198,0.001057,-,0.001075,724
36,0.001075,"May 03, 2018",0.001147,0.001015,-,0.001017,602
37,0.001017,"May 02, 2018",0.001106,0.000993,-,0.001002,453
38,0.001004,"May 01, 2018",0.001007,0.000885,-,0.000893,90
39,0.000892,"Apr 30, 2018",0.001011,0.000888,-,0.000963,616
40,0.000963,"Apr 29, 2018",0.001074,0.000936,-,0.001033,523
41,0.001033,"Apr 28, 2018",0.001055,0.000877,-,0.000899,"2,433"
42,0.000901,"Apr 27, 2018",0.001215,0.000901,-,0.001111,214
43,0.001109,"Apr 26, 2018",0.001148,0.000991,-,0.001000,175
44,0.000997,"Apr 25, 2018",0.001084,0.000960,-,0.001081,45
45,0.001087,"Apr 24, 2018",0.001216,0.001062,-,0.001083,139
46,0.001082,"Apr 23, 2018",0.001136,0.000978,-,0.000978,301
47,0.000980,"Apr 22, 2018",0.001113,0.000976,-,0.001113,325
48,0.001113,"Apr 21, 2018",0.001129,0.000968,-,0.000975,176
49,0.000975,"Apr 20, 2018",0.001107,0.000923,-,0.000936,466
50,0.000936,"Apr 19, 2018",0.001141,0.000894,-,0.000934,480
51,0.000933,"Apr 18, 2018",0.001038,0.000922,-,0.001004,271
52,0.001003,"Apr 17, 2018",0.001057,0.000894,-,0.001001,653
53,0.001000,"Apr 16, 2018",0.001644,0.000869,-,0.001082,"2,962"
54,0.001082,"Apr 15, 2018",0.001142,0.000999,-,0.001059,163
55,0.001059,"Apr 14, 2018",0.001468,0.000995,-,0.001251,201
56,0.001251,"Apr 13, 2018",0.001265,0.000968,-,0.001041,"2,196"
57,0.001040,"Apr 12, 2018",0.001136,0.000938,-,0.001027,672
58,0.001019,"Apr 11, 2018",0.001215,0.000939,-,0.001123,545
59,0.001122,"Apr 10, 2018",0.001166,0.001055,-,0.001165,246
60,0.001165,"Apr 09, 2018",0.001277,0.001071,-,0.001140,190
61,0.001140,"Apr 08, 2018",0.001149,0.001013,-,0.001055,264
62,0.001056,"Apr 07, 2018",0.001965,0.001020,-,0.001021,"1,358"
63,0.001020,"Apr 06, 2018",0.001091,0.000952,-,0.000989,150
64,0.000994,"Apr 05, 2018",0.001159,0.000962,-,0.001157,77
65,0.001156,"Apr 04, 2018",0.001276,0.001034,-,0.001225,134
66,0.001225,"Apr 03, 2018",0.001240,0.001160,-,0.001223,90
67,0.001223,"Apr 02, 2018",0.001271,0.001038,-,0.001038,354
68,0.001047,"Apr 01, 2018",0.001332,0.000954,-,0.001324,795
69,0.001302,"Mar 31, 2018",0.001373,0.001215,-,0.001316,403
70,0.001316,"Mar 30, 2018",0.001436,0.001109,-,0.001403,603
71,0.001400,"Mar 29, 2018",0.001456,0.001271,-,0.001422,518
72,0.001438,"Mar 28, 2018",0.001500,0.001289,-,0.001455,750
73,0.001429,"Mar 27, 2018",0.001599,0.001391,-,0.001581,357
74,0.001589,"Mar 26, 2018",0.001777,0.001440,-,0.001752,293
75,0.001772,"Mar 25, 2018",0.001978,0.001572,-,0.001615,943
76,0.001637,"Mar 24, 2018",0.002616,0.001237,-,0.001531,"1,803"
77,0.001527,"Mar 23, 2018",0.001758,0.001506,-,0.001713,490
78,0.001740,"Mar 22, 2018",0.001812,0.001470,-,0.001768,406
79,0.001756,"Mar 21, 2018",0.001780,0.001665,-,0.001700,599
80,0.001698,"Mar 20, 2018",0.001795,0.001249,-,0.001784,953
81,0.001782,"Mar 19, 2018",0.001830,0.001610,-,0.001722,"1,057"
82,0.001729,"Mar 18, 2018",0.001761,0.001507,-,0.001741,829
83,0.001741,"Mar 17, 2018",0.001766,0.001440,-,0.001766,"1,214"
84,0.001773,"Mar 16, 2018",0.001932,0.001707,-,0.001765,"1,137"
85,0.001763,"Mar 15, 2018",0.001926,0.001394,-,0.001672,"1,744"
86,0.001610,"Mar 14, 2018",0.001862,0.001600,-,0.001703,599
87,0.001703,"Mar 13, 2018",0.001940,0.001597,-,0.001849,"1,258"
88,0.001845,"Mar 12, 2018",0.001984,0.001711,-,0.001730,662
89,0.001733,"Mar 11, 2018",0.001842,0.001578,-,0.001647,666
90,0.001640,"Mar 10, 2018",0.002164,0.001610,-,0.001720,"1,099"
91,0.001804,"Mar 09, 2018",0.001893,0.001522,-,0.001879,390
92,0.001887,"Mar 08, 2018",0.002101,0.001709,-,0.002040,987
93,0.002043,"Mar 07, 2018",0.002434,0.002037,-,0.002268,"3,041"
94,0.002270,"Mar 06, 2018",0.002513,0.002135,-,0.002496,954
95,0.002509,"Mar 05, 2018",0.002642,0.002263,-,0.002620,635
96,0.002632,"Mar 04, 2018",0.002821,0.002165,-,0.002787,"3,435"
97,0.002746,"Mar 03, 2018",0.002983,0.002573,-,0.002848,"2,704"
98,0.002850,"Mar 02, 2018",0.003196,0.002767,-,0.002983,"1,682"
99,0.003004,"Mar 01, 2018",0.003218,0.002542,-,0.002750,"4,860"
100,0.002670,"Feb 28, 2018",0.003212,0.002390,-,0.002623,"4,548"
101,0.002675,"Feb 27, 2018",0.003015,0.002361,-,0.002768,"2,755"
102,0.002762,"Feb 26, 2018",0.002791,0.002070,-,0.002682,"6,874"
103,0.002676,"Feb 25, 2018",0.002704,0.002549,-,0.002583,"2,485"
104,0.002584,"Feb 24, 2018",0.002991,0.002474,-,0.002871,"3,007"
105,0.002883,"Feb 23, 2018",0.003128,0.002567,-,0.002764,"8,530"
106,0.002788,"Feb 22, 2018",0.003931,0.002337,-,0.003316,"12,496"
107,0.003301,"Feb 21, 2018",0.004134,0.003181,-,0.003772,"3,604"
108,0.003739,"Feb 20, 2018",0.004611,0.003605,-,0.004269,"10,706"
109,0.004223,"Feb 19, 2018",0.005889,0.003968,-,0.004240,"9,884"
110,0.004246,"Feb 18, 2018",0.004273,0.003679,-,0.004150,"2,362"
111,0.004135,"Feb 17, 2018",0.004537,0.003436,-,0.004179,"8,696"
