,close,date,high,low,market_cap,open,volume
0,0.013048,"Jun 08, 2018",0.020665,0.012350,-,0.012830,"19,424"
1,0.012820,"Jun 07, 2018",0.013191,0.012354,-,0.013017,"9,888"
2,0.013005,"Jun 06, 2018",0.013152,0.012760,-,0.012961,960
3,0.012964,"Jun 05, 2018",0.012988,0.012548,-,0.012754,22
4,0.012748,"Jun 04, 2018",0.013140,0.012700,-,0.013105,586
5,0.013099,"Jun 03, 2018",0.013487,0.012922,-,0.012979,767
6,0.012976,"Jun 02, 2018",0.013328,0.012707,-,0.012778,"1,494"
7,0.012784,"Jun 01, 2018",0.013141,0.012578,-,0.012736,"1,653"
8,0.012726,"May 31, 2018",0.015616,0.012195,-,0.012255,"20,282"
9,0.012257,"May 30, 2018",0.024651,0.011860,-,0.012690,"21,683"
10,0.012681,"May 29, 2018",0.013153,0.012035,-,0.012101,166
11,0.012105,"May 28, 2018",0.014486,0.012069,-,0.012561,"11,781"
12,0.012558,"May 27, 2018",0.013936,0.012395,-,0.013203,"1,026"
13,0.013197,"May 26, 2018",0.015298,0.013126,-,0.014637,"5,852"
14,0.014656,"May 25, 2018",0.018621,0.014060,-,0.016260,"23,240"
15,0.016229,"May 24, 2018",0.020693,0.012294,-,0.020077,"13,968"
16,0.020128,"May 23, 2018",0.021824,0.019949,-,0.021689,431
17,0.021712,"May 22, 2018",0.023741,0.021590,-,0.023541,346
18,0.023546,"May 21, 2018",0.024707,0.023342,-,0.023962,762
19,0.023932,"May 20, 2018",0.025579,0.023256,-,0.024736,"20,151"
20,0.024718,"May 19, 2018",0.024822,0.020898,-,0.020927,"2,210"
21,0.020930,"May 18, 2018",0.023562,0.020246,-,0.020599,255
22,0.020581,"May 17, 2018",0.024683,0.020494,-,0.021706,540
23,0.021692,"May 16, 2018",0.025543,0.017164,-,0.025543,"1,988"
24,0.025558,"May 15, 2018",0.025678,0.015331,-,0.025329,"24,119"
25,0.025373,"May 14, 2018",0.025951,0.024367,-,0.025897,"10,010"
26,0.025902,"May 13, 2018",0.026093,0.025107,-,0.025403,489
27,0.025412,"May 12, 2018",0.026765,0.024707,-,0.025185,"29,648"
28,0.025259,"May 11, 2018",0.027295,0.025093,-,0.027295,794
29,0.027262,"May 10, 2018",0.028527,0.027219,-,0.027942,732
30,0.027949,"May 09, 2018",0.030032,0.026978,-,0.027597,666
31,0.027639,"May 08, 2018",0.030165,0.023740,-,0.023740,"3,174"
32,0.023723,"May 07, 2018",0.060987,0.022639,-,0.032172,"1,381"
33,0.032149,"May 06, 2018",0.089090,0.027106,-,0.027110,"3,287"
34,0.027091,"May 05, 2018",0.058243,0.026582,-,0.028024,"3,045"
35,0.028037,"May 04, 2018",0.029008,0.026681,-,0.027196,"2,703"
36,0.027207,"May 03, 2018",0.029039,0.024421,-,0.024421,"1,579"
37,0.024420,"May 02, 2018",0.027549,0.024365,-,0.027249,132
38,0.027290,"May 01, 2018",0.028620,0.018539,-,0.027723,"32,299"
39,0.027698,"Apr 30, 2018",0.029079,0.027649,-,0.028105,"2,534"
40,0.028115,"Apr 29, 2018",0.029804,0.027120,-,0.028968,"1,550"
41,0.028980,"Apr 28, 2018",0.029145,0.025573,-,0.025639,"3,885"
