,close,date,high,low,market_cap,open,volume
0,0.000689,"Jun 08, 2018",0.000693,0.000680,874,0.000691,10
1,0.000691,"Jun 07, 2018",0.000692,0.000459,581,0.000459,89
2,0.000459,"Jun 06, 2018",0.000461,0.000450,577,0.000457,3
3,0.000457,"Jun 05, 2018",0.000458,0.000443,569,0.000450,17
4,0.000450,"Jun 04, 2018",0.000601,0.000374,487,0.000385,32
5,0.000385,"Jun 03, 2018",0.000386,0.000384,487,0.000385,73
6,0.000447,"Jun 01, 2018",0.000455,0.000442,568,0.000449,3
7,0.000449,"May 31, 2018",0.000531,0.000446,653,0.000517,3
8,0.000517,"May 30, 2018",0.000529,0.000511,661,0.000523,5
9,0.000522,"May 29, 2018",0.000523,0.000444,630,0.000498,5
10,0.000377,"May 26, 2018",0.000381,0.000370,472,0.000373,9
11,0.000374,"May 25, 2018",0.000536,0.000368,669,0.000529,16
12,0.000528,"May 24, 2018",0.000532,0.000437,571,0.000451,21
13,0.000452,"May 23, 2018",0.000562,0.000448,708,0.000560,4
14,0.000561,"May 22, 2018",0.000668,0.000558,744,0.000589,15
15,0.000589,"May 21, 2018",0.000686,0.000584,863,0.000682,27
16,0.000681,"May 20, 2018",0.000682,0.000492,626,0.000495,106
17,0.000494,"May 19, 2018",0.000494,0.000409,521,0.000412,5
18,0.000412,"May 18, 2018",0.000652,0.000411,715,0.000565,82
19,0.000565,"May 17, 2018",0.000667,0.000562,739,0.000584,10
20,0.000584,"May 16, 2018",0.000584,0.000488,644,0.000509,12
21,0.000509,"May 15, 2018",0.000529,0.000507,663,0.000524,93
22,0.000797,"May 14, 2018",0.000797,0.000749,989,0.000782,90
23,0.000782,"May 13, 2018",0.000788,0.000514,650,0.000514,109
24,0.000537,"May 11, 2018",0.000542,0.000534,686,0.000542,4
25,0.000542,"May 10, 2018",0.000563,0.000541,707,0.000559,4
26,0.000559,"May 09, 2018",0.000561,0.000540,698,0.000552,7
27,0.000553,"May 08, 2018",0.000756,0.000547,948,0.000749,161
28,0.000748,"May 07, 2018",0.000769,0.000737,973,0.000769,30
29,0.000769,"May 06, 2018",0.000794,0.000756,994,0.000786,50
30,0.000786,"May 05, 2018",0.000894,0.000774,981,0.000775,49
31,0.000776,"May 04, 2018",0.000877,0.000669,"1,109",0.000877,391
32,0.000878,"May 03, 2018",0.000882,0.000827,"1,049",0.000830,54
33,0.000830,"May 02, 2018",0.000833,0.000629,804,0.000636,30
34,0.000637,"May 01, 2018",0.000647,0.000621,818,0.000647,1
35,0.000646,"Apr 30, 2018",0.000850,0.000640,832,0.000658,130
36,0.000658,"Apr 29, 2018",0.000935,0.000652,945,0.000748,565
37,0.000748,"Apr 28, 2018",0.000755,0.000711,902,0.000713,561
38,0.000716,"Apr 27, 2018",0.001116,0.000716,"1,411",0.001116,150
39,0.001114,"Apr 26, 2018",0.001241,0.000781,"1,569",0.001241,234
40,0.001231,"Apr 25, 2018",0.001448,0.000728,"1,104",0.000873,"2,676"
41,0.000879,"Apr 24, 2018",0.000879,0.000624,790,0.000625,10
42,0.000624,"Apr 23, 2018",0.000715,0.000530,777,0.000615,977
43,0.000616,"Apr 22, 2018",0.000719,0.000613,903,0.000714,236
44,0.000714,"Apr 21, 2018",0.000717,0.000608,894,0.000707,143
45,0.000707,"Apr 20, 2018",0.000920,0.000507,"1,150",0.000910,177
46,0.000909,"Apr 19, 2018",0.000910,0.000650,826,0.000653,904
47,0.000653,"Apr 18, 2018",0.000731,0.000630,799,0.000632,54
48,0.000631,"Apr 17, 2018",0.000651,0.000629,814,0.000644,68
49,0.000644,"Apr 16, 2018",0.000671,0.000633,844,0.000668,11
50,0.000668,"Apr 15, 2018",0.000813,0.000646,"1,012",0.000800,12
51,0.000799,"Apr 14, 2018",0.000808,0.000557,895,0.000708,306
52,0.000708,"Apr 13, 2018",0.000733,0.000545,701,0.000554,30
53,0.000554,"Apr 12, 2018",0.000795,0.000538,878,0.000695,100
54,0.000696,"Apr 11, 2018",0.000696,0.000613,777,0.000615,48
55,0.000614,"Apr 10, 2018",0.000618,0.000599,769,0.000608,56
56,0.000608,"Apr 09, 2018",0.000608,0.000463,622,0.000492,25
57,0.000491,"Apr 08, 2018",0.000710,0.000483,611,0.000483,82
58,0.000483,"Apr 07, 2018",0.000493,0.000463,586,0.000463,21
59,0.000463,"Apr 06, 2018",0.000685,0.000462,857,0.000678,106
60,0.000681,"Apr 05, 2018",0.000681,0.000526,687,0.000543,34
61,0.000543,"Apr 04, 2018",0.000568,0.000492,656,0.000519,30
62,0.000520,"Apr 03, 2018",0.000749,0.000519,891,0.000705,3
63,0.000704,"Apr 02, 2018",0.000710,0.000678,863,0.000683,23
64,0.000679,"Apr 01, 2018",0.000697,0.000453,789,0.000624,29
65,0.000624,"Mar 31, 2018",0.000648,0.000479,605,0.000479,39
66,0.000479,"Mar 30, 2018",0.000569,0.000462,717,0.000567,37
67,0.000568,"Mar 29, 2018",0.000688,0.000552,803,0.000635,33
68,0.000635,"Mar 28, 2018",0.000810,0.000629,990,0.000783,106
69,0.000791,"Mar 27, 2018",0.000820,0.000776,"1,033",0.000817,14
70,0.000818,"Mar 26, 2018",0.000843,0.000785,"1,066",0.000843,15
71,0.000876,"Mar 24, 2018",0.000895,0.000876,"1,127",0.000891,5
72,0.000878,"Mar 23, 2018",0.000878,0.000669,880,0.000696,7
73,0.000696,"Mar 22, 2018",0.000726,0.000607,900,0.000712,247
74,0.000713,"Mar 21, 2018",0.000891,0.000706,"1,127",0.000891,69
75,0.000938,"Mar 20, 2018",0.000951,0.000918,"1,199",0.000949,28
76,0.000938,"Mar 19, 2018",0.000947,0.000734,"1,139",0.000901,69
77,0.000740,"Mar 18, 2018",0.001014,0.000604,798,0.000631,109
78,0.000632,"Mar 17, 2018",0.000749,0.000620,945,0.000747,3
79,0.000746,"Mar 16, 2018",0.000944,0.000636,836,0.000661,439
80,0.000661,"Mar 15, 2018",0.000757,0.000654,934,0.000739,215
81,0.000739,"Mar 14, 2018",0.001008,0.000720,"1,157",0.000915,217
82,0.000915,"Mar 13, 2018",0.000921,0.000810,"1,030",0.000815,336
83,0.000810,"Mar 12, 2018",0.000890,0.000793,"1,086",0.000859,9
84,0.000862,"Mar 11, 2018",0.000875,0.000687,999,0.000790,270
85,0.000793,"Mar 10, 2018",0.000854,0.000655,"1,054",0.000833,39
86,0.000833,"Mar 09, 2018",0.000837,0.000608,940,0.000743,51
87,0.000748,"Mar 08, 2018",0.000807,0.000725,"1,001",0.000791,4
88,0.000792,"Mar 07, 2018",0.000973,0.000631,813,0.000643,599
89,0.000644,"Mar 06, 2018",0.000991,0.000638,"1,164",0.000920,171
90,0.000923,"Mar 05, 2018",0.001040,0.000914,"1,308",0.001035,194
91,0.001036,"Mar 04, 2018",0.001238,0.001002,"1,447",0.001144,197
92,0.001146,"Mar 03, 2018",0.001365,0.001016,"1,672",0.001322,110
93,0.001324,"Mar 02, 2018",0.001338,0.001213,"1,655",0.001308,57
94,0.001312,"Mar 01, 2018",0.001320,0.001024,"1,306",0.001032,179
95,0.001031,"Feb 28, 2018",0.001434,0.001030,"1,753",0.001386,104
96,0.001388,"Feb 27, 2018",0.001597,0.001163,"1,695",0.001341,209
97,0.001337,"Feb 26, 2018",0.001538,0.001147,"1,455",0.001150,521
98,0.001149,"Feb 25, 2018",0.001555,0.001025,"1,717",0.001357,"1,874"
99,0.001165,"Feb 24, 2018",0.001881,0.001061,"2,181",0.001725,"7,938"
100,0.001727,"Feb 23, 2018",0.002391,0.000983,"1,494",0.001181,"190,390"
101,0.001182,"Feb 22, 2018",0.001677,0.000885,"2,118",0.001675,551
102,0.001676,"Feb 21, 2018",0.001877,0.000984,"1,277",0.001009,"1,623"
103,0.001011,"Feb 20, 2018",0.001058,0.000894,"1,130",0.000894,"1,048"
104,0.000893,"Feb 19, 2018",0.000898,0.000725,919,0.000727,69
105,0.000730,"Feb 18, 2018",0.001015,0.000729,"1,263",0.000998,102
106,0.000995,"Feb 17, 2018",0.001082,0.000848,"1,289",0.001019,343
107,0.001020,"Feb 16, 2018",0.001312,0.000975,"1,659",0.001312,21
108,0.001317,"Feb 15, 2018",0.001446,0.000952,"1,797",0.001421,874
109,0.001420,"Feb 14, 2018",0.001424,0.001021,"1,291",0.001021,100
110,0.001024,"Feb 13, 2018",0.001073,0.001007,"1,350",0.001068,132
111,0.001066,"Feb 12, 2018",0.001221,0.000916,"1,435",0.001135,"1,434"
112,0.001128,"Feb 11, 2018",0.001337,0.000951,"1,297",0.001026,905
113,0.001027,"Feb 10, 2018",0.001358,0.000969,"1,428",0.001130,531
114,0.001129,"Feb 09, 2018",0.001327,0.000980,"1,670",0.001321,23
115,0.001317,"Feb 08, 2018",0.001329,0.000909,"1,149",0.000909,252
116,0.000913,"Feb 07, 2018",0.001370,0.000877,"1,560",0.001233,180
117,0.001246,"Feb 06, 2018",0.001265,0.000713,"1,141",0.000902,40
118,0.000901,"Feb 05, 2018",0.001290,0.000866,"1,454",0.001150,126
119,0.001161,"Feb 04, 2018",0.001572,0.001110,"1,987",0.001572,214
120,0.001571,"Feb 03, 2018",0.001592,0.001148,"1,905",0.001507,310
121,0.001502,"Feb 02, 2018",0.001544,0.001157,"1,952",0.001544,661
122,0.001547,"Feb 01, 2018",0.001839,0.001469,"2,315",0.001831,540
123,0.001826,"Jan 31, 2018",0.002064,0.001570,"2,027",0.001603,116
124,0.001600,"Jan 30, 2018",0.002096,0.001596,"2,549",0.002016,164
125,0.002015,"Jan 29, 2018",0.002288,0.001898,"2,787",0.002204,554
126,0.002206,"Jan 28, 2018",0.002350,0.001851,"2,599",0.002055,"1,609"
127,0.002045,"Jan 27, 2018",0.002250,0.001544,"1,970",0.001558,214
128,0.001559,"Jan 26, 2018",0.002186,0.001515,"2,540",0.002009,739
129,0.002014,"Jan 25, 2018",0.002333,0.001968,"2,742",0.002168,296
130,0.002133,"Jan 24, 2018",0.002253,0.001909,"2,467",0.001951,"3,037"
131,0.001952,"Jan 23, 2018",0.002262,0.001885,"2,465",0.001949,"3,010"
132,0.001954,"Jan 22, 2018",0.003875,0.001607,"2,936",0.002322,"37,682"
133,0.002290,"Jan 21, 2018",0.003107,0.002242,"3,009",0.002380,"3,768"
134,0.002419,"Jan 20, 2018",0.002432,0.002206,"2,791",0.002207,"5,253"
135,0.002183,"Jan 19, 2018",0.002730,0.002113,"2,995",0.002368,"4,741"
136,0.002393,"Jan 18, 2018",0.002868,0.002033,"3,099",0.002451,"3,616"
137,0.002441,"Jan 17, 2018",0.002489,0.001582,"2,889",0.002284,684
138,0.002296,"Jan 16, 2018",0.002784,0.002031,"3,456",0.002733,"7,546"
139,0.002730,"Jan 15, 2018",0.003843,0.002592,"3,462",0.002738,"8,361"
140,0.002758,"Jan 14, 2018",0.003832,0.002653,"3,995",0.003159,"7,644"
141,0.003157,"Jan 13, 2018",0.004007,0.002562,"4,574",0.003618,"4,291"
142,0.003622,"Jan 12, 2018",0.004107,0.002370,"3,072",0.002429,"4,843"
143,0.002413,"Jan 11, 2018",0.005822,0.001342,"6,631",0.005244,"14,401"
144,0.005249,"Jan 10, 2018",0.006108,0.003833,"7,018",0.005550,"7,456"
145,0.005542,"Jan 09, 2018",0.006937,0.002989,"4,380",0.003464,"13,566"
146,0.003473,"Jan 08, 2018",0.006849,0.002976,"4,119",0.003257,"7,973"
147,0.003262,"Jan 07, 2018",0.010645,0.001676,"3,480",0.002752,"9,912"
148,0.002754,"Jan 06, 2018",0.006782,0.001684,"8,376",0.006624,"1,615"
149,0.006618,"Jan 05, 2018",0.006618,0.003526,"5,951",0.004706,394
150,0.004705,"Jan 04, 2018",0.005409,0.003448,"6,732",0.005324,342
151,0.005295,"Jan 03, 2018",0.006185,0.004412,"7,129",0.005638,"2,203"
152,0.005658,"Jan 02, 2018",0.006964,0.002643,"8,536",0.006751,"1,225"
153,0.006751,"Jan 01, 2018",0.013981,0.005546,"17,680",0.013981,558
154,0.013927,"Dec 31, 2017",0.014814,0.007218,"17,685",0.013986,173
155,0.014139,"Dec 30, 2017",0.014312,0.007033,"16,314",0.012901,365
156,0.012934,"Dec 29, 2017",0.013200,0.006705,"8,598",0.006800,347
157,0.006730,"Dec 28, 2017",0.013868,0.006404,"16,285",0.012878,48
158,0.012905,"Dec 27, 2017",0.013993,0.010106,"17,423",0.013778,334
159,0.013768,"Dec 26, 2017",0.014027,0.010082,"12,802",0.010124,307
160,0.010134,"Dec 25, 2017",0.021012,0.009934,"26,318",0.020813,726
161,0.020599,"Dec 24, 2017",0.040234,0.003010,"5,906",0.004671,"7,909"
162,0.004620,"Dec 23, 2017",0.007657,0.004098,"9,067",0.007171,41
163,0.007104,"Dec 22, 2017",0.008232,0.003900,"5,762",0.004557,"1,520"
164,0.004541,"Dec 21, 2017",0.005108,0.001723,"3,012",0.002382,198
165,0.002376,"Dec 20, 2017",0.004793,0.000321,446,0.000352,361
166,0.000353,"Dec 19, 2017",0.006047,0.000353,"7,620",0.006026,35
167,0.006021,"Dec 18, 2017",0.010826,0.001266,"13,689",0.010826,"3,173"
168,0.010793,"Dec 17, 2017",0.011530,0.000458,669,0.000529,"2,528"
169,0.000529,"Dec 16, 2017",0.002164,0.000211,"2,678",0.002118,69
170,0.002115,"Dec 15, 2017",0.002146,0.002092,"2,713",0.002146,1
171,0.001986,"Dec 14, 2017",0.001994,0.000692,885,0.000700,3
172,0.000703,"Dec 13, 2017",0.000823,0.000565,760,0.000601,19
173,0.000601,"Dec 12, 2017",0.001877,0.000168,"1,297",0.001026,36
174,0.001023,"Dec 11, 2017",0.001925,0.001023,"1,746",0.001380,34
175,0.001390,"Dec 10, 2017",0.001417,0.000514,"1,480",0.001171,116
176,0.001166,"Dec 09, 2017",0.001373,0.000851,"1,446",0.001144,107
177,0.001145,"Dec 08, 2017",0.004227,0.001083,"5,267",0.004165,196
178,0.004156,"Dec 07, 2017",0.004156,0.002576,"3,300",0.002610,487
179,0.002614,"Dec 06, 2017",0.003594,0.000764,"2,363",0.001868,58
180,0.001873,"Dec 05, 2017",0.003322,0.001860,"2,948",0.002331,131
181,0.002327,"Dec 04, 2017",0.002327,0.002069,"2,700",0.002135,70
182,0.000234,"Dec 03, 2017",0.000236,0.000217,276,0.000219,12
183,0.000218,"Dec 02, 2017",0.001864,0.000215,"2,306",0.001824,11
184,0.001825,"Dec 01, 2017",0.002540,0.001760,"3,111",0.002460,102
185,0.002473,"Nov 30, 2017",0.003367,0.001377,"3,916",0.003096,97
186,0.003050,"Nov 29, 2017",0.003274,0.002664,"3,390",0.002681,544
187,0.002683,"Nov 28, 2017",0.002691,0.000493,864,0.000683,27
188,0.000681,"Nov 27, 2017",0.001587,0.000379,"1,927",0.001524,19
189,0.001524,"Nov 26, 2017",0.002885,0.000632,"2,476",0.001958,202
190,0.001959,"Nov 25, 2017",0.002923,0.001502,"2,805",0.002218,501
191,0.001557,"Nov 24, 2017",0.001584,0.001182,"1,524",0.001205,3
192,0.001207,"Nov 23, 2017",0.001230,0.000344,"1,017",0.000804,121
193,0.000804,"Nov 22, 2017",0.001574,0.000727,"1,839",0.001454,132
194,0.001451,"Nov 21, 2017",0.001665,0.000601,804,0.000636,210
195,0.000636,"Nov 20, 2017",0.001284,0.000481,"1,619",0.001281,95
196,0.001281,"Nov 19, 2017",0.001532,0.000639,811,0.000641,204
197,0.000642,"Nov 18, 2017",0.001487,0.000489,888,0.000703,617
198,0.000705,"Nov 17, 2017",0.001124,0.000395,"1,389",0.001098,188
199,0.001100,"Nov 16, 2017",0.001120,0.000359,465,0.000368,1
200,0.000366,"Nov 15, 2017",0.000380,0.000212,356,0.000281,285
201,0.000281,"Nov 14, 2017",0.001205,0.000277,"1,073",0.000848,281
202,0.000847,"Nov 13, 2017",0.001512,0.000209,"1,114",0.000881,122
203,0.000879,"Nov 12, 2017",0.000931,0.000166,322,0.000254,23
204,0.000268,"Nov 11, 2017",0.000429,0.000202,524,0.000414,97
205,0.000405,"Nov 10, 2017",0.001838,0.000405,"1,124",0.000889,103
206,0.000886,"Nov 09, 2017",0.001579,0.000143,754,0.000596,"2,032"
207,0.000597,"Nov 08, 2017",0.000597,0.000223,283,0.000224,52
208,0.000225,"Nov 07, 2017",0.000381,0.000212,268,0.000212,256
209,0.000213,"Nov 06, 2017",0.000365,0.000210,374,0.000296,79
210,0.000295,"Nov 05, 2017",0.000381,0.000292,373,0.000295,125
211,0.000296,"Nov 04, 2017",0.000368,0.000289,453,0.000358,103
212,0.000359,"Nov 03, 2017",0.000372,0.000148,362,0.000286,742
213,0.000286,"Nov 02, 2017",0.000314,0.000156,322,0.000254,131
214,0.000254,"Nov 01, 2017",0.000287,0.000129,326,0.000258,52
215,0.000258,"Oct 31, 2017",0.000281,0.000133,243,0.000193,297
216,0.000193,"Oct 30, 2017",0.000862,0.000192,845,0.000671,233
217,0.000675,"Oct 29, 2017",0.000956,0.000566,713,0.000567,205
218,0.000568,"Oct 28, 2017",0.000653,0.000525,804,0.000641,22
219,0.000639,"Oct 27, 2017",0.000702,0.000588,736,0.000589,72
220,0.000589,"Oct 26, 2017",0.000598,0.000402,716,0.000573,32
221,0.000574,"Oct 25, 2017",0.000723,0.000551,894,0.000717,80
222,0.000717,"Oct 24, 2017",0.001132,0.000567,733,0.000590,188
223,0.000591,"Oct 23, 2017",0.000758,0.000582,914,0.000737,33
224,0.000738,"Oct 22, 2017",0.001027,0.000550,"1,250",0.001008,187
225,0.001008,"Oct 21, 2017",0.001167,0.000920,"1,210",0.000977,333
226,0.000979,"Oct 20, 2017",0.002322,0.000927,"1,487",0.001203,502
227,0.001203,"Oct 19, 2017",0.002410,0.000711,886,0.000719,640
228,0.000719,"Oct 18, 2017",0.001594,0.000694,"1,947",0.001582,"1,626"
229,0.001582,"Oct 17, 2017",0.001619,0.001330,"1,709",0.001393,170
230,0.001392,"Oct 16, 2017",0.001996,0.001381,"1,854",0.001511,231
231,0.001511,"Oct 15, 2017",0.002306,0.001228,"2,148",0.001753,"2,186"
232,0.001750,"Oct 14, 2017",0.002787,0.001407,"2,915",0.002384,"4,589"
233,0.002383,"Oct 13, 2017",0.004867,0.002373,"3,791",0.003107,"2,218"
234,0.003097,"Oct 12, 2017",0.007107,0.002015,"3,121",0.002565,"5,156"
235,0.002736,"Oct 11, 2017",0.006705,0.001859,"2,273",0.001873,"3,432"
