,close,date,high,low,market_cap,open,volume
0,0.140848,"Jun 08, 2018",0.144203,0.127975,"49,387,500",0.141107,"13,832,000"
1,0.141000,"Jun 07, 2018",0.159333,0.136981,"51,749,000",0.147854,"13,660,100"
2,0.147718,"Jun 06, 2018",0.154856,0.136294,"54,157,800",0.154737,"13,890,400"
3,0.154778,"Jun 05, 2018",0.167512,0.145884,"58,084,200",0.165955,"12,899,200"
4,0.165875,"Jun 04, 2018",0.184767,0.153908,"64,561,600",0.184462,"14,798,900"
5,0.185097,"Jun 03, 2018",0.185358,0.167887,"63,906,200",0.182589,"8,951,820"
6,0.182540,"Jun 02, 2018",0.183118,0.168343,"59,931,800",0.171234,"9,450,010"
7,0.170471,"Jun 01, 2018",0.171219,0.134116,"47,863,900",0.136754,"20,448,900"
8,0.136654,"May 31, 2018",0.140254,0.120153,"42,420,300",0.121201,"16,548,600"
9,0.121223,"May 30, 2018",0.138400,0.119986,"45,170,300",0.129058,"14,193,600"
10,0.128971,"May 29, 2018",0.140333,0.123007,"46,037,600",0.131536,"15,200,700"
11,0.133954,"May 28, 2018",0.150290,0.125390,"52,592,200",0.150263,"18,450,700"
12,0.150159,"May 27, 2018",0.150223,0.130171,"47,681,600",0.136233,"17,252,000"
13,0.131960,"May 26, 2018",0.142372,0.130672,"46,425,200",0.132643,"8,837,840"
14,0.132818,"May 25, 2018",0.146856,0.131377,"49,584,900",0.141671,"18,732,500"
15,0.141276,"May 24, 2018",0.151916,0.131109,"52,554,100",0.150155,"19,745,400"
16,0.150535,"May 23, 2018",0.175463,0.141114,"59,149,200",0.168998,"21,140,200"
17,0.169173,"May 22, 2018",0.196957,0.142281,"56,212,000",0.160606,"25,733,300"
18,0.160635,"May 21, 2018",0.169576,0.157379,"56,737,300",0.162107,"24,517,700"
19,0.161904,"May 20, 2018",0.170943,0.146858,"51,510,200",0.147172,"13,718,500"
20,0.147062,"May 19, 2018",0.176866,0.147062,"59,267,700",0.169336,"11,257,200"
21,0.169210,"May 18, 2018",0.176469,0.132164,"56,909,800",0.162599,"25,809,000"
22,0.153344,"May 17, 2018",0.164057,0.115217,"50,032,800",0.142951,"25,770,200"
23,0.142819,"May 16, 2018",0.148954,0.101885,"36,210,600",0.103459,"31,318,000"
24,0.103519,"May 15, 2018",0.118188,0.088573,"34,839,000",0.099540,"25,092,700"
25,0.099711,"May 14, 2018",0.107033,0.087793,"34,385,200",0.098243,"27,462,000"
26,0.098261,"May 13, 2018",0.105136,0.089299,"35,166,900",0.100477,"11,195,900"
27,0.100512,"May 12, 2018",0.110469,0.085691,"35,035,500",0.100101,"5,199,920"
28,0.100397,"May 11, 2018",0.103180,0.087390,"36,112,900",0.103180,"22,971,300"
29,0.103056,"May 10, 2018",0.120130,0.099073,"38,671,600",0.110490,"22,150,800"
30,0.110521,"May 09, 2018",0.126128,0.105132,"41,743,000",0.119266,"26,092,700"
31,0.119448,"May 08, 2018",0.130029,0.117425,"42,750,700",0.122145,"30,348,000"
32,0.121886,"May 07, 2018",0.130881,0.105650,"45,808,300",0.130881,"28,231,700"
33,0.130787,"May 06, 2018",0.130787,0.104571,"41,496,700",0.118562,"11,045,300"
34,0.118482,"May 05, 2018",0.132798,0.118427,"45,763,300",0.130752,"7,734,490"
35,0.130814,"May 04, 2018",0.138827,0.118556,"42,295,300",0.120844,"34,401,500"
36,0.120891,"May 03, 2018",0.121453,0.111082,"39,220,400",0.112058,"33,170,100"
37,0.112054,"May 02, 2018",0.114386,0.104911,"37,522,900",0.107208,"30,744,700"
38,0.107370,"May 01, 2018",0.107370,0.075427,"27,608,400",0.078881,"26,259,700"
39,0.078812,"Apr 30, 2018",0.080116,0.066057,"27,662,100",0.079034,"24,735,500"
40,0.079061,"Apr 29, 2018",0.084428,0.077385,"29,156,300",0.083304,"24,164,900"
41,0.083336,"Apr 28, 2018",0.084782,0.080564,"28,269,900",0.080771,"17,255,800"
42,0.081049,"Apr 27, 2018",0.084517,0.081049,"29,482,100",0.084234,"28,652,300"
43,0.084118,"Apr 26, 2018",0.084306,0.076900,"29,085,500",0.083101,"30,338,300"
44,0.082418,"Apr 25, 2018",0.092543,0.081527,"32,390,200",0.092543,"34,390,400"
45,0.093176,"Apr 24, 2018",0.093176,0.082564,"28,927,000",0.082648,"32,589,300"
46,0.082578,"Apr 23, 2018",0.084555,0.080448,"29,571,000",0.084489,"22,359,100"
47,0.084659,"Apr 22, 2018",0.086094,0.076153,"26,933,900",0.076954,"8,895,150"
48,0.076954,"Apr 21, 2018",0.085816,0.072969,"29,765,800",0.085045,"7,199,420"
49,0.085016,"Apr 20, 2018",0.085806,0.074648,"26,143,800",0.074696,"18,225,300"
50,0.074647,"Apr 19, 2018",0.076079,0.070435,"26,479,000",0.075654,"13,078,300"
51,0.075598,"Apr 18, 2018",0.076073,0.072205,"25,432,500",0.072664,"14,214,000"
52,0.072597,"Apr 17, 2018",0.075522,0.072269,"26,364,700",0.075328,"13,323,000"
53,0.075290,"Apr 16, 2018",0.077854,0.065387,"26,860,500",0.076744,"16,267,500"
54,0.076777,"Apr 15, 2018",0.080158,0.070976,"24,841,500",0.070976,"10,226,300"
55,0.070900,"Apr 14, 2018",0.076190,0.070426,"25,182,200",0.071949,"10,451,800"
56,0.071949,"Apr 13, 2018",0.074153,0.066601,"23,567,300",0.067335,"18,080,100"
57,0.067250,"Apr 12, 2018",0.067901,0.055391,"19,879,800",0.056800,"15,849,600"
58,0.056937,"Apr 11, 2018",0.057236,0.055038,"19,263,200",0.055038,"12,820,200"
59,0.054985,"Apr 10, 2018",0.056507,0.050209,"19,587,000",0.055963,"11,994,200"
60,0.055917,"Apr 09, 2018",0.058754,0.054376,-,0.058294,"12,561,800"
61,0.058200,"Apr 08, 2018",0.058850,0.054136,-,0.054136,"8,808,110"
62,0.054087,"Apr 07, 2018",0.058356,0.050789,-,0.055425,"3,067,970"
63,0.055359,"Apr 06, 2018",0.057260,0.054171,-,0.055698,"9,982,710"
64,0.055983,"Apr 05, 2018",0.058965,0.054776,-,0.057284,"9,656,780"
65,0.057259,"Apr 04, 2018",0.062641,0.056738,-,0.062254,"9,092,630"
66,0.062297,"Apr 03, 2018",0.063034,0.056439,-,0.060374,"10,132,100"
67,0.060331,"Apr 02, 2018",0.071434,0.059172,-,0.068128,"12,262,500"
68,0.067794,"Apr 01, 2018",0.077067,0.064518,-,0.075999,"3,658,830"
69,0.076001,"Mar 31, 2018",0.078745,0.074636,-,0.075346,"5,348,860"
70,0.075334,"Mar 30, 2018",0.084786,0.072511,-,0.084383,"10,375,400"
71,0.084594,"Mar 29, 2018",0.097755,0.082010,-,0.097058,"13,994,700"
72,0.096944,"Mar 28, 2018",0.098894,0.087451,-,0.096072,"16,090,000"
73,0.096094,"Mar 27, 2018",0.098953,0.091017,-,0.098117,"17,671,700"
74,0.098345,"Mar 26, 2018",0.106488,0.095227,-,0.105907,"18,529,600"
75,0.105989,"Mar 25, 2018",0.108888,0.102437,-,0.106288,"9,052,280"
76,0.107772,"Mar 24, 2018",0.112038,0.105324,-,0.111494,"13,154,100"
77,0.109893,"Mar 23, 2018",0.109893,0.101884,-,0.109233,"16,145,200"
78,0.109235,"Mar 22, 2018",0.119430,0.106573,-,0.117544,"16,301,200"
79,0.117759,"Mar 21, 2018",0.125990,0.115542,-,0.116577,"19,294,400"
80,0.116366,"Mar 20, 2018",0.118496,0.105912,-,0.114623,"19,749,200"
81,0.113358,"Mar 19, 2018",0.113576,0.105032,-,0.109268,"21,116,300"
82,0.109323,"Mar 18, 2018",0.109546,0.074421,-,0.103593,"8,266,760"
83,0.103846,"Mar 17, 2018",0.112436,0.102876,-,0.111313,"8,880,180"
84,0.111130,"Mar 16, 2018",0.116014,0.105560,-,0.108646,"17,476,500"
85,0.108707,"Mar 15, 2018",0.114766,0.097630,-,0.113254,"17,253,800"
86,0.113305,"Mar 14, 2018",0.125387,0.109873,-,0.121507,"19,055,800"
87,0.121491,"Mar 13, 2018",0.125580,0.116523,-,0.120363,"21,147,200"
88,0.121058,"Mar 12, 2018",0.133745,0.116134,-,0.122537,"22,425,200"
89,0.122924,"Mar 11, 2018",0.128514,0.102188,-,0.117160,"11,441,700"
90,0.117566,"Mar 10, 2018",0.128609,0.116498,-,0.126461,"13,375,800"
91,0.126406,"Mar 09, 2018",0.132878,0.116810,-,0.128627,"16,367,700"
92,0.129446,"Mar 08, 2018",0.137111,0.118351,-,0.133538,"14,119,000"
93,0.133728,"Mar 07, 2018",0.152299,0.130926,-,0.148567,"18,266,800"
94,0.148760,"Mar 06, 2018",0.165216,0.145397,-,0.165216,"16,455,300"
95,0.165674,"Mar 05, 2018",0.168613,0.157995,-,0.164335,"18,380,700"
96,0.166408,"Mar 04, 2018",0.168204,0.160275,-,0.166576,"15,057,900"
97,0.166864,"Mar 03, 2018",0.167773,0.157907,-,0.159988,"17,600,500"
98,0.160184,"Mar 02, 2018",0.166650,0.158895,-,0.160891,"12,508,400"
99,0.161305,"Mar 01, 2018",0.164428,0.149834,-,0.152914,"15,893,400"
100,0.152689,"Feb 28, 2018",0.169677,0.148458,-,0.154757,"14,908,100"
101,0.155907,"Feb 27, 2018",0.169963,0.151534,-,0.163856,"15,321,600"
102,0.163384,"Feb 26, 2018",0.167306,0.139666,-,0.156011,"25,770,900"
103,0.155812,"Feb 25, 2018",0.159973,0.147964,-,0.150436,"12,388,400"
104,0.150664,"Feb 24, 2018",0.179531,0.141782,-,0.175177,"16,205,300"
105,0.175399,"Feb 23, 2018",0.186549,0.166442,-,0.172222,"22,287,000"
