,close,date,high,low,market_cap,open,volume
0,0.072933,"Jun 08, 2018",0.073630,0.069597,-,0.073223,"88,884"
1,0.073135,"Jun 07, 2018",0.077240,0.072284,-,0.076318,"203,290"
2,0.076255,"Jun 06, 2018",0.084745,0.074470,-,0.076298,"223,593"
3,0.076373,"Jun 05, 2018",0.076373,0.069537,-,0.072889,"290,740"
4,0.072871,"Jun 04, 2018",0.077408,0.070477,-,0.077145,"302,396"
5,0.077788,"Jun 03, 2018",0.079901,0.074802,-,0.077071,"820,829"
6,0.077072,"Jun 02, 2018",0.078167,0.074323,-,0.075648,"77,085"
7,0.075675,"Jun 01, 2018",0.077411,0.074438,-,0.076564,"82,420"
8,0.076481,"May 31, 2018",0.080585,0.075543,-,0.079598,"248,473"
9,0.079654,"May 30, 2018",0.081574,0.076637,-,0.079151,"204,416"
10,0.079100,"May 29, 2018",0.083654,0.077853,-,0.082763,"417,391"
11,0.082884,"May 28, 2018",0.087756,0.081685,-,0.085903,"302,512"
12,0.085893,"May 27, 2018",0.088936,0.084462,-,0.088305,"117,362"
13,0.088087,"May 26, 2018",0.096324,0.087120,-,0.096324,"250,159"
14,0.096359,"May 25, 2018",0.097054,0.086109,-,0.096683,"586,124"
15,0.096218,"May 24, 2018",0.102513,0.087472,-,0.092550,"573,300"
16,0.092948,"May 23, 2018",0.103237,0.089324,-,0.102170,"545,059"
17,0.102305,"May 22, 2018",0.108980,0.096212,-,0.103143,"613,958"
18,0.103771,"May 21, 2018",0.119194,0.098230,-,0.111892,"1,697,370"
19,0.111750,"May 20, 2018",0.129498,0.096409,-,0.107764,"635,266"
20,0.107681,"May 19, 2018",0.119648,0.075627,-,0.076226,"1,317,500"
21,0.076235,"May 18, 2018",0.080896,0.073829,-,0.079608,"912,834"
22,0.079581,"May 17, 2018",0.083413,0.061484,-,0.062007,"1,100,720"
23,0.061962,"May 16, 2018",0.062934,0.058878,-,0.061580,"58,655"
24,0.061608,"May 15, 2018",0.067732,0.059730,-,0.061636,"110,190"
25,0.061741,"May 14, 2018",0.063812,0.058234,-,0.063683,"464,947"
26,0.063698,"May 13, 2018",0.064724,0.058455,-,0.063399,"298,992"
27,0.063483,"May 12, 2018",0.066335,0.059107,-,0.065586,"139,848"
28,0.065734,"May 11, 2018",0.073085,0.060812,-,0.073085,"181,414"
29,0.073003,"May 10, 2018",0.083250,0.071300,-,0.081899,"862,785"
30,0.081884,"May 09, 2018",0.082992,0.077116,-,0.080010,"1,065,640"
31,0.080125,"May 08, 2018",0.085060,0.079353,-,0.081408,"379,048"
32,0.081083,"May 07, 2018",0.089161,0.077969,-,0.087432,"763,019"
33,0.087374,"May 06, 2018",0.097562,0.082088,-,0.097073,"1,229,260"
34,0.096749,"May 05, 2018",0.111241,0.091001,-,0.096857,"4,689,900"
35,0.096839,"May 04, 2018",0.096839,0.087273,-,0.094115,"6,200,760"
36,0.094219,"May 03, 2018",0.094428,0.084957,-,0.092055,"3,877,200"
37,0.092054,"May 02, 2018",0.096765,0.090270,-,0.090576,"533,745"
38,0.090726,"May 01, 2018",0.105137,0.090664,-,0.105137,"958,346"
39,0.104865,"Apr 30, 2018",0.119691,0.103022,-,0.119487,"2,932,880"
40,0.118345,"Apr 29, 2018",0.123539,0.100643,-,0.105154,"8,705,190"
41,0.105176,"Apr 28, 2018",0.111318,0.081527,-,0.081909,"5,062,050"
42,0.082434,"Apr 27, 2018",0.086148,0.060585,-,0.062238,"4,659,400"
43,0.062146,"Apr 26, 2018",0.062302,0.058286,-,0.060197,"827,612"
44,0.061774,"Apr 25, 2018",0.065665,0.054049,-,0.065665,"292,517"
