,close,date,high,low,market_cap,open,volume
0,0.104430,"Jun 08, 2018",0.108284,0.102420,"6,731,860",0.108195,"35,071"
1,0.108144,"Jun 07, 2018",0.111901,0.105939,"6,632,600",0.106599,"44,919"
2,0.106553,"Jun 06, 2018",0.113690,0.104573,"7,042,980",0.113194,"73,537"
3,0.113234,"Jun 05, 2018",0.113561,0.100819,"6,468,220",0.103957,"131,204"
4,0.104789,"Jun 04, 2018",0.111364,0.099425,"6,694,080",0.107587,"73,449"
5,0.107570,"Jun 03, 2018",0.112074,0.103664,"6,539,480",0.105102,"75,899"
6,0.104030,"Jun 02, 2018",0.106344,0.100727,"6,267,300",0.100727,"61,907"
7,0.101177,"Jun 01, 2018",0.117485,0.100233,"6,345,300",0.101981,"87,318"
8,0.101934,"May 31, 2018",0.107731,0.099222,"6,448,360",0.103637,"148,965"
9,0.103552,"May 30, 2018",0.122121,0.086941,"7,275,880",0.116937,"316,822"
10,0.116883,"May 29, 2018",0.122301,0.104459,"6,501,510",0.104492,"386,603"
11,0.104536,"May 28, 2018",0.131004,0.102633,"7,985,110",0.128336,"177,367"
12,0.128299,"May 27, 2018",0.132419,0.121548,"7,806,480",0.125465,"269,444"
13,0.125453,"May 26, 2018",0.129853,0.122888,"7,649,610",0.122944,"78,904"
14,0.122983,"May 25, 2018",0.133093,0.121675,"8,206,480",0.131894,"218,288"
15,0.131940,"May 24, 2018",0.144608,0.126679,"8,968,340",0.144138,"351,993"
16,0.145049,"May 23, 2018",0.181885,0.133393,"10,820,100",0.173900,"340,985"
17,0.173956,"May 22, 2018",0.197374,0.140663,"8,858,750",0.142951,"1,069,740"
18,0.143174,"May 21, 2018",0.161709,0.140644,"9,567,830",0.154394,"178,711"
19,0.154238,"May 20, 2018",0.159932,0.139536,"9,260,780",0.149439,"106,304"
20,0.149278,"May 19, 2018",0.169103,0.148458,"9,861,320",0.159130,"491,429"
21,0.159099,"May 18, 2018",0.166878,0.148046,"9,471,190",0.152832,"133,689"
22,0.152757,"May 17, 2018",0.180031,0.144569,"10,234,700",0.165153,"109,821"
23,0.165072,"May 16, 2018",0.184472,0.156175,"11,379,400",0.184472,"169,965"
24,0.184528,"May 15, 2018",0.208356,0.168891,"10,503,000",0.170265,"218,773"
25,0.166597,"May 14, 2018",0.187831,0.153098,"11,442,800",0.185680,"234,771"
26,0.184767,"May 13, 2018",0.193807,0.171829,"11,805,100",0.191730,"49,147"
27,0.191799,"May 12, 2018",0.193788,0.165460,"11,586,200",0.188483,"147,212"
28,0.188851,"May 11, 2018",0.221133,0.185442,"13,593,300",0.221133,"88,601"
29,0.221085,"May 10, 2018",0.242082,0.220747,"14,699,500",0.239129,"129,602"
30,0.239150,"May 09, 2018",0.244200,0.223204,"15,006,600",0.244125,"171,684"
31,0.244341,"May 08, 2018",0.253568,0.227932,"15,248,000",0.248053,"85,894"
32,0.247710,"May 07, 2018",0.268711,0.232577,"16,206,000",0.263637,"122,176"
33,0.264484,"May 06, 2018",0.288985,0.257355,"16,682,500",0.271049,"270,629"
34,0.272135,"May 05, 2018",0.283351,0.254151,"15,659,100",0.254422,"267,630"
35,0.254455,"May 04, 2018",0.260841,0.240977,"15,754,100",0.254354,"129,760"
36,0.254434,"May 03, 2018",0.270797,0.239653,"15,215,200",0.245653,"169,725"
37,0.245649,"May 02, 2018",0.272053,0.232557,"14,579,500",0.235390,"255,874"
38,0.235638,"May 01, 2018",0.243519,0.224731,"14,282,700",0.230597,"211,146"
39,0.230419,"Apr 30, 2018",0.307382,0.229847,"16,360,300",0.264139,"406,631"
40,0.255788,"Apr 29, 2018",0.270812,0.229396,"14,611,200",0.235900,"297,676"
41,0.235691,"Apr 28, 2018",0.250715,0.222288,"14,045,800",0.226771,"234,918"
42,0.227325,"Apr 27, 2018",0.251306,0.227325,"14,713,800",0.237556,"158,871"
43,0.237354,"Apr 26, 2018",0.254145,0.218611,"14,722,000",0.237688,"229,952"
44,0.236472,"Apr 25, 2018",0.276154,0.216033,"17,104,500",0.276154,"186,180"
45,0.277247,"Apr 24, 2018",0.296117,0.239223,"15,497,100",0.250202,"507,580"
46,0.252986,"Apr 23, 2018",0.292368,0.252068,"15,617,900",0.252152,"224,032"
47,0.252271,"Apr 22, 2018",0.345028,0.224346,"14,218,200",0.229554,"585,243"
48,0.230877,"Apr 21, 2018",0.267530,0.210961,"14,867,600",0.240038,"387,328"
49,0.240002,"Apr 20, 2018",0.240534,0.216301,"13,919,700",0.224735,"189,188"
50,0.221155,"Apr 19, 2018",0.227213,0.206966,"13,297,700",0.214693,"118,683"
51,0.213529,"Apr 18, 2018",0.236022,0.202970,"12,943,200",0.208969,"49,262"
52,0.208860,"Apr 17, 2018",0.226975,0.204275,"13,015,300",0.210133,"58,220"
53,0.210062,"Apr 16, 2018",0.225330,0.194667,"13,956,600",0.225330,"71,711"
54,0.225195,"Apr 15, 2018",0.233494,0.201924,"12,542,600",0.202502,"18,445"
55,0.202330,"Apr 14, 2018",0.220446,0.199396,"12,721,700",0.205393,"13,744"
56,0.205107,"Apr 13, 2018",0.234452,0.194934,"12,535,600",0.202389,"61,604"
57,0.202170,"Apr 12, 2018",0.204274,0.161739,"11,901,800",0.192156,"99,803"
58,0.192546,"Apr 11, 2018",0.202386,0.189263,"12,387,900",0.200004,"53,720"
59,0.199803,"Apr 10, 2018",0.201851,0.187749,"12,083,900",0.195097,"35,392"
60,0.194685,"Apr 09, 2018",0.207935,0.188284,"12,179,400",0.196638,"21,236"
61,0.196353,"Apr 08, 2018",0.210094,0.193971,"12,018,700",0.194044,"19,904"
62,0.193915,"Apr 07, 2018",0.208131,0.186986,"12,223,000",0.197342,"29,239"
63,0.197173,"Apr 06, 2018",0.208876,0.190439,"12,692,100",0.204915,"20,256"
64,0.205487,"Apr 05, 2018",0.219137,0.199538,"12,966,400",0.209345,"44,472"
65,0.215818,"Apr 04, 2018",0.227584,0.183652,"13,157,000",0.212421,"111,481"
66,0.212485,"Apr 03, 2018",0.222734,0.202908,"13,549,300",0.218754,"33,696"
67,0.218598,"Apr 02, 2018",0.219447,0.184017,"11,699,800",0.188894,"31,926"
68,0.188058,"Apr 01, 2018",0.194213,0.178868,"11,573,900",0.186862,"17,516"
69,0.186849,"Mar 31, 2018",0.264250,0.172851,"10,706,100",0.172851,"66,802"
70,0.173565,"Mar 30, 2018",0.185420,0.160270,"11,195,900",0.180759,"43,155"
71,0.181065,"Mar 29, 2018",0.229206,0.181030,"14,071,500",0.227187,"94,329"
72,0.226412,"Mar 28, 2018",0.234807,0.199640,"12,764,800",0.206088,"53,524"
73,0.206100,"Mar 27, 2018",0.246859,0.206100,"15,135,300",0.244361,"137,667"
74,0.244663,"Mar 26, 2018",0.296309,0.197342,"12,776,900",0.206284,"323,140"
75,0.195747,"Mar 25, 2018",0.234009,0.193838,"12,516,900",0.202083,"83,664"
76,0.203773,"Mar 24, 2018",0.229003,0.195563,"13,974,400",0.225615,"72,517"
77,0.222600,"Mar 23, 2018",0.233522,0.192285,"13,515,900",0.218213,"61,845"
78,0.218199,"Mar 22, 2018",0.243749,0.215116,"14,265,900",0.230321,"55,159"
79,0.230470,"Mar 21, 2018",0.247194,0.217052,"13,938,100",0.225029,"53,331"
80,0.224637,"Mar 20, 2018",0.233300,0.212964,"13,814,600",0.223035,"84,072"
81,0.220990,"Mar 19, 2018",0.225279,0.192974,"12,893,500",0.208164,"57,641"
82,0.208942,"Mar 18, 2018",0.216214,0.163138,"13,331,800",0.215240,"75,419"
83,0.220987,"Mar 17, 2018",0.228177,0.200658,"13,888,300",0.224225,"14,118"
84,0.224001,"Mar 16, 2018",0.252343,0.219211,"14,248,600",0.230042,"68,615"
85,0.230181,"Mar 15, 2018",0.244739,0.211191,"14,565,600",0.235160,"36,312"
86,0.232756,"Mar 14, 2018",0.348065,0.226190,"18,205,300",0.293920,"89,326"
87,0.296201,"Mar 13, 2018",0.318052,0.283745,"18,703,000",0.301955,"40,674"
88,0.303149,"Mar 12, 2018",0.325119,0.284896,"17,682,800",0.285484,"71,649"
89,0.285873,"Mar 11, 2018",0.328568,0.269169,"16,948,200",0.272640,"54,032"
90,0.273539,"Mar 10, 2018",0.330416,0.266449,"17,824,500",0.286737,"117,229"
91,0.289379,"Mar 09, 2018",0.294939,0.218038,"15,661,300",0.251937,"118,855"
92,0.251625,"Mar 08, 2018",0.264905,0.225038,"15,595,900",0.250885,"79,173"
93,0.251179,"Mar 07, 2018",0.304732,0.229001,"18,729,000",0.301287,"240,832"
