,close,date,high,low,market_cap,open,volume
0,0.196053,"Jun 08, 2018",0.207861,0.153375,"19,589,600",0.178638,"88,674"
1,0.178478,"Jun 07, 2018",0.233386,0.127438,"13,974,900",0.127438,"227,111"
2,0.127423,"Jun 06, 2018",0.258521,0.115290,"13,396,300",0.122161,"56,293"
3,0.122209,"Jun 05, 2018",0.129306,0.119690,"14,026,100",0.127905,"37,219"
4,0.127837,"Jun 04, 2018",0.135255,0.118860,"14,529,700",0.132497,"46,202"
5,0.132492,"Jun 03, 2018",0.139081,0.127525,"14,090,100",0.128488,"11,309"
6,0.128495,"Jun 02, 2018",0.135270,0.126270,"14,237,100",0.129829,"6,289"
7,0.129884,"Jun 01, 2018",0.130004,0.117189,"13,646,300",0.124441,"21,750"
8,0.124338,"May 31, 2018",0.132144,0.110124,"13,502,800",0.123132,"24,965"
9,0.120354,"May 30, 2018",0.126316,0.118604,"13,405,300",0.122243,"4,539"
10,0.122163,"May 29, 2018",0.138542,0.111709,"12,514,400",0.114119,"16,592"
11,0.114189,"May 28, 2018",0.117551,0.110308,"12,804,600",0.116765,"14,946"
12,0.116741,"May 27, 2018",0.122124,0.107607,"12,230,100",0.111526,"29,985"
13,0.111470,"May 26, 2018",0.140548,0.108554,"13,870,200",0.126483,"36,240"
14,0.126595,"May 25, 2018",0.132438,0.117962,"14,103,200",0.128607,"44,911"
15,0.128370,"May 24, 2018",0.141763,0.124591,"14,202,000",0.129508,"41,336"
16,0.129860,"May 23, 2018",0.142965,0.115844,"15,450,100",0.140890,"46,545"
17,0.141054,"May 22, 2018",0.157231,0.140202,"16,349,900",0.149096,"44,161"
18,0.149331,"May 21, 2018",0.168042,0.132959,"18,077,800",0.164852,"169,014"
19,0.164613,"May 20, 2018",0.167241,0.151051,"17,445,400",0.159085,"29,587"
20,0.158966,"May 19, 2018",0.174787,0.134851,"17,063,800",0.155605,"133,403"
21,0.155577,"May 18, 2018",0.161339,0.143767,"16,422,800",0.149760,"100,072"
22,0.148122,"May 17, 2018",0.182205,0.127739,"17,235,600",0.157279,"462,970"
23,0.157179,"May 16, 2018",0.336810,0.099258,"32,030,300",0.292286,"860,491"
24,0.293705,"May 15, 2018",0.368937,0.282821,"32,329,600",0.296272,"204,080"
25,0.296774,"May 14, 2018",0.303832,0.273477,"32,844,300",0.300990,"76,189"
26,0.303221,"May 13, 2018",0.312316,0.285356,"33,767,900",0.309453,"89,608"
27,0.309639,"May 12, 2018",0.316242,0.263161,"31,828,800",0.292462,"140,090"
28,0.293260,"May 11, 2018",0.354596,0.274725,"37,931,300",0.348535,"176,136"
29,0.358437,"May 10, 2018",0.373194,0.344194,"39,583,300",0.363715,"147,167"
30,0.363805,"May 09, 2018",0.381876,0.318129,"38,102,200",0.350104,"128,271"
31,0.349765,"May 08, 2018",0.401536,0.280129,"42,048,400",0.386364,"233,202"
32,0.386238,"May 07, 2018",0.391112,0.358335,"41,390,000",0.380314,"106,850"
33,0.379149,"May 06, 2018",0.403010,0.331162,"41,101,400",0.377662,"127,600"
34,0.377407,"May 05, 2018",0.398243,0.325538,"41,679,300",0.383918,"239,570"
35,0.384062,"May 04, 2018",0.514579,0.351969,"48,948,000",0.450871,"541,394"
36,0.451105,"May 03, 2018",0.460284,0.404127,"45,730,100",0.421230,"222,316"
37,0.421216,"May 02, 2018",0.436193,0.398826,"45,871,200",0.422530,"157,597"
38,0.428284,"May 01, 2018",0.447808,0.389538,"48,036,600",0.442476,"270,613"
39,0.441090,"Apr 30, 2018",0.459467,0.411826,"48,169,200",0.446142,"186,488"
40,0.437874,"Apr 29, 2018",0.458333,0.393282,"45,869,500",0.424843,"238,521"
41,0.423304,"Apr 28, 2018",0.459781,0.402994,"45,926,900",0.427258,"160,332"
42,0.428582,"Apr 27, 2018",0.473648,0.428582,"49,478,700",0.460300,"122,481"
43,0.459628,"Apr 26, 2018",0.461603,0.382403,"45,039,000",0.418998,"136,492"
44,0.415417,"Apr 25, 2018",0.614107,0.410926,"51,036,900",0.474796,"164,867"
45,0.477761,"Apr 24, 2018",0.503873,0.442134,"52,323,700",0.486768,"257,056"
46,0.486403,"Apr 23, 2018",0.534635,0.383485,"41,258,300",0.383826,"204,889"
47,0.384513,"Apr 22, 2018",0.521854,0.384513,"55,865,100",0.519713,"115,714"
48,0.519716,"Apr 21, 2018",0.562153,0.497679,"56,507,700",0.525691,"125,702"
49,0.525611,"Apr 20, 2018",0.551579,0.473227,"50,895,300",0.473479,"138,198"
50,0.473260,"Apr 19, 2018",0.486590,0.440110,"48,878,400",0.454716,"80,316"
51,0.452816,"Apr 18, 2018",0.460341,0.427832,"47,096,400",0.438138,"118,947"
52,0.438433,"Apr 17, 2018",0.478820,0.425899,"50,928,400",0.473787,"159,339"
53,0.473608,"Apr 16, 2018",0.483014,0.435200,"47,593,600",0.442763,"94,963"
54,0.442906,"Apr 15, 2018",0.493431,0.413466,"44,444,400",0.413466,"75,917"
55,0.411323,"Apr 14, 2018",0.483369,0.410024,"50,007,200",0.465217,"49,409"
56,0.465891,"Apr 13, 2018",0.523509,0.465815,"52,546,900",0.488844,"117,233"
57,0.488160,"Apr 12, 2018",0.510264,0.419718,"46,520,800",0.432783,"154,385"
58,0.434353,"Apr 11, 2018",0.447393,0.410053,"44,997,100",0.418608,"122,230"
59,0.418150,"Apr 10, 2018",0.455185,0.412374,"48,190,700",0.448318,"58,099"
60,0.447098,"Apr 09, 2018",0.460710,0.424303,"47,919,600",0.445796,"80,535"
61,0.445037,"Apr 08, 2018",0.447936,0.434432,"47,189,800",0.439007,"34,483"
62,0.438763,"Apr 07, 2018",0.452489,0.410766,"44,759,600",0.416398,"47,169"
63,0.416069,"Apr 06, 2018",0.432880,0.406086,"45,057,700",0.419171,"64,871"
64,0.421162,"Apr 05, 2018",0.441447,0.415357,"47,257,100",0.439633,"45,404"
65,0.435194,"Apr 04, 2018",0.459071,0.415548,"49,342,500",0.459034,"75,828"
66,0.459219,"Apr 03, 2018",0.467166,0.421112,"45,515,000",0.423426,"86,025"
67,0.423089,"Apr 02, 2018",0.442965,0.411034,"44,459,200",0.413604,"37,782"
68,0.411682,"Apr 01, 2018",0.451086,0.398025,"46,466,100",0.432274,"74,167"
69,0.432265,"Mar 31, 2018",0.464533,0.417810,"44,909,300",0.417810,"81,535"
70,0.429704,"Mar 30, 2018",0.456940,0.386178,"44,144,500",0.410695,"115,601"
71,0.411958,"Mar 29, 2018",0.480616,0.398669,"51,244,100",0.476745,"169,999"
72,0.476144,"Mar 28, 2018",0.511514,0.457560,"53,097,900",0.493992,"102,913"
73,0.494057,"Mar 27, 2018",0.528716,0.493350,"56,049,600",0.521454,"79,370"
74,0.522261,"Mar 26, 2018",0.544268,0.500688,"58,062,600",0.540420,"132,745"
75,0.530376,"Mar 25, 2018",0.560458,0.526062,"57,266,800",0.533012,"55,551"
76,0.540135,"Mar 24, 2018",0.771091,0.498715,"61,434,700",0.572338,"183,168"
77,0.575862,"Mar 23, 2018",0.581541,0.538963,"62,379,300",0.581138,"76,665"
78,0.581158,"Mar 22, 2018",0.602595,0.556436,"62,484,500",0.582119,"79,567"
79,0.582095,"Mar 21, 2018",0.622975,0.560677,"62,480,500",0.582081,"85,219"
80,0.580734,"Mar 20, 2018",0.599070,0.492861,"63,878,100",0.595101,"250,658"
81,0.603922,"Mar 19, 2018",0.655720,0.563929,"61,639,400",0.574939,"98,063"
82,0.574737,"Mar 18, 2018",0.587088,0.508949,"61,015,300",0.569117,"192,731"
83,0.570392,"Mar 17, 2018",0.593722,0.552790,"62,525,700",0.584378,"101,142"
84,0.583462,"Mar 16, 2018",0.614194,0.542711,"60,564,200",0.566939,"169,187"
85,0.581078,"Mar 15, 2018",0.586615,0.502408,"59,266,900",0.553794,"180,278"
86,0.556093,"Mar 14, 2018",0.627403,0.526897,"64,099,200",0.598947,"170,437"
87,0.598824,"Mar 13, 2018",0.635503,0.569878,"64,333,000",0.601131,"100,375"
88,0.604220,"Mar 12, 2018",0.634450,0.544922,"63,197,500",0.590522,"146,953"
89,0.592968,"Mar 11, 2018",0.636006,0.562526,"61,241,300",0.580162,"158,995"
90,0.582890,"Mar 10, 2018",0.644629,0.581246,"64,322,600",0.610075,"131,642"
91,0.610633,"Mar 09, 2018",0.685322,0.535358,"68,293,200",0.647734,"265,736"
92,0.647364,"Mar 08, 2018",0.755035,0.530160,"58,123,200",0.556655,"415,144"
93,0.556506,"Mar 07, 2018",0.609418,0.525020,"62,605,600",0.599584,"271,314"
94,0.597608,"Mar 06, 2018",0.660264,0.556574,-,0.627073,"321,976"
95,0.625978,"Mar 05, 2018",0.856229,0.527818,-,0.674349,"340,599"
96,0.674693,"Mar 04, 2018",0.720832,0.572858,-,0.694721,"290,312"
97,0.694789,"Mar 03, 2018",0.793195,0.669214,-,0.771315,"305,447"
98,0.772217,"Mar 02, 2018",0.809940,0.717649,-,0.794577,"200,320"
99,0.802992,"Mar 01, 2018",0.849629,0.751023,-,0.760542,"275,021"
100,0.759481,"Feb 28, 2018",0.830832,0.753125,-,0.811256,"195,243"
101,0.812000,"Feb 27, 2018",1.48,0.764967,-,0.771848,"376,538"
102,0.769643,"Feb 26, 2018",0.800241,0.677869,-,0.692025,"384,379"
103,0.687089,"Feb 25, 2018",0.745931,0.678469,-,0.734313,"195,224"
104,0.735667,"Feb 24, 2018",0.786031,0.703033,-,0.773138,"205,678"
105,0.774022,"Feb 23, 2018",0.796118,0.731218,-,0.754247,"270,901"
106,0.755051,"Feb 22, 2018",0.871699,0.717009,-,0.817780,"337,557"
107,0.818769,"Feb 21, 2018",0.862629,0.774205,-,0.846827,"476,673"
108,0.850094,"Feb 20, 2018",0.993312,0.829307,-,0.946551,"607,818"
109,0.945557,"Feb 19, 2018",0.971738,0.745955,-,0.752443,"768,110"
110,0.751551,"Feb 18, 2018",0.938520,0.736956,-,0.922858,"491,248"
111,0.921476,"Feb 17, 2018",1.25,0.862128,-,1.06,"659,604"
112,1.05,"Feb 16, 2018",1.19,0.801832,-,0.986097,"1,466,600"
113,0.964253,"Feb 15, 2018",0.964253,0.954825,-,0.955503,"168,394"
