,close,date,high,low,market_cap,open,volume
0,0.143172,"Jun 08, 2018",0.156746,0.142722,"102,107,000",0.154531,"708,285"
1,0.154371,"Jun 07, 2018",0.156531,0.145657,"96,840,000",0.146560,"712,140"
2,0.146780,"Jun 06, 2018",0.164129,0.143882,"100,738,000",0.152459,"608,561"
3,0.154023,"Jun 05, 2018",0.155890,0.139915,"98,666,600",0.149324,"869,728"
4,0.149694,"Jun 04, 2018",0.160490,0.146084,"105,417,000",0.159540,"787,307"
5,0.159322,"Jun 03, 2018",0.172507,0.158896,"112,874,000",0.170826,"1,287,520"
6,0.172120,"Jun 02, 2018",0.183974,0.159884,"106,761,000",0.161575,"1,791,780"
7,0.160271,"Jun 01, 2018",0.174174,0.149735,"102,786,000",0.155558,"2,093,400"
8,0.153962,"May 31, 2018",0.154539,0.130993,"88,229,900",0.133529,"2,545,670"
9,0.134224,"May 30, 2018",0.144517,0.130447,"95,055,700",0.143859,"4,264,630"
10,0.143743,"May 29, 2018",0.147316,0.132164,"93,210,900",0.141067,"3,625,380"
11,0.141549,"May 28, 2018",0.164954,0.141549,"106,339,000",0.160936,"2,648,490"
12,0.161017,"May 27, 2018",0.174023,0.157785,"114,987,000",0.174023,"4,107,430"
13,0.174607,"May 26, 2018",0.190634,0.170097,"117,465,000",0.177773,"10,347,200"
14,0.177947,"May 25, 2018",0.180541,0.165352,"114,615,000",0.173461,"2,932,290"
15,0.173306,"May 24, 2018",0.184705,0.166084,"110,725,000",0.167574,"5,715,880"
16,0.168749,"May 23, 2018",0.216443,0.165910,"125,794,000",0.190380,"19,658,300"
17,0.191336,"May 22, 2018",0.219745,0.189104,"141,779,000",0.214572,"2,029,070"
18,0.214825,"May 21, 2018",0.241926,0.213180,-,0.226437,"3,805,510"
19,0.226341,"May 20, 2018",0.226341,0.210510,-,0.216740,"3,140,830"
20,0.216577,"May 19, 2018",0.224103,0.210419,-,0.218262,"2,032,820"
21,0.217469,"May 18, 2018",0.219306,0.207028,-,0.215946,"2,895,030"
22,0.215503,"May 17, 2018",0.245897,0.210365,-,0.232642,"3,646,250"
23,0.233961,"May 16, 2018",0.241825,0.185561,-,0.217584,"7,030,210"
24,0.218121,"May 15, 2018",0.260594,0.201283,-,0.249830,"6,932,290"
25,0.250187,"May 14, 2018",0.272870,0.201682,-,0.212313,"11,945,400"
26,0.215055,"May 13, 2018",0.230811,0.150058,-,0.150614,"6,385,930"
27,0.151007,"May 12, 2018",0.161976,0.134124,-,0.160520,"2,889,750"
28,0.161522,"May 11, 2018",0.182091,0.154156,-,0.182091,"3,250,100"
29,0.181763,"May 10, 2018",0.226594,0.169813,-,0.226594,"7,087,660"
30,0.223711,"May 09, 2018",0.232601,0.169508,-,0.193823,"9,908,350"
31,0.194411,"May 08, 2018",0.200329,0.133180,-,0.133180,"6,659,490"
32,0.132408,"May 07, 2018",0.136257,0.101959,-,0.115203,"2,197,860"
33,0.113014,"May 06, 2018",0.142447,0.096189,-,0.139950,"2,663,050"
34,0.140273,"May 05, 2018",0.169062,0.138694,-,0.155722,"1,489,980"
35,0.150754,"May 04, 2018",0.192394,0.139307,-,0.182643,"2,708,460"
36,0.183044,"May 03, 2018",0.195590,0.154132,-,0.162625,"4,502,860"
37,0.163341,"May 02, 2018",0.177692,0.118066,-,0.118217,"4,088,720"
38,0.119856,"May 01, 2018",0.120644,0.096076,-,0.105582,"2,730,830"
39,0.107845,"Apr 30, 2018",0.155849,0.086304,-,0.124106,"2,736,410"
40,0.128054,"Apr 29, 2018",0.146962,0.106719,-,0.140728,"1,510,930"
41,0.145069,"Apr 28, 2018",0.173825,0.135655,-,0.136956,"2,032,520"
42,0.146756,"Apr 27, 2018",0.192538,0.145718,-,0.184284,"486,382"
43,0.184778,"Apr 26, 2018",0.189288,0.154317,-,0.155491,"869,192"
44,0.153980,"Apr 25, 2018",0.209177,0.150703,-,0.209177,"930,920"
45,0.205309,"Apr 24, 2018",0.205373,0.124276,-,0.124276,"1,749,050"
46,0.124272,"Apr 23, 2018",0.124272,0.085556,-,0.091078,"755,586"
47,0.091417,"Apr 22, 2018",0.097382,0.089926,-,0.094673,"548,223"
48,0.094975,"Apr 21, 2018",0.103919,0.088715,-,0.103845,"483,042"
49,0.103913,"Apr 20, 2018",0.105045,0.093580,-,0.097521,"570,841"
50,0.097654,"Apr 19, 2018",0.105127,0.086641,-,0.092692,"861,743"
51,0.093764,"Apr 18, 2018",0.126355,0.063415,-,0.080374,"646,260"
52,0.080335,"Apr 17, 2018",0.100813,0.036837,-,0.036966,"108,048"
