,close,date,high,low,market_cap,open,volume
0,0.000107,"Jun 08, 2018",0.000109,0.000106,"170,196",0.000108,4
1,0.000108,"Jun 07, 2018",0.000123,0.000106,"167,963",0.000107,5
2,0.000107,"Jun 06, 2018",0.000135,0.000105,"210,395",0.000134,51
3,0.000134,"Jun 05, 2018",0.000135,0.000097,"151,996",0.000097,136
4,0.000097,"Jun 04, 2018",0.000149,0.000095,"231,504",0.000147,280
5,0.000147,"Jun 03, 2018",0.000148,0.000118,"186,255",0.000118,231
6,0.000118,"Jun 02, 2018",0.000177,0.000116,"183,309",0.000116,125
7,0.000116,"Jun 01, 2018",0.000200,0.000112,"176,435",0.000112,120
8,0.000112,"May 31, 2018",0.000168,0.000110,"224,235",0.000142,266
9,0.000143,"May 30, 2018",0.000152,0.000139,"231,403",0.000147,230
10,0.000147,"May 29, 2018",0.000149,0.000100,"225,476",0.000143,51
11,0.000134,"May 28, 2018",0.000214,0.000123,"250,678",0.000159,648
12,0.000159,"May 27, 2018",0.000181,0.000104,"284,837",0.000181,"1,009"
13,0.000181,"May 26, 2018",0.000181,0.000088,"140,008",0.000089,880
14,0.000089,"May 25, 2018",0.000157,0.000087,"214,841",0.000136,"1,357"
15,0.000136,"May 24, 2018",0.000155,0.000119,"231,131",0.000147,176
16,0.000147,"May 23, 2018",0.003108,0.000146,"4,852,800",0.003082,"26,673"
17,0.002801,"May 22, 2018",0.002811,0.000118,"221,021",0.000140,166
18,0.000141,"May 21, 2018",0.001391,0.000139,"2,181,830",0.001386,350
19,0.001384,"May 20, 2018",0.001384,0.000117,"219,191",0.000139,"20,606"
20,0.000166,"May 19, 2018",0.000169,0.000097,"265,832",0.000169,320
21,0.000169,"May 18, 2018",0.000177,0.000132,"211,157",0.000134,140
22,0.000134,"May 17, 2018",0.000144,0.000133,"222,591",0.000141,208
23,0.000141,"May 16, 2018",0.001234,0.000141,"386,497",0.000245,"1,080"
24,0.000245,"May 15, 2018",0.000264,0.000175,"409,801",0.000260,"5,654"
25,0.000261,"May 14, 2018",0.000266,0.000167,"273,699",0.000174,10
26,0.000174,"May 13, 2018",0.000260,0.000167,"266,689",0.000169,34
27,0.000169,"May 12, 2018",0.000259,0.000169,"396,595",0.000252,602
28,0.000253,"May 11, 2018",0.000263,0.000174,"284,649",0.000181,61
29,0.000181,"May 10, 2018",0.000282,0.000180,"440,007",0.000279,"3,431"
30,0.000279,"May 09, 2018",0.000280,0.000270,"434,580",0.000276,938
31,0.000276,"May 08, 2018",0.000284,0.000272,"442,512",0.000281,"4,617"
32,0.000280,"May 07, 2018",0.000282,0.000184,"302,781",0.000192,511
33,0.000192,"May 06, 2018",0.000298,0.000190,"464,328",0.000295,104
34,0.000295,"May 05, 2018",0.000296,0.000290,"457,901",0.000291,205
35,0.000291,"May 04, 2018",0.000293,0.000287,"460,501",0.000292,13
36,0.000293,"May 03, 2018",0.000294,0.000184,"290,357",0.000184,69
37,0.000184,"May 02, 2018",0.000185,0.000180,"286,077",0.000182,6
38,0.000182,"May 01, 2018",0.000277,0.000177,"436,557",0.000277,241
39,0.000277,"Apr 30, 2018",0.000283,0.000274,"444,149",0.000282,111
40,0.000282,"Apr 29, 2018",0.000346,0.000279,"532,867",0.000338,"1,039"
41,0.000338,"Apr 28, 2018",0.000362,0.000324,"510,393",0.000324,"4,591"
42,0.000327,"Apr 27, 2018",0.000389,0.000310,"495,120",0.000314,"3,294"
43,0.000314,"Apr 26, 2018",0.000413,0.000307,"642,779",0.000408,"2,188"
44,0.000404,"Apr 25, 2018",0.000451,0.000352,"710,227",0.000451,"1,802"
45,0.000451,"Apr 24, 2018",0.000540,0.000364,"573,207",0.000364,"15,977"
46,0.000364,"Apr 23, 2018",0.000459,0.000334,"554,180",0.000352,"7,576"
47,0.000353,"Apr 22, 2018",0.000465,0.000290,"483,435",0.000307,"11,877"
48,0.000307,"Apr 21, 2018",0.000311,0.000257,"420,060",0.000267,"2,965"
49,0.000267,"Apr 20, 2018",0.000299,0.000244,"428,052",0.000272,"2,842"
50,0.000283,"Apr 19, 2018",0.000529,0.000252,"768,498",0.000488,"1,195"
51,0.000488,"Apr 18, 2018",0.000499,0.000216,"362,850",0.000230,"8,957"
52,0.000230,"Apr 17, 2018",0.000248,0.000216,"386,664",0.000246,"1,431"
53,0.000246,"Apr 16, 2018",0.000247,0.000216,"380,358",0.000242,"2,855"
54,0.000241,"Apr 15, 2018",0.000275,0.000239,"384,049",0.000244,372
55,0.000244,"Apr 14, 2018",0.000316,0.000235,"387,536",0.000246,"9,710"
56,0.000246,"Apr 13, 2018",0.000263,0.000225,"396,531",0.000252,"2,770"
57,0.000251,"Apr 12, 2018",0.000266,0.000201,"376,377",0.000239,"4,240"
58,0.000240,"Apr 11, 2018",0.000243,0.000191,"380,390",0.000242,"7,559"
59,0.000241,"Apr 10, 2018",0.001813,0.000213,"357,122",0.000227,"4,338"
60,0.000226,"Apr 09, 2018",0.000276,0.000216,"396,382",0.000252,"3,611"
61,0.000251,"Apr 08, 2018",0.000253,0.000232,"365,316",0.000232,"10,732"
62,0.000232,"Apr 07, 2018",0.000246,0.000180,"372,809",0.000237,"5,483"
63,0.000237,"Apr 06, 2018",0.000268,0.000237,"417,504",0.000265,857
64,0.000266,"Apr 05, 2018",0.000278,0.000239,"383,622",0.000244,"2,707"
65,0.000244,"Apr 04, 2018",0.000284,0.000234,"412,818",0.000262,"2,350"
66,0.000262,"Apr 03, 2018",0.000293,0.000250,"396,787",0.000252,"3,616"
67,0.000252,"Apr 02, 2018",0.000424,0.000231,"478,615",0.000304,"6,749"
68,0.000303,"Apr 01, 2018",0.000310,0.000245,"389,088",0.000247,"3,116"
69,0.000247,"Mar 31, 2018",0.000449,0.000247,"462,386",0.000294,"5,913"
70,0.000294,"Mar 30, 2018",0.000311,0.000264,"452,243",0.000287,"6,091"
71,0.000288,"Mar 29, 2018",0.000458,0.000287,"720,757",0.000458,"12,553"
72,0.000457,"Mar 28, 2018",0.000874,0.000279,"510,175",0.000324,"62,023"
73,0.000324,"Mar 27, 2018",0.000333,0.000196,"393,416",0.000250,"11,203"
74,0.000250,"Mar 26, 2018",0.000308,0.000182,"478,480",0.000304,"5,779"
75,0.000305,"Mar 25, 2018",0.000310,0.000245,"411,346",0.000261,"1,781"
76,0.000264,"Mar 24, 2018",0.000276,0.000247,"392,237",0.000249,"3,407"
77,0.000247,"Mar 23, 2018",0.000259,0.000234,"398,250",0.000253,"2,315"
78,0.000255,"Mar 22, 2018",0.000294,0.000244,"449,160",0.000285,"2,238"
79,0.000285,"Mar 21, 2018",0.000294,0.000245,"392,514",0.000249,"5,321"
80,0.000248,"Mar 20, 2018",0.000289,0.000213,"437,021",0.000278,"6,746"
81,0.000275,"Mar 19, 2018",0.000391,0.000169,"298,139",0.000189,"26,933"
82,0.000190,"Mar 18, 2018",0.000223,0.000123,"318,581",0.000202,"15,497"
83,0.000203,"Mar 17, 2018",0.007046,0.000169,"650,933",0.000413,"80,704"
84,0.012531,"Mar 16, 2018",0.012531,0.000244,"453,144",0.000288,"93,066"
85,0.000288,"Mar 15, 2018",0.000307,0.000221,"447,787",0.000284,"8,915"
