,close,date,high,low,market_cap,open,volume
0,0.031095,"Jun 08, 2018",0.032156,0.030380,"5,725,450",0.030659,"5,961"
1,0.030636,"Jun 07, 2018",0.032948,0.030034,"5,610,910",0.030046,"14,649"
2,0.030018,"Jun 06, 2018",0.033825,0.029417,"5,932,550",0.031768,"15,070"
3,0.031777,"Jun 05, 2018",0.032823,0.031645,"5,979,220",0.032018,"18,330"
4,0.032003,"Jun 04, 2018",0.033997,0.031921,"6,196,450",0.033182,"4,993"
5,0.033166,"Jun 03, 2018",0.035801,0.032736,"6,117,750",0.032760,"19,212"
6,0.032751,"Jun 02, 2018",0.034300,0.031394,"6,403,870",0.034292,"12,423"
7,0.034307,"Jun 01, 2018",0.034384,0.030526,"5,755,560",0.030821,"47,001"
8,0.030798,"May 31, 2018",0.032425,0.021682,"5,652,950",0.030271,"32,718"
9,0.030277,"May 30, 2018",0.031329,0.029905,"5,715,270",0.030605,"16,985"
10,0.030584,"May 29, 2018",0.030882,0.028501,"5,322,380",0.028501,"10,943"
11,0.028510,"May 28, 2018",0.029590,0.023764,"5,073,300",0.027167,"4,407"
12,0.027161,"May 27, 2018",0.029411,0.026920,"5,097,520",0.027297,"9,277"
13,0.027285,"May 26, 2018",0.029231,0.027114,"5,173,740",0.027705,"13,781"
14,0.027741,"May 25, 2018",0.029261,0.027223,"5,363,350",0.028720,"14,033"
15,0.028666,"May 24, 2018",0.030897,0.027085,"5,290,230",0.028329,"9,633"
16,0.028400,"May 23, 2018",0.031226,0.028147,"5,682,720",0.030430,"13,389"
17,0.030462,"May 22, 2018",0.033560,0.030197,"5,912,760",0.031662,"10,247"
18,0.031668,"May 21, 2018",0.034793,0.029851,"5,601,690",0.029997,"4,401"
19,0.029959,"May 20, 2018",0.039296,0.029455,"6,707,070",0.035916,"3,939"
20,0.035889,"May 19, 2018",0.036322,0.028997,"5,935,200",0.031782,"16,913"
21,0.031787,"May 18, 2018",0.034422,0.030666,"6,120,990",0.032777,"18,002"
22,0.032747,"May 17, 2018",0.033969,0.031008,"6,125,340",0.032801,"23,889"
23,0.033898,"May 16, 2018",0.033941,0.030334,"6,132,310",0.032838,"17,231"
24,0.032857,"May 15, 2018",0.055590,0.032668,"6,593,910",0.035310,"79,139"
25,0.035371,"May 14, 2018",0.036053,0.032300,"6,387,430",0.034204,129
26,0.034210,"May 13, 2018",0.035722,0.031961,"6,318,170",0.033833,"14,166"
27,0.033845,"May 12, 2018",0.035398,0.031947,"5,976,710",0.032005,"8,989"
28,0.032099,"May 11, 2018",0.037191,0.031888,"6,636,350",0.035537,"7,354"
29,0.035495,"May 10, 2018",0.038038,0.035460,"6,946,560",0.037198,"1,883"
30,0.037209,"May 09, 2018",0.038202,0.036178,"6,988,650",0.037424,"30,505"
31,0.037481,"May 08, 2018",0.040644,0.037095,"7,381,040",0.039525,"33,320"
32,0.039441,"May 07, 2018",0.040451,0.038246,"7,512,040",0.040226,"24,926"
33,0.040198,"May 06, 2018",0.041786,0.039623,"7,744,430",0.041471,"1,226"
34,0.041443,"May 05, 2018",0.044813,0.041209,"8,115,130",0.043456,586
35,0.043477,"May 04, 2018",0.045871,0.040578,"8,502,450",0.045530,"38,531"
36,0.045548,"May 03, 2018",0.046144,0.042748,"8,195,150",0.043884,"30,634"
37,0.043883,"May 02, 2018",0.044389,0.043241,"8,240,640",0.044128,"55,718"
38,0.044194,"May 01, 2018",0.044194,0.035856,"7,917,490",0.042398,"86,416"
39,0.042361,"Apr 30, 2018",0.046052,0.039490,"7,412,490",0.039693,"81,393"
40,0.039707,"Apr 29, 2018",0.050099,0.039634,"8,390,100",0.044928,"71,501"
41,0.044946,"Apr 28, 2018",0.047723,0.037634,"7,291,430",0.039045,"111,356"
42,0.039179,"Apr 27, 2018",0.043407,0.039179,"7,812,930",0.041838,"88,800"
43,0.041780,"Apr 26, 2018",0.041873,0.036623,"7,458,010",0.039937,"78,036"
44,0.039609,"Apr 25, 2018",0.046668,0.039553,"8,673,030",0.046443,"75,489"
45,0.046761,"Apr 24, 2018",0.047576,0.040926,"7,646,090",0.040944,"102,070"
46,0.040909,"Apr 23, 2018",0.044319,0.040660,"7,904,200",0.042326,"120,516"
47,0.042412,"Apr 22, 2018",0.045240,0.040599,"8,193,900",0.043878,"86,634"
48,0.043878,"Apr 21, 2018",0.045480,0.042235,"8,152,920",0.043658,"94,522"
49,0.043643,"Apr 20, 2018",0.044049,0.039648,"7,408,560",0.039672,"60,324"
50,0.039648,"Apr 19, 2018",0.040882,0.036517,"6,949,120",0.037212,"97,503"
51,0.037184,"Apr 18, 2018",0.040855,0.037143,"7,006,890",0.037521,"96,408"
52,0.037487,"Apr 17, 2018",0.041215,0.037352,"7,476,360",0.040035,"83,116"
53,0.040015,"Apr 16, 2018",0.042801,0.038386,"7,636,310",0.040892,"71,160"
54,0.040909,"Apr 15, 2018",0.042994,0.037241,"7,813,270",0.041840,"83,840"
55,0.041795,"Apr 14, 2018",0.043594,0.039984,"7,492,450",0.040121,"81,973"
56,0.040121,"Apr 13, 2018",0.042302,0.039898,"7,630,410",0.040860,"109,701"
57,0.040809,"Apr 12, 2018",0.041022,0.034355,"6,723,960",0.036006,"117,364"
58,0.036094,"Apr 11, 2018",0.037562,0.035641,"6,663,310",0.035681,"84,551"
59,0.035647,"Apr 10, 2018",0.035946,0.033608,"6,323,360",0.033861,"104,872"
60,0.033834,"Apr 09, 2018",0.037028,0.033423,"6,435,760",0.034463,"75,890"
61,0.034407,"Apr 08, 2018",0.036487,0.034175,"6,552,470",0.035088,"94,823"
62,0.035056,"Apr 07, 2018",0.036399,0.033601,"6,498,610",0.034800,"101,797"
63,0.034758,"Apr 06, 2018",0.035248,0.031967,"6,182,070",0.033105,"77,472"
64,0.033274,"Apr 05, 2018",0.037121,0.031635,"6,455,520",0.034569,"95,208"
65,0.034554,"Apr 04, 2018",0.040990,0.034240,"7,479,010",0.040050,"87,751"
66,0.040077,"Apr 03, 2018",0.047045,0.039827,"7,821,880",0.041886,"86,468"
67,0.041856,"Apr 02, 2018",0.043485,0.037437,"7,588,180",0.040634,"11,489"
68,0.040435,"Apr 01, 2018",0.043159,0.037545,"7,958,810",0.042619,"127,148"
69,0.042620,"Mar 31, 2018",0.044649,0.040821,"7,623,070",0.040821,"134,676"
70,0.040815,"Mar 30, 2018",0.046752,0.039959,"8,362,500",0.044781,"112,531"
71,0.044892,"Mar 29, 2018",0.062859,0.044523,"10,058,300",0.053861,"200,752"
72,0.053798,"Mar 28, 2018",0.065393,0.034899,"7,881,420",0.042204,"740,709"
