,close,date,high,low,market_cap,open,volume
0,0.010031,"Jun 08, 2018",0.010413,0.009704,"55,713",0.009920,641
1,0.009912,"Jun 07, 2018",0.010220,0.009896,"55,904",0.009954,237
2,0.009945,"Jun 06, 2018",0.010073,0.009683,"55,664",0.009911,109
3,0.009914,"Jun 05, 2018",0.010084,0.009522,"54,278",0.009664,213
4,0.009660,"Jun 04, 2018",0.010126,0.009644,"56,717",0.010099,541
5,0.010094,"Jun 03, 2018",0.010630,0.009883,"57,072",0.010162,238
6,0.010159,"Jun 02, 2018",0.011502,0.009817,"56,569",0.010072,383
7,0.010077,"Jun 01, 2018",0.010929,0.009501,"54,137",0.009639,673
8,0.009632,"May 31, 2018",0.010644,0.009036,"51,829",0.009228,427
9,0.009230,"May 30, 2018",0.010524,0.009122,"56,872",0.010126,268
10,0.010044,"May 29, 2018",0.010068,0.009012,"50,894",0.009062,214
11,0.009065,"May 28, 2018",0.009759,0.008783,"50,016",0.008905,356
12,0.008903,"May 27, 2018",0.010502,0.008359,"54,158",0.009643,607
13,0.009639,"May 26, 2018",0.011877,0.009587,"58,236",0.010369,363
14,0.010383,"May 25, 2018",0.011680,0.009198,"53,518",0.009529,719
15,0.009511,"May 24, 2018",0.010812,0.009247,"53,967",0.009609,291
16,0.009633,"May 23, 2018",0.011152,0.009478,"62,452",0.011120,333
17,0.011131,"May 22, 2018",0.011867,0.011067,"66,584",0.011855,260
18,0.011858,"May 21, 2018",0.012670,0.011514,"65,623",0.011684,234
19,0.011670,"May 20, 2018",0.012911,0.010652,"61,896",0.011021,"1,257"
20,0.011012,"May 19, 2018",0.012160,0.010909,"63,865",0.011371,247
21,0.011373,"May 18, 2018",0.012490,0.010344,"65,331",0.011632,"3,236"
22,0.011622,"May 17, 2018",0.012577,0.011622,"67,862",0.012083,204
23,0.012076,"May 16, 2018",0.012951,0.011912,"70,617",0.012573,582
24,0.012582,"May 15, 2018",0.013731,0.012381,"72,906",0.012981,341
25,0.013001,"May 14, 2018",0.016423,0.012666,"76,555",0.013631,963
26,0.013629,"May 13, 2018",0.018398,0.012661,"71,417",0.012716,900
27,0.012720,"May 12, 2018",0.019519,0.011735,"74,023",0.013180,"2,031"
28,0.013219,"May 11, 2018",0.014856,0.013219,"83,438",0.014856,169
29,0.014839,"May 10, 2018",0.016164,0.014824,"90,323",0.016082,237
30,0.016087,"May 09, 2018",0.017610,0.015645,"88,346",0.015730,430
31,0.015754,"May 08, 2018",0.016481,0.015707,"91,091",0.016219,134
32,0.016185,"May 07, 2018",0.017856,0.016076,"98,857",0.017602,517
33,0.017589,"May 06, 2018",0.019050,0.016415,"105,997",0.018873,"3,096"
34,0.018860,"May 05, 2018",0.021765,0.018369,"104,508",0.018608,"2,241"
35,0.018617,"May 04, 2018",0.020966,0.015741,"91,480",0.016288,"2,311"
36,0.016294,"May 03, 2018",0.020631,0.016294,"104,421",0.018592,"1,203"
37,0.018592,"May 02, 2018",0.020756,0.016999,"96,501",0.017182,888
38,0.017208,"May 01, 2018",0.018068,0.016686,"101,477",0.018068,"1,404"
39,0.018051,"Apr 30, 2018",0.021736,0.017369,"99,084",0.017642,"2,260"
40,0.017648,"Apr 29, 2018",0.020405,0.016243,"92,902",0.016542,"4,125"
41,0.016548,"Apr 28, 2018",0.017414,0.015608,"87,884",0.015648,244
42,0.015702,"Apr 27, 2018",0.018519,0.015702,"92,145",0.016407,480
43,0.016384,"Apr 26, 2018",0.018548,0.015253,"93,003",0.016559,914
44,0.016423,"Apr 25, 2018",0.018744,0.016400,"102,974",0.018335,405
45,0.018460,"Apr 24, 2018",0.019971,0.016236,"91,228",0.016243,"1,341"
46,0.016230,"Apr 23, 2018",0.016388,0.015921,"89,490",0.015934,185
47,0.015964,"Apr 22, 2018",0.016767,0.015673,"91,237",0.016245,632
48,0.016245,"Apr 21, 2018",0.016800,0.015673,"94,352",0.016800,"1,348"
49,0.016794,"Apr 20, 2018",0.016951,0.014924,"85,975",0.015308,394
50,0.015298,"Apr 19, 2018",0.018562,0.013172,"76,126",0.013554,"2,947"
51,0.013544,"Apr 18, 2018",0.019855,0.011717,"67,714",0.012057,"6,292"
52,0.012045,"Apr 17, 2018",0.013949,0.011887,"70,811",0.012608,"1,438"
53,0.012602,"Apr 16, 2018",0.012636,0.010831,"64,358",0.011459,371
54,0.011464,"Apr 15, 2018",0.015737,0.011390,"69,107",0.012305,"1,598"
55,0.012292,"Apr 14, 2018",0.012819,0.012204,"69,228",0.012326,"1,136"
