,close,date,high,low,market_cap,open,volume
0,0.000256,"Jun 08, 2018",0.000385,0.000241,"6,717,210",0.000309,"4,505"
1,0.000309,"Jun 07, 2018",0.000383,0.000255,"8,158,630",0.000376,"9,807"
2,0.000375,"Jun 06, 2018",0.000378,0.000227,"6,681,520",0.000308,"8,442"
3,0.000308,"Jun 05, 2018",0.000377,0.000223,"7,140,290",0.000329,"8,013"
4,0.000283,"Jun 04, 2018",0.000334,0.000225,"6,629,990",0.000306,"1,637"
5,0.000291,"Jun 03, 2018",0.000381,0.000239,"6,628,940",0.000306,"10,892"
6,0.000306,"Jun 02, 2018",0.000380,0.000232,"6,533,310",0.000301,"5,852"
7,0.000301,"Jun 01, 2018",0.000376,0.000226,"6,497,000",0.000300,"4,511"
8,0.000299,"May 31, 2018",0.000377,0.000233,"6,407,540",0.000296,"3,497"
9,0.000296,"May 30, 2018",0.000360,0.000229,"7,266,580",0.000335,"8,231"
10,0.000335,"May 29, 2018",0.000372,0.000232,"6,951,730",0.000321,"8,359"
11,0.000321,"May 28, 2018",0.000368,0.000225,"7,940,650",0.000367,"3,878"
12,0.000367,"May 27, 2018",0.000368,0.000224,"6,482,560",0.000299,"20,911"
13,0.000363,"May 26, 2018",0.000372,0.000253,"5,499,850",0.000254,"9,565"
14,0.000254,"May 25, 2018",0.000380,0.000251,"7,292,570",0.000337,"19,398"
15,0.000336,"May 24, 2018",0.000381,0.000305,"7,350,870",0.000340,"7,051"
16,0.000341,"May 23, 2018",0.000397,0.000264,"8,497,140",0.000393,"53,458"
17,0.000393,"May 22, 2018",0.000420,0.000321,"9,081,700",0.000420,"6,255"
18,0.000420,"May 21, 2018",0.000428,0.000335,"9,218,250",0.000426,"4,185"
19,0.000426,"May 20, 2018",0.000427,0.000330,"7,360,040",0.000341,"20,665"
20,0.000340,"May 19, 2018",0.000491,0.000334,"8,903,650",0.000412,"12,356"
21,0.000412,"May 18, 2018",0.000481,0.000325,"8,725,110",0.000404,"11,716"
22,0.000404,"May 17, 2018",0.000470,0.000345,"7,578,010",0.000351,"10,203"
23,0.000351,"May 16, 2018",0.000493,0.000343,"9,174,440",0.000425,"14,829"
24,0.000425,"May 15, 2018",0.000460,0.000345,"9,479,090",0.000439,"23,765"
25,0.000380,"May 14, 2018",0.000456,0.000349,"7,968,740",0.000369,"8,345"
26,0.000447,"May 13, 2018",0.000505,0.000348,"10,550,600",0.000489,"10,029"
27,0.000489,"May 12, 2018",0.000513,0.000344,"10,846,000",0.000503,"18,049"
28,0.000504,"May 11, 2018",0.000531,0.000421,"10,178,000",0.000472,"47,573"
29,0.000471,"May 10, 2018",0.000558,0.000460,"11,967,400",0.000555,"15,300"
30,0.000555,"May 09, 2018",0.000559,0.000378,"10,191,900",0.000473,"22,022"
31,0.000473,"May 08, 2018",0.000559,0.000467,"10,217,300",0.000474,"16,784"
32,0.000473,"May 07, 2018",0.000521,0.000380,"11,211,000",0.000520,"27,888"
33,0.000520,"May 06, 2018",0.000527,0.000429,"10,994,700",0.000510,"6,710"
34,0.000510,"May 05, 2018",0.000525,0.000414,"10,482,800",0.000487,"6,237"
35,0.000487,"May 04, 2018",0.000544,0.000408,"9,857,310",0.000458,"33,375"
36,0.000458,"May 03, 2018",0.000494,0.000383,"9,715,740",0.000451,"37,113"
37,0.000451,"May 02, 2018",0.000464,0.000379,"9,851,240",0.000458,"16,146"
38,0.000459,"May 01, 2018",0.000461,0.000361,"8,182,870",0.000380,"8,191"
39,0.000380,"Apr 30, 2018",0.000471,0.000379,"9,809,780",0.000456,"14,183"
40,0.000456,"Apr 29, 2018",0.000470,0.000373,"8,205,710",0.000382,"7,048"
41,0.000382,"Apr 28, 2018",0.000472,0.000370,"9,444,030",0.000439,"13,300"
42,0.000441,"Apr 27, 2018",0.000465,0.000373,"9,964,590",0.000464,"6,268"
