,close,date,high,low,market_cap,open,volume
0,0.041977,"Jun 08, 2018",0.048603,0.041676,"410,802",0.048303,6
1,0.048221,"Jun 07, 2018",0.048786,0.042333,"360,782",0.042422,63
2,0.042435,"Jun 06, 2018",0.048859,0.042327,"413,187",0.048584,38
3,0.048682,"Jun 05, 2018",0.055106,0.042218,"453,243",0.053294,680
4,0.053298,"Jun 04, 2018",0.053903,0.040835,"367,726",0.043238,3
5,0.043304,"Jun 03, 2018",0.056119,0.041388,"352,062",0.041397,44
6,0.041450,"Jun 02, 2018",0.047803,0.041136,"394,023",0.046331,152
7,0.046341,"Jun 01, 2018",0.047117,0.045274,"392,932",0.046202,0
8,0.046103,"May 31, 2018",0.057761,0.044503,"379,926",0.044673,4
9,0.055895,"May 30, 2018",0.057428,0.039418,"335,233",0.039418,176
10,0.053123,"May 28, 2018",0.057484,0.050969,"485,240",0.057056,1
11,0.057059,"May 27, 2018",0.057425,0.051643,"449,503",0.052854,30
12,0.052752,"May 26, 2018",0.054575,0.046545,"447,710",0.052643,2
13,0.052636,"May 25, 2018",0.084342,0.046279,"716,699",0.084272,999
14,0.084181,"May 24, 2018",0.084646,0.044454,"443,674",0.052169,"1,348"
15,0.052404,"May 23, 2018",0.064906,0.051438,"547,308",0.064354,736
16,0.064482,"May 22, 2018",0.069651,0.054310,"533,591",0.062742,54
17,0.062874,"May 21, 2018",0.071776,0.056518,"486,490",0.057203,120
18,0.057129,"May 20, 2018",0.076664,0.055903,"651,074",0.076555,941
19,0.076492,"May 19, 2018",0.096978,0.042272,"526,517",0.061910,"20,385"
20,0.047759,"May 18, 2018",0.047910,0.046160,"399,133",0.046932,35
21,0.046978,"May 17, 2018",0.056982,0.046521,"420,746",0.049473,80
22,0.049414,"May 16, 2018",0.056807,0.048622,"480,674",0.056519,542
23,0.056493,"May 15, 2018",0.066225,0.055693,"556,505",0.065436,341
24,0.065527,"May 14, 2018",0.074082,0.048345,"496,331",0.058360,"2,731"
25,0.058384,"May 13, 2018",0.061967,0.058319,"522,921",0.061487,"1,137"
26,0.061610,"May 12, 2018",0.062198,0.057608,"517,898",0.060896,62
