,close,date,high,low,market_cap,open,volume
0,15.41,"Jun 08, 2018",15.63,15.15,"1,557,700,000",15.25,"131,086,000"
1,15.25,"Jun 07, 2018",15.56,15.13,"1,560,160,000",15.28,"109,763,000"
2,15.25,"Jun 06, 2018",15.65,14.95,"1,587,700,000",15.55,"110,481,000"
3,15.53,"Jun 05, 2018",15.59,14.87,"1,554,270,000",15.23,"124,282,000"
4,15.23,"Jun 04, 2018",16.35,15.14,"1,658,040,000",16.25,"140,177,000"
5,16.25,"Jun 03, 2018",16.40,15.81,"1,612,450,000",15.81,"144,261,000"
6,15.82,"Jun 02, 2018",16.07,15.37,"1,580,780,000",15.50,"143,692,000"
7,15.52,"Jun 01, 2018",15.53,15.14,"1,563,810,000",15.34,"137,170,000"
8,15.31,"May 31, 2018",15.58,15.04,"1,552,140,000",15.23,"122,136,000"
9,15.20,"May 30, 2018",15.50,14.80,"1,559,910,000",15.31,"129,317,000"
10,15.22,"May 29, 2018",15.49,14.33,"1,478,370,000",14.51,"157,135,000"
11,14.40,"May 28, 2018",15.53,14.31,"1,548,150,000",15.20,"147,459,000"
12,15.21,"May 27, 2018",15.35,14.99,"1,555,230,000",15.27,"132,207,000"
13,15.25,"May 26, 2018",15.80,15.03,"1,548,210,000",15.20,"141,441,000"
14,15.19,"May 25, 2018",15.73,14.88,"1,601,760,000",15.73,"141,072,000"
15,15.71,"May 24, 2018",15.73,14.59,"1,518,060,000",14.91,"184,862,000"
16,14.95,"May 23, 2018",16.63,14.65,"1,679,530,000",16.50,"172,594,000"
17,16.47,"May 22, 2018",17.70,16.46,"1,799,190,000",17.68,"133,700,000"
18,17.68,"May 21, 2018",18.23,17.55,"1,851,050,000",18.19,"125,063,000"
19,18.16,"May 20, 2018",18.34,17.52,"1,801,200,000",17.70,"144,931,000"
20,17.70,"May 19, 2018",18.11,17.57,"1,831,250,000",18.00,"148,970,000"
21,18.00,"May 18, 2018",18.12,16.66,"1,722,350,000",16.93,"178,787,000"
22,17.04,"May 17, 2018",18.33,16.83,"1,806,670,000",17.76,"166,820,000"
23,17.76,"May 16, 2018",18.28,17.01,"1,850,440,000",18.20,"204,932,000"
24,18.26,"May 15, 2018",19.93,18.21,"1,907,540,000",18.76,"239,530,000"
25,18.79,"May 14, 2018",19.10,17.56,"1,911,090,000",18.80,"221,006,000"
26,18.73,"May 13, 2018",19.10,17.83,"1,841,880,000",18.12,"201,048,000"
27,18.15,"May 12, 2018",18.49,16.53,"1,807,750,000",17.79,"258,037,000"
28,17.73,"May 11, 2018",19.84,17.18,"2,009,790,000",19.78,"354,950,000"
29,19.74,"May 10, 2018",21.76,19.73,"2,186,100,000",21.51,"225,995,000"
30,21.50,"May 09, 2018",22.43,20.47,"2,278,440,000",22.43,"293,584,000"
31,22.47,"May 08, 2018",23.75,22.17,"2,402,290,000",23.65,"257,409,000"
32,23.64,"May 07, 2018",25.45,22.74,"2,585,240,000",25.45,"411,630,000"
33,25.34,"May 06, 2018",25.80,22.72,"2,309,100,000",22.74,"666,932,000"
34,22.76,"May 05, 2018",23.19,22.33,"2,271,180,000",22.37,"263,167,000"
35,22.40,"May 04, 2018",22.72,21.76,"2,306,220,000",22.72,"299,227,000"
36,22.76,"May 03, 2018",23.43,21.48,"2,196,840,000",21.64,"370,437,000"
37,21.67,"May 02, 2018",21.75,21.09,"2,187,620,000",21.56,"193,015,000"
38,21.58,"May 01, 2018",21.86,20.70,"2,217,660,000",21.86,"210,025,000"
39,21.68,"Apr 30, 2018",22.95,21.42,"2,215,850,000",21.84,"351,049,000"
40,21.83,"Apr 29, 2018",22.26,20.48,"2,202,630,000",21.72,"271,380,000"
41,21.73,"Apr 28, 2018",22.28,20.57,"2,086,050,000",20.57,"246,409,000"
42,20.56,"Apr 27, 2018",21.93,20.24,"2,129,760,000",21.01,"273,598,000"
43,21.06,"Apr 26, 2018",21.54,18.21,"1,885,290,000",18.60,"280,514,000"
44,18.58,"Apr 25, 2018",22.13,18.27,"2,240,520,000",22.11,"358,536,000"
45,22.25,"Apr 24, 2018",22.82,20.46,"2,075,610,000",20.48,"320,566,000"
46,20.48,"Apr 23, 2018",20.75,18.74,"1,901,750,000",18.77,"278,155,000"
47,18.79,"Apr 22, 2018",19.40,18.30,"1,890,450,000",18.66,"157,018,000"
48,18.69,"Apr 21, 2018",19.98,17.73,"1,994,970,000",19.70,"216,888,000"
49,19.64,"Apr 20, 2018",19.76,17.96,"1,865,060,000",18.42,"256,292,000"
50,18.38,"Apr 19, 2018",18.38,17.50,"1,784,400,000",17.63,"172,275,000"
51,17.62,"Apr 18, 2018",17.77,16.08,"1,627,470,000",16.08,"200,759,000"
52,16.07,"Apr 17, 2018",16.74,16.07,"1,635,150,000",16.16,"133,100,000"
53,16.12,"Apr 16, 2018",16.85,15.66,"1,692,760,000",16.73,"122,772,000"
54,16.75,"Apr 15, 2018",16.83,16.03,"1,626,260,000",16.07,"121,745,000"
55,16.02,"Apr 14, 2018",16.31,15.50,"1,574,710,000",15.57,"130,820,000"
56,15.61,"Apr 13, 2018",16.61,15.52,"1,624,100,000",16.06,"190,710,000"
57,16.17,"Apr 12, 2018",16.25,13.80,"1,472,450,000",14.56,"211,979,000"
58,14.59,"Apr 11, 2018",14.61,13.61,"1,383,590,000",13.69,"104,725,000"
59,13.65,"Apr 10, 2018",13.78,13.35,"1,380,040,000",13.65,"73,476,000"
60,13.63,"Apr 09, 2018",14.51,13.35,"1,429,250,000",14.14,"94,279,200"
61,14.12,"Apr 08, 2018",14.48,13.45,"1,360,980,000",13.47,"95,690,300"
62,13.47,"Apr 07, 2018",13.80,13.14,"1,328,390,000",13.15,"79,211,100"
63,13.15,"Apr 06, 2018",13.85,13.04,"1,382,250,000",13.69,"84,228,500"
64,13.72,"Apr 05, 2018",13.81,13.24,"1,377,950,000",13.65,"97,405,600"
65,13.64,"Apr 04, 2018",15.12,13.53,"1,526,030,000",15.12,"106,000,000"
66,15.16,"Apr 03, 2018",15.27,14.02,"1,428,840,000",14.16,"140,058,000"
67,14.13,"Apr 02, 2018",14.33,13.52,"1,374,140,000",13.62,"123,715,000"
68,13.58,"Apr 01, 2018",14.52,13.14,"1,453,370,000",14.41,"122,407,000"
69,14.37,"Mar 31, 2018",14.94,14.29,"1,452,690,000",14.40,"123,343,000"
70,14.39,"Mar 30, 2018",15.08,13.89,"1,476,720,000",14.64,"171,606,000"
71,14.68,"Mar 29, 2018",16.17,14.56,"1,624,140,000",16.11,"172,103,000"
72,16.10,"Mar 28, 2018",16.84,15.84,"1,599,710,000",15.87,"144,663,000"
73,15.91,"Mar 27, 2018",17.06,15.36,"1,660,910,000",16.48,"184,083,000"
74,16.48,"Mar 26, 2018",18.13,15.52,"1,823,050,000",18.09,"189,408,000"
75,18.09,"Mar 25, 2018",18.56,18.00,"1,850,480,000",18.37,"110,957,000"
76,18.50,"Mar 24, 2018",19.39,18.45,"1,926,730,000",19.13,"137,105,000"
77,19.04,"Mar 23, 2018",19.69,18.15,"1,982,260,000",19.69,"196,326,000"
78,19.67,"Mar 22, 2018",20.73,18.55,"1,992,000,000",19.79,"242,384,000"
79,19.80,"Mar 21, 2018",21.52,19.29,"2,041,930,000",20.29,"295,532,000"
80,20.21,"Mar 20, 2018",21.07,18.01,"1,973,450,000",19.61,"432,819,000"
81,19.65,"Mar 19, 2018",19.65,16.33,"1,701,120,000",16.91,"315,268,000"
82,16.79,"Mar 18, 2018",16.91,14.48,"1,634,110,000",16.25,"233,157,000"
83,16.32,"Mar 17, 2018",17.97,16.09,"1,785,600,000",17.76,"154,703,000"
84,17.78,"Mar 16, 2018",18.51,17.33,"1,859,700,000",18.50,"201,541,000"
85,18.41,"Mar 15, 2018",19.31,15.94,"1,727,880,000",17.19,"368,178,000"
86,17.15,"Mar 14, 2018",20.22,16.25,"2,004,500,000",19.95,"201,571,000"
87,19.92,"Mar 13, 2018",20.84,19.74,"2,055,300,000",20.46,"178,296,000"
88,20.50,"Mar 12, 2018",21.79,20.14,"2,166,290,000",21.57,"222,694,000"
89,21.58,"Mar 11, 2018",21.85,19.97,"2,096,350,000",20.88,"278,368,000"
90,20.91,"Mar 10, 2018",22.93,20.78,"2,260,360,000",22.51,"262,771,000"
91,22.48,"Mar 09, 2018",23.26,20.51,"2,279,350,000",22.71,"499,609,000"
92,22.67,"Mar 08, 2018",25.17,21.18,"2,226,360,000",22.19,"619,477,000"
93,22.12,"Mar 07, 2018",25.48,21.05,"2,514,490,000",25.06,"417,289,000"
94,25.10,"Mar 06, 2018",27.29,24.91,"2,690,760,000",26.82,"387,811,000"
95,26.84,"Mar 05, 2018",30.25,26.51,"2,973,110,000",29.65,"637,222,000"
96,29.69,"Mar 04, 2018",31.35,28.78,"2,923,270,000",29.16,"647,562,000"
97,29.19,"Mar 03, 2018",32.00,28.62,"3,086,730,000",30.79,"699,657,000"
98,30.77,"Mar 02, 2018",34.02,30.43,"3,382,540,000",33.75,"556,804,000"
99,33.76,"Mar 01, 2018",34.80,32.11,"3,370,090,000",33.64,"514,648,000"
100,33.69,"Feb 28, 2018",36.42,33.41,"3,606,200,000",36.00,"501,651,000"
101,36.25,"Feb 27, 2018",37.47,35.51,"3,628,860,000",36.24,"513,290,000"
102,36.08,"Feb 26, 2018",37.11,34.67,"3,689,630,000",36.85,"622,099,000"
103,36.41,"Feb 25, 2018",38.77,34.88,"3,861,100,000",38.57,"685,424,000"
104,38.84,"Feb 24, 2018",40.71,36.92,"3,785,310,000",37.83,"1,324,420,000"
105,38.04,"Feb 23, 2018",38.11,31.32,"3,251,620,000",32.50,"1,132,690,000"
106,32.81,"Feb 22, 2018",37.63,31.93,"3,646,740,000",36.46,"711,134,000"
107,36.63,"Feb 21, 2018",40.26,34.98,"3,807,360,000",38.07,"904,092,000"
108,38.47,"Feb 20, 2018",43.96,38.23,"3,940,010,000",39.41,"1,175,890,000"
109,39.29,"Feb 19, 2018",40.26,33.93,"3,467,860,000",34.69,"992,256,000"
110,34.88,"Feb 18, 2018",35.08,31.52,"3,498,390,000",35.01,"456,829,000"
111,34.99,"Feb 17, 2018",35.40,34.38,"3,493,650,000",34.97,"418,534,000"
112,35.03,"Feb 16, 2018",35.34,32.90,"3,439,180,000",34.43,"456,754,000"
113,34.53,"Feb 15, 2018",35.65,32.83,"3,477,970,000",34.83,"635,228,000"
114,35.04,"Feb 14, 2018",36.44,33.40,"3,426,860,000",34.32,"1,055,340,000"
115,33.96,"Feb 13, 2018",34.73,28.32,"2,982,730,000",29.88,"1,135,950,000"
116,29.88,"Feb 12, 2018",30.33,24.31,"2,425,800,000",24.31,"541,766,000"
117,24.13,"Feb 11, 2018",26.00,21.42,"2,447,400,000",24.53,"378,189,000"
118,24.52,"Feb 10, 2018",26.65,23.08,"2,588,640,000",25.95,"256,181,000"
119,26.00,"Feb 09, 2018",26.21,21.00,"2,182,530,000",21.89,"393,049,000"
120,21.79,"Feb 08, 2018",21.96,18.15,"1,809,300,000",18.15,"265,155,000"
121,18.16,"Feb 07, 2018",20.45,17.45,"1,912,010,000",19.18,"212,987,000"
122,19.39,"Feb 06, 2018",19.42,14.06,"1,669,530,000",16.75,"318,212,000"
123,16.53,"Feb 05, 2018",21.19,15.89,"2,068,330,000",20.76,"171,500,000"
124,21.04,"Feb 04, 2018",24.73,19.91,"2,409,210,000",24.19,"218,348,000"
125,24.20,"Feb 03, 2018",24.74,20.76,"2,305,470,000",23.15,"179,081,000"
126,23.07,"Feb 02, 2018",24.95,18.37,"2,484,190,000",24.95,"340,095,000"
