,close,date,high,low,market_cap,open,volume
0,0.059288,"Jun 08, 2018",0.059816,0.053764,"89,540",0.059693,426
1,0.059648,"Jun 07, 2018",0.067873,0.051590,"100,610",0.067073,"1,030"
2,0.067012,"Jun 06, 2018",0.067358,0.054235,"96,061",0.064041,552
3,0.064058,"Jun 05, 2018",0.067353,0.063184,"96,780",0.064520,636
4,0.064489,"Jun 04, 2018",0.067974,0.064175,"98,520",0.065680,309
5,0.065649,"Jun 03, 2018",0.070333,0.062620,"102,612",0.068408,292
6,0.068390,"Jun 02, 2018",0.072303,0.060085,"90,312",0.060208,"2,558"
7,0.060234,"Jun 01, 2018",0.067548,0.052678,"98,215",0.065477,"1,394"
8,0.065429,"May 31, 2018",0.071869,0.065029,"101,216",0.067478,"1,685"
9,0.067490,"May 30, 2018",0.076134,0.066974,"108,386",0.072257,"1,332"
10,0.072209,"May 29, 2018",0.076445,0.068306,"102,506",0.068338,782
11,0.068360,"May 28, 2018",0.080408,0.068261,"111,283",0.074189,"2,539"
12,0.074171,"May 27, 2018",0.081640,0.072080,"112,117",0.074745,"1,246"
13,0.074712,"May 26, 2018",0.083281,0.071025,"107,090",0.071394,"1,469"
14,0.071487,"May 25, 2018",0.091056,0.068727,"114,916",0.076611,"1,451"
15,0.076467,"May 24, 2018",0.080699,0.072763,"116,741",0.077827,846
16,0.078024,"May 23, 2018",0.085645,0.075088,"128,095",0.085397,707
17,0.085485,"May 22, 2018",0.100863,0.083430,"148,942",0.099295,"7,244"
18,0.099312,"May 21, 2018",0.099745,0.080839,"125,353",0.083569,"5,232"
19,0.083464,"May 20, 2018",0.088271,0.068610,"123,434",0.082289,"2,978"
20,0.082228,"May 19, 2018",0.086266,0.077134,"128,280",0.085520,"2,019"
21,0.085533,"May 18, 2018",0.088736,0.080011,"125,775",0.083850,636
22,0.083777,"May 17, 2018",0.090162,0.080903,"134,492",0.089661,"1,993"
23,0.089607,"May 16, 2018",0.091131,0.082554,"136,585",0.091057,"1,822"
24,0.091109,"May 15, 2018",0.100601,0.090584,"141,047",0.094031,396
25,0.094193,"May 14, 2018",0.104867,0.089374,"139,479",0.092986,764
26,0.093003,"May 13, 2018",0.103453,0.089652,"135,907",0.090605,817
27,0.090636,"May 12, 2018",0.101032,0.087768,"150,605",0.100403,533
28,0.100699,"May 11, 2018",0.111781,0.089151,"164,039",0.109359,"1,275"
29,0.109228,"May 10, 2018",0.128500,0.109123,"188,326",0.125551,"1,458"
30,0.125586,"May 09, 2018",0.125791,0.113603,"181,726",0.121150,"3,159"
31,0.121336,"May 08, 2018",0.133332,0.115138,"182,935",0.121957,"1,874"
32,0.121698,"May 07, 2018",0.130236,0.115200,"195,254",0.130169,"4,158"
33,0.130076,"May 06, 2018",0.145098,0.123212,"206,992",0.137995,"1,748"
34,0.137901,"May 05, 2018",0.144954,0.136385,"209,651",0.139768,"1,707"
35,0.139834,"May 04, 2018",0.141243,0.125351,"211,865",0.141243,"2,804"
36,0.141299,"May 03, 2018",0.141840,0.116873,"190,976",0.127317,"3,270"
37,0.127313,"May 02, 2018",0.127805,0.111115,"188,978",0.125985,"1,341"
38,0.126175,"May 01, 2018",0.129741,0.109980,"194,612",0.129741,"1,206"
39,0.129628,"Apr 30, 2018",0.131129,0.113911,"172,471",0.114981,"1,546"
40,0.115019,"Apr 29, 2018",0.132286,0.105086,"167,097",0.111398,"1,505"
41,0.111441,"Apr 28, 2018",0.126758,0.111051,"169,575",0.113050,"1,258"
42,0.113439,"Apr 27, 2018",0.125214,0.107886,"179,760",0.119840,"1,823"
43,0.119674,"Apr 26, 2018",0.130284,0.115620,"185,591",0.123727,"1,174"
44,0.122710,"Apr 25, 2018",0.146719,0.121824,"201,186",0.134124,"3,054"
45,0.135041,"Apr 24, 2018",0.146372,0.109717,"168,012",0.112008,"6,711"
46,0.111913,"Apr 23, 2018",0.115482,0.097916,"146,997",0.097998,"3,987"
47,0.098196,"Apr 22, 2018",0.109707,0.089312,"142,094",0.094729,"6,217"
48,0.094729,"Apr 21, 2018",0.098026,0.088034,"135,679",0.090453,"6,829"
49,0.090422,"Apr 20, 2018",0.101610,0.086387,"148,715",0.099143,"6,378"
50,0.099078,"Apr 19, 2018",0.103708,0.092858,"151,367",0.100911,"1,986"
51,0.100836,"Apr 18, 2018",0.115947,0.097082,"170,911",0.113941,"8,315"
52,0.113835,"Apr 17, 2018",0.119028,0.104982,"173,145",0.115430,"2,374"
53,0.115372,"Apr 16, 2018",0.121394,0.111800,"177,755",0.118503,"1,466"
54,0.118553,"Apr 15, 2018",0.125980,0.116382,"181,948",0.121299,"2,140"
55,0.121169,"Apr 14, 2018",0.130448,0.111253,"191,639",0.127759,"3,804"
56,0.127760,"Apr 13, 2018",0.135982,0.109984,"182,940",0.121960,"3,795"
57,0.121797,"Apr 12, 2018",0.125971,0.097850,"166,157",0.110772,"4,328"
58,0.111226,"Apr 11, 2018",0.114416,0.092884,"149,915",0.099944,"4,659"
59,0.099849,"Apr 10, 2018",0.103633,0.088450,"143,098",0.095399,"2,721"
60,0.095323,"Apr 09, 2018",0.111782,0.091541,"149,802",0.099868,"2,101"
61,0.099697,"Apr 08, 2018",0.100055,0.088027,"147,336",0.098224,851
62,0.098141,"Apr 07, 2018",0.102121,0.081785,"149,156",0.099437,"6,231"
63,0.099337,"Apr 06, 2018",0.105883,0.096962,"157,787",0.105191,"2,978"
64,0.105628,"Apr 05, 2018",0.114880,0.102083,"166,703",0.111135,"2,417"
65,0.111089,"Apr 04, 2018",0.132788,0.096412,"199,182",0.132788,"6,400"
66,0.132877,"Apr 03, 2018",0.143684,0.121762,"182,643",0.121762,"5,110"
67,0.121672,"Apr 02, 2018",0.137662,0.120286,"201,309",0.134206,"4,824"
68,0.133549,"Apr 01, 2018",0.135237,0.118168,"200,423",0.133615,"2,563"
69,0.133619,"Mar 31, 2018",0.137584,0.125451,"194,506",0.129671,"1,186"
70,0.129654,"Mar 30, 2018",0.135406,0.119321,"192,662",0.128442,"2,037"
71,0.128794,"Mar 29, 2018",0.152448,0.124255,"228,127",0.152085,"2,135"
72,0.151901,"Mar 28, 2018",0.158223,0.142634,"235,950",0.157300,"2,653"
73,0.157379,"Mar 27, 2018",0.163874,0.150318,"242,324",0.161549,"3,089"
74,0.161788,"Mar 26, 2018",0.174448,0.146090,"255,917",0.170611,"4,233"
75,0.170748,"Mar 25, 2018",0.183064,0.166774,"256,173",0.170782,"4,443"
76,0.173162,"Mar 24, 2018",0.200233,0.158379,"253,720",0.169146,"14,548"
77,0.166740,"Mar 23, 2018",0.166740,0.153224,"243,072",0.162048,"2,157"
78,0.168553,"Mar 22, 2018",0.172108,0.157588,"258,162",0.172108,"1,048"
79,0.172387,"Mar 21, 2018",0.182626,0.169072,"268,867",0.179245,"9,232"
80,0.178932,"Mar 20, 2018",0.185183,0.165149,"258,199",0.172133,"5,288"
81,0.170237,"Mar 19, 2018",0.176072,0.165746,"255,813",0.170542,"8,669"
82,0.171261,"Mar 18, 2018",0.171261,0.151849,"244,832",0.163222,"7,680"
