,close,date,high,low,market_cap,open,volume
0,0.028614,"Jun 08, 2018",0.030555,0.027897,"422,462",0.029962,626
1,0.029939,"Jun 07, 2018",0.030420,0.027832,"421,045",0.029861,"1,197"
2,0.029834,"Jun 06, 2018",0.030208,0.026960,"424,613",0.030114,404
3,0.030122,"Jun 05, 2018",0.030122,0.025982,"374,470",0.026558,256
4,0.026545,"Jun 04, 2018",0.029180,0.026192,"393,478",0.027906,173
5,0.027893,"Jun 03, 2018",0.030597,0.026170,"369,244",0.026187,287
6,0.026180,"Jun 02, 2018",0.031506,0.025927,"402,741",0.028563,998
7,0.028576,"Jun 01, 2018",0.032170,0.028128,"433,091",0.030716,338
8,0.030693,"May 31, 2018",0.032127,0.027770,"393,482",0.027907,427
9,0.027912,"May 30, 2018",0.029706,0.027706,"402,058",0.028515,185
10,0.028496,"May 29, 2018",0.029074,0.027282,"388,435",0.027549,589
11,0.027558,"May 28, 2018",0.033277,0.027518,"425,673",0.030190,909
12,0.030183,"May 27, 2018",0.034065,0.029082,"418,870",0.029707,315
13,0.029694,"May 26, 2018",0.036361,0.028779,"406,450",0.028826,284
14,0.028864,"May 25, 2018",0.032944,0.028497,"430,805",0.030554,802
15,0.030496,"May 24, 2018",0.037982,0.027723,"433,644",0.030755,582
16,0.030833,"May 23, 2018",0.035748,0.030581,"501,691",0.035581,488
17,0.035622,"May 22, 2018",0.037616,0.035416,"504,543",0.035783,193
18,0.035799,"May 21, 2018",0.041217,0.035746,"551,831",0.039137,632
19,0.039088,"May 20, 2018",0.040445,0.034900,"493,113",0.034973,332
20,0.034946,"May 19, 2018",0.038971,0.034550,"521,253",0.036968,551
21,0.036974,"May 18, 2018",0.044348,0.034616,"625,313",0.044348,"1,509"
22,0.044310,"May 17, 2018",0.045638,0.042019,"594,444",0.042159,150
23,0.042133,"May 16, 2018",0.048322,0.038756,"589,899",0.041837,734
24,0.041861,"May 15, 2018",0.049600,0.041504,"684,191",0.048524,"1,014"
25,0.048606,"May 14, 2018",0.052575,0.046679,"722,426",0.051236,993
26,0.051083,"May 13, 2018",0.051257,0.039740,"711,232",0.050442,"1,550"
27,0.050464,"May 12, 2018",0.055181,0.046794,"769,396",0.054567,"1,335"
28,0.054728,"May 11, 2018",0.069271,0.054342,"976,719",0.069271,728
29,0.069195,"May 10, 2018",0.073397,0.066883,"998,032",0.070782,"2,026"
30,0.070772,"May 09, 2018",0.072106,0.060444,"873,291",0.061935,"2,505"
31,0.062029,"May 08, 2018",0.065700,0.060735,"911,304",0.064631,719
32,0.064495,"May 07, 2018",0.066309,0.056625,"933,599",0.066213,"1,457"
33,0.066168,"May 06, 2018",0.069290,0.058100,"911,884",0.064673,"2,646"
34,0.064629,"May 05, 2018",0.072054,0.050322,"710,663",0.050402,"2,824"
35,0.050425,"May 04, 2018",0.067859,0.050402,"956,818",0.067859,"2,667"
36,0.067908,"May 03, 2018",0.076845,0.059323,"842,711",0.059767,"1,521"
37,0.059766,"May 02, 2018",0.068580,0.057245,"896,522",0.063583,"1,340"
38,0.064589,"May 01, 2018",0.069457,0.064216,"950,065",0.067380,"4,138"
39,0.067323,"Apr 30, 2018",0.070732,0.060670,"992,932",0.070421,911
40,0.070439,"Apr 29, 2018",0.084217,0.055312,"784,533",0.055641,"4,546"
41,0.056478,"Apr 28, 2018",0.071175,0.056478,"939,153",0.066607,11
42,0.066846,"Apr 27, 2018",0.081300,0.066777,"959,573",0.068055,"3,301"
43,0.067961,"Apr 26, 2018",0.071867,0.059331,"1,003,490",0.071170,"4,853"
44,0.070585,"Apr 25, 2018",0.091611,0.070486,"1,229,890",0.087226,"4,554"
45,0.087795,"Apr 24, 2018",0.091008,0.074947,"1,057,230",0.074981,"5,596"
46,0.074917,"Apr 23, 2018",0.077429,0.063197,"916,634",0.065009,"2,435"
47,0.065144,"Apr 22, 2018",0.070681,0.054069,"880,006",0.062412,"1,884"
48,0.062412,"Apr 21, 2018",0.083406,0.052418,"840,340",0.059599,"5,759"
49,0.059579,"Apr 20, 2018",0.083250,0.044580,"628,983",0.044609,"15,757"
50,0.044580,"Apr 19, 2018",0.050266,0.033330,"471,980",0.033474,"7,220"
51,0.033449,"Apr 18, 2018",0.035477,0.032044,"457,587",0.032453,328
52,0.032423,"Apr 17, 2018",0.035735,0.030007,"492,249",0.034911,755
53,0.034895,"Apr 16, 2018",0.039905,0.033161,"511,444",0.036273,907
54,0.036286,"Apr 15, 2018",0.040543,0.034615,"526,758",0.037359,966
55,0.037318,"Apr 14, 2018",0.044213,0.034007,"555,430",0.039392,"1,033"
56,0.039204,"Apr 13, 2018",0.042002,0.034492,"501,923",0.035597,"2,010"
57,0.035552,"Apr 12, 2018",0.038873,0.032749,"536,350",0.038039,"1,210"
58,0.038131,"Apr 11, 2018",0.041045,0.030850,"555,748",0.039415,"1,873"
59,0.039377,"Apr 10, 2018",0.039615,0.027570,"410,837",0.029137,"1,816"
60,0.028573,"Apr 09, 2018",0.033027,0.024973,"427,918",0.030349,599
61,0.030300,"Apr 08, 2018",0.030420,0.027953,"407,337",0.028889,"1,412"
62,0.028865,"Apr 07, 2018",0.030935,0.024575,"424,646",0.030117,971
63,0.030089,"Apr 06, 2018",0.032980,0.026251,"440,470",0.031239,"1,299"
64,0.031399,"Apr 05, 2018",0.034228,0.031288,"480,843",0.034102,"1,164"
65,0.034089,"Apr 04, 2018",0.042199,0.033782,"595,008",0.042199,"1,429"
66,0.042228,"Apr 03, 2018",0.043707,0.033833,"477,911",0.033894,870
67,0.033870,"Apr 02, 2018",0.037229,0.027887,"490,798",0.034808,726
68,0.034638,"Apr 01, 2018",0.039071,0.032014,"546,242",0.038741,556
69,0.038737,"Mar 31, 2018",0.050004,0.027556,"518,662",0.036785,"5,690"
