,close,date,high,low,market_cap,open,volume
0,0.461944,"Jun 08, 2018",0.466059,0.457684,"736,506",0.465692,20
1,0.496112,"Jun 07, 2018",0.498668,0.492789,"779,361",0.492789,11
2,0.492336,"Jun 06, 2018",0.548134,0.482773,"776,137",0.490750,11
3,0.490882,"Jun 05, 2018",0.688021,0.488849,"1,086,960",0.687286,93
4,0.686956,"Jun 04, 2018",0.690732,0.434805,"707,869",0.447585,890
5,0.473477,"Jun 02, 2018",0.475366,0.463193,"736,685",0.465805,4
6,0.466007,"Jun 01, 2018",0.523821,0.454348,"727,364",0.459911,254
7,0.459577,"May 31, 2018",0.522553,0.456762,"804,238",0.508518,4
8,0.508613,"May 30, 2018",0.519380,0.503181,"808,204",0.511026,4
9,0.510683,"May 29, 2018",0.515643,0.436657,"691,066",0.436960,227
10,0.448241,"May 28, 2018",0.462910,0.447850,"725,596",0.458794,6
11,0.458687,"May 27, 2018",0.459825,0.433385,"694,996",0.439445,109
12,0.439251,"May 26, 2018",0.460595,0.436885,"699,317",0.442177,443
13,0.442758,"May 25, 2018",0.574603,0.427627,"770,033",0.486891,"1,717"
14,0.485977,"May 24, 2018",0.489540,0.431508,"710,253",0.449092,351
15,0.450228,"May 23, 2018",0.470621,0.442311,"737,778",0.466496,63
16,0.527174,"May 22, 2018",0.541954,0.526408,"856,459",0.541538,14
17,0.541636,"May 21, 2018",0.552595,0.536960,"868,657",0.549251,23
18,0.548566,"May 20, 2018",0.590490,0.480781,"765,341",0.483924,657
19,0.483563,"May 19, 2018",0.565018,0.477359,"892,367",0.564242,33
20,0.564328,"May 18, 2018",0.566363,0.459788,"784,299",0.495911,343
21,0.495477,"May 17, 2018",0.574798,0.492635,"812,881",0.513984,79
22,0.513075,"May 16, 2018",0.523262,0.501169,"826,876",0.522833,90
23,0.523134,"May 15, 2018",0.541237,0.520121,"841,931",0.532352,92
24,0.533266,"May 14, 2018",0.543557,0.512859,"846,628",0.535322,280
25,0.535419,"May 13, 2018",0.539292,0.515437,"824,811",0.521527,28
26,0.521708,"May 12, 2018",0.531262,0.447470,"833,415",0.526967,62
27,0.528520,"May 11, 2018",0.627918,0.377151,"993,071",0.627918,91
28,0.627167,"May 10, 2018",0.652500,0.590305,"943,627",0.596654,"160,702"
29,0.596822,"May 09, 2018",0.597795,0.566230,"911,535",0.576362,84
30,0.577244,"May 08, 2018",0.579742,0.393877,"622,929",0.393877,57
31,0.393043,"May 07, 2018",0.585717,0.390570,"925,853",0.585416,2
32,0.584996,"May 06, 2018",0.611116,0.544914,"957,532",0.605446,59
33,0.605037,"May 05, 2018",0.613469,0.597697,"945,276",0.597697,67
34,0.649612,"May 04, 2018",0.657593,0.643654,"1,037,670",0.656114,10
35,0.656370,"May 03, 2018",0.698702,0.628033,"1,098,930",0.694851,16
36,0.694826,"May 02, 2018",0.697514,0.570590,"919,393",0.581331,103
37,0.582208,"May 01, 2018",0.582208,0.567415,"909,037",0.574783,133
38,0.572875,"Apr 30, 2018",0.575043,0.477389,"775,811",0.490545,56
39,0.490708,"Apr 29, 2018",0.585807,0.408858,"908,978",0.574746,178
40,0.574970,"Apr 28, 2018",0.609374,0.552151,"875,489",0.553571,68
41,0.555476,"Apr 27, 2018",0.643546,0.555476,"1,017,790",0.643546,162
42,0.642656,"Apr 26, 2018",0.644089,0.551910,"894,710",0.565724,34
43,0.561074,"Apr 25, 2018",0.778817,0.560288,"940,817",0.594877,204
44,0.598947,"Apr 24, 2018",0.598947,0.499929,"791,008",0.500154,134
45,0.499728,"Apr 23, 2018",0.586695,0.486509,"770,072",0.486916,82
46,0.487900,"Apr 22, 2018",0.500665,0.447043,"752,944",0.476085,233
47,0.476085,"Apr 21, 2018",0.788717,0.441664,"715,020",0.452106,"2,555"
48,0.451951,"Apr 20, 2018",0.526187,0.449197,"778,758",0.492408,312
49,0.492085,"Apr 19, 2018",0.492432,0.484027,"769,226",0.486380,392
50,0.482100,"Apr 18, 2018",0.483995,0.469313,"743,656",0.470213,238
51,0.469777,"Apr 17, 2018",0.513027,0.468247,"800,446",0.506121,262
52,0.519467,"Apr 16, 2018",0.538446,0.516310,"846,804",0.535433,17
