,close,date,high,low,market_cap,open,volume
0,0.049142,"Jun 08, 2018",0.050455,0.048333,"24,323,800",0.050065,"304,490"
1,0.050240,"Jun 07, 2018",0.053266,0.049558,"25,558,100",0.052606,"496,712"
2,0.052490,"Jun 06, 2018",0.054429,0.051629,"25,974,900",0.053464,"338,534"
3,0.053572,"Jun 05, 2018",0.055087,0.051023,"25,988,100",0.053491,"469,514"
4,0.053646,"Jun 04, 2018",0.059791,0.052844,"28,399,800",0.058465,"629,972"
5,0.058554,"Jun 03, 2018",0.059965,0.058218,"28,293,000",0.058245,"343,774"
6,0.058308,"Jun 02, 2018",0.059124,0.056584,"27,733,200",0.057092,"429,536"
7,0.057115,"Jun 01, 2018",0.057620,0.053157,"26,551,400",0.054660,"671,175"
8,0.054567,"May 31, 2018",0.056989,0.052458,"25,581,500",0.052663,"711,728"
9,0.052617,"May 30, 2018",0.059325,0.052015,"27,362,000",0.056329,"1,446,540"
10,0.056236,"May 29, 2018",0.058381,0.047130,"23,047,300",0.047447,"2,698,730"
11,0.047701,"May 28, 2018",0.053620,0.047701,"25,517,800",0.052533,"400,174"
12,0.052720,"May 27, 2018",0.056845,0.052411,"26,470,000",0.054493,"1,283,060"
13,0.054516,"May 26, 2018",0.061995,0.053886,"28,032,200",0.057709,"1,740,270"
14,0.057551,"May 25, 2018",0.062840,0.051008,"25,171,500",0.051820,"4,279,510"
15,0.051852,"May 24, 2018",0.053942,0.047120,"24,443,900",0.050325,"812,052"
16,0.050526,"May 23, 2018",0.060070,0.047707,"29,062,200",0.059833,"1,407,550"
17,0.060128,"May 22, 2018",0.067099,0.059626,"32,408,700",0.066723,"791,337"
18,0.067071,"May 21, 2018",0.071224,0.066099,"34,244,200",0.070502,"858,872"
19,0.070392,"May 20, 2018",0.070933,0.068167,"33,655,000",0.069289,"505,424"
20,0.068844,"May 19, 2018",0.071187,0.068156,"34,071,500",0.070146,"648,786"
21,0.070134,"May 18, 2018",0.070153,0.065365,"32,244,900",0.066385,"804,742"
22,0.066524,"May 17, 2018",0.072945,0.066331,"34,671,000",0.071380,"677,172"
23,0.071406,"May 16, 2018",0.079055,0.068544,"38,256,100",0.078761,"999,184"
24,0.078795,"May 15, 2018",0.083825,0.076611,"38,960,800",0.080212,"1,032,440"
25,0.080243,"May 14, 2018",0.084077,0.076091,"40,649,700",0.083689,"1,364,290"
26,0.083895,"May 13, 2018",0.084895,0.076123,"37,696,400",0.077609,"860,707"
27,0.077715,"May 12, 2018",0.081540,0.072530,"38,859,500",0.080003,"1,355,140"
28,0.079662,"May 11, 2018",0.093102,0.075036,"45,221,700",0.093102,"2,154,030"
29,0.093111,"May 10, 2018",0.098763,0.092869,"47,125,100",0.097020,"1,295,890"
30,0.096757,"May 09, 2018",0.097693,0.089782,"41,202,100",0.094560,"2,279,960"
31,0.094849,"May 08, 2018",0.101861,0.090726,"42,477,500",0.097488,"2,500,740"
32,0.097076,"May 07, 2018",0.107577,0.092249,"46,430,200",0.106560,"2,632,920"
33,0.106676,"May 06, 2018",0.115467,0.099139,"48,360,800",0.110990,"2,240,620"
34,0.110979,"May 05, 2018",0.114502,0.104036,"47,504,700",0.109026,"2,844,100"
35,0.109033,"May 04, 2018",0.113267,0.107337,"48,361,600",0.110992,"1,614,010"
36,0.112522,"May 03, 2018",0.117372,0.109497,"48,922,600",0.112280,"3,080,960"
37,0.112345,"May 02, 2018",0.115448,0.105747,"46,569,000",0.106878,"4,089,430"
38,0.106828,"May 01, 2018",0.110335,0.097964,"53,586,800",0.110335,"3,252,490"
39,0.109926,"Apr 30, 2018",0.114296,0.100932,"49,486,100",0.101891,"7,397,630"
40,0.099977,"Apr 29, 2018",0.101219,0.094574,"47,866,800",0.098557,"2,922,880"
41,0.098744,"Apr 28, 2018",0.099975,0.090269,"44,507,800",0.091641,"1,926,380"
42,0.091962,"Apr 27, 2018",0.100420,0.091962,"48,391,400",0.099638,"1,552,990"
43,0.099346,"Apr 26, 2018",0.104570,0.087724,"44,650,000",0.091935,"3,590,160"
44,0.091497,"Apr 25, 2018",0.107207,0.082731,"51,634,700",0.106316,"2,891,900"
45,0.108805,"Apr 24, 2018",0.111006,0.096290,"46,897,400",0.096562,"4,008,300"
46,0.096687,"Apr 23, 2018",0.101300,0.094973,"48,032,300",0.098899,"2,906,820"
47,0.099306,"Apr 22, 2018",0.103830,0.082934,"40,278,700",0.082934,"14,384,800"
48,0.082821,"Apr 21, 2018",0.084355,0.075554,"40,417,300",0.083220,"2,351,930"
49,0.083277,"Apr 20, 2018",0.084035,0.078032,"40,079,200",0.082523,"2,620,230"
50,0.082490,"Apr 19, 2018",0.085048,0.078013,"39,123,600",0.080556,"2,361,130"
51,0.080500,"Apr 18, 2018",0.080779,0.073442,"35,668,700",0.073442,"1,712,810"
52,0.074472,"Apr 17, 2018",0.079997,0.072171,"35,599,000",0.073299,"2,775,620"
53,0.073203,"Apr 16, 2018",0.075974,0.068462,"36,786,900",0.075745,"1,517,630"
54,0.075966,"Apr 15, 2018",0.076215,0.071913,"34,996,000",0.072057,"1,275,770"
55,0.071999,"Apr 14, 2018",0.074981,0.065624,"32,673,300",0.067275,"1,945,720"
56,0.067451,"Apr 13, 2018",0.073629,0.064858,"33,253,700",0.068470,"2,693,370"
57,0.068176,"Apr 12, 2018",0.068958,0.058593,"30,780,000",0.063376,"2,562,700"
58,0.063013,"Apr 11, 2018",0.064902,0.056667,"27,713,400",0.057062,"3,689,330"
59,0.056887,"Apr 10, 2018",0.058359,0.051757,"25,694,200",0.052905,"1,097,720"
60,0.052674,"Apr 09, 2018",0.055675,0.050886,"26,349,200",0.054253,"250,735"
61,0.054545,"Apr 08, 2018",0.055540,0.052944,"25,713,200",0.052944,"753,362"
62,0.053013,"Apr 07, 2018",0.056324,0.051209,"25,111,100",0.051704,"486,362"
63,0.051140,"Apr 06, 2018",0.055560,0.050250,"25,479,000",0.052462,"2,414,000"
64,0.052657,"Apr 05, 2018",0.055183,0.050753,"25,856,700",0.053240,"371,548"
65,0.053177,"Apr 04, 2018",0.060283,0.051375,"29,277,100",0.060283,"1,171,930"
66,0.060286,"Apr 03, 2018",0.061729,0.056701,"27,729,500",0.057113,"367,283"
67,0.057069,"Apr 02, 2018",0.058732,0.054855,"27,002,700",0.055616,"350,165"
68,0.055432,"Apr 01, 2018",0.061801,0.052490,"29,370,400",0.060493,"436,459"
