,close,date,high,low,market_cap,open,volume
0,0.392660,"Jun 08, 2018",0.413129,0.386644,"3,960,630",0.393115,768
1,0.392816,"Jun 07, 2018",0.415853,0.384927,"4,130,820",0.410019,"3,387"
2,0.409643,"Jun 06, 2018",0.417066,0.406862,"4,155,980",0.412529,"1,465"
3,0.412640,"Jun 05, 2018",0.413002,0.398589,"4,137,190",0.410676,"1,230"
4,0.410479,"Jun 04, 2018",0.435096,0.409831,"4,302,180",0.427073,543
5,0.426874,"Jun 03, 2018",0.436174,0.420257,"4,252,280",0.422131,"1,720"
6,0.422017,"Jun 02, 2018",0.444043,0.415495,"4,368,030",0.433634,"5,164"
7,0.433822,"Jun 01, 2018",0.434268,0.419210,"4,293,780",0.426274,828
8,0.425964,"May 31, 2018",0.438103,0.406857,"4,153,120",0.412322,"4,679"
9,0.412399,"May 30, 2018",0.438547,0.407308,"4,289,310",0.425855,"2,875"
10,0.425569,"May 29, 2018",0.429703,0.410235,"4,164,880",0.413514,"2,675"
11,0.413649,"May 28, 2018",0.456313,0.412394,"4,495,480",0.446380,"4,042"
12,0.446276,"May 27, 2018",0.458215,0.443142,"4,585,070",0.455289,"3,572"
13,0.455087,"May 26, 2018",0.473097,0.452636,"4,667,990",0.463536,"2,198"
14,0.464144,"May 25, 2018",0.474645,0.456736,"4,678,400",0.464580,511
15,0.463709,"May 24, 2018",0.469834,0.438254,"4,557,630",0.452601,"3,889"
16,0.453746,"May 23, 2018",0.521947,0.450044,"5,227,160",0.519103,"12,136"
17,0.519642,"May 22, 2018",0.567016,0.504621,"5,216,720",0.518081,"19,841"
18,0.505308,"May 21, 2018",0.637691,0.467033,"4,893,760",0.486063,"70,340"
19,0.468934,"May 20, 2018",0.503879,0.445446,"4,696,910",0.466526,"4,110"
20,0.466178,"May 19, 2018",0.477769,0.435141,"4,444,130",0.441443,"81,279"
21,0.441510,"May 18, 2018",0.449991,0.424953,"4,440,010",0.441061,"15,241"
22,0.440675,"May 17, 2018",0.620400,0.373767,"3,996,820",0.397047,"132,382"
23,0.396805,"May 16, 2018",0.405803,0.387204,"4,069,520",0.404281,915
24,0.404514,"May 15, 2018",0.422618,0.402184,"4,182,290",0.415507,"6,419"
25,0.416221,"May 14, 2018",0.425211,0.398567,"4,207,290",0.418003,"4,647"
26,0.418079,"May 13, 2018",0.429824,0.397701,"4,110,280",0.408398,"4,799"
27,0.408540,"May 12, 2018",0.427898,0.404131,"4,188,060",0.416137,"2,543"
28,0.417363,"May 11, 2018",0.482626,0.408424,"4,857,090",0.482626,"3,577"
29,0.482050,"May 10, 2018",0.499721,0.474258,"4,996,770",0.496521,"2,890"
30,0.496661,"May 09, 2018",0.525227,0.482085,"5,276,580",0.524341,"20,549"
31,0.525143,"May 08, 2018",0.548865,0.516980,"5,457,150",0.542342,"3,728"
32,0.541194,"May 07, 2018",0.562786,0.525520,"5,659,770",0.562496,"4,080"
33,0.562094,"May 06, 2018",0.563654,0.531778,"5,619,040",0.558465,"8,631"
34,0.558087,"May 05, 2018",0.611796,0.546243,"6,120,970",0.608406,"14,736"
35,0.608694,"May 04, 2018",0.697373,0.584687,"6,189,860",0.615272,"41,624"
36,0.615512,"May 03, 2018",0.631492,0.590063,"6,116,610",0.608006,"8,148"
37,0.607984,"May 02, 2018",0.610337,0.570838,"5,803,050",0.576971,"9,002"
38,0.577841,"May 01, 2018",0.593432,0.565110,"5,923,980",0.589010,"1,682"
39,0.588495,"Apr 30, 2018",0.612970,0.583823,"6,111,930",0.607714,"7,648"
40,0.607917,"Apr 29, 2018",0.607917,0.574924,"5,885,460",0.585212,"10,630"
41,0.585441,"Apr 28, 2018",0.590858,0.556064,"5,606,520",0.557494,"3,177"
42,0.559412,"Apr 27, 2018",0.596762,0.559412,"5,839,660",0.580698,"9,814"
43,0.579895,"Apr 26, 2018",0.581188,0.521035,"5,376,090",0.534615,"11,558"
44,0.530220,"Apr 25, 2018",0.626991,0.523937,"6,275,460",0.624069,"51,321"
45,0.628338,"Apr 24, 2018",0.628338,0.586283,"5,991,320",0.595829,"7,717"
46,0.595322,"Apr 23, 2018",0.610647,0.574435,"5,928,200",0.589568,"12,391"
47,0.590495,"Apr 22, 2018",0.597771,0.517401,"5,274,150",0.524537,"25,918"
48,0.524537,"Apr 21, 2018",0.543069,0.509523,"5,460,320",0.543069,"3,768"
49,0.542883,"Apr 20, 2018",0.545659,0.503365,"5,424,590",0.539540,"22,529"
50,0.534559,"Apr 19, 2018",0.553198,0.526237,"5,404,270",0.537540,"10,626"
51,0.537141,"Apr 18, 2018",0.539993,0.449611,"4,644,690",0.462001,"35,026"
52,0.457234,"Apr 17, 2018",0.495957,0.447532,"4,862,630",0.483694,"10,417"
53,0.483450,"Apr 16, 2018",0.517292,0.475073,"5,126,720",0.509980,"6,481"
54,0.510195,"Apr 15, 2018",0.522460,0.441097,"4,513,770",0.449029,"20,742"
55,0.461656,"Apr 14, 2018",0.522207,0.434726,"4,384,870",0.436223,"53,855"
56,0.436223,"Apr 13, 2018",0.454041,0.411166,"4,230,300",0.420858,"3,760"
57,0.420327,"Apr 12, 2018",0.429985,0.360260,"3,772,400",0.375313,"5,732"
58,0.376221,"Apr 11, 2018",0.376221,0.354935,"3,708,250",0.368941,"3,999"
59,0.368586,"Apr 10, 2018",0.376768,0.328901,"3,362,040",0.334505,"5,304"
60,0.334233,"Apr 09, 2018",0.359701,0.319193,"3,329,880",0.331378,"12,563"
61,0.330842,"Apr 08, 2018",0.362876,0.285202,"2,943,640",0.292949,"24,236"
62,0.292684,"Apr 07, 2018",0.305678,0.290922,"2,951,950",0.293789,"2,514"
63,0.293438,"Apr 06, 2018",0.307301,0.290189,"3,020,980",0.300667,"2,431"
64,0.302207,"Apr 05, 2018",0.309769,0.294276,"3,027,760",0.301352,555
65,0.301225,"Apr 04, 2018",0.336819,0.298482,"3,314,290",0.329880,"3,438"
66,0.330108,"Apr 03, 2018",0.334025,0.302980,"3,053,780",0.303960,"3,052"
67,0.303744,"Apr 02, 2018",0.304017,0.283845,"2,870,240",0.285702,"2,567"
68,0.284303,"Apr 01, 2018",0.300267,0.270879,"2,951,750",0.293823,"2,010"
69,0.293832,"Mar 31, 2018",0.308827,0.283452,"2,950,680",0.293725,914
70,0.293543,"Mar 30, 2018",0.310393,0.273318,"2,988,710",0.297518,"7,242"
71,0.298260,"Mar 29, 2018",0.350783,0.289585,"3,517,920",0.350209,994
72,0.349799,"Mar 28, 2018",0.363350,0.328094,"3,317,990",0.330316,"6,731"
73,0.330391,"Mar 27, 2018",0.363214,0.329969,"3,643,240",0.362706,"3,953"
74,0.363256,"Mar 26, 2018",0.379299,0.348637,"3,756,290",0.373971,"2,609"
75,0.385322,"Mar 25, 2018",0.399465,0.383592,"3,931,200",0.391396,"1,041"
76,0.396859,"Mar 24, 2018",0.422685,0.396001,"4,206,900",0.418858,"2,696"
77,0.412846,"Mar 23, 2018",0.418415,0.390988,"4,120,450",0.410268,"1,195"
78,0.410278,"Mar 22, 2018",0.438832,0.400532,"4,227,480",0.420936,"6,176"
79,0.421705,"Mar 21, 2018",0.437897,0.410606,"4,129,610",0.411202,"2,287"
80,0.410459,"Mar 20, 2018",0.423304,0.384597,"3,959,280",0.394254,"2,704"
81,0.389904,"Mar 19, 2018",0.395873,0.358632,"3,729,960",0.371430,"11,282"
82,0.373001,"Mar 18, 2018",0.389202,0.329161,"3,902,710",0.388650,"20,744"
83,0.389597,"Mar 17, 2018",0.473437,0.387167,"4,674,720",0.465543,"14,551"
84,0.462622,"Mar 16, 2018",0.482055,0.438788,"4,810,760",0.479115,"15,022"
85,0.479385,"Mar 15, 2018",0.505054,0.459086,"4,978,010",0.495790,"7,106"
86,0.500200,"Mar 14, 2018",0.568649,0.487340,"5,581,520",0.555913,"9,858"
87,0.555837,"Mar 13, 2018",0.566482,0.522501,"5,486,270",0.546506,"8,104"
88,0.549662,"Mar 12, 2018",0.622060,0.532806,"5,763,990",0.574188,"20,084"
89,0.585289,"Mar 11, 2018",0.588054,0.524896,"5,640,500",0.562056,"30,365"
90,0.564001,"Mar 10, 2018",0.620775,0.564001,"5,910,800",0.589007,"13,300"
91,0.588754,"Mar 09, 2018",0.591883,0.522005,"5,839,190",0.582511,"15,257"
92,0.586223,"Mar 08, 2018",0.721625,0.581577,"7,120,250",0.710341,"19,372"
93,0.711349,"Mar 07, 2018",0.742678,0.644710,"7,334,860",0.731781,"15,315"
94,0.716525,"Mar 06, 2018",0.828380,0.699527,"8,302,900",0.828380,"22,040"
95,0.830676,"Mar 05, 2018",0.844734,0.812839,"8,323,640",0.830471,"6,182"
96,0.831080,"Mar 04, 2018",0.884982,0.806095,"8,493,700",0.847462,"52,953"
97,0.848926,"Mar 03, 2018",0.885429,0.787445,"7,890,550",0.787445,"36,373"
98,0.788409,"Mar 02, 2018",0.804740,0.673845,"6,750,750",0.673845,"23,060"
99,0.675581,"Mar 01, 2018",0.686616,0.642470,"6,673,600",0.666168,"17,049"
100,0.665188,"Feb 28, 2018",0.717498,0.664596,"6,753,940",0.674205,"5,341"
101,0.675000,"Feb 27, 2018",0.763564,0.671781,"7,334,980",0.732231,"39,041"
102,0.730120,"Feb 26, 2018",0.739538,0.670613,"6,804,650",0.679780,"1,714"
103,0.678911,"Feb 25, 2018",0.712583,0.662550,"7,006,370",0.699956,"5,364"
104,0.701018,"Feb 24, 2018",0.759973,0.671185,"7,302,360",0.729545,"7,830"
105,0.730469,"Feb 23, 2018",0.761345,0.709510,"7,338,230",0.733149,"13,828"
106,0.733834,"Feb 22, 2018",0.878776,0.715679,"8,486,410",0.847887,"12,440"
107,0.848749,"Feb 21, 2018",0.926311,0.790877,"8,352,470",0.834620,"37,739"
108,0.835660,"Feb 20, 2018",0.884049,0.826727,"8,578,050",0.857187,"10,663"
109,0.856409,"Feb 19, 2018",0.905688,0.821046,"8,391,800",0.838597,"42,931"
110,0.842469,"Feb 18, 2018",0.888058,0.791184,"8,809,600",0.880382,"40,173"
111,0.877691,"Feb 17, 2018",0.882880,0.804531,"8,502,680",0.849730,"22,279"
112,0.849925,"Feb 16, 2018",0.866951,0.809867,"8,408,330",0.840333,"25,431"
113,0.843938,"Feb 15, 2018",0.919415,0.815092,"8,816,680",0.881172,"113,468"
114,0.880695,"Feb 14, 2018",0.882912,0.773141,"7,921,760",0.791755,"46,561"
115,0.795317,"Feb 13, 2018",0.889131,0.788046,"8,895,680",0.889131,"16,122"
116,0.887516,"Feb 12, 2018",0.889104,0.701252,"7,296,060",0.729572,"133,079"
117,0.724951,"Feb 11, 2018",0.748777,0.663170,"7,369,840",0.736986,"17,262"
118,0.737617,"Feb 10, 2018",0.790932,0.702640,"7,515,620",0.751588,"15,578"
119,0.759722,"Feb 09, 2018",0.762071,0.658804,"7,154,960",0.715542,"13,812"
120,0.713348,"Feb 08, 2018",0.762987,0.664140,"6,652,580",0.665320,"104,809"
121,0.667992,"Feb 07, 2018",0.891648,0.525008,"5,713,640",0.571489,"492,407"
122,0.577265,"Feb 06, 2018",0.582590,0.432736,"5,042,280",0.504354,"19,394"
123,0.503717,"Feb 05, 2018",0.635455,0.479307,"6,160,000",0.616273,"28,980"
124,0.622308,"Feb 04, 2018",0.744351,0.594759,"7,439,960",0.744351,"50,254"
125,0.740274,"Feb 03, 2018",0.750701,0.575207,"6,193,690",0.619681,"65,149"
126,0.618280,"Feb 02, 2018",0.674809,0.523006,"6,548,780",0.655227,"48,757"
127,0.656583,"Feb 01, 2018",0.783155,0.600858,"7,623,510",0.762781,"53,548"
128,0.761013,"Jan 31, 2018",0.820079,0.753610,"7,864,210",0.787220,"33,428"
129,0.785086,"Jan 30, 2018",0.923867,0.777049,"9,229,070",0.923867,"40,417"
130,0.917517,"Jan 29, 2018",0.924399,0.802631,"8,342,750",0.835190,"116,239"
131,0.835988,"Jan 28, 2018",0.917882,0.835988,"8,637,630",0.864738,"40,025"
132,0.860335,"Jan 27, 2018",0.898697,0.840630,"8,732,470",0.874255,"28,166"
133,0.874837,"Jan 26, 2018",0.903439,0.786631,"8,840,810",0.885127,"64,163"
134,0.892075,"Jan 25, 2018",0.926519,0.792295,"8,254,500",0.826450,"189,917"
135,0.813072,"Jan 24, 2018",0.856253,0.712787,"7,356,490",0.736564,"48,666"
136,0.736984,"Jan 23, 2018",0.799781,0.672949,"7,698,940",0.770872,"45,134"
