,close,date,high,low,market_cap,open,volume
0,0.744784,"Jun 08, 2018",0.789681,0.694024,"49,625,400",0.737306,"261,375"
1,0.738711,"Jun 07, 2018",0.810827,0.727077,"52,981,600",0.787169,"136,032"
2,0.787405,"Jun 06, 2018",0.896803,0.719789,-,0.791974,"192,387"
3,0.793570,"Jun 05, 2018",0.912360,0.772882,-,0.817173,"201,649"
4,0.817234,"Jun 04, 2018",0.931008,0.780172,-,0.923684,"149,869"
5,0.925073,"Jun 03, 2018",0.940526,0.781535,-,0.851589,"246,482"
6,0.852686,"Jun 02, 2018",0.908179,0.791751,-,0.839099,"153,935"
7,0.839280,"Jun 01, 2018",0.907012,0.698915,-,0.701357,"216,755"
8,0.699848,"May 31, 2018",0.749687,0.684577,-,0.727360,"281,744"
9,0.728060,"May 30, 2018",0.773277,0.692785,-,0.729009,"146,561"
10,0.728563,"May 29, 2018",0.741217,0.627226,-,0.640474,"115,863"
11,0.663366,"May 28, 2018",0.682923,0.618673,-,0.650700,"185,434"
