,close,date,high,low,market_cap,open,volume
0,0.000156,"Jun 08, 2018",0.000156,0.000107,"11,763,400",0.000127,"884,985"
1,0.000127,"Jun 07, 2018",0.000140,0.000122,"11,651,800",0.000126,"587,879"
2,0.000126,"Jun 06, 2018",0.000138,0.000112,"10,461,800",0.000113,"233,517"
3,0.000113,"Jun 05, 2018",0.000118,0.000090,"8,716,480",0.000094,"161,282"
4,0.000094,"Jun 04, 2018",0.000125,0.000089,"11,542,100",0.000125,"95,346"
5,0.000126,"Jun 03, 2018",0.000148,0.000123,"12,089,300",0.000131,"291,143"
6,0.000131,"Jun 02, 2018",0.000141,0.000118,"11,379,300",0.000123,"242,150"
7,0.000126,"Jun 01, 2018",0.000134,0.000107,"11,585,800",0.000125,"418,072"
8,0.000127,"May 31, 2018",0.000195,0.000124,"14,917,100",0.000161,"1,387,200"
9,0.000145,"May 30, 2018",0.000157,0.000081,"7,791,320",0.000084,"1,040,070"
10,0.000084,"May 29, 2018",0.000085,0.000066,"6,511,520",0.000070,"29,115"
11,0.000071,"May 28, 2018",0.000080,0.000063,"6,614,300",0.000072,"21,318"
12,0.000072,"May 27, 2018",0.000085,0.000070,"7,600,090",0.000082,"19,979"
13,0.000082,"May 26, 2018",0.000099,0.000075,"8,422,840",0.000091,"40,969"
14,0.000091,"May 25, 2018",0.000091,0.000067,"6,383,020",0.000069,"31,183"
15,0.000069,"May 24, 2018",0.000070,0.000060,"5,560,520",0.000060,"16,537"
16,0.000062,"May 23, 2018",0.000073,0.000058,"6,479,480",0.000070,"19,330"
17,0.000070,"May 22, 2018",0.000082,0.000067,"6,623,290",0.000072,"14,431"
18,0.000072,"May 21, 2018",0.000084,0.000069,"6,707,970",0.000073,"25,409"
19,0.000072,"May 20, 2018",0.000080,0.000068,"6,597,000",0.000071,"17,095"
20,0.000071,"May 19, 2018",0.000077,0.000058,"6,870,580",0.000074,"27,705"
21,0.000074,"May 18, 2018",0.000078,0.000065,"6,816,270",0.000074,"17,000"
22,0.000074,"May 17, 2018",0.000080,0.000065,"6,836,140",0.000074,"33,987"
23,0.000075,"May 16, 2018",0.000079,0.000066,"6,643,230",0.000072,"17,272"
24,0.000072,"May 15, 2018",0.000084,0.000071,"7,452,190",0.000081,"30,044"
25,0.000081,"May 14, 2018",0.000083,0.000066,"7,153,910",0.000077,"23,420"
26,0.000077,"May 13, 2018",0.000085,0.000065,"7,050,540",0.000076,"31,528"
27,0.000076,"May 12, 2018",0.000084,0.000072,"7,180,610",0.000078,"24,378"
28,0.000078,"May 11, 2018",0.000091,0.000067,"8,109,050",0.000088,"21,673"
29,0.000088,"May 10, 2018",0.000102,0.000072,"8,259,920",0.000089,"56,575"
30,0.000097,"May 09, 2018",0.000097,0.000090,"8,536,920",0.000092,"21,957"
31,0.000122,"May 05, 2018",0.000124,0.000117,"10,856,400",0.000117,112
32,0.000117,"May 04, 2018",0.000136,0.000100,"11,428,800",0.000124,"8,815"
33,0.000133,"May 03, 2018",0.000137,0.000115,"11,887,400",0.000129,"21,020"
34,0.000129,"May 02, 2018",0.000130,0.000113,"11,611,600",0.000126,"49,175"
35,0.000126,"May 01, 2018",0.000138,0.000103,"11,125,100",0.000120,"100,194"
36,0.000120,"Apr 30, 2018",0.000146,0.000084,"8,924,670",0.000096,"132,634"
37,0.000096,"Apr 29, 2018",0.000097,0.000072,"6,946,660",0.000075,"67,465"
38,0.000075,"Apr 28, 2018",0.000088,0.000067,"6,451,450",0.000070,"15,866"
39,0.000070,"Apr 27, 2018",0.000082,0.000062,"7,533,580",0.000081,"28,689"
40,0.000081,"Apr 26, 2018",0.000082,0.000061,"7,168,430",0.000077,"24,496"
41,0.000077,"Apr 25, 2018",0.000104,0.000057,"7,831,780",0.000085,"47,452"
42,0.000085,"Apr 24, 2018",0.000105,0.000063,"6,994,060",0.000076,"142,896"
43,0.000076,"Apr 23, 2018",0.000077,0.000048,"4,469,300",0.000048,"147,780"
44,0.000068,"Apr 22, 2018",0.000068,0.000039,"4,409,860",0.000048,"38,726"
45,0.000048,"Apr 21, 2018",0.000055,0.000040,"5,081,920",0.000055,"17,672"
46,0.000055,"Apr 20, 2018",0.000058,0.000044,"4,768,520",0.000052,"14,308"
47,0.000052,"Apr 19, 2018",0.000059,0.000043,"4,953,410",0.000054,"13,495"
48,0.000054,"Apr 18, 2018",0.000054,0.000039,"4,057,050",0.000044,"7,557"
49,0.000044,"Apr 17, 2018",0.000055,0.000035,"3,339,010",0.000036,"37,528"
50,0.000036,"Apr 16, 2018",0.000050,0.000027,"3,094,260",0.000033,"67,669"
51,0.000033,"Apr 15, 2018",0.000033,0.000027,"2,760,090",0.000030,"1,374"
52,0.000030,"Apr 14, 2018",0.000031,0.000026,"2,436,550",0.000026,"7,322"
53,0.000026,"Apr 13, 2018",0.000033,0.000026,"2,541,780",0.000027,"6,937"
54,0.000027,"Apr 12, 2018",0.000031,0.000025,"2,619,080",0.000028,"8,338"
55,0.000028,"Apr 11, 2018",0.000029,0.000024,"2,620,400",0.000028,"5,451"
56,0.000028,"Apr 10, 2018",0.000029,0.000023,"2,300,210",0.000025,"4,440"
57,0.000025,"Apr 09, 2018",0.000030,0.000023,"2,587,380",0.000028,"5,290"
58,0.000028,"Apr 08, 2018",0.000028,0.000024,"2,279,380",0.000025,970
59,0.000025,"Apr 07, 2018",0.000028,0.000023,"2,394,850",0.000026,"2,784"
60,0.000026,"Apr 06, 2018",0.000027,0.000024,"2,472,310",0.000027,"1,612"
61,0.000027,"Apr 05, 2018",0.000027,0.000024,"2,326,560",0.000025,"8,079"
62,0.000025,"Apr 04, 2018",0.000029,0.000024,"2,705,540",0.000029,"1,967"
63,0.000029,"Apr 03, 2018",0.000030,0.000025,"2,591,650",0.000028,"5,027"
64,0.000028,"Apr 02, 2018",0.000029,0.000025,"2,577,870",0.000028,"1,942"
65,0.000028,"Apr 01, 2018",0.000028,0.000021,"2,543,920",0.000028,"6,035"
66,0.000027,"Mar 31, 2018",0.000029,0.000026,"2,387,220",0.000026,"3,678"
67,0.000026,"Mar 30, 2018",0.000030,0.000024,"2,603,710",0.000028,"1,285"
68,0.000028,"Mar 29, 2018",0.000034,0.000026,"3,100,000",0.000034,"1,588"
69,0.000033,"Mar 28, 2018",0.000037,0.000027,"2,814,620",0.000030,"8,192"
70,0.000030,"Mar 27, 2018",0.000033,0.000026,"2,991,630",0.000032,"9,711"
71,0.000032,"Mar 26, 2018",0.000036,0.000031,"3,106,470",0.000034,"7,201"
72,0.000034,"Mar 25, 2018",0.000035,0.000027,"2,885,960",0.000031,"3,603"
73,0.000032,"Mar 24, 2018",0.000034,0.000030,"3,159,430",0.000034,757
74,0.000034,"Mar 23, 2018",0.000036,0.000029,"3,131,820",0.000034,"3,394"
75,0.000034,"Mar 22, 2018",0.000036,0.000028,"3,190,650",0.000034,"5,996"
76,0.000035,"Mar 21, 2018",0.000040,0.000029,"3,316,490",0.000036,"7,223"
77,0.000036,"Mar 20, 2018",0.000036,0.000028,"2,922,050",0.000032,"5,124"
78,0.000031,"Mar 19, 2018",0.000034,0.000027,"2,757,580",0.000030,"3,598"
79,0.000030,"Mar 18, 2018",0.000040,0.000023,"3,691,320",0.000040,"10,908"
80,0.000040,"Mar 17, 2018",0.000045,0.000035,"4,105,360",0.000044,"3,338"
81,0.000044,"Mar 16, 2018",0.000045,0.000039,"4,165,250",0.000045,"3,205"
82,0.000045,"Mar 15, 2018",0.000046,0.000036,"3,691,030",0.000040,"5,924"
83,0.000040,"Mar 14, 2018",0.000049,0.000039,"4,066,910",0.000044,"4,077"
84,0.000044,"Mar 13, 2018",0.000053,0.000040,"4,406,560",0.000048,"11,383"
85,0.000048,"Mar 12, 2018",0.000055,0.000043,"4,019,040",0.000043,"9,220"
86,0.000044,"Mar 11, 2018",0.000054,0.000042,"3,944,020",0.000043,"10,574"
87,0.000043,"Mar 10, 2018",0.000051,0.000037,"3,952,910",0.000043,"4,835"
88,0.000043,"Mar 09, 2018",0.000043,0.000034,"5,448",0.000036,"8,251"
89,0.000036,"Mar 08, 2018",0.000043,0.000036,"6,466",0.000043,"2,687"
90,0.000043,"Mar 07, 2018",0.000052,0.000037,"7,694",0.000051,"2,802"
91,0.000051,"Mar 06, 2018",0.000058,0.000041,"7,666",0.000051,"5,175"
92,0.000051,"Mar 05, 2018",0.000056,0.000043,"7,988",0.000053,"9,734"
93,0.000053,"Mar 04, 2018",0.000059,0.000041,"6,093",0.000041,"3,984"
94,0.000041,"Mar 03, 2018",0.000062,0.000041,"9,220",0.000061,"4,411"
95,0.000062,"Mar 02, 2018",0.000063,0.000043,"8,008",0.000053,"5,478"
96,0.000053,"Mar 01, 2018",0.000062,0.000051,"7,708",0.000051,"5,847"
97,0.000051,"Feb 28, 2018",0.000070,0.000051,"9,199",0.000061,"20,520"
98,0.000061,"Feb 27, 2018",0.000066,0.000057,"9,105",0.000061,"15,581"
99,0.000061,"Feb 26, 2018",0.000065,0.000046,"6,919",0.000046,"11,338"
100,0.000046,"Feb 25, 2018",0.000063,0.000040,"9,095",0.000061,"31,297"
101,0.000061,"Feb 24, 2018",0.000065,0.000053,"8,858",0.000059,"11,059"
102,0.000059,"Feb 23, 2018",0.000067,0.000053,"8,592",0.000057,"4,125"
103,0.000057,"Feb 22, 2018",0.000069,0.000050,"10,076",0.000067,"8,143"
104,0.000067,"Feb 21, 2018",0.000075,0.000044,"9,303",0.000062,"15,824"
105,0.000062,"Feb 20, 2018",0.000108,0.000046,"16,163",0.000108,"29,579"
106,0.000108,"Feb 19, 2018",0.000127,0.000042,"7,813",0.000052,"20,367"
107,0.000041,"Feb 18, 2018",0.000058,0.000039,"6,207",0.000041,"3,001"
108,0.000041,"Feb 17, 2018",0.000063,0.000039,"7,034",0.000047,"5,109"
109,0.000047,"Feb 16, 2018",0.000061,0.000032,"7,110",0.000047,"1,813"
110,0.000047,"Feb 15, 2018",0.000063,0.000036,"6,080",0.000041,"11,130"
111,0.000041,"Feb 14, 2018",0.000043,0.000030,"5,808",0.000039,"2,183"
112,0.000039,"Feb 13, 2018",0.000042,0.000034,"5,055",0.000034,"1,440"
113,0.000034,"Feb 12, 2018",0.000035,0.000017,"3,660",0.000024,"11,391"
114,0.000024,"Feb 11, 2018",0.000051,0.000024,"5,746",0.000038,"8,947"
115,0.000038,"Feb 10, 2018",0.000047,0.000026,"6,640",0.000044,"2,998"
116,0.000044,"Feb 09, 2018",0.000045,0.000040,"6,306",0.000042,538
117,0.000042,"Feb 08, 2018",0.000045,0.000037,"5,895",0.000039,"5,244"
118,0.000039,"Feb 07, 2018",0.000049,0.000031,"6,276",0.000042,"10,917"
119,0.000042,"Feb 06, 2018",0.000045,0.000027,"5,992",0.000040,"11,117"
120,0.000040,"Feb 05, 2018",0.000053,0.000024,"7,068",0.000047,"15,247"
121,0.000048,"Feb 04, 2018",0.000058,0.000041,"8,596",0.000057,"17,301"
