,close,date,high,low,market_cap,open,volume
0,0.171226,"Jun 08, 2018",0.210935,0.171226,"968,747",0.210501,"1,455"
1,0.210341,"Jun 07, 2018",0.267698,0.172430,"793,541",0.172430,"2,661"
2,0.172272,"Jun 06, 2018",0.184389,0.152247,"718,209",0.156061,"2,105"
3,0.156103,"Jun 05, 2018",0.183027,0.128953,"841,408",0.182831,"1,373"
4,0.182743,"Jun 04, 2018",0.219828,0.180347,"1,008,970",0.219241,"1,224"
5,0.219139,"Jun 03, 2018",0.244732,0.218194,"1,124,360",0.244315,"2,411"
6,0.244249,"Jun 02, 2018",0.250225,0.217655,"1,049,870",0.228129,"2,313"
7,0.228228,"Jun 01, 2018",0.230405,0.216014,"1,034,660",0.224824,236
8,0.224660,"May 31, 2018",0.231785,0.147153,"749,506",0.162862,"5,743"
9,0.162892,"May 30, 2018",0.200381,0.161724,"911,724",0.198110,"1,932"
10,0.197977,"May 29, 2018",0.208659,0.101468,"884,850",0.192271,"3,870"
11,0.192333,"May 28, 2018",0.231728,0.191750,"1,029,340",0.223667,"5,586"
12,0.223615,"May 27, 2018",0.235508,0.194042,"945,191",0.205382,"13,335"
13,0.205292,"May 26, 2018",0.228452,0.188168,"988,775",0.214853,"1,338"
14,0.215135,"May 25, 2018",0.255037,0.202624,"1,160,040",0.252067,"1,823"
15,0.251594,"May 24, 2018",0.254109,0.225428,"1,041,280",0.226263,"1,189"
16,0.226835,"May 23, 2018",0.308263,0.224984,"1,411,790",0.306772,"1,590"
17,0.307090,"May 22, 2018",0.341098,0.252927,"1,431,640",0.311084,"17,261"
18,0.311140,"May 21, 2018",0.348919,0.225255,"1,295,440",0.281490,"7,114"
19,0.281139,"May 20, 2018",0.285928,0.274007,"1,309,150",0.284467,310
20,0.284255,"May 19, 2018",0.354007,0.267496,"1,237,590",0.268919,"3,135"
21,0.268960,"May 18, 2018",0.272334,0.206372,"1,226,810",0.266575,"7,469"
22,0.266342,"May 17, 2018",0.275575,0.256680,"1,237,890",0.268984,"2,463"
23,0.268820,"May 16, 2018",0.314246,0.266969,"1,445,010",0.313988,"2,753"
24,0.314169,"May 15, 2018",0.360178,0.303135,"1,397,230",0.303606,"2,356"
25,0.304128,"May 14, 2018",0.359430,0.300604,"1,430,170",0.310765,"1,212"
26,0.310821,"May 13, 2018",0.344033,0.310600,"1,558,770",0.338709,"1,723"
27,0.338826,"May 12, 2018",0.345444,0.329515,"1,545,370",0.335797,55
28,0.336787,"May 11, 2018",0.405081,0.334568,"1,720,720",0.373900,"2,797"
29,0.373453,"May 10, 2018",0.400386,0.373092,"1,802,400",0.391647,587
30,0.391757,"May 09, 2018",0.393085,0.378135,"1,780,170",0.386816,559
31,0.387408,"May 08, 2018",0.410654,0.382964,"1,872,580",0.406897,"1,360"
32,0.406036,"May 07, 2018",0.501168,0.382252,"1,874,140",0.407236,"5,606"
33,0.406944,"May 06, 2018",0.436974,0.391097,"1,876,250",0.407693,"1,416"
34,0.407418,"May 05, 2018",0.444226,0.391622,"2,007,290",0.436168,"11,204"
35,0.436375,"May 04, 2018",0.469739,0.435118,"2,161,790",0.469739,"3,455"
36,0.469923,"May 03, 2018",0.522277,0.417948,"2,170,180",0.471562,"1,968"
37,0.471545,"May 02, 2018",0.563318,0.463501,"2,590,070",0.562801,"2,730"
38,0.563650,"May 01, 2018",0.568274,0.424815,"2,116,810",0.459966,"5,084"
39,0.459564,"Apr 30, 2018",0.589934,0.400322,"2,704,170",0.587595,"2,437"
40,0.587791,"Apr 29, 2018",0.588225,0.347806,"2,122,050",0.461105,425
41,0.461285,"Apr 28, 2018",0.464391,0.240434,"1,641,230",0.356625,45
42,0.357853,"Apr 27, 2018",0.374853,0.357853,"1,669,090",0.362681,"3,293"
43,0.362179,"Apr 26, 2018",0.370143,0.327740,"1,652,660",0.359109,"3,266"
44,0.356157,"Apr 25, 2018",0.401682,0.355659,"1,829,880",0.397619,451
45,0.400300,"Apr 24, 2018",0.469372,0.379291,"2,043,980",0.444142,"4,037"
46,0.444085,"Apr 23, 2018",0.454009,0.381574,"1,757,510",0.381893,"1,705"
47,0.382665,"Apr 22, 2018",0.388519,0.323783,"1,561,400",0.339281,635
48,0.339281,"Apr 21, 2018",0.368557,0.331243,"1,587,730",0.345001,358
49,0.344882,"Apr 20, 2018",0.354340,0.308598,"1,560,420",0.339066,714
50,0.338843,"Apr 19, 2018",0.339038,0.256547,"1,184,680",0.257421,"1,347"
51,0.257231,"Apr 18, 2018",0.285758,0.256969,"1,277,300",0.277548,500
52,0.277291,"Apr 17, 2018",0.302264,0.277094,"1,389,520",0.301931,949
53,0.301779,"Apr 16, 2018",0.318888,0.233155,"1,459,340",0.317104,4
54,0.317237,"Apr 15, 2018",0.346700,0.314595,"1,491,460",0.324083,557
55,0.349738,"Apr 14, 2018",0.354663,0.339907,"1,569,670",0.341077,54
56,0.341078,"Apr 13, 2018",0.345083,0.311989,"1,461,270",0.317523,"1,006"
57,0.317123,"Apr 12, 2018",0.345019,0.270495,"1,278,710",0.277854,"1,642"
58,0.278526,"Apr 11, 2018",0.315357,0.256507,"1,199,720",0.260690,696
59,0.260439,"Apr 10, 2018",0.291328,0.255226,"1,182,570",0.256963,290
60,0.256754,"Apr 09, 2018",0.300561,0.253782,"1,216,210",0.264273,778
61,0.263846,"Apr 08, 2018",0.300674,0.244689,"1,370,970",0.297900,615
62,0.297631,"Apr 07, 2018",0.301807,0.246168,"1,177,740",0.255915,"1,772"
63,0.255609,"Apr 06, 2018",0.255954,0.231888,"1,118,330",0.243004,"2,205"
64,0.244248,"Apr 05, 2018",0.275534,0.230997,"1,131,480",0.245862,"2,377"
65,0.245759,"Apr 04, 2018",0.311932,0.243522,"1,435,540",0.311932,"2,243"
66,0.312148,"Apr 03, 2018",0.401523,0.266091,"1,228,540",0.266952,"2,435"
67,0.266762,"Apr 02, 2018",0.307799,0.254109,"1,255,080",0.272718,"3,679"
68,0.271383,"Apr 01, 2018",0.293963,0.255690,"1,331,690",0.289366,"2,396"
69,0.289375,"Mar 31, 2018",0.304485,0.277569,"1,292,050",0.280751,192
70,0.280708,"Mar 30, 2018",0.315094,0.278109,"1,443,210",0.313598,790
71,0.314380,"Mar 29, 2018",0.365517,0.293928,"1,644,590",0.357355,"6,758"
72,0.356937,"Mar 28, 2018",0.435540,0.334366,"1,612,600",0.350406,"3,276"
73,0.350486,"Mar 27, 2018",0.406300,0.337111,"1,692,710",0.367812,"2,351"
74,0.368370,"Mar 26, 2018",0.447490,0.353539,"1,867,490",0.405790,"3,023"
75,0.406101,"Mar 25, 2018",0.466912,0.370481,"2,132,220",0.463356,"3,030"
76,0.469823,"Mar 24, 2018",0.543235,0.387615,"2,496,800",0.542642,"5,735"
77,0.534854,"Mar 23, 2018",0.534854,0.436140,"2,198,590",0.477879,"4,528"
78,0.477891,"Mar 22, 2018",0.533742,0.467308,"2,311,240",0.502416,"2,302"
79,0.503334,"Mar 21, 2018",0.546157,0.455269,"2,347,780",0.510414,"2,853"
80,0.509491,"Mar 20, 2018",0.596716,0.354545,"1,664,570",0.361917,"12,408"
81,0.357924,"Mar 19, 2018",0.370920,0.340941,"1,656,780",0.360261,"1,063"
