,close,date,high,low,market_cap,open,volume
0,0.000030,"Jun 08, 2018",0.000032,0.000024,"5,397,570",0.000025,"158,291"
1,0.000025,"Jun 07, 2018",0.000028,0.000024,"5,707,380",0.000027,"40,943"
2,0.000026,"Jun 06, 2018",0.000029,0.000025,"6,043,700",0.000028,"45,898"
3,0.000029,"Jun 05, 2018",0.000029,0.000025,"5,541,760",0.000026,"57,873"
4,0.000026,"Jun 04, 2018",0.000029,0.000026,"5,910,620",0.000028,"45,603"
5,0.000028,"Jun 03, 2018",0.000032,0.000027,"6,154,630",0.000029,"66,979"
6,0.000028,"Jun 02, 2018",0.000039,0.000025,"5,370,960",0.000025,"278,716"
7,0.000025,"Jun 01, 2018",0.000027,0.000025,"5,541,120",0.000026,"33,678"
8,0.000026,"May 31, 2018",0.000028,0.000025,"5,639,170",0.000027,"24,521"
9,0.000027,"May 30, 2018",0.000029,0.000025,"5,673,170",0.000027,"40,941"
10,0.000027,"May 29, 2018",0.000027,0.000021,"5,151,850",0.000024,"104,998"
11,0.000024,"May 28, 2018",0.000030,0.000023,"6,101,560",0.000029,"93,551"
12,0.000029,"May 27, 2018",0.000032,0.000028,"6,871,770",0.000032,"71,657"
13,0.000032,"May 26, 2018",0.000035,0.000031,"7,113,490",0.000034,"39,327"
14,0.000034,"May 25, 2018",0.000035,0.000031,"6,910,230",0.000033,"25,663"
15,0.000031,"May 24, 2018",0.000035,0.000030,"7,386,820",0.000035,"77,726"
16,0.000035,"May 23, 2018",0.000038,0.000032,"7,941,180",0.000037,"89,412"
17,0.000038,"May 22, 2018",0.000045,0.000037,"9,314,500",0.000044,"91,753"
18,0.000043,"May 21, 2018",0.000049,0.000041,"10,020,900",0.000047,"126,663"
19,0.000047,"May 20, 2018",0.000047,0.000037,"8,158,690",0.000038,"77,129"
20,0.000038,"May 19, 2018",0.000044,0.000036,"8,076,900",0.000038,"62,596"
21,0.000038,"May 18, 2018",0.000041,0.000035,"7,692,350",0.000036,"79,039"
22,0.000036,"May 17, 2018",0.000044,0.000036,"8,585,470",0.000040,"78,181"
23,0.000041,"May 16, 2018",0.000045,0.000039,"9,463,240",0.000045,"75,817"
24,0.000045,"May 15, 2018",0.000048,0.000042,"9,755,290",0.000046,"134,499"
25,0.000046,"May 14, 2018",0.000050,0.000043,"10,343,700",0.000049,"78,643"
26,0.000049,"May 13, 2018",0.000052,0.000042,"9,867,450",0.000046,"82,064"
27,0.000046,"May 12, 2018",0.000049,0.000040,"9,650,920",0.000045,"93,127"
28,0.000046,"May 11, 2018",0.000052,0.000044,"10,776,600",0.000051,"132,610"
29,0.000051,"May 10, 2018",0.000060,0.000051,"11,591,800",0.000055,"263,049"
30,0.000055,"May 09, 2018",0.000059,0.000055,"12,145,700",0.000057,"90,721"
31,0.000059,"May 08, 2018",0.000065,0.000055,"12,932,600",0.000061,"166,642"
32,0.000061,"May 07, 2018",0.000068,0.000052,"13,425,400",0.000063,"225,915"
33,0.000063,"May 06, 2018",0.000071,0.000060,"14,360,200",0.000068,"148,189"
34,0.000068,"May 05, 2018",0.000076,0.000064,"13,745,900",0.000065,"283,232"
35,0.000065,"May 04, 2018",0.000077,0.000062,"16,246,800",0.000077,"295,826"
36,0.000077,"May 03, 2018",0.000083,0.000061,"13,694,900",0.000065,"368,955"
37,0.000065,"May 02, 2018",0.000068,0.000062,"14,020,100",0.000066,"220,463"
38,0.000066,"May 01, 2018",0.000072,0.000064,"14,501,600",0.000068,"229,220"
39,0.000068,"Apr 30, 2018",0.000082,0.000067,"16,866,300",0.000079,"310,436"
40,0.000076,"Apr 29, 2018",0.000087,0.000051,"10,772,900",0.000051,"616,298"
41,0.000052,"Apr 28, 2018",0.000067,0.000041,"9,080,010",0.000043,"546,124"
42,0.000043,"Apr 27, 2018",0.000049,0.000038,"8,689,060",0.000041,"190,619"
43,0.000041,"Apr 26, 2018",0.000042,0.000033,"7,215,670",0.000034,"321,384"
44,0.000034,"Apr 25, 2018",0.000043,0.000019,"4,085,320",0.000019,"544,936"
45,0.000019,"Apr 24, 2018",0.000022,0.000017,"3,640,040",0.000017,"759,347"
46,0.000018,"Apr 23, 2018",0.000025,0.000017,"5,049,450",0.000024,"84,798"
47,0.000024,"Apr 22, 2018",0.000029,0.000021,"4,621,510",0.000022,"128,373"
48,0.000022,"Apr 21, 2018",0.000022,0.000017,"4,161,680",0.000020,"121,164"
49,0.000020,"Apr 20, 2018",0.000031,0.000019,"5,354,370",0.000025,"195,894"
50,0.000025,"Apr 19, 2018",0.000031,0.000020,"4,374,080",0.000021,"125,341"
51,0.000021,"Apr 18, 2018",0.000023,0.000016,"3,528,460",0.000017,"32,778"
52,0.000017,"Apr 17, 2018",0.000021,0.000015,"4,358,070",0.000021,"63,962"
53,0.000020,"Apr 16, 2018",0.000027,0.000018,"4,562,360",0.000021,"51,962"
54,0.000021,"Apr 15, 2018",0.000025,0.000018,"3,775,460",0.000018,"199,639"
