,close,date,high,low,market_cap,open,volume
0,8.74,"Jun 08, 2018",9.19,8.67,-,9.13,"890,908"
1,9.13,"Jun 07, 2018",9.30,8.83,-,8.96,"945,864"
2,9.00,"Jun 06, 2018",9.55,8.66,-,8.99,"794,668"
3,9.08,"Jun 05, 2018",9.32,8.74,-,9.12,"420,925"
4,9.25,"Jun 04, 2018",9.64,8.86,-,9.43,"460,949"
5,9.47,"Jun 03, 2018",9.96,9.40,-,9.66,"480,322"
6,9.67,"Jun 02, 2018",9.83,8.66,-,9.16,"550,643"
7,8.99,"Jun 01, 2018",9.15,8.38,-,8.42,"448,418"
8,8.32,"May 31, 2018",9.25,8.09,-,8.63,"420,755"
9,8.74,"May 30, 2018",9.53,8.57,-,8.73,"451,015"
10,8.73,"May 29, 2018",9.65,7.89,-,8.19,"349,828"
11,8.30,"May 28, 2018",9.40,7.89,-,9.34,"437,465"
12,9.23,"May 27, 2018",9.43,8.83,-,8.85,"451,164"
13,9.27,"May 26, 2018",9.67,8.65,-,9.30,"442,956"
14,9.22,"May 25, 2018",10.96,8.61,-,10.71,"464,096"
15,10.67,"May 24, 2018",10.75,8.40,-,10.06,"332,725"
16,10.14,"May 23, 2018",11.11,9.64,-,10.29,"643,612"
17,10.38,"May 22, 2018",11.68,10.33,-,11.19,"460,149"
18,11.08,"May 21, 2018",12.34,8.63,-,11.16,"535,286"
19,11.11,"May 20, 2018",11.65,10.86,-,11.05,"523,799"
20,11.03,"May 19, 2018",11.63,10.17,-,11.54,"593,852"
21,11.57,"May 18, 2018",12.02,10.63,-,10.93,"161,473"
22,10.85,"May 17, 2018",11.27,10.75,-,11.05,"546,388"
23,10.99,"May 16, 2018",12.45,10.30,-,12.44,"550,250"
24,12.44,"May 15, 2018",13.20,10.87,-,13.08,"695,785"
25,13.00,"May 14, 2018",13.54,12.67,-,13.39,"439,894"
26,13.40,"May 13, 2018",13.74,12.69,-,12.91,"148,997"
27,12.91,"May 12, 2018",13.21,11.34,-,12.44,"885,292"
28,12.48,"May 11, 2018",13.84,12.34,-,13.76,"757,980"
29,13.74,"May 10, 2018",14.41,13.69,-,13.96,"903,479"
30,14.03,"May 09, 2018",14.23,13.57,-,14.06,"848,249"
31,14.06,"May 08, 2018",14.31,13.75,-,14.09,"954,299"
32,14.11,"May 07, 2018",14.83,13.94,-,14.76,"884,658"
33,14.74,"May 06, 2018",15.49,14.36,-,14.86,"1,257,520"
34,14.87,"May 05, 2018",15.27,14.53,-,14.53,"1,109,340"
35,14.69,"May 04, 2018",15.03,14.50,-,14.58,"1,041,700"
36,14.76,"May 03, 2018",14.85,14.33,-,14.50,"1,289,080"
37,14.49,"May 02, 2018",14.60,13.96,-,14.45,"1,050,700"
38,14.60,"May 01, 2018",14.60,13.97,-,14.59,"1,189,140"
39,14.49,"Apr 30, 2018",15.47,14.43,-,15.47,"987,335"
40,15.48,"Apr 29, 2018",15.69,14.34,-,14.73,"1,393,000"
41,14.75,"Apr 28, 2018",15.02,13.97,-,14.22,"1,152,500"
42,14.22,"Apr 27, 2018",14.97,14.19,-,14.69,"1,401,710"
43,14.82,"Apr 26, 2018",15.14,13.78,-,14.10,"744,957"
44,14.05,"Apr 25, 2018",16.04,13.67,-,16.04,"748,237"
45,16.07,"Apr 24, 2018",16.07,13.85,-,13.89,"1,954,600"
46,13.93,"Apr 23, 2018",14.88,13.93,-,14.53,"768,380"
47,14.53,"Apr 22, 2018",15.99,14.45,-,15.19,"815,365"
48,15.20,"Apr 21, 2018",16.21,13.96,-,16.21,"988,960"
49,16.03,"Apr 20, 2018",16.51,15.55,-,16.03,"1,206,510"
50,16.04,"Apr 19, 2018",17.36,15.87,-,16.36,"1,157,600"
51,16.37,"Apr 18, 2018",16.50,14.11,-,14.11,"1,426,510"
52,14.12,"Apr 17, 2018",14.73,13.11,-,13.36,"248,777"
53,13.22,"Apr 16, 2018",14.43,12.63,-,14.41,"506,819"
54,14.44,"Apr 15, 2018",16.27,12.83,-,12.86,"854,248"
55,12.83,"Apr 14, 2018",13.04,11.61,-,11.85,"431,598"
56,11.98,"Apr 13, 2018",12.82,11.71,-,12.39,"377,594"
57,12.52,"Apr 12, 2018",12.52,9.81,-,9.82,"431,623"
58,9.84,"Apr 11, 2018",10.49,9.49,-,9.93,"407,866"
59,9.91,"Apr 10, 2018",10.49,9.28,-,10.47,"271,132"
