,close,date,high,low,market_cap,open,volume
0,0.021441,"Jun 08, 2018",0.021538,0.020639,-,0.020973,52
1,0.020957,"Jun 07, 2018",0.021695,0.020887,-,0.021439,82
2,0.021419,"Jun 06, 2018",0.021530,0.018827,-,0.019060,167
3,0.019065,"Jun 05, 2018",0.022451,0.018488,-,0.018756,336
4,0.018747,"Jun 04, 2018",0.023807,0.018677,-,0.023743,63
5,0.023732,"Jun 03, 2018",0.023796,0.023411,-,0.023515,96
6,0.023509,"Jun 02, 2018",0.024547,0.023472,-,0.024053,95
7,0.024064,"Jun 01, 2018",0.024976,0.020198,-,0.024647,59
8,0.024629,"May 31, 2018",0.026021,0.020764,-,0.025323,24
9,0.025327,"May 30, 2018",0.025338,0.020604,-,0.020677,183
10,0.020663,"May 29, 2018",0.020864,0.019610,-,0.019718,25
11,0.019725,"May 28, 2018",0.025495,0.019665,-,0.025268,39
12,0.025262,"May 27, 2018",0.025325,0.024740,-,0.025086,77
13,0.025075,"May 26, 2018",0.026681,0.023254,-,0.026138,44
14,0.026172,"May 25, 2018",0.027241,0.023191,-,0.026923,199
15,0.026873,"May 24, 2018",0.028183,0.022193,-,0.027446,44
16,0.027516,"May 23, 2018",0.031625,0.023747,-,0.031533,384
17,0.031566,"May 22, 2018",0.033142,0.028605,-,0.032622,79
18,0.032628,"May 21, 2018",0.034831,0.025882,-,0.033172,"1,817"
19,0.033130,"May 20, 2018",0.033387,0.027498,-,0.032240,169
20,0.032216,"May 19, 2018",0.032569,0.030816,-,0.031061,76
21,0.031065,"May 18, 2018",0.031178,0.026487,-,0.030535,97
22,0.030508,"May 17, 2018",0.031317,0.026547,-,0.030889,35
23,0.030870,"May 16, 2018",0.031255,0.026329,-,0.031229,106
24,0.031247,"May 15, 2018",0.032425,0.026949,-,0.031922,78
25,0.031977,"May 14, 2018",0.032594,0.027619,-,0.031807,28
26,0.031812,"May 13, 2018",0.032372,0.031216,-,0.031585,78
27,0.031596,"May 12, 2018",0.032346,0.025994,-,0.031733,185
28,0.031826,"May 11, 2018",0.034344,0.027517,-,0.034344,751
29,0.034303,"May 10, 2018",0.036381,0.028305,-,0.036138,573
30,0.036148,"May 09, 2018",0.036148,0.030575,-,0.031276,974
31,0.031324,"May 08, 2018",0.031827,0.028288,-,0.028288,123
32,0.028228,"May 07, 2018",0.031977,0.027718,-,0.028937,20
33,0.028917,"May 06, 2018",0.033869,0.027826,-,0.029486,77
34,0.029466,"May 05, 2018",0.034701,0.029239,-,0.029562,45
35,0.029576,"May 04, 2018",0.034389,0.029252,-,0.034312,85
36,0.034325,"May 03, 2018",0.034490,0.027153,-,0.027197,233
37,0.027196,"May 02, 2018",0.032093,0.026560,-,0.032064,73
38,0.032112,"May 01, 2018",0.032112,0.026216,-,0.027260,46
39,0.027237,"Apr 30, 2018",0.033508,0.027098,-,0.033375,78
40,0.033386,"Apr 29, 2018",0.033411,0.024929,-,0.031120,152
41,0.031133,"Apr 28, 2018",0.031855,0.023968,-,0.031205,91
42,0.031312,"Apr 27, 2018",0.032585,0.024089,-,0.027891,208
43,0.027853,"Apr 26, 2018",0.031772,0.026033,-,0.031464,56
44,0.031205,"Apr 25, 2018",0.032524,0.027051,-,0.030064,76
45,0.030270,"Apr 24, 2018",0.034192,0.029698,-,0.031059,159
46,0.031032,"Apr 23, 2018",0.031867,0.030738,-,0.030822,166
47,0.030884,"Apr 22, 2018",0.032062,0.030723,-,0.031874,175
48,0.031874,"Apr 21, 2018",0.034842,0.030769,-,0.034749,276
49,0.034737,"Apr 20, 2018",0.035060,0.029152,-,0.032662,230
50,0.032640,"Apr 19, 2018",0.032714,0.028611,-,0.032412,89
51,0.032388,"Apr 18, 2018",0.032592,0.028516,-,0.028979,370
52,0.028952,"Apr 17, 2018",0.032492,0.028858,-,0.031393,100
53,0.031377,"Apr 16, 2018",0.033485,0.031047,-,0.033298,21
54,0.033312,"Apr 15, 2018",0.033312,0.029125,-,0.029125,91
55,0.029093,"Apr 14, 2018",0.032306,0.028538,-,0.028636,82
56,0.028636,"Apr 13, 2018",0.032383,0.028061,-,0.028585,235
57,0.028549,"Apr 12, 2018",0.030446,0.024937,-,0.025076,146
58,0.025137,"Apr 11, 2018",0.026540,0.024822,-,0.026094,99
59,0.026069,"Apr 10, 2018",0.026227,0.023620,-,0.025690,82
