,close,date,high,low,market_cap,open,volume
0,0.235496,"Jun 08, 2018",0.246915,0.234645,"20,738,100",0.242386,"3,929,020"
1,0.242381,"Jun 07, 2018",0.247729,0.238252,"20,641,200",0.241253,"3,881,030"
2,0.241375,"Jun 06, 2018",0.247005,0.236975,"21,070,000",0.246264,"3,866,080"
3,0.246479,"Jun 05, 2018",0.247285,0.235745,"20,193,800",0.236024,"4,053,470"
4,0.235703,"Jun 04, 2018",0.257532,0.233633,"21,932,200",0.256341,"3,984,140"
5,0.256199,"Jun 03, 2018",0.256807,0.244242,"21,660,500",0.253166,"4,207,080"
6,0.251728,"Jun 02, 2018",0.255618,0.236854,"20,330,200",0.237617,"4,170,370"
7,0.238401,"Jun 01, 2018",0.240333,0.233662,"20,251,400",0.236696,"3,861,660"
8,0.235921,"May 31, 2018",0.238169,0.226596,"19,759,400",0.230946,"3,978,190"
9,0.228871,"May 30, 2018",0.245735,0.222765,"20,762,900",0.242675,"3,953,600"
10,0.241984,"May 29, 2018",0.244328,0.224464,"19,385,300",0.226574,"4,177,610"
11,0.226208,"May 28, 2018",0.259625,0.226208,"21,574,200",0.252157,"3,795,820"
12,0.252497,"May 27, 2018",0.252497,0.245116,"21,433,300",0.250511,"3,807,000"
13,0.250289,"May 26, 2018",0.267096,0.246616,"21,751,500",0.254230,"4,006,240"
14,0.254585,"May 25, 2018",0.276142,0.251373,"23,463,000",0.274234,"4,427,260"
15,0.273380,"May 24, 2018",0.289564,0.240859,"22,723,600",0.265592,"4,767,340"
16,0.266536,"May 23, 2018",0.300205,0.258104,"25,685,100",0.300205,"4,746,710"
17,0.301161,"May 22, 2018",0.325057,0.300654,"27,730,600",0.324113,"5,057,480"
18,0.324246,"May 21, 2018",0.342233,0.321467,"29,150,800",0.340712,"5,635,000"
19,0.340512,"May 20, 2018",0.347833,0.317045,"29,090,600",0.340008,"6,074,960"
20,0.338970,"May 19, 2018",0.364398,0.330103,"29,951,600",0.350072,"5,925,160"
21,0.350944,"May 18, 2018",0.364792,0.313745,"27,021,300",0.315823,"6,573,620"
22,0.315974,"May 17, 2018",0.332256,0.314378,"27,343,900",0.319594,"5,446,770"
23,0.319723,"May 16, 2018",0.346148,0.311915,"29,615,800",0.346148,"5,297,760"
24,0.345842,"May 15, 2018",0.370371,0.331183,"28,727,700",0.335768,"6,477,380"
25,0.336504,"May 14, 2018",0.353898,0.302199,"30,230,000",0.353327,"6,377,330"
26,0.353811,"May 13, 2018",0.364407,0.305358,"26,126,400",0.305363,"6,850,860"
27,0.305941,"May 12, 2018",0.320107,0.278178,"26,048,300",0.304451,"5,357,790"
28,0.310281,"May 11, 2018",0.349880,0.303688,"29,696,900",0.347095,"5,836,000"
29,0.347175,"May 10, 2018",0.395214,0.345120,"31,587,900",0.369198,"7,250,880"
30,0.368772,"May 09, 2018",0.404485,0.345968,"31,387,400",0.366853,"8,038,400"
31,0.366870,"May 08, 2018",0.421507,0.353857,"32,106,800",0.375261,"8,278,630"
32,0.373672,"May 07, 2018",0.384771,0.344196,"32,518,300",0.380071,"3,480,830"
33,0.379993,"May 06, 2018",0.447853,0.350463,"37,715,200",0.440812,"759,085"
34,0.434754,"May 05, 2018",0.444363,0.381004,"32,624,900",0.381318,"1,197,620"
35,0.381473,"May 04, 2018",0.401425,0.315903,"28,742,900",0.335945,"865,136"
36,0.336084,"May 03, 2018",0.354402,0.315010,"28,713,200",0.335598,"350,442"
37,0.335614,"May 02, 2018",0.335614,0.301185,"26,733,300",0.312457,"492,615"
38,0.312784,"May 01, 2018",0.320971,0.282672,"27,461,800",0.320971,"813,918"
39,0.321612,"Apr 30, 2018",0.335744,0.314874,"27,809,800",0.325039,"241,825"
40,0.337982,"Apr 29, 2018",0.358787,0.320781,"28,542,000",0.333597,"835,124"
41,0.333683,"Apr 28, 2018",0.353697,0.325933,"29,034,200",0.339350,"405,503"
42,0.339871,"Apr 27, 2018",0.373306,0.327946,"31,225,300",0.364959,"386,004"
43,0.363165,"Apr 26, 2018",0.375901,0.321323,"30,050,400",0.351227,"633,178"
44,0.350377,"Apr 25, 2018",0.403431,0.316883,"33,876,800",0.395950,"1,046,750"
45,0.396232,"Apr 24, 2018",0.422203,0.375282,"32,409,700",0.378802,"689,013"
46,0.378681,"Apr 23, 2018",0.427159,0.371341,"32,522,500",0.380120,"707,821"
47,0.382449,"Apr 22, 2018",0.434704,0.356081,"33,071,200",0.386534,"1,118,180"
48,0.386526,"Apr 21, 2018",0.420847,0.298776,"30,147,100",0.352358,"2,146,390"
49,0.355255,"Apr 20, 2018",0.355255,0.273342,"25,099,400",0.293360,"902,224"
50,0.293301,"Apr 19, 2018",0.298825,0.251247,"23,477,300",0.274401,"438,803"
51,0.274317,"Apr 18, 2018",0.280681,0.243388,"21,179,900",0.247549,"273,741"
52,0.247565,"Apr 17, 2018",0.279881,0.239572,"21,923,100",0.256235,"249,971"
53,0.256222,"Apr 16, 2018",0.285609,0.242497,"23,713,000",0.277156,"492,241"
54,0.277257,"Apr 15, 2018",0.293654,0.200828,"17,682,400",0.206671,"1,203,670"
55,0.206512,"Apr 14, 2018",0.210838,0.191968,"16,666,300",0.194794,"277,500"
56,0.194711,"Apr 13, 2018",0.232575,0.180405,"16,427,000",0.191997,"679,235"
57,0.191840,"Apr 12, 2018",0.191840,0.149994,"14,189,300",0.165844,"565,894"
58,0.166047,"Apr 11, 2018",0.167117,0.148968,"12,748,500",0.149004,"235,477"
59,0.148874,"Apr 10, 2018",0.158509,0.148117,"13,311,200",0.155581,"249,107"
