,close,date,high,low,market_cap,open,volume
0,0.012031,"Jun 08, 2018",0.012931,0.011127,"10,397,000",0.011552,"1,763"
1,0.011543,"Jun 07, 2018",0.013383,0.010968,"10,823,100",0.012026,"5,689"
2,0.012015,"Jun 06, 2018",0.012459,0.010561,"10,562,500",0.011736,"7,791"
3,0.011437,"Jun 05, 2018",0.011928,0.009669,"10,723,900",0.011916,"3,767"
4,0.011910,"Jun 04, 2018",0.013072,0.010620,"11,312,800",0.012570,"5,636"
5,0.012564,"Jun 03, 2018",0.014530,0.011533,"11,339,700",0.012600,"4,703"
6,0.012596,"Jun 02, 2018",0.014979,0.011506,"12,046,600",0.013385,"11,794"
7,0.013391,"Jun 01, 2018",0.015596,0.012678,"12,675,800",0.014084,"5,339"
8,0.014074,"May 31, 2018",0.014766,0.013740,"12,426,300",0.013807,"2,423"
9,0.013810,"May 30, 2018",0.014651,0.012929,"12,765,000",0.014183,"3,124"
10,0.014174,"May 29, 2018",0.014847,0.012803,"11,791,100",0.013101,"6,811"
11,0.013105,"May 28, 2018",0.015719,0.011455,"13,448,400",0.014943,"23,641"
12,0.014939,"May 27, 2018",0.017349,0.013734,"13,676,000",0.015196,"10,970"
13,0.015189,"May 26, 2018",0.019555,0.014949,"15,511,200",0.017235,"13,700"
14,0.017257,"May 25, 2018",0.017913,0.016789,"16,072,900",0.017859,"1,513"
15,0.017811,"May 24, 2018",0.018338,0.016491,"14,841,500",0.016491,"3,474"
16,0.015818,"May 23, 2018",0.021506,0.015818,"19,302,800",0.021448,"18,727"
17,0.021470,"May 22, 2018",0.024025,0.021112,"21,615,300",0.024017,"10,981"
18,0.024021,"May 21, 2018",0.024826,0.022434,"22,327,800",0.024809,"4,795"
19,0.024778,"May 20, 2018",0.024848,0.021588,"20,173,500",0.022415,"7,782"
20,0.022398,"May 19, 2018",0.023923,0.022209,"20,436,700",0.022707,"2,994"
21,0.022711,"May 18, 2018",0.022779,0.021650,"19,778,100",0.021976,"4,904"
22,0.021956,"May 17, 2018",0.025062,0.021921,"22,258,100",0.024731,"7,396"
23,0.024716,"May 16, 2018",0.026458,0.023508,"22,912,200",0.025458,"10,986"
24,0.025473,"May 15, 2018",0.027370,0.023299,"23,524,400",0.026138,"27,433"
25,0.026183,"May 14, 2018",0.027753,0.019532,"18,064,600",0.020072,"51,853"
26,0.020075,"May 13, 2018",0.022020,0.019281,"18,526,800",0.020585,"12,758"
27,0.020592,"May 12, 2018",0.021224,0.018550,"16,694,800",0.018550,"8,623"
28,0.018604,"May 11, 2018",0.025287,0.017225,"17,206,600",0.019119,"40,653"
29,0.019096,"May 10, 2018",0.021062,0.017849,"18,859,600",0.020955,"27,009"
30,0.020961,"May 09, 2018",0.022055,0.019957,"18,391,100",0.020435,"9,515"
31,0.020466,"May 08, 2018",0.023311,0.020037,"20,220,000",0.022467,"9,045"
32,0.020097,"May 07, 2018",0.023837,0.018799,"19,727,300",0.021919,"27,143"
33,0.021903,"May 06, 2018",0.023537,0.021610,"21,036,300",0.023374,"6,926"
34,0.023358,"May 05, 2018",0.025175,0.022928,"20,667,600",0.022964,"4,519"
35,0.022974,"May 04, 2018",0.025465,0.022648,"20,784,400",0.023094,"6,674"
36,0.023103,"May 03, 2018",0.028590,0.020589,"19,362,200",0.021514,"28,301"
37,0.021513,"May 02, 2018",0.023989,0.020455,"20,757,500",0.023064,"15,490"
