,close,date,high,low,market_cap,open,volume
0,0.012209,"Jun 08, 2018",0.012702,0.011352,"762,137",0.012676,118
1,0.012667,"Jun 07, 2018",0.013885,0.011524,"736,532",0.012250,"1,919"
2,0.012239,"Jun 06, 2018",0.015336,0.007544,"893,835",0.014867,"5,729"
3,0.014871,"Jun 05, 2018",0.016417,0.011555,"784,855",0.013054,"2,725"
4,0.013048,"Jun 04, 2018",0.021179,0.012999,"1,269,960",0.021122,"4,900"
5,0.021113,"Jun 03, 2018",0.021130,0.017549,"1,055,780",0.017560,"16,726"
6,0.017555,"Jun 02, 2018",0.024199,0.017507,"1,446,170",0.024053,"2,144"
7,0.024064,"Jun 01, 2018",0.024118,0.018552,"1,130,570",0.018804,"1,368"
8,0.018790,"May 31, 2018",0.023290,0.017025,"1,376,010",0.022886,"7,414"
9,0.022891,"May 30, 2018",0.025194,0.019577,"1,341,910",0.022319,"1,573"
10,0.022304,"May 29, 2018",0.024350,0.016466,"995,442",0.016557,"2,345"
11,0.019117,"May 28, 2018",0.019613,0.016415,"1,024,590",0.017041,"1,136"
12,0.017037,"May 27, 2018",0.025106,0.016478,"1,102,530",0.018338,975
13,0.018330,"May 26, 2018",0.028266,0.018108,"1,095,670",0.018224,"1,743"
14,0.018247,"May 25, 2018",0.018247,0.016417,"1,013,980",0.016865,196
15,0.016833,"May 24, 2018",0.019844,0.016717,"1,161,900",0.019325,206
16,0.019374,"May 23, 2018",0.027440,0.019216,"1,644,950",0.027359,929
17,0.027388,"May 22, 2018",0.033583,0.017845,"1,231,210",0.020478,"12,866"
18,0.020482,"May 21, 2018",0.020528,0.016807,"1,051,030",0.017481,"5,191"
19,0.017459,"May 20, 2018",0.017595,0.016459,"996,056",0.016567,"3,954"
20,0.016554,"May 19, 2018",0.018727,0.016303,"980,804",0.016313,"3,708"
21,0.016316,"May 18, 2018",0.020114,0.016270,"1,209,350",0.020114,"4,752"
22,0.020097,"May 17, 2018",0.021155,0.017925,"1,264,870",0.021038,898
23,0.021025,"May 16, 2018",0.021027,0.014361,"1,028,810",0.017112,"5,911"
24,0.017120,"May 15, 2018",0.022225,0.014533,"1,314,280",0.021860,669
25,0.021897,"May 14, 2018",0.022771,0.017634,"1,102,460",0.018336,444
26,0.018340,"May 13, 2018",0.020684,0.018327,"1,206,590",0.020068,34
27,0.020075,"May 12, 2018",0.020262,0.018284,"1,120,510",0.018637,"1,199"
28,0.018692,"May 11, 2018",0.019133,0.015173,"1,124,830",0.018708,283
29,0.018686,"May 10, 2018",0.021634,0.018668,"1,223,620",0.020352,"2,050"
30,0.020357,"May 09, 2018",0.022143,0.018614,"1,166,480",0.019401,865
31,0.019431,"May 08, 2018",0.029773,0.019038,"1,148,870",0.019108,"6,555"
32,0.019068,"May 07, 2018",0.026580,0.019062,"1,403,790",0.023348,"1,207"
33,0.023332,"May 06, 2018",0.023349,0.015465,"951,407",0.015824,780
34,0.015814,"May 05, 2018",0.026232,0.015640,"1,446,020",0.024051,"7,591"
35,0.024061,"May 04, 2018",0.025594,0.022636,"1,386,790",0.023066,199
36,0.023076,"May 03, 2018",0.027532,0.021614,"1,302,590",0.021665,749
37,0.021664,"May 02, 2018",0.029649,0.021348,"1,529,500",0.025439,"1,156"
38,0.025478,"May 01, 2018",0.031682,0.017796,"1,094,950",0.018212,"2,123"
39,0.018195,"Apr 30, 2018",0.027515,0.010333,"1,633,580",0.027170,"7,635"
40,0.027179,"Apr 29, 2018",0.029147,0.026641,"1,719,360",0.028597,"1,903"
41,0.028608,"Apr 28, 2018",0.030648,0.025701,"1,795,730",0.029867,"3,084"
42,0.029970,"Apr 27, 2018",0.031424,0.027388,"1,889,340",0.031424,322
43,0.031381,"Apr 26, 2018",0.031451,0.026987,"1,870,390",0.031109,588
44,0.030853,"Apr 25, 2018",0.038446,0.022254,"2,300,490",0.038263,"4,222"
45,0.038523,"Apr 24, 2018",0.038562,0.030758,"2,134,610",0.035504,"2,445"
46,0.035477,"Apr 23, 2018",0.036956,0.031546,"2,006,230",0.033368,671
47,0.033436,"Apr 22, 2018",0.037089,0.027484,"1,971,400",0.032789,"1,508"
48,0.032789,"Apr 21, 2018",0.046147,0.032011,"2,236,160",0.037193,"3,029"
49,0.037159,"Apr 20, 2018",0.037360,0.022123,"1,838,550",0.030579,"4,033"
50,0.030713,"Apr 19, 2018",0.030713,0.026546,"1,767,130",0.029392,"1,290"
51,0.029370,"Apr 18, 2018",0.034062,0.027955,"1,884,730",0.031348,"1,049"
52,0.031318,"Apr 17, 2018",0.033363,0.030777,"1,855,370",0.030859,282
53,0.030831,"Apr 16, 2018",0.033469,0.030331,"2,012,280",0.033469,135
54,0.033484,"Apr 15, 2018",0.035233,0.033484,"2,020,470",0.033605,324
55,0.033569,"Apr 14, 2018",0.033921,0.029018,"1,958,180",0.032569,357
56,0.032569,"Apr 13, 2018",0.033344,0.028241,"1,840,240",0.030608,563
57,0.030561,"Apr 12, 2018",0.034580,0.026250,"1,703,980",0.028341,"2,336"
58,0.028410,"Apr 11, 2018",0.028410,0.021166,"1,619,820",0.026941,"1,955"
59,0.026909,"Apr 10, 2018",0.030050,0.024706,"1,804,470",0.030013,"3,034"
60,0.029983,"Apr 09, 2018",0.031758,0.021414,"1,835,850",0.030535,"5,168"
61,0.030485,"Apr 08, 2018",0.035825,0.029688,"1,784,980",0.029688,433
62,0.029662,"Apr 07, 2018",0.033575,0.029540,"1,871,070",0.031120,"2,150"
63,0.031083,"Apr 06, 2018",0.032249,0.029118,"1,918,950",0.031917,802
64,0.032080,"Apr 05, 2018",0.032513,0.027217,"1,804,890",0.030020,990
65,0.032587,"Apr 04, 2018",0.040345,0.027706,"1,934,060",0.032168,"5,104"
66,0.032185,"Apr 03, 2018",0.054307,0.024830,"3,198,920",0.053206,"18,687"
67,0.053167,"Apr 02, 2018",0.058358,0.052320,"3,401,840",0.056581,"1,463"
68,0.056304,"Apr 01, 2018",0.057639,0.048749,"3,133,170",0.052112,"1,462"
69,0.052114,"Mar 31, 2018",0.059242,0.043882,"2,788,010",0.046371,"9,755"
70,0.046366,"Mar 30, 2018",0.069414,0.040798,"3,141,460",0.052250,"9,852"
71,0.052382,"Mar 29, 2018",0.058367,0.050898,"3,503,390",0.058270,"5,251"
72,0.058201,"Mar 28, 2018",0.059281,0.051799,"3,405,420",0.056640,"4,779"
73,0.056651,"Mar 27, 2018",0.064837,0.039496,"3,122,920",0.051942,"7,529"
74,0.052017,"Mar 26, 2018",0.067059,0.049955,"3,552,060",0.059079,"3,302"
75,0.059124,"Mar 25, 2018",0.061575,0.050707,"3,664,400",0.060948,"3,121"
76,0.061794,"Mar 24, 2018",0.063444,0.054982,"3,793,630",0.063097,"2,580"
77,0.062231,"Mar 23, 2018",0.072251,0.057378,"3,727,520",0.061998,"1,582"
78,0.061999,"Mar 22, 2018",0.073517,0.061895,"4,043,170",0.067248,"8,783"
79,0.067366,"Mar 21, 2018",0.077920,0.065708,"4,524,680",0.075256,"4,421"
80,0.075088,"Mar 20, 2018",0.080322,0.060363,"3,629,220",0.060363,"2,041"
81,0.059697,"Mar 19, 2018",0.075269,0.050507,"4,395,400",0.073106,777
82,0.073415,"Mar 18, 2018",0.077998,0.053415,"4,689,530",0.077998,"6,227"
83,0.078188,"Mar 17, 2018",0.082229,0.068703,"4,516,960",0.075128,476
84,0.075004,"Mar 16, 2018",0.085533,0.075004,"4,991,410",0.083019,"1,604"
85,0.083066,"Mar 15, 2018",0.084483,0.070521,"4,519,910",0.075177,"2,438"
86,0.075211,"Mar 14, 2018",0.092599,0.074638,"5,445,340",0.090569,"1,603"
87,0.090556,"Mar 13, 2018",0.095666,0.076906,"5,548,620",0.092287,"8,580"
88,0.092763,"Mar 12, 2018",0.104649,0.091766,"6,110,630",0.101634,"4,528"
89,0.101892,"Mar 11, 2018",0.103138,0.085937,"5,290,530",0.087994,"4,007"
90,0.088277,"Mar 10, 2018",0.094684,0.083778,"5,603,930",0.093207,"1,667"
91,0.093191,"Mar 09, 2018",0.099252,0.089449,"5,906,280",0.098236,"4,094"
92,0.098547,"Mar 08, 2018",0.098806,0.078721,"5,544,420",0.092217,"2,671"
93,0.092350,"Mar 07, 2018",0.114881,0.083741,"6,835,020",0.113683,"6,224"
94,0.113711,"Mar 06, 2018",0.116500,0.095362,"5,824,630",0.096877,"5,747"
95,0.097095,"Mar 05, 2018",0.130697,0.038108,"7,858,000",0.130697,"22,360"
96,0.130686,"Mar 04, 2018",0.131616,0.098240,"6,484,040",0.107845,"3,687"
97,0.107959,"Mar 03, 2018",0.119249,0.107013,"6,795,110",0.113019,"4,220"
98,0.113145,"Mar 02, 2018",0.120160,0.099715,"7,089,320",0.117912,"4,972"
99,0.118159,"Mar 01, 2018",0.120119,0.076976,"5,634,710",0.093719,"8,788"
100,0.093613,"Feb 28, 2018",0.132868,0.093553,"7,763,970",0.129133,"16,382"
101,0.129255,"Feb 27, 2018",0.136790,0.115967,"7,681,920",0.127769,"11,182"
102,0.127408,"Feb 26, 2018",0.138536,0.110438,"6,750,590",0.112278,"5,627"
103,0.112140,"Feb 25, 2018",0.132541,0.109383,"7,459,460",0.124069,"3,710"
104,0.124257,"Feb 24, 2018",0.142943,0.116019,"7,693,320",0.127958,"1,245"
105,0.128116,"Feb 23, 2018",0.141705,0.106980,"6,575,460",0.109366,"5,524"
106,0.109471,"Feb 22, 2018",0.138430,0.107909,"7,992,870",0.132940,"11,382"
107,0.133085,"Feb 21, 2018",0.165330,0.115456,"8,452,730",0.140589,"12,981"
108,0.140764,"Feb 20, 2018",0.168198,0.139270,"8,858,550",0.147339,"8,800"
109,0.147221,"Feb 19, 2018",0.176985,0.129961,"8,184,900",0.136134,"11,436"
110,0.136734,"Feb 18, 2018",0.163362,0.111000,"9,668,580",0.160812,"11,494"
111,0.160326,"Feb 17, 2018",0.176841,0.160122,"10,099,900",0.167986,"12,115"
112,0.168018,"Feb 16, 2018",0.196887,0.163524,"11,628,700",0.193413,"45,722"
113,0.194236,"Feb 15, 2018",0.207693,0.160369,"10,117,600",0.168280,"85,128"
114,0.168188,"Feb 14, 2018",0.168610,0.121121,"7,705,110",0.128154,"52,115"
115,0.128529,"Feb 13, 2018",0.154883,0.127729,"8,217,030",0.136669,"21,386"
116,0.142145,"Feb 12, 2018",0.143774,0.112273,"6,750,260",0.112273,"32,490"
117,0.111562,"Feb 11, 2018",0.120133,0.101281,"6,625,840",0.110204,"4,492"
118,0.110298,"Feb 10, 2018",0.131978,0.105356,"7,681,040",0.127754,"19,773"
119,0.127662,"Feb 09, 2018",0.128175,0.100225,"6,322,180",0.105153,"85,747"
120,0.104833,"Feb 08, 2018",0.112456,0.090838,"5,533,960",0.092043,"7,571"
