,close,date,high,low,market_cap,open,volume
0,0.044800,"Jun 08, 2018",0.047994,0.031012,"8,782,720",0.042889,"41,085"
1,0.042815,"Jun 07, 2018",0.045992,0.042434,"8,936,440",0.043639,"5,235"
2,0.043652,"Jun 06, 2018",0.048352,0.041229,"8,998,950",0.043944,"6,532"
3,0.044036,"Jun 05, 2018",0.047052,0.038182,"9,600,810",0.046884,"24,582"
4,0.046887,"Jun 04, 2018",0.050881,0.045115,"10,299,800",0.050297,"8,913"
5,0.050373,"Jun 03, 2018",0.050437,0.045296,"9,277,580",0.045305,"21,888"
6,0.045364,"Jun 02, 2018",0.051085,0.045155,"10,142,500",0.049529,"2,357"
7,0.049546,"Jun 01, 2018",0.049987,0.042134,"9,938,180",0.048531,"15,266"
8,0.048403,"May 31, 2018",0.048867,0.046440,"9,550,820",0.046639,"6,168"
9,0.047005,"May 30, 2018",0.050080,0.045518,"10,053,600",0.049095,"5,136"
10,0.049033,"May 29, 2018",0.050671,0.042045,"8,892,810",0.043426,"23,561"
11,0.043543,"May 28, 2018",0.050261,0.043219,"9,674,240",0.047242,"2,820"
12,0.047245,"May 27, 2018",0.053358,0.043679,"10,926,700",0.053358,"14,965"
13,0.053255,"May 26, 2018",0.055495,0.046387,"9,585,570",0.046809,"4,109"
14,0.046819,"May 25, 2018",0.050986,0.045116,"10,381,900",0.050698,"15,115"
15,0.049189,"May 24, 2018",0.049773,0.043407,"9,659,450",0.047170,"14,254"
16,0.047379,"May 23, 2018",0.052515,0.045326,"9,438,700",0.046092,"12,103"
17,0.046181,"May 22, 2018",0.055050,0.045870,"11,041,500",0.053919,"36,514"
18,0.054084,"May 21, 2018",0.067811,0.046928,"10,601,400",0.051770,"68,300"
19,0.051729,"May 20, 2018",0.052131,0.045667,"9,783,810",0.047777,"19,273"
20,0.047857,"May 19, 2018",0.053208,0.046814,"10,563,700",0.051586,"18,199"
21,0.051585,"May 18, 2018",0.051794,0.038337,"10,244,900",0.050029,"29,855"
22,0.050066,"May 17, 2018",0.052125,0.047167,"10,408,600",0.050828,"11,849"
23,0.050768,"May 16, 2018",0.053135,0.046962,"10,453,100",0.051046,"6,915"
24,0.051035,"May 15, 2018",0.052314,0.047280,"9,681,920",0.047280,"17,334"
25,0.047345,"May 14, 2018",0.057062,0.047038,"11,643,300",0.056857,"14,397"
26,0.056881,"May 13, 2018",0.057523,0.048741,"10,495,900",0.051255,"8,064"
27,0.051340,"May 12, 2018",0.054575,0.049941,"10,833,600",0.052904,"16,941"
28,0.053016,"May 11, 2018",0.054729,0.046281,"10,020,400",0.048933,"18,441"
29,0.057454,"May 10, 2018",0.070626,0.050586,"13,376,700",0.065322,"29,711"
30,0.065314,"May 09, 2018",0.065694,0.060486,"13,243,400",0.064671,"7,157"
31,0.064758,"May 08, 2018",0.079477,0.058193,"13,084,000",0.063893,"41,175"
32,0.063560,"May 07, 2018",0.072263,0.047185,"11,162,700",0.054511,"28,451"
33,0.054474,"May 06, 2018",0.055275,0.050626,"11,185,300",0.054621,"1,114"
34,0.054609,"May 05, 2018",0.054657,0.050595,"10,777,000",0.052627,"13,667"
35,0.052608,"May 04, 2018",0.052772,0.033538,"8,835,590",0.043147,"68,337"
36,0.053617,"May 03, 2018",0.053734,0.041036,"9,838,540",0.048044,"21,530"
37,0.048048,"May 02, 2018",0.060124,0.031612,"11,971,200",0.058459,"40,376"
38,0.058609,"May 01, 2018",0.062303,0.053393,"12,675,800",0.061900,"44,644"
39,0.061721,"Apr 30, 2018",0.068236,0.056644,"12,792,200",0.062468,"25,506"
40,0.062464,"Apr 29, 2018",0.082793,0.057575,"13,064,600",0.063798,"38,773"
41,0.066515,"Apr 28, 2018",0.082477,0.058976,"12,077,100",0.058976,"65,648"
42,0.059475,"Apr 27, 2018",0.068776,0.059077,"13,579,900",0.066315,"34,654"
43,0.066199,"Apr 26, 2018",0.066418,0.055580,"11,826,300",0.057751,"26,941"
44,0.057190,"Apr 25, 2018",0.068399,0.057190,"13,190,300",0.064412,"36,348"
45,0.064456,"Apr 24, 2018",0.076259,0.059307,-,0.059307,"20,499"
46,0.059305,"Apr 23, 2018",0.075775,0.059185,-,0.074562,"8,106"
47,0.074836,"Apr 22, 2018",0.077252,0.066942,-,0.067705,"3,234"
48,0.067705,"Apr 21, 2018",0.079641,0.061728,-,0.079604,"9,049"
49,0.079633,"Apr 20, 2018",0.080153,0.065342,-,0.068775,"7,233"
50,0.068858,"Apr 19, 2018",0.076515,0.065860,-,0.072845,"6,182"
51,0.072805,"Apr 18, 2018",0.075004,0.063625,-,0.074170,"15,468"
52,0.074134,"Apr 17, 2018",0.078309,0.066064,-,0.073699,"10,888"
53,0.073693,"Apr 16, 2018",0.083133,0.069020,-,0.080016,"10,975"
54,0.079911,"Apr 15, 2018",0.079911,0.068810,-,0.068810,"10,630"
55,0.068854,"Apr 14, 2018",0.084982,0.068783,-,0.078514,"15,042"
56,0.078514,"Apr 13, 2018",0.086343,0.077206,-,0.084755,"48,894"
57,0.085041,"Apr 12, 2018",0.085695,0.073346,-,0.074746,"51,772"
58,0.075121,"Apr 11, 2018",0.075429,0.064977,-,0.073079,"33,931"
59,0.072969,"Apr 10, 2018",0.096282,0.064695,-,0.066700,"29,051"
60,0.066323,"Apr 09, 2018",0.072459,0.059775,-,0.061654,"14,703"
61,0.061509,"Apr 08, 2018",0.068385,0.060882,-,0.062377,"11,955"
62,0.062405,"Apr 07, 2018",0.112361,0.062242,-,0.100833,"14,752"
63,0.100737,"Apr 06, 2018",0.147647,0.070875,-,0.118840,"31,544"
64,0.119435,"Apr 05, 2018",0.160665,0.055883,-,0.060599,"7,392"
65,0.060671,"Apr 04, 2018",0.523018,0.054629,-,0.059450,"5,774"
66,0.059333,"Apr 03, 2018",0.066414,0.054365,-,0.054528,"8,814"
67,0.054469,"Apr 02, 2018",0.062906,0.052372,-,0.057273,"8,794"
68,0.057090,"Apr 01, 2018",0.059907,0.054434,-,0.057389,"1,515"
69,0.053706,"Mar 31, 2018",0.058475,0.045927,-,0.045927,"2,379"
70,0.045969,"Mar 30, 2018",0.064182,0.045078,-,0.061865,"12,969"
71,0.062046,"Mar 29, 2018",0.076625,0.059033,-,0.067476,"3,663"
72,0.067356,"Mar 28, 2018",0.079394,0.058297,-,0.078542,"27,655"
73,0.078516,"Mar 27, 2018",0.080775,0.054482,-,0.078069,"42,465"
74,0.078117,"Mar 26, 2018",0.089379,0.056498,-,0.088802,"18,565"
75,0.088998,"Mar 25, 2018",0.102948,0.060454,-,0.089699,"18,562"
76,0.090787,"Mar 24, 2018",0.106382,0.090525,-,0.105894,"12,409"
77,0.104927,"Mar 23, 2018",0.106227,0.090233,-,0.102103,"27,035"
78,0.102120,"Mar 22, 2018",0.111731,0.089153,-,0.106376,"54,663"
79,0.106116,"Mar 21, 2018",0.109614,0.091552,-,0.097580,"45,196"
80,0.096984,"Mar 20, 2018",0.098640,0.071375,-,0.083350,"44,151"
81,0.082690,"Mar 19, 2018",0.098039,0.056803,-,0.063223,"46,874"
82,0.063478,"Mar 18, 2018",0.065790,0.049417,-,0.064758,"10,620"
83,0.064817,"Mar 17, 2018",0.069487,0.057971,-,0.069122,"27,389"
84,0.069077,"Mar 16, 2018",0.073226,0.055449,-,0.055449,"22,864"
85,0.055513,"Mar 15, 2018",0.073071,0.055267,-,0.072253,"48,413"
86,0.058797,"Mar 14, 2018",0.058797,0.058797,-,0.058797,"22,868"
