,close,date,high,low,market_cap,open,volume
0,0.175239,"Jun 08, 2018",0.192970,0.168016,"5,869,500",0.187195,"66,386"
1,0.186875,"Jun 07, 2018",0.196842,0.154567,"4,846,470",0.154567,"24,403"
2,0.154614,"Jun 06, 2018",0.166158,0.141646,"4,501,700",0.143572,"4,166"
3,0.143861,"Jun 05, 2018",0.185039,0.139645,"4,734,600",0.150999,"3,735"
4,0.151011,"Jun 04, 2018",0.164427,0.137097,"4,880,100",0.155660,"12,957"
5,0.155894,"Jun 03, 2018",0.183266,0.152964,"4,931,750",0.157307,"3,358"
6,0.157510,"Jun 02, 2018",0.192404,0.148148,"4,775,130",0.152312,"5,655"
7,0.152345,"Jun 01, 2018",0.190035,0.142523,"5,434,550",0.173345,"9,627"
8,0.172972,"May 31, 2018",0.206245,0.170435,"6,150,240",0.199353,"10,193"
9,0.199545,"May 30, 2018",0.206338,0.156020,"5,795,200",0.187845,"22,144"
10,0.187730,"May 29, 2018",0.194552,0.146163,"5,738,790",0.186016,"9,198"
11,0.186555,"May 28, 2018",0.194640,0.158033,"5,991,920",0.194256,"15,966"
12,0.194267,"May 27, 2018",0.202294,0.181356,"5,796,670",0.187926,"27,472"
13,0.187564,"May 26, 2018",0.208981,0.187285,"6,314,190",0.204703,"9,341"
14,0.204674,"May 25, 2018",0.218591,0.177362,"14,301,100",0.203905,"27,662"
15,0.203687,"May 24, 2018",0.223699,0.198328,-,0.218920,"34,646"
16,0.219909,"May 23, 2018",0.249604,0.204335,-,0.247482,"93,377"
17,0.247975,"May 22, 2018",0.263214,0.223007,-,0.243995,"110,730"
18,0.244510,"May 21, 2018",0.249239,0.215345,-,0.249193,"55,032"
