,close,date,high,low,market_cap,open,volume
0,0.929252,"Jun 08, 2018",0.959385,0.862365,"884,237",0.953482,109
1,0.951857,"Jun 07, 2018",0.980598,0.863674,"808,699",0.872028,"13,883"
2,0.872280,"Jun 06, 2018",1.02,0.869060,"896,724",0.966947,"9,550"
3,0.968885,"Jun 05, 2018",1.22,0.904675,"838,975",0.904675,"25,131"
4,0.902951,"Jun 04, 2018",1.11,0.896661,"1,025,940",1.11,626
5,1.11,"Jun 03, 2018",1.19,0.922077,"928,004",1.00,"1,620"
6,1.00,"Jun 02, 2018",1.13,0.594423,"942,170",1.02,"97,820"
7,1.02,"Jun 01, 2018",1.18,1.00,"1,085,400",1.17,465
8,1.17,"May 31, 2018",1.23,0.982042,"914,197",0.985788,987
9,1.07,"May 30, 2018",1.15,0.919061,"1,019,950",1.10,722
10,1.10,"May 29, 2018",1.11,0.965627,"911,089",0.982436,312
11,0.985279,"May 28, 2018",1.25,0.953239,"1,016,060",1.10,"42,809"
12,1.10,"May 27, 2018",1.39,1.03,"1,010,960",1.09,"46,571"
13,1.09,"May 26, 2018",1.16,1.01,"995,038",1.07,722
14,1.12,"May 25, 2018",1.78,1.05,"993,645",1.07,"18,222"
15,1.07,"May 24, 2018",1.42,0.829438,"886,514",0.955937,"7,629"
16,0.960252,"May 23, 2018",1.35,0.942559,"1,187,930",1.28,"9,141"
17,1.28,"May 22, 2018",1.50,1.27,"1,270,630",1.37,"21,034"
18,1.37,"May 21, 2018",1.40,1.32,"1,268,780",1.37,698
19,1.37,"May 20, 2018",1.60,1.21,"1,481,050",1.60,"49,152"
20,1.60,"May 19, 2018",1.75,1.30,"1,215,980",1.31,"3,795"
21,1.31,"May 18, 2018",1.34,1.17,"1,237,270",1.33,"1,281"
22,1.34,"May 17, 2018",1.85,1.32,"1,261,700",1.36,"3,391"
23,1.36,"May 16, 2018",1.49,1.31,"1,322,480",1.43,246
24,1.43,"May 15, 2018",1.99,1.36,"1,777,220",1.92,"165,771"
25,1.92,"May 14, 2018",1.95,1.50,"1,475,740",1.59,23
26,1.59,"May 13, 2018",1.90,1.57,"1,554,890",1.68,"5,609"
27,1.68,"May 12, 2018",1.72,1.60,"1,568,720",1.69,"4,869"
28,1.69,"May 11, 2018",2.29,1.67,"1,691,090",1.82,"54,290"
29,1.82,"May 10, 2018",2.25,1.82,"2,042,450",2.20,18
30,2.20,"May 09, 2018",2.25,1.94,"1,911,480",2.06,80
31,2.06,"May 08, 2018",2.43,1.77,"1,872,020",2.03,"15,410"
32,1.97,"May 07, 2018",2.39,1.59,"1,913,010",2.07,"74,747"
33,2.07,"May 06, 2018",2.14,1.79,"1,932,380",2.10,249
34,2.10,"May 05, 2018",2.45,1.94,"2,168,480",2.35,"1,531"
35,2.35,"May 04, 2018",2.80,1.69,"2,007,690",2.18,"6,750"
36,2.18,"May 03, 2018",2.61,1.75,"1,841,390",2.00,"34,386"
37,2.00,"May 02, 2018",2.03,1.44,"1,837,100",1.99,"37,561"
38,2.00,"May 01, 2018",2.08,1.93,"1,916,110",2.08,364
39,2.07,"Apr 30, 2018",2.38,2.06,"2,046,730",2.26,"6,317"
40,2.26,"Apr 29, 2018",2.27,2.17,"1,985,630",2.20,271
41,2.20,"Apr 28, 2018",2.51,2.17,"2,142,020",2.37,132
42,2.39,"Apr 27, 2018",2.49,1.92,"2,187,780",2.42,"4,815"
43,2.41,"Apr 26, 2018",2.45,1.97,"2,139,520",2.37,"7,126"
44,1.98,"Apr 25, 2018",2.44,1.94,"2,203,860",2.44,1
45,2.44,"Apr 24, 2018",2.65,2.16,"2,073,220",2.29,"6,797"
46,2.29,"Apr 23, 2018",2.71,2.26,"2,388,570",2.64,"9,041"
47,2.01,"Apr 22, 2018",2.03,1.88,"1,733,570",1.92,30
48,1.92,"Apr 21, 2018",2.10,1.90,"1,853,890",2.05,40
49,2.05,"Apr 20, 2018",2.05,1.78,"1,630,740",1.80,46
50,1.81,"Apr 19, 2018",1.89,1.69,"1,690,270",1.87,131
51,1.87,"Apr 18, 2018",1.90,1.33,"1,402,760",1.55,54
52,1.55,"Apr 17, 2018",1.82,1.55,"1,618,320",1.79,122
53,1.79,"Apr 16, 2018",1.79,1.60,"1,544,710",1.71,220
54,1.71,"Apr 15, 2018",1.85,1.69,"1,583,350",1.75,4
55,1.75,"Apr 14, 2018",1.78,1.56,"1,425,490",1.58,"29,031"
56,1.58,"Apr 13, 2018",1.73,1.55,"1,478,450",1.63,88
57,1.63,"Apr 12, 2018",1.72,1.52,"1,393,530",1.54,"20,316"
58,1.55,"Apr 11, 2018",1.55,1.33,"1,199,020",1.33,"1,277"
59,1.32,"Apr 10, 2018",1.56,1.31,"1,191,190",1.32,"90,109"
60,1.31,"Apr 09, 2018",1.37,1.24,"1,182,210",1.31,171
61,1.27,"Apr 08, 2018",1.29,1.23,"1,114,630",1.23,92
62,1.23,"Apr 07, 2018",1.52,1.21,"1,331,250",1.47,90
63,1.47,"Apr 06, 2018",1.52,1.45,"1,366,190",1.51,"1,474"
64,1.20,"Apr 05, 2018",1.24,1.18,"1,100,290",1.22,"6,047"
65,1.22,"Apr 04, 2018",1.48,1.20,"1,322,800",1.46,"14,107"
66,1.46,"Apr 03, 2018",1.49,1.40,"1,289,570",1.43,48
67,1.42,"Apr 02, 2018",1.47,1.24,"1,158,190",1.28,171
68,1.28,"Apr 01, 2018",1.39,1.23,"1,198,380",1.33,722
69,1.32,"Mar 31, 2018",1.43,1.31,"1,224,570",1.35,612
70,1.36,"Mar 30, 2018",1.52,1.24,"1,249,130",1.38,488
71,1.39,"Mar 29, 2018",1.95,1.25,"1,131,160",1.25,"5,389"
72,1.25,"Mar 28, 2018",1.35,1.21,"1,213,430",1.34,94
73,1.34,"Mar 27, 2018",1.62,1.14,"1,456,230",1.61,"1,124"
74,1.61,"Mar 26, 2018",1.80,1.49,"1,614,040",1.78,162
75,1.79,"Mar 25, 2018",1.83,1.65,"1,496,870",1.66,9
76,1.68,"Mar 24, 2018",1.86,1.67,"1,562,430",1.73,"8,058"
77,1.71,"Mar 23, 2018",1.81,1.56,"1,504,100",1.66,"4,771"
78,1.66,"Mar 22, 2018",2.02,1.66,"1,747,380",1.93,"1,905"
79,1.93,"Mar 21, 2018",2.30,1.85,"1,981,510",2.19,"107,349"
