,close,date,high,low,market_cap,open,volume
0,5.34,"Jun 08, 2018",5.65,5.32,"163,513,000",5.51,"5,796,350"
1,5.51,"Jun 07, 2018",6.12,5.36,"180,617,000",6.08,"5,455,660"
2,6.08,"Jun 06, 2018",6.11,5.14,"170,073,000",5.73,"6,713,830"
3,5.74,"Jun 05, 2018",5.80,5.49,"168,829,000",5.69,"7,182,600"
4,5.69,"Jun 04, 2018",6.31,5.65,"183,907,000",6.20,"5,539,900"
5,6.20,"Jun 03, 2018",6.40,5.99,"181,032,000",6.10,"6,088,650"
6,6.10,"Jun 02, 2018",6.12,5.70,"170,288,000",5.74,"6,320,230"
7,5.74,"Jun 01, 2018",6.01,5.43,"177,567,000",5.98,"5,073,080"
8,5.98,"May 31, 2018",6.16,5.81,"173,377,000",5.84,"7,199,800"
9,5.84,"May 30, 2018",6.42,5.65,"184,258,000",6.21,"7,297,510"
10,6.19,"May 29, 2018",6.46,5.15,"160,138,000",5.39,"8,237,600"
11,5.43,"May 28, 2018",5.69,5.19,"165,926,000",5.59,"7,463,190"
12,5.56,"May 27, 2018",6.35,5.55,"187,726,000",6.32,"5,260,650"
13,6.32,"May 26, 2018",6.71,6.28,"193,227,000",6.51,"4,823,660"
14,6.50,"May 25, 2018",7.20,6.41,"202,362,000",6.82,"6,733,840"
15,6.86,"May 24, 2018",6.89,6.31,"188,530,000",6.35,"7,518,570"
16,6.37,"May 23, 2018",7.22,6.14,"207,471,000",6.99,"7,353,670"
17,7.01,"May 22, 2018",8.14,6.95,"239,463,000",8.07,"6,174,670"
18,8.06,"May 21, 2018",8.68,7.76,"255,687,000",8.61,"6,418,320"
19,8.60,"May 20, 2018",8.70,8.27,"247,503,000",8.34,"6,285,890"
20,8.31,"May 19, 2018",8.84,7.97,"241,835,000",8.15,"9,484,050"
21,8.14,"May 18, 2018",8.22,7.38,"232,323,000",7.83,"7,755,250"
22,7.83,"May 17, 2018",8.29,7.45,"244,766,000",8.25,"7,146,440"
23,8.31,"May 16, 2018",8.93,7.83,"258,002,000",8.69,"7,121,620"
24,8.68,"May 15, 2018",9.71,8.32,"270,249,000",9.10,"7,575,110"
25,9.05,"May 14, 2018",9.43,8.05,"252,717,000",8.51,"7,611,680"
26,8.53,"May 13, 2018",8.58,7.11,"215,089,000",7.25,"8,708,480"
