,close,date,high,low,market_cap,open,volume
0,0.022524,"Jun 08, 2018",0.024083,0.022524,"233,068",0.024083,"1,006"
1,0.024056,"Jun 07, 2018",0.027428,0.022959,"224,339",0.023181,"6,573"
2,0.023170,"Jun 06, 2018",0.023411,0.022196,"221,478",0.022885,950
3,0.022894,"Jun 05, 2018",0.023954,0.019565,"219,953",0.022728,"2,620"
4,0.022713,"Jun 04, 2018",0.024468,0.022678,"236,751",0.024463,"1,658"
5,0.024424,"Jun 03, 2018",0.026759,0.023960,"255,127",0.026362,775
6,0.026399,"Jun 02, 2018",0.026754,0.023477,"228,200",0.023580,"2,335"
7,0.023585,"Jun 01, 2018",0.027058,0.023458,"238,800",0.024675,"1,963"
8,0.024651,"May 31, 2018",0.027414,0.024488,"258,121",0.026672,"2,769"
9,0.026693,"May 30, 2018",0.026740,0.025073,"253,568",0.026201,"1,178"
10,0.026184,"May 29, 2018",0.027175,0.024842,"245,411",0.025358,"1,684"
11,0.025369,"May 28, 2018",0.030955,0.024758,"291,774",0.030149,"4,135"
12,0.030145,"May 27, 2018",0.032515,0.029159,"286,677",0.029622,"3,549"
13,0.029607,"May 26, 2018",0.035412,0.028208,"314,231",0.032469,"3,794"
14,0.032493,"May 25, 2018",0.035055,0.026965,"287,838",0.029742,"6,121"
15,0.029690,"May 24, 2018",0.042947,0.022781,"235,959",0.024382,"22,190"
16,0.024449,"May 23, 2018",0.032917,0.023643,"301,140",0.031117,"3,286"
17,0.029742,"May 22, 2018",0.034642,0.024535,"247,150",0.025538,"9,759"
18,0.025536,"May 21, 2018",0.029230,0.025019,"263,047",0.027181,"2,590"
19,0.027170,"May 20, 2018",0.030759,0.026946,"268,304",0.027724,"3,539"
20,0.027701,"May 19, 2018",0.031526,0.027646,"299,876",0.030986,"2,545"
21,0.030995,"May 18, 2018",0.032312,0.029471,"296,145",0.030601,"1,347"
22,0.030579,"May 17, 2018",0.035998,0.030579,"321,072",0.033176,"1,589"
23,0.033155,"May 16, 2018",0.055577,0.025197,"348,217",0.035981,"24,634"
24,0.036000,"May 15, 2018",0.045255,0.032681,"329,996",0.034098,"4,298"
25,0.034157,"May 14, 2018",0.042786,0.029548,"350,244",0.036191,"4,291"
26,0.036208,"May 13, 2018",0.037459,0.031157,"301,532",0.031157,"2,317"
27,0.031159,"May 12, 2018",0.037484,0.025184,"279,512",0.028882,"7,075"
28,0.035892,"May 11, 2018",0.045741,0.029031,"359,035",0.037099,"4,669"
29,0.037059,"May 10, 2018",0.050989,0.027474,"333,754",0.034487,"3,890"
30,0.034491,"May 09, 2018",0.039945,0.028290,"352,341",0.036407,"4,739"
31,0.036461,"May 08, 2018",0.043820,0.034911,"339,033",0.035032,"3,162"
32,0.034980,"May 07, 2018",0.045351,0.034519,"438,582",0.045319,"5,310"
33,0.045291,"May 06, 2018",0.051276,0.041866,"493,065",0.050948,"4,932"
34,0.050900,"May 05, 2018",0.052629,0.050248,"486,608",0.050281,"3,038"
35,0.050477,"May 04, 2018",0.059237,0.048113,"492,034",0.050842,"13,551"
36,0.050945,"May 03, 2018",0.052656,0.047004,"502,186",0.051891,"5,066"
37,0.051857,"May 02, 2018",0.052648,0.047553,"466,457",0.048199,"2,897"
38,0.048271,"May 01, 2018",0.053886,0.045523,"469,096",0.048472,"5,046"
39,0.048410,"Apr 30, 2018",0.053835,0.047273,"504,532",0.052133,"5,814"
40,0.051999,"Apr 29, 2018",0.056496,0.044474,"530,250",0.054791,"4,528"
41,0.054799,"Apr 28, 2018",0.057552,0.052514,"509,851",0.052683,"4,404"
42,0.052948,"Apr 27, 2018",0.060435,0.051025,"499,770",0.051641,"8,697"
43,0.051579,"Apr 26, 2018",0.054269,0.047837,"500,619",0.051729,"4,368"
44,0.051462,"Apr 25, 2018",0.061246,0.051419,"587,804",0.060738,"6,819"
45,0.061080,"Apr 24, 2018",0.063857,0.056439,"546,489",0.056469,"6,118"
46,0.056419,"Apr 23, 2018",0.065010,0.051920,"573,300",0.059634,"7,805"
47,0.059760,"Apr 22, 2018",0.062618,0.053257,"590,263",0.062078,"6,148"
48,0.061907,"Apr 21, 2018",0.073737,0.051768,"608,286",0.064687,"5,617"
49,0.064661,"Apr 20, 2018",0.094477,0.046574,"442,121",0.047550,"28,069"
50,0.047584,"Apr 19, 2018",0.047986,0.045236,"418,680",0.045547,"2,230"
51,0.045534,"Apr 18, 2018",0.052719,0.043976,"411,883",0.045324,"11,471"
52,0.045196,"Apr 17, 2018",0.045365,0.041135,"382,270",0.042559,"4,680"
53,0.042571,"Apr 16, 2018",0.045517,0.041953,"400,053",0.045067,"3,002"
54,0.045051,"Apr 15, 2018",0.048455,0.042666,"379,434",0.043255,"7,398"
55,0.043212,"Apr 14, 2018",0.046804,0.041272,"358,861",0.041406,"5,005"
56,0.041441,"Apr 13, 2018",0.045500,0.040723,"353,674",0.041310,"6,181"
57,0.041246,"Apr 12, 2018",0.041438,0.035826,"312,025",0.036898,"1,899"
58,0.036991,"Apr 11, 2018",0.041014,0.035502,"296,532",0.035509,"3,311"
59,0.035457,"Apr 10, 2018",0.038517,0.033711,"286,522",0.034746,"4,478"
60,0.034662,"Apr 09, 2018",0.041450,0.034231,"335,067",0.041159,"1,994"
61,0.041109,"Apr 08, 2018",0.043004,0.039092,"319,705",0.039785,"4,108"
62,0.039769,"Apr 07, 2018",0.042913,0.036855,"292,571",0.036891,"3,817"
63,0.036851,"Apr 06, 2018",0.040202,0.036548,"292,338",0.037358,"4,116"
64,0.037565,"Apr 05, 2018",0.039429,0.035957,"302,507",0.039184,"2,799"
65,0.040032,"Apr 04, 2018",0.046520,0.037549,"304,946",0.040046,"5,225"
66,0.040102,"Apr 03, 2018",0.049390,0.039175,"299,365",0.039864,"4,611"
67,0.039831,"Apr 02, 2018",0.055745,0.037735,"322,172",0.043513,"5,530"
68,0.043309,"Apr 01, 2018",0.044298,0.033740,"297,429",0.040749,"2,286"
69,0.043807,"Mar 31, 2018",0.044826,0.039959,"295,097",0.041020,"4,543"
