,close,date,high,low,market_cap,open,volume
0,0.006461,"Jun 08, 2018",0.006767,0.006461,"3,543,760",0.006688,"5,337"
1,0.006682,"Jun 07, 2018",0.007158,0.006573,"3,611,850",0.006817,"5,745"
2,0.006812,"Jun 06, 2018",0.007280,0.006581,"3,744,820",0.007068,"18,038"
3,0.007073,"Jun 05, 2018",0.007310,0.006138,"3,425,730",0.006465,"21,604"
4,0.006397,"Jun 04, 2018",0.006919,0.006330,"3,557,290",0.006714,"9,389"
5,0.006714,"Jun 03, 2018",0.007074,0.006503,"3,494,530",0.006595,"12,743"
6,0.006595,"Jun 02, 2018",0.006799,0.006224,"3,404,300",0.006425,"7,057"
7,0.006427,"Jun 01, 2018",0.006569,0.005975,"3,449,690",0.006511,"9,258"
8,0.006504,"May 31, 2018",0.006647,0.006018,"3,311,870",0.006250,"7,592"
9,0.006253,"May 30, 2018",0.006774,0.005966,"3,568,850",0.006735,"30,835"
10,0.006731,"May 29, 2018",0.006877,0.005844,"3,282,540",0.006195,"19,209"
11,0.006201,"May 28, 2018",0.006967,0.006004,"3,386,530",0.006391,"30,745"
12,0.006571,"May 27, 2018",0.007310,0.006276,"3,728,830",0.007037,"10,480"
13,0.007033,"May 26, 2018",0.007552,0.006518,"3,749,430",0.007076,"14,811"
14,0.007083,"May 25, 2018",0.007493,0.006507,"3,529,290",0.006661,"34,800"
15,0.006659,"May 24, 2018",0.007022,0.005770,"3,555,800",0.006711,"27,655"
16,0.006011,"May 23, 2018",0.008416,0.005931,"4,425,650",0.008352,"53,522"
17,0.008363,"May 22, 2018",0.009156,0.008175,"4,773,660",0.009009,"11,809"
18,0.009016,"May 21, 2018",0.010317,0.008826,"5,326,570",0.010053,"60,687"
19,0.010040,"May 20, 2018",0.012929,0.009510,"5,692,200",0.010743,"190,416"
20,0.010734,"May 19, 2018",0.011428,0.010385,"5,643,910",0.010652,"17,627"
21,0.010789,"May 18, 2018",0.011012,0.009856,"5,483,020",0.010348,"26,046"
22,0.010337,"May 17, 2018",0.011733,0.010270,"5,701,050",0.010759,"7,826"
23,0.010754,"May 16, 2018",0.011302,0.010421,"5,921,300",0.011175,"17,922"
24,0.011281,"May 15, 2018",0.013127,0.010500,"6,577,750",0.012414,"66,659"
25,0.012431,"May 14, 2018",0.012775,0.011430,"6,458,650",0.012189,"14,055"
26,0.012193,"May 13, 2018",0.012853,0.011379,"6,029,120",0.011379,"27,082"
27,0.011388,"May 12, 2018",0.011776,0.010565,"5,672,930",0.010706,"22,639"
28,0.010733,"May 11, 2018",0.011916,0.010482,"6,019,470",0.011361,"22,875"
29,0.011345,"May 10, 2018",0.012637,0.011333,"6,622,670",0.012499,"32,521"
30,0.012494,"May 09, 2018",0.013082,0.012022,"6,623,370",0.012500,"31,114"
31,0.012496,"May 08, 2018",0.014055,0.012059,"6,947,310",0.013112,"40,608"
32,0.013056,"May 07, 2018",0.013669,0.012590,"7,190,210",0.013570,"16,008"
33,0.013561,"May 06, 2018",0.015235,0.013423,"7,972,440",0.015046,"25,583"
34,0.015100,"May 05, 2018",0.015416,0.013837,"7,688,530",0.014511,"51,600"
35,0.014503,"May 04, 2018",0.015204,0.013800,"7,938,810",0.014983,"20,123"
36,0.014950,"May 03, 2018",0.015153,0.013300,"7,062,140",0.013328,"42,049"
37,0.013328,"May 02, 2018",0.013773,0.012815,"7,134,270",0.013464,"30,056"
38,0.013490,"May 01, 2018",0.013506,0.012228,"6,989,820",0.013192,"19,140"
39,0.013172,"Apr 30, 2018",0.013651,0.012442,"7,036,190",0.013279,"31,044"
40,0.013282,"Apr 29, 2018",0.014378,0.012551,"7,365,380",0.013901,"30,112"
41,0.013909,"Apr 28, 2018",0.014266,0.012864,"6,987,910",0.013188,"48,468"
42,0.013260,"Apr 27, 2018",0.014950,0.012716,"7,693,440",0.014520,"31,539"
43,0.014498,"Apr 26, 2018",0.014821,0.013106,"7,251,380",0.013685,"36,878"
44,0.013567,"Apr 25, 2018",0.015842,0.012923,"7,424,280",0.014012,"70,243"
45,0.014073,"Apr 24, 2018",0.015189,0.013309,"7,257,520",0.013697,"55,896"
46,0.013689,"Apr 23, 2018",0.014923,0.013102,"7,063,070",0.013330,"72,208"
47,0.013365,"Apr 22, 2018",0.015157,0.011344,"6,263,050",0.011820,"91,113"
48,0.011821,"Apr 21, 2018",0.012268,0.010511,"6,199,830",0.011701,"58,770"
49,0.011556,"Apr 20, 2018",0.011787,0.009073,"5,104,570",0.009634,"73,568"
50,0.009685,"Apr 19, 2018",0.009703,0.007125,"4,901,600",0.009251,"238,055"
51,0.009076,"Apr 18, 2018",0.010392,0.009076,"4,903,150",0.009254,"31,443"
52,0.009214,"Apr 17, 2018",0.010259,0.008989,"5,430,560",0.010249,"30,821"
53,0.010248,"Apr 16, 2018",0.010790,0.009096,"5,684,830",0.010729,"29,068"
54,0.010727,"Apr 15, 2018",0.011305,0.009516,"5,865,910",0.011071,"23,201"
55,0.011069,"Apr 14, 2018",0.011251,0.010404,"5,546,960",0.010469,"8,757"
56,0.010469,"Apr 13, 2018",0.011200,0.010248,"5,739,380",0.010832,"10,297"
57,0.010816,"Apr 12, 2018",0.011054,0.008100,"4,407,850",0.008319,"29,880"
58,0.008345,"Apr 11, 2018",0.008394,0.007288,"4,156,740",0.007845,"18,078"
59,0.007835,"Apr 10, 2018",0.007902,0.006929,"3,691,140",0.006966,"3,309"
60,0.007147,"Apr 09, 2018",0.008439,0.006823,"3,960,100",0.007474,"14,166"
61,0.007460,"Apr 08, 2018",0.008170,0.006926,"3,673,150",0.006932,"6,125"
62,0.006985,"Apr 07, 2018",0.007440,0.006612,"3,548,050",0.006696,"6,184"
63,0.006694,"Apr 06, 2018",0.007100,0.006634,"3,659,450",0.006906,"3,537"
64,0.006937,"Apr 05, 2018",0.007383,0.006595,"3,744,510",0.007067,"7,704"
65,0.007069,"Apr 04, 2018",0.008164,0.007007,"4,325,790",0.008164,"18,501"
66,0.008160,"Apr 03, 2018",0.008410,0.007550,"4,110,980",0.007759,"20,095"
67,0.007752,"Apr 02, 2018",0.008193,0.007328,"4,195,090",0.007917,"6,112"
68,0.007892,"Apr 01, 2018",0.007951,0.007217,"4,085,550",0.007711,"3,845"
69,0.007722,"Mar 31, 2018",0.008360,0.007511,"4,096,320",0.007731,"6,034"
70,0.007732,"Mar 30, 2018",0.008030,0.007242,"4,174,650",0.007879,"19,596"
71,0.007900,"Mar 29, 2018",0.008816,0.007402,"4,319,510",0.008152,"27,785"
72,0.008141,"Mar 28, 2018",0.009248,0.008027,"4,757,230",0.008978,"21,737"
73,0.008978,"Mar 27, 2018",0.009819,0.008441,"5,051,610",0.009534,"9,977"
74,0.009547,"Mar 26, 2018",0.010204,0.008249,"5,376,900",0.010148,"14,633"
75,0.010158,"Mar 25, 2018",0.010566,0.008788,"5,030,140",0.009493,"8,437"
76,0.009620,"Mar 24, 2018",0.010583,0.009066,"5,105,200",0.009635,"11,987"
77,0.009525,"Mar 23, 2018",0.009525,0.008647,"4,805,880",0.009070,"17,714"
78,0.009071,"Mar 22, 2018",0.010057,0.008822,"5,194,410",0.009803,"7,471"
79,0.009797,"Mar 21, 2018",0.010155,0.009460,"5,104,640",0.009634,"21,353"
80,0.009593,"Mar 20, 2018",0.009745,0.008521,"4,867,830",0.009187,"18,034"
81,0.009106,"Mar 19, 2018",0.009694,0.008298,"4,535,120",0.008559,"13,537"
82,0.008595,"Mar 18, 2018",0.009214,0.007561,"4,680,310",0.008833,"13,606"
83,0.008847,"Mar 17, 2018",0.010665,0.008795,"5,328,620",0.010057,"9,075"
84,0.010042,"Mar 16, 2018",0.010554,0.009384,"5,281,290",0.009967,"14,369"
85,0.009975,"Mar 15, 2018",0.010666,0.009262,"5,452,400",0.010290,"31,856"
86,0.010312,"Mar 14, 2018",0.012507,0.009882,"6,487,360",0.012243,"15,820"
87,0.012243,"Mar 13, 2018",0.013378,0.011337,"6,757,990",0.012754,"10,032"
88,0.012746,"Mar 12, 2018",0.013262,0.011207,"5,938,250",0.011207,"9,318"
89,0.011235,"Mar 11, 2018",0.012397,0.010594,"5,895,310",0.011126,"25,713"
90,0.011037,"Mar 10, 2018",0.013555,0.010418,"5,755,860",0.010863,"36,748"
91,0.010879,"Mar 09, 2018",0.012625,0.009050,"5,742,800",0.010838,"49,300"
92,0.010903,"Mar 08, 2018",0.013640,0.010677,"6,742,660",0.012725,"77,796"
93,0.012745,"Mar 07, 2018",0.016316,0.011193,"7,800,700",0.014722,"64,263"
94,0.014728,"Mar 06, 2018",0.017463,0.014587,"8,519,000",0.016078,"22,961"
95,0.016101,"Mar 05, 2018",0.017739,0.015700,"9,084,190",0.017145,"29,564"
96,0.017083,"Mar 04, 2018",0.017406,0.015581,"8,841,510",0.016686,"43,255"
97,0.016677,"Mar 03, 2018",0.019625,0.014790,"10,007,600",0.018887,"77,096"
98,0.018903,"Mar 02, 2018",0.020789,0.017511,"9,747,050",0.018395,"45,538"
99,0.018038,"Mar 01, 2018",0.020083,0.016301,"8,672,340",0.016367,"34,133"
100,0.017848,"Feb 28, 2018",0.020861,0.017101,"10,519,700",0.019854,"53,941"
101,0.019869,"Feb 27, 2018",0.023137,0.018580,"11,871,400",0.022405,"82,839"
102,0.022322,"Feb 26, 2018",0.026396,0.018648,"12,843,500",0.024239,"136,687"
103,0.024220,"Feb 25, 2018",0.029548,0.017448,"9,871,900",0.018631,"94,077"
104,0.018598,"Feb 24, 2018",0.020730,0.015993,"10,286,000",0.019413,"33,545"
105,0.019429,"Feb 23, 2018",0.028554,0.018580,"11,211,900",0.021160,"14,627"
106,0.021183,"Feb 22, 2018",0.021486,0.016959,"9,490,990",0.017912,"59,416"
107,0.017867,"Feb 21, 2018",0.021288,0.017214,"11,279,600",0.021288,"11,752"
108,0.022007,"Feb 20, 2018",0.022502,0.017843,"10,033,300",0.018936,"30,714"
109,0.018835,"Feb 19, 2018",0.021487,0.018818,"10,478,900",0.019777,"27,455"
110,0.019861,"Feb 18, 2018",0.024344,0.019717,"12,437,500",0.023473,"15,841"
111,0.023460,"Feb 17, 2018",0.024708,0.020823,"11,817,300",0.022302,"24,373"
112,0.022251,"Feb 16, 2018",0.026784,0.021758,"12,135,500",0.022903,"24,517"
113,0.020019,"Feb 15, 2018",0.023284,0.019234,"11,556,000",0.021809,"28,506"
114,0.021800,"Feb 14, 2018",0.022458,0.017764,"10,318,300",0.019474,"241,540"
115,0.019492,"Feb 13, 2018",0.025684,0.018818,"12,300,500",0.023214,"434,270"
116,0.023169,"Feb 12, 2018",0.025625,0.009054,"12,743,000",0.024050,"282,437"
117,0.023945,"Feb 11, 2018",0.026210,0.021802,"13,064,600",0.024657,"87,575"
118,0.024692,"Feb 10, 2018",0.028829,0.022398,"15,153,800",0.028600,"46,690"
119,0.028609,"Feb 09, 2018",0.028764,0.025926,"14,821,900",0.027973,"91,152"
120,0.027932,"Feb 08, 2018",0.028531,0.023108,"12,759,900",0.024082,"70,701"
121,0.024145,"Feb 07, 2018",0.030665,0.020957,"13,239,200",0.024986,"117,820"
122,0.024955,"Feb 06, 2018",0.034234,0.015848,"12,792,500",0.024143,"120,851"
123,0.024059,"Feb 05, 2018",0.032700,0.021146,"16,111,500",0.030407,"106,578"
124,0.030702,"Feb 04, 2018",0.039105,0.027537,"18,009,200",0.033988,"40,809"
125,0.033998,"Feb 03, 2018",0.042603,0.033586,"21,241,200",0.040088,"84,129"
126,0.039846,"Feb 02, 2018",0.044348,0.028655,"22,325,800",0.042135,"85,835"
127,0.042272,"Feb 01, 2018",0.054071,0.037405,"24,993,600",0.047170,"119,942"
128,0.047225,"Jan 31, 2018",0.051369,0.043890,"26,139,900",0.049333,"159,347"
129,0.050541,"Jan 30, 2018",0.064217,0.044701,"32,044,400",0.060477,"169,170"
130,0.060358,"Jan 29, 2018",0.066980,0.038417,-,0.046513,"338,579"
131,0.046171,"Jan 28, 2018",0.053632,0.040235,-,0.046955,"132,166"
132,0.046628,"Jan 27, 2018",0.060615,0.045339,-,0.057331,"251,157"
133,0.057317,"Jan 26, 2018",0.061779,0.045049,-,0.059232,"173,179"
134,0.059436,"Jan 25, 2018",0.068469,0.057387,-,0.065263,"126,816"
135,0.064589,"Jan 24, 2018",0.068341,0.060089,-,0.063458,"199,631"
136,0.062908,"Jan 23, 2018",0.064761,0.054795,-,0.062747,"270,986"
137,0.062885,"Jan 22, 2018",0.068967,0.035193,-,0.065507,"460,345"
138,0.065079,"Jan 21, 2018",0.080543,0.064723,-,0.079458,"280,355"
139,0.079263,"Jan 20, 2018",0.093615,0.067557,-,0.071935,"681,451"
