,close,date,high,low,market_cap,open,volume
0,15.27,"Jun 08, 2018",16.82,15.26,"62,218,900",16.70,"9,238,430"
1,16.68,"Jun 07, 2018",17.48,16.36,"64,793,900",17.39,"10,813,600"
2,17.26,"Jun 06, 2018",17.93,16.13,"62,776,300",16.84,"11,681,600"
3,16.75,"Jun 05, 2018",17.04,14.62,"57,654,000",15.47,"8,585,940"
4,15.45,"Jun 04, 2018",16.50,15.09,"61,220,300",16.43,"8,449,890"
5,16.60,"Jun 03, 2018",17.58,16.25,"62,580,700",16.79,"9,956,640"
6,16.79,"Jun 02, 2018",18.11,16.38,"62,146,000",16.68,"12,386,400"
7,16.54,"Jun 01, 2018",17.94,14.46,"54,983,300",14.75,"14,440,800"
8,14.81,"May 31, 2018",15.38,13.02,"50,093,400",13.44,"7,686,930"
9,13.37,"May 30, 2018",13.79,12.41,"49,515,700",13.29,"4,696,700"
10,13.20,"May 29, 2018",13.86,11.44,"42,993,000",11.54,"4,878,580"
11,11.56,"May 28, 2018",13.16,11.36,"48,793,700",13.09,"3,937,100"
12,13.05,"May 27, 2018",13.38,12.77,"49,730,100",13.34,"4,319,140"
13,13.35,"May 26, 2018",14.23,13.22,"51,828,500",13.91,"5,179,380"
14,13.91,"May 25, 2018",14.93,13.69,"55,295,000",14.84,"5,049,230"
15,14.81,"May 24, 2018",14.84,13.23,"51,936,900",13.94,"5,629,280"
16,13.97,"May 23, 2018",15.93,13.45,"58,683,700",15.75,"5,110,050"
17,15.78,"May 22, 2018",18.07,15.61,"67,256,400",18.05,"6,846,270"
18,18.02,"May 21, 2018",18.90,17.68,"69,284,000",18.59,"7,456,870"
19,18.56,"May 20, 2018",19.10,17.91,"67,803,000",18.19,"9,193,590"
20,18.23,"May 19, 2018",19.92,16.92,"65,270,300",17.51,"12,367,400"
21,17.50,"May 18, 2018",17.50,15.63,"60,216,600",16.16,"7,228,210"
22,16.16,"May 17, 2018",17.89,16.03,"64,387,800",17.28,"7,506,000"
23,17.27,"May 16, 2018",18.35,16.75,"68,281,100",18.32,"6,652,680"
24,18.37,"May 15, 2018",20.00,18.05,"71,778,900",19.26,"6,836,210"
25,19.29,"May 14, 2018",20.37,18.00,"72,388,700",19.42,"8,721,740"
26,19.43,"May 13, 2018",19.71,17.77,"67,520,400",18.12,"8,147,660"
27,18.13,"May 12, 2018",18.43,16.17,"64,510,900",17.31,"6,212,790"
28,17.36,"May 11, 2018",19.60,17.09,"73,034,300",19.60,"7,150,540"
29,19.59,"May 10, 2018",21.67,19.46,"77,808,600",20.88,"8,082,220"
30,20.87,"May 09, 2018",21.23,20.13,"78,978,200",21.19,"8,516,870"
31,21.36,"May 08, 2018",22.72,20.90,"82,788,900",22.21,"7,817,070"
32,22.18,"May 07, 2018",23.44,21.37,"86,936,300",23.33,"8,919,930"
33,23.30,"May 06, 2018",24.30,22.45,"88,441,900",23.73,"9,538,440"
34,23.69,"May 05, 2018",25.06,23.60,"91,823,400",24.64,"8,362,950"
35,24.63,"May 04, 2018",25.57,24.04,"94,050,800",25.24,"11,404,400"
36,25.02,"May 03, 2018",26.60,24.78,"95,474,300",25.62,"16,568,900"
37,25.77,"May 02, 2018",25.93,22.42,"84,001,400",22.54,"29,511,100"
38,22.58,"May 01, 2018",22.68,20.87,"83,799,600",22.49,"10,464,900"
39,22.39,"Apr 30, 2018",24.06,22.17,"89,008,700",23.88,"10,973,900"
40,23.88,"Apr 29, 2018",24.12,21.58,"81,836,400",21.96,"13,444,700"
41,21.97,"Apr 28, 2018",22.33,20.62,"76,912,200",20.64,"9,759,390"
42,20.71,"Apr 27, 2018",22.28,20.71,"82,814,800",22.22,"9,584,970"
43,22.14,"Apr 26, 2018",22.15,19.93,"75,570,100",20.28,"10,480,800"
44,20.07,"Apr 25, 2018",24.74,19.70,"92,217,100",24.74,"10,774,400"
45,24.96,"Apr 24, 2018",25.02,23.15,"86,285,300",23.15,"13,736,300"
46,23.16,"Apr 23, 2018",23.85,22.18,"82,677,000",22.18,"11,083,900"
47,22.24,"Apr 22, 2018",23.20,21.91,"83,316,800",22.36,"9,977,230"
48,22.34,"Apr 21, 2018",23.96,21.45,"88,889,600",23.85,"10,695,400"
49,23.75,"Apr 20, 2018",23.87,21.17,"80,697,200",21.65,"12,983,900"
50,21.64,"Apr 19, 2018",21.67,20.40,"78,008,600",20.93,"12,690,900"
51,20.82,"Apr 18, 2018",20.91,19.19,"71,822,600",19.27,"11,054,700"
52,19.19,"Apr 17, 2018",20.41,19.08,"72,686,600",19.50,"8,656,730"
53,19.52,"Apr 16, 2018",20.28,18.81,"75,420,900",20.24,"10,103,800"
54,20.22,"Apr 15, 2018",20.22,19.03,"70,909,300",19.03,"7,937,670"
55,19.01,"Apr 14, 2018",19.66,18.69,"70,284,100",18.86,"8,237,250"
56,18.78,"Apr 13, 2018",20.13,18.13,"69,958,000",18.77,"9,742,970"
57,18.75,"Apr 12, 2018",18.82,16.78,"64,759,100",17.38,"9,682,070"
58,17.42,"Apr 11, 2018",17.42,16.84,"62,956,300",16.89,"9,273,040"
59,16.98,"Apr 10, 2018",16.99,16.31,"62,374,900",16.74,"8,529,100"
60,16.73,"Apr 09, 2018",18.51,16.48,"65,698,200",17.63,"7,562,860"
61,17.61,"Apr 08, 2018",18.07,16.85,"63,181,100",16.95,"6,853,550"
62,16.95,"Apr 07, 2018",17.54,16.31,"61,372,400",16.47,"7,304,100"
63,16.46,"Apr 06, 2018",17.56,16.22,"63,204,200",16.96,"7,690,010"
64,17.03,"Apr 05, 2018",17.88,16.29,"66,296,000",17.79,"7,359,170"
65,17.80,"Apr 04, 2018",20.59,16.70,"76,367,900",20.49,"10,413,200"
66,20.52,"Apr 03, 2018",21.13,19.74,"74,667,900",20.04,"10,866,900"
67,20.04,"Apr 02, 2018",20.87,19.70,"73,726,600",19.78,"9,269,140"
68,19.65,"Apr 01, 2018",22.39,18.60,"80,648,700",21.64,"11,039,000"
69,21.62,"Mar 31, 2018",25.12,21.15,"79,907,700",21.44,"15,931,500"
70,21.54,"Mar 30, 2018",21.93,19.43,"78,737,000",21.13,"9,523,410"
71,21.39,"Mar 29, 2018",26.21,20.81,"97,190,900",26.08,"10,689,600"
72,26.00,"Mar 28, 2018",26.12,22.95,"86,795,000",23.29,"12,239,100"
73,23.29,"Mar 27, 2018",24.82,22.52,"91,663,900",24.60,"8,804,390"
74,24.69,"Mar 26, 2018",27.54,23.07,"97,070,400",26.05,"12,262,200"
75,25.95,"Mar 25, 2018",26.90,24.57,"92,134,400",24.72,"10,359,300"
76,25.05,"Mar 24, 2018",26.83,24.86,"98,688,800",26.48,"12,223,700"
77,26.39,"Mar 23, 2018",28.28,22.81,"91,375,400",24.52,"16,826,000"
78,24.71,"Mar 22, 2018",26.66,23.63,"96,460,100",25.88,"9,172,570"
79,25.91,"Mar 21, 2018",27.72,25.24,"99,794,500",26.78,"11,851,800"
80,26.74,"Mar 20, 2018",27.17,24.88,"98,966,400",26.56,"11,807,300"
81,26.40,"Mar 19, 2018",27.37,24.36,"93,869,400",25.19,"12,252,400"
82,24.73,"Mar 18, 2018",26.19,19.36,"88,745,900",23.81,"11,671,400"
83,23.89,"Mar 17, 2018",27.60,23.67,"95,347,300",25.58,"15,646,100"
84,25.93,"Mar 16, 2018",28.42,21.14,"85,718,100",23.00,"16,069,700"
85,22.91,"Mar 15, 2018",25.74,20.48,"87,257,900",23.41,"12,191,700"
86,23.26,"Mar 14, 2018",30.05,22.59,"111,650,000",29.96,"13,726,200"
87,29.96,"Mar 13, 2018",33.07,27.45,"118,399,000",31.77,"13,232,100"
88,32.14,"Mar 12, 2018",35.26,29.99,"129,068,000",34.63,"6,463,750"
89,34.72,"Mar 11, 2018",36.62,30.81,"121,075,000",32.49,"5,593,960"
90,32.87,"Mar 10, 2018",38.43,31.33,"128,830,000",34.57,"7,573,660"
91,34.47,"Mar 09, 2018",39.46,28.64,"145,528,000",39.05,"18,947,800"
92,38.75,"Mar 08, 2018",39.96,34.40,"136,059,000",36.51,"22,259,900"
93,36.40,"Mar 07, 2018",38.73,31.27,"131,534,000",35.29,"17,617,000"
94,35.43,"Mar 06, 2018",36.23,31.93,"127,477,000",34.21,"7,615,890"
95,34.25,"Mar 05, 2018",37.22,33.86,"136,135,000",36.53,"6,500,940"
96,36.59,"Mar 04, 2018",39.26,34.54,"141,720,000",38.03,"16,207,000"
97,37.86,"Mar 03, 2018",39.77,33.70,"127,546,000",34.22,"20,691,300"
98,34.42,"Mar 02, 2018",36.58,29.49,"111,486,000",29.91,"13,205,400"
99,29.83,"Mar 01, 2018",31.24,25.99,"97,577,700",26.18,"11,500,500"
100,26.19,"Feb 28, 2018",28.23,24.61,"98,738,100",26.49,"4,561,150"
101,26.55,"Feb 27, 2018",29.19,25.55,"97,327,800",26.12,"7,880,070"
102,25.78,"Feb 26, 2018",27.24,20.96,"80,714,000",21.66,"9,014,190"
103,21.58,"Feb 25, 2018",22.02,20.60,"81,029,600",21.74,"1,312,920"
104,21.70,"Feb 24, 2018",23.75,20.24,"85,622,800",22.98,"1,786,690"
105,23.04,"Feb 23, 2018",24.70,21.53,"83,652,800",22.45,"3,080,580"
106,22.59,"Feb 22, 2018",25.89,21.96,"88,163,500",23.66,"3,951,800"
107,24.00,"Feb 21, 2018",25.48,21.90,"85,344,100",22.90,"5,534,150"
108,23.02,"Feb 20, 2018",28.41,22.91,"105,042,000",28.19,"5,954,680"
109,28.18,"Feb 19, 2018",30.50,25.72,"99,094,600",26.59,"11,864,200"
110,26.90,"Feb 18, 2018",34.02,24.37,"112,364,000",30.15,"59,437,900"
111,30.95,"Feb 17, 2018",30.95,20.54,"77,663,800",20.84,"18,899,500"
112,20.92,"Feb 16, 2018",21.57,18.54,"70,726,500",18.98,"4,303,860"
113,19.07,"Feb 15, 2018",19.34,16.93,"63,976,400",17.17,"3,256,560"
114,17.11,"Feb 14, 2018",17.11,14.88,"55,438,700",14.88,"982,206"
115,14.93,"Feb 13, 2018",16.36,14.80,"60,046,600",16.11,"1,301,880"
116,16.19,"Feb 12, 2018",16.48,13.76,"51,271,200",13.76,"1,391,730"
117,13.69,"Feb 11, 2018",14.64,12.90,"54,098,500",14.52,"886,702"
