,close,date,high,low,market_cap,open,volume
0,0.000305,"Jun 08, 2018",0.000308,0.000227,"389,047",0.000307,322
1,0.000307,"Jun 07, 2018",0.000309,0.000230,"290,704",0.000230,380
2,0.000229,"Jun 06, 2018",0.000384,0.000228,"385,809",0.000305,"2,250"
3,0.000305,"Jun 05, 2018",0.000306,0.000223,"379,525",0.000300,712
4,0.000300,"Jun 04, 2018",0.000386,0.000226,"389,835",0.000308,"2,851"
5,0.000308,"Jun 03, 2018",0.000386,0.000230,"482,434",0.000382,"2,037"
6,0.000382,"Jun 02, 2018",0.000382,0.000224,"284,873",0.000225,"7,790"
7,0.000226,"Jun 01, 2018",0.000304,0.000221,"283,824",0.000225,637
8,0.000225,"May 31, 2018",0.000303,0.000220,"279,591",0.000221,372
9,0.000222,"May 30, 2018",0.000301,0.000219,"282,591",0.000224,"1,324"
10,0.000224,"May 29, 2018",0.000301,0.000212,"359,182",0.000285,981
11,0.000285,"May 28, 2018",0.000295,0.000216,"370,490",0.000294,"2,449"
12,0.000294,"May 27, 2018",0.000295,0.000217,"277,375",0.000220,85
13,0.000220,"May 26, 2018",0.000302,0.000219,"282,293",0.000224,77
14,0.000224,"May 25, 2018",0.000298,0.000148,"285,769",0.000227,383
15,0.000226,"May 24, 2018",0.000232,0.000218,"284,029",0.000226,11
16,0.000226,"May 23, 2018",0.000318,0.000158,"302,193",0.000240,551
17,0.000240,"May 22, 2018",0.000250,0.000164,"211,556",0.000168,219
18,0.000168,"May 21, 2018",0.000255,0.000167,"214,489",0.000171,307
19,0.000170,"May 20, 2018",0.000330,0.000164,"414,637",0.000330,329
20,0.000330,"May 19, 2018",0.000335,0.000164,"207,077",0.000165,885
21,0.000165,"May 18, 2018",0.000244,0.000161,"304,433",0.000242,31
22,0.000242,"May 17, 2018",0.000333,0.000163,"314,498",0.000250,"1,155"
23,0.000250,"May 16, 2018",0.000255,0.000244,"319,567",0.000255,186
24,0.000255,"May 15, 2018",0.000265,0.000253,"326,527",0.000260,117
25,0.000261,"May 14, 2018",0.000350,0.000167,"217,997",0.000174,"2,360"
26,0.000174,"May 13, 2018",0.000263,0.000167,"212,310",0.000169,375
27,0.000169,"May 12, 2018",0.000251,0.000165,"210,404",0.000168,226
28,0.000168,"May 11, 2018",0.000181,0.000167,"226,431",0.000181,26
29,0.000181,"May 10, 2018",0.000281,0.000180,"349,877",0.000279,"2,037"
30,0.000279,"May 09, 2018",0.000280,0.000181,"345,423",0.000276,426
31,0.000276,"May 08, 2018",0.000284,0.000181,"351,593",0.000281,346
32,0.000280,"May 07, 2018",0.000281,0.000184,"240,474",0.000192,90
33,0.000192,"May 06, 2018",0.000298,0.000189,"368,625",0.000295,130
34,0.000295,"May 05, 2018",0.000298,0.000196,"363,036",0.000291,189
35,0.000291,"May 04, 2018",0.000390,0.000193,"486,593",0.000390,295
