,close,date,high,low,market_cap,open,volume
0,0.045030,"Jun 08, 2018",0.094889,0.038970,"573,126",0.053021,"171,932"
1,0.052981,"Jun 07, 2018",0.055017,0.049022,"554,097",0.051318,"4,025"
2,0.051271,"Jun 06, 2018",0.057230,0.050306,"577,786",0.053512,"8,891"
3,0.053527,"Jun 05, 2018",0.059326,0.048842,"565,164",0.052537,"14,013"
4,0.052512,"Jun 04, 2018",0.069330,0.050208,"713,362",0.066314,"45,010"
5,0.063205,"Jun 03, 2018",0.117041,0.057724,"970,378",0.090206,"326,161"
6,0.088658,"Jun 02, 2018",0.181472,0.052338,"606,443",0.056375,"601,956"
7,0.056399,"Jun 01, 2018",0.081147,0.044502,"556,073",0.051692,"108,852"
8,0.051655,"May 31, 2018",0.055334,0.046787,"540,676",0.050261,"1,533"
9,0.050270,"May 30, 2018",0.053469,0.047026,"521,947",0.048520,69
10,0.048487,"May 29, 2018",0.051282,0.044824,"482,431",0.044847,"1,571"
11,0.044861,"May 28, 2018",0.050733,0.043632,"499,175",0.046403,901
12,0.046392,"May 27, 2018",0.053384,0.043927,"489,219",0.045477,"2,240"
13,0.045457,"May 26, 2018",0.064899,0.045424,"531,079",0.049369,"11,132"
14,0.049434,"May 25, 2018",0.055615,0.044605,"545,344",0.050695,"6,975"
15,0.050600,"May 24, 2018",0.064580,0.050600,"655,140",0.060901,"7,289"
16,0.061056,"May 23, 2018",0.077333,0.058910,"831,900",0.077333,"4,538"
17,0.077413,"May 22, 2018",0.080257,0.074233,"849,913",0.079007,816
18,0.079022,"May 21, 2018",0.092389,0.070598,"939,076",0.087296,"6,885"
19,0.087187,"May 20, 2018",0.100081,0.068045,"739,581",0.068751,"3,062"
20,0.068700,"May 19, 2018",0.078196,0.064941,"780,032",0.072511,"7,732"
21,0.072522,"May 18, 2018",0.102987,0.061116,"666,425",0.061950,"25,682"
22,0.061902,"May 17, 2018",0.079284,0.060777,"687,296",0.063891,"4,689"
23,0.063852,"May 16, 2018",0.076880,0.061551,"792,315",0.073653,"1,135"
24,0.073696,"May 15, 2018",0.085518,0.068206,"754,964",0.070181,"4,049"
25,0.070302,"May 14, 2018",0.103492,0.059954,"673,090",0.062570,"4,730"
26,0.062581,"May 13, 2018",0.071987,0.059031,"707,529",0.065771,"3,225"
27,0.065834,"May 12, 2018",0.072318,0.061746,"764,659",0.071082,"1,325"
28,0.071292,"May 11, 2018",0.094515,0.061886,"758,352",0.070496,"7,172"
29,0.070412,"May 10, 2018",0.079992,0.067850,"802,824",0.074630,"4,336"
30,0.074651,"May 09, 2018",0.090542,0.067978,"973,498",0.090496,"4,320"
31,0.090634,"May 08, 2018",0.100900,0.074352,"997,673",0.092743,"10,912"
32,0.092547,"May 07, 2018",0.129656,0.092455,-,0.125905,"9,786"
33,0.125815,"May 06, 2018",0.133417,0.089256,-,0.102496,"9,321"
34,0.102427,"May 05, 2018",0.133503,0.094172,-,0.128284,"8,525"
35,0.128345,"May 04, 2018",0.139437,0.116182,-,0.124011,"15,880"
36,0.124060,"May 03, 2018",0.143711,0.120973,-,0.132784,"14,837"
37,0.132779,"May 02, 2018",0.155521,0.127728,-,0.148917,"20,081"
38,0.149141,"May 01, 2018",0.180114,0.117947,-,0.162692,"45,199"
39,0.174523,"Apr 30, 2018",0.231861,0.139738,-,0.175912,"95,039"
40,0.175971,"Apr 29, 2018",0.398742,0.151251,-,0.154200,"388,150"
41,0.154260,"Apr 28, 2018",0.187082,0.137820,-,0.158616,"39,679"
42,0.159161,"Apr 27, 2018",0.174968,0.132171,-,0.174968,"16,478"
43,0.174726,"Apr 26, 2018",0.184552,0.114332,-,0.114332,"41,840"
44,0.113393,"Apr 25, 2018",0.154969,0.113234,-,0.152292,"6,052"
45,0.153334,"Apr 24, 2018",0.165892,0.136319,-,0.144535,"11,966"
46,0.144412,"Apr 23, 2018",0.178501,0.136622,-,0.158490,"15,434"
47,0.158810,"Apr 22, 2018",0.217445,0.135630,-,0.217445,"37,158"
48,0.217319,"Apr 21, 2018",0.245432,0.189725,-,0.233004,"42,665"
49,0.232073,"Apr 20, 2018",0.243680,0.189529,-,0.194230,"198,085"
