,close,date,high,low,market_cap,open,volume
0,0.473735,"Jun 08, 2018",0.500712,0.391979,"19,119,100",0.487279,489
1,0.486448,"Jun 07, 2018",0.696968,0.400863,"16,625,100",0.423716,"8,702"
2,0.423843,"Jun 06, 2018",0.427519,0.415552,"16,679,800",0.425109,12
3,0.425966,"Jun 05, 2018",0.462173,0.370711,"14,869,800",0.378979,"10,396"
4,0.379007,"Jun 04, 2018",0.394894,0.376091,"15,333,600",0.390800,24
5,0.391063,"Jun 03, 2018",0.439445,0.378194,"14,850,400",0.378484,709
6,0.378972,"Jun 02, 2018",0.454267,0.378972,"17,246,900",0.439562,7
7,0.439657,"Jun 01, 2018",0.446962,0.341807,"13,596,100",0.346517,"5,350"
8,0.345772,"May 31, 2018",0.448803,0.341177,"17,024,200",0.433886,902
9,0.434304,"May 30, 2018",0.446216,0.389974,"15,301,200",0.389974,110
10,0.389735,"May 29, 2018",0.394714,0.276587,"13,289,900",0.338712,"4,236"
11,0.339694,"May 28, 2018",0.379394,0.296049,"11,641,100",0.296692,"5,806"
12,0.296709,"May 27, 2018",0.382230,0.290234,"14,997,400",0.382230,"2,134"
13,0.381509,"May 26, 2018",0.395169,0.378493,"15,376,800",0.391900,226
14,0.391843,"May 25, 2018",0.412802,0.382123,"15,826,500",0.403361,120
15,0.402924,"May 24, 2018",0.414464,0.370290,"15,354,100",0.391323,339
16,0.393091,"May 23, 2018",0.477787,0.339769,"16,429,700",0.418736,"7,572"
17,0.419568,"May 22, 2018",0.863595,0.416717,"33,768,900",0.860651,"18,656"
18,0.862468,"May 21, 2018",0.882631,0.470491,"23,005,300",0.586325,"30,104"
19,0.585566,"May 20, 2018",0.594818,0.504022,"22,525,200",0.574088,"15,026"
20,0.573608,"May 19, 2018",0.583871,0.452424,"22,840,800",0.582132,"27,859"
21,0.582125,"May 18, 2018",0.582844,0.461596,"18,414,300",0.469315,"5,032"
22,0.469780,"May 17, 2018",0.511240,0.465206,"19,744,200",0.503209,286
23,0.502613,"May 16, 2018",0.588585,0.498735,"22,977,000",0.585602,297
24,0.585324,"May 15, 2018",0.617042,0.577038,"23,954,200",0.610509,205
25,0.611358,"May 14, 2018",0.622062,0.578426,"24,034,600",0.612557,31
26,0.612811,"May 13, 2018",0.621099,0.465247,"18,558,000",0.472977,547
27,0.473926,"May 12, 2018",0.574509,0.414185,"21,238,700",0.541300,"1,367"
28,0.542268,"May 11, 2018",0.625568,0.313382,"24,190,500",0.616531,147
29,0.616083,"May 10, 2018",0.651692,0.615394,"25,026,200",0.637831,31
30,0.637227,"May 09, 2018",0.645682,0.218405,"17,908,100",0.456413,"2,809"
31,0.456981,"May 08, 2018",0.491309,0.358088,"14,054,100",0.358189,457
32,0.355868,"May 07, 2018",0.576943,0.349350,"22,533,600",0.574302,352
33,0.573980,"May 06, 2018",0.731123,0.571179,"24,834,700",0.632948,"1,375"
34,0.633062,"May 05, 2018",0.768836,0.618756,"26,064,500",0.664293,"14,866"
35,0.663562,"May 04, 2018",0.668240,0.539640,"21,647,600",0.551722,"14,425"
36,0.553516,"May 03, 2018",0.657067,0.547378,"23,084,800",0.588349,"1,087"
37,0.588404,"May 02, 2018",0.590802,0.526848,"20,863,300",0.531732,"1,045"
38,0.533273,"May 01, 2018",0.639413,0.524004,"24,949,400",0.635873,204
39,0.633792,"Apr 30, 2018",0.634552,0.540459,"22,984,000",0.585782,"1,409"
40,0.585714,"Apr 29, 2018",0.585955,0.535837,"21,700,500",0.553070,385
41,0.553007,"Apr 28, 2018",0.556633,0.513771,"20,158,600",0.513771,"1,478"
42,0.518222,"Apr 27, 2018",0.575595,0.517112,"21,859,000",0.557110,"1,557"
43,0.556144,"Apr 26, 2018",0.615791,0.493399,"23,725,500",0.604679,746
44,0.598806,"Apr 25, 2018",0.637874,0.535010,"25,027,900",0.637874,"6,913"
45,0.638096,"Apr 24, 2018",0.687213,0.597440,"23,441,400",0.597440,"8,046"
46,0.597423,"Apr 23, 2018",0.630807,0.584565,"24,268,900",0.618529,"1,262"
47,0.620831,"Apr 22, 2018",0.641398,0.526424,"21,031,200",0.536010,195
48,0.536010,"Apr 21, 2018",0.560027,0.461742,"21,751,200",0.554362,"7,823"
49,0.554723,"Apr 20, 2018",0.558208,0.415870,"18,076,000",0.460694,"9,966"
50,0.461245,"Apr 19, 2018",0.579329,0.443970,"22,226,600",0.566479,"24,171"
51,0.566168,"Apr 18, 2018",0.567143,0.499537,"21,494,400",0.547815,520
52,0.547549,"Apr 17, 2018",0.564392,0.501241,"19,819,100",0.505120,458
53,0.505197,"Apr 16, 2018",0.590450,0.482494,"23,037,300",0.587140,"2,154"
54,0.586368,"Apr 15, 2018",0.598717,0.476945,"18,713,600",0.476945,"2,869"
55,0.477251,"Apr 14, 2018",0.580576,0.476487,"22,032,400",0.561527,"9,924"
56,0.561527,"Apr 13, 2018",0.607660,0.497660,"22,318,700",0.568826,"2,501"
57,0.567844,"Apr 12, 2018",0.569367,0.413607,"17,231,500",0.439171,"35,682"
58,0.441374,"Apr 11, 2018",0.501867,0.399065,"19,490,000",0.496732,"5,845"
59,0.495568,"Apr 10, 2018",0.499431,0.378479,"14,850,200",0.378479,"3,524"
60,0.376736,"Apr 09, 2018",0.494158,0.370094,"18,809,900",0.479398,"8,090"
61,0.478270,"Apr 08, 2018",0.483334,0.460493,"18,098,500",0.461266,876
62,0.461474,"Apr 07, 2018",0.469504,0.326683,"12,832,300",0.327051,"25,382"
63,0.327145,"Apr 06, 2018",0.341125,0.323180,"13,262,400",0.338013,256
64,0.339315,"Apr 05, 2018",0.343176,0.287282,"13,349,400",0.340229,"5,689"
65,0.340634,"Apr 04, 2018",0.345463,0.306543,"12,461,800",0.317607,11
66,0.316981,"Apr 03, 2018",0.383109,0.301757,"14,631,200",0.372897,"4,106"
67,0.372492,"Apr 02, 2018",0.372492,0.311158,"12,286,300",0.313133,"1,179"
68,0.312128,"Apr 01, 2018",0.378260,0.277056,"11,399,100",0.290522,"1,398"
69,0.290430,"Mar 31, 2018",0.393387,0.289559,"14,884,600",0.379357,"5,824"
70,0.379704,"Mar 30, 2018",0.394336,0.272178,"12,030,600",0.306618,427
71,0.307513,"Mar 29, 2018",0.440639,0.279226,"17,140,400",0.436848,"9,400"
72,0.436071,"Mar 28, 2018",0.450554,0.367607,"14,640,200",0.373127,"1,426"
73,0.373001,"Mar 27, 2018",0.443531,0.372195,"17,275,500",0.440291,"1,844"
74,0.440561,"Mar 26, 2018",0.498979,0.422438,"19,451,700",0.495756,"4,046"
75,0.496856,"Mar 25, 2018",0.507898,0.433249,"17,183,400",0.437944,"2,745"
76,0.443254,"Mar 24, 2018",0.515446,0.418226,"18,082,200",0.460852,"4,511"
77,0.456641,"Mar 23, 2018",0.458337,0.355532,"17,950,200",0.457486,"1,174"
78,0.457564,"Mar 22, 2018",0.467604,0.399435,"17,793,500",0.453495,404
79,0.452387,"Mar 21, 2018",0.478716,0.415591,"16,407,400",0.418167,"2,775"
80,0.415613,"Mar 20, 2018",0.498886,0.413735,"19,574,600",0.498886,875
81,0.494934,"Mar 19, 2018",0.495558,0.409549,"17,553,200",0.447370,"2,303"
82,0.449169,"Mar 18, 2018",0.464823,0.387403,"17,995,700",0.458646,"2,861"
83,0.459060,"Mar 17, 2018",0.595908,0.457262,"23,071,900",0.588021,461
84,0.587774,"Mar 16, 2018",0.614865,0.477413,"23,944,800",0.610268,"2,651"
85,0.610977,"Mar 15, 2018",0.619248,0.462400,"19,358,300",0.493376,251
86,0.493027,"Mar 14, 2018",0.626607,0.492811,"21,716,000",0.553465,"14,619"
87,0.553252,"Mar 13, 2018",0.660002,0.548280,"23,185,800",0.590925,"41,824"
88,0.591810,"Mar 12, 2018",0.626442,0.579997,"23,940,800",0.610166,"4,861"
89,0.610920,"Mar 11, 2018",0.618862,0.536591,"23,448,800",0.597628,"30,941"
90,0.599414,"Mar 10, 2018",0.693258,0.580348,"26,521,400",0.675938,"13,371"
91,0.676281,"Mar 09, 2018",0.678014,0.517225,"22,033,200",0.561550,"11,844"
92,0.562583,"Mar 08, 2018",0.741379,0.555697,"23,829,800",0.607337,"26,717"
93,0.608293,"Mar 07, 2018",0.803335,0.589219,"27,306,600",0.695948,"14,684"
94,0.796844,"Mar 06, 2018",0.935814,0.702293,"28,413,200",0.724153,"4,340"
95,0.724299,"Mar 05, 2018",0.956213,0.648178,"25,501,600",0.649946,"6,064"
96,0.649756,"Mar 04, 2018",0.853950,0.648037,"27,168,700",0.692436,"13,628"
97,0.692540,"Mar 03, 2018",0.770583,0.690985,"30,158,500",0.768633,"4,440"
98,0.769237,"Mar 02, 2018",0.856805,0.763899,"33,422,800",0.851830,"9,798"
99,0.852074,"Mar 01, 2018",0.852105,0.648502,"27,509,700",0.701125,"31,068"
100,0.700902,"Feb 28, 2018",0.877599,0.700865,"33,663,600",0.857966,"23,561"
101,0.857657,"Feb 27, 2018",0.890607,0.710170,"27,864,600",0.710170,"7,597"
102,0.708223,"Feb 26, 2018",0.778263,0.683559,"26,820,400",0.683559,"8,369"
103,0.683112,"Feb 25, 2018",0.756081,0.672046,"29,387,800",0.748993,"4,883"
104,0.750752,"Feb 24, 2018",0.853524,0.730273,"32,910,000",0.838760,661
105,0.839471,"Feb 23, 2018",0.839471,0.630679,"26,847,400",0.684247,"7,283"
106,0.685091,"Feb 22, 2018",0.739192,0.633294,"28,329,900",0.722030,"9,774"
107,0.723227,"Feb 21, 2018",0.794927,0.706690,"29,674,600",0.756302,"39,081"
108,1.06,"Feb 10, 2018",1.15,1.04,"43,418,900",1.11,251
109,1.11,"Feb 09, 2018",1.11,0.990342,"40,300,500",1.03,262
110,1.03,"Feb 08, 2018",1.15,0.945014,"37,079,000",0.945014,"8,816"
111,0.937806,"Feb 07, 2018",1.18,0.935806,"40,341,300",1.03,"27,246"
112,1.03,"Feb 06, 2018",1.10,0.725028,"34,793,800",0.886771,"30,077"
113,0.883623,"Feb 05, 2018",1.18,0.815214,"44,628,600",1.14,"18,631"
114,1.15,"Feb 04, 2018",1.36,1.00,"53,204,000",1.36,"112,865"
115,1.36,"Feb 03, 2018",1.42,1.20,"53,384,100",1.36,"23,705"
116,1.35,"Feb 02, 2018",1.44,1.12,"52,312,800",1.33,"40,297"
117,1.34,"Feb 01, 2018",1.72,1.24,"64,977,800",1.66,"14,482"
118,1.65,"Jan 31, 2018",1.65,1.33,"62,792,600",1.60,"35,548"
119,1.59,"Jan 30, 2018",1.78,1.35,"69,860,600",1.78,"28,948"
120,1.78,"Jan 29, 2018",2.01,1.47,"78,190,400",1.99,"14,573"
121,2.00,"Jan 28, 2018",2.01,1.38,"71,697,400",1.83,"50,772"
122,1.81,"Jan 27, 2018",1.85,1.56,"68,085,800",1.74,"13,970"
123,1.74,"Jan 26, 2018",1.79,1.49,"67,772,500",1.73,"19,404"
124,1.73,"Jan 25, 2018",1.85,1.42,"70,237,000",1.79,"7,041"
125,1.78,"Jan 24, 2018",1.80,1.62,"66,357,900",1.69,"23,071"
126,1.69,"Jan 23, 2018",1.78,1.26,"67,486,900",1.72,"74,276"
127,1.72,"Jan 22, 2018",1.89,1.42,"71,209,600",1.81,"42,913"
128,1.81,"Jan 21, 2018",2.05,1.63,"72,332,900",1.84,"27,279"
129,1.84,"Jan 20, 2018",2.15,1.74,"76,990,400",1.96,"5,450"
130,1.95,"Jan 19, 2018",2.16,1.71,"72,061,900",1.84,"38,916"
131,1.85,"Jan 18, 2018",1.97,1.74,"74,301,900",1.89,"62,967"
132,1.87,"Jan 17, 2018",1.99,1.43,"64,980,800",1.66,"9,534"
133,1.69,"Jan 16, 2018",1.92,1.52,"75,230,400",1.92,"31,974"
134,1.91,"Jan 15, 2018",2.85,1.69,"110,107,000",2.81,"36,163"
135,2.81,"Jan 14, 2018",3.11,2.66,"114,347,000",2.91,"56,024"
136,2.91,"Jan 13, 2018",3.23,2.53,"99,139,100",2.53,"116,541"
137,2.53,"Jan 12, 2018",2.79,2.39,"98,624,100",2.51,"98,984"
138,2.48,"Jan 11, 2018",2.93,2.09,"101,691,000",2.59,"33,393"
139,2.60,"Jan 10, 2018",3.11,2.52,"112,186,000",2.86,"105,450"
140,2.95,"Jan 09, 2018",2.99,2.56,"102,535,000",2.61,"80,436"
141,2.62,"Jan 08, 2018",3.12,2.11,"105,068,000",2.68,"88,997"
142,2.65,"Jan 07, 2018",2.82,2.33,"103,600,000",2.64,"196,995"
143,2.64,"Jan 06, 2018",2.65,2.04,"91,211,200",2.32,"326,770"
144,2.31,"Jan 05, 2018",2.40,1.48,"58,273,100",1.49,"137,404"
145,1.57,"Jan 04, 2018",1.58,1.13,"46,052,500",1.17,"338,300"
146,1.17,"Jan 03, 2018",1.40,0.952115,"40,902,800",1.04,"245,732"
147,1.04,"Jan 02, 2018",1.09,0.912352,"37,010,200",0.943259,"165,366"
148,0.941063,"Jan 01, 2018",1.13,0.829325,"41,436,700",1.06,"268,844"
149,1.06,"Dec 31, 2017",1.07,0.842593,"40,286,200",1.03,"35,389"
150,1.04,"Dec 30, 2017",1.18,0.848132,"34,965,500",0.891146,"52,463"
151,0.891454,"Dec 29, 2017",1.47,0.760782,"31,304,900",0.797851,"27,821"
152,0.793069,"Dec 28, 2017",0.910643,0.681359,"35,674,800",0.909225,"47,290"
153,0.910735,"Dec 27, 2017",0.989678,0.671391,"37,853,900",0.964762,"42,811"
154,0.974872,"Dec 26, 2017",0.983081,0.890207,"37,020,100",0.943511,"23,292"
155,0.943165,"Dec 25, 2017",0.972113,0.764789,"30,007,600",0.764789,"9,880"
156,0.761036,"Dec 24, 2017",0.899174,0.724538,"31,845,200",0.811623,"41,984"
157,0.802136,"Dec 23, 2017",0.885614,0.622183,"33,577,600",0.855775,"20,573"
158,0.848781,"Dec 22, 2017",0.911012,0.638960,"31,062,200",0.791666,"13,764"
159,0.788678,"Dec 21, 2017",0.957279,0.765448,"35,722,700",0.910446,"2,619"
160,0.909474,"Dec 20, 2017",0.942886,0.822265,"36,571,500",0.932079,"32,159"
161,0.933080,"Dec 19, 2017",0.963000,0.762473,"33,458,800",0.852747,"218,191"
162,0.855325,"Dec 18, 2017",0.995109,0.755729,"33,897,800",0.863935,"46,286"
163,0.865072,"Dec 17, 2017",1.00,0.758407,"31,498,300",0.802782,"63,961"
164,0.793254,"Dec 16, 2017",0.932912,0.703738,"34,308,200",0.874394,"11,402"
165,0.867138,"Dec 15, 2017",0.973488,0.696079,"27,311,700",0.696079,"29,762"
166,0.797728,"Dec 14, 2017",0.864542,0.683278,"31,641,800",0.806437,"32,187"
167,0.806857,"Dec 13, 2017",1.01,0.740799,"38,367,900",0.977862,"66,967"
168,0.977193,"Dec 12, 2017",0.984160,0.688643,"33,090,200",0.843352,"57,652"
169,0.848795,"Dec 11, 2017",0.848795,0.587983,"24,916,000",0.635021,"52,817"
170,0.638449,"Dec 10, 2017",0.801523,0.604166,"31,448,900",0.801523,"26,924"
171,0.798959,"Dec 09, 2017",0.873842,0.692010,"31,071,300",0.791899,"30,996"
172,0.791919,"Dec 08, 2017",0.816112,0.656926,"29,013,700",0.739457,"13,320"
173,0.738384,"Dec 07, 2017",0.803651,0.675582,"30,623,400",0.780483,"45,331"
174,0.783205,"Dec 06, 2017",0.849504,0.728104,"33,254,900",0.847550,"18,410"
175,0.849041,"Dec 05, 2017",0.888512,0.846925,"34,768,900",0.886136,"17,959"
176,0.885682,"Dec 04, 2017",0.942995,0.830016,"34,831,500",0.887733,"12,898"
177,0.855060,"Dec 03, 2017",0.898740,0.785061,"33,047,500",0.842264,"20,839"
178,0.841980,"Dec 02, 2017",0.922058,0.734370,"35,879,700",0.914446,"18,080"
179,0.914472,"Dec 01, 2017",0.974464,0.783399,"35,946,600",0.916151,"26,361"
180,0.918429,"Nov 30, 2017",0.964545,0.733059,"28,802,000",0.734063,"37,927"
181,0.724782,"Nov 29, 2017",1.09,0.723096,"39,414,400",1.00,"60,196"
182,1.00,"Nov 28, 2017",1.18,0.972038,"45,387,700",1.16,"69,544"
183,1.16,"Nov 27, 2017",1.29,0.936721,"46,330,100",1.18,"217,508"
184,1.18,"Nov 26, 2017",1.18,0.722321,"32,577,200",0.830279,"165,312"
185,0.830252,"Nov 25, 2017",0.903372,0.719929,"31,248,200",0.796406,"48,188"
186,0.796537,"Nov 24, 2017",0.941004,0.772302,"32,760,200",0.834941,"162,340"
187,0.839141,"Nov 23, 2017",0.970909,0.727366,"32,391,100",0.825534,"38,638"
188,0.823640,"Nov 22, 2017",0.861817,0.585082,"33,122,900",0.844186,"65,536"
189,0.843109,"Nov 21, 2017",0.894182,0.763377,"34,240,400",0.872667,"29,978"
190,0.874043,"Nov 20, 2017",1.00,0.778950,"36,557,400",0.931719,"20,993"
191,0.932721,"Nov 19, 2017",0.950294,0.715693,"36,304,600",0.925277,"69,994"
192,0.927673,"Nov 18, 2017",1.02,0.798290,"33,003,900",0.841152,"14,879"
193,0.846803,"Nov 17, 2017",0.897703,0.820995,"32,421,000",0.826298,"35,710"
194,0.887965,"Nov 16, 2017",0.918208,0.789166,"34,926,500",0.890152,"13,725"
195,0.890849,"Nov 15, 2017",0.925953,0.827314,"36,150,100",0.921338,"46,352"
196,0.920837,"Nov 14, 2017",0.944281,0.850176,"35,846,700",0.913606,"27,252"
197,0.913646,"Nov 13, 2017",0.924389,0.765645,-,0.798517,"24,674"
198,0.797250,"Nov 12, 2017",0.942938,0.797128,-,0.884073,"87,715"
199,0.883972,"Nov 11, 2017",0.947127,0.830524,-,0.885579,"178,063"
200,0.888128,"Nov 10, 2017",0.969380,0.814798,-,0.865865,"131,924"
201,0.865456,"Nov 09, 2017",1.01,0.740596,-,0.858243,"246,511"
202,0.862899,"Nov 08, 2017",0.897516,0.734360,-,0.831492,"156,206"
