,close,date,high,low,market_cap,open,volume
0,2.20,"Jun 08, 2018",2.27,1.97,"10,773,500",2.17,"83,645"
1,2.17,"Jun 07, 2018",2.40,2.01,"11,739,800",2.37,"261,636"
2,2.36,"Jun 06, 2018",2.42,2.14,"11,294,800",2.33,"80,258"
3,2.33,"Jun 05, 2018",2.36,2.06,"10,693,000",2.20,"79,225"
4,2.19,"Jun 04, 2018",2.44,2.11,"11,851,100",2.44,"125,838"
5,2.41,"Jun 03, 2018",2.60,2.40,"12,446,000",2.56,"78,133"
6,2.56,"Jun 02, 2018",2.59,2.44,"12,357,300",2.54,"65,760"
7,2.55,"Jun 01, 2018",2.70,2.24,"13,099,400",2.70,"202,474"
8,2.69,"May 31, 2018",2.88,2.44,"11,952,600",2.46,"101,829"
9,2.46,"May 30, 2018",2.59,2.34,"11,999,100",2.47,"89,892"
10,2.47,"May 29, 2018",2.54,2.21,"10,853,500",2.23,"76,791"
11,2.23,"May 28, 2018",2.53,2.13,"11,897,100",2.45,"128,279"
12,2.45,"May 27, 2018",2.57,2.42,"12,276,300",2.53,"40,639"
13,2.53,"May 26, 2018",2.66,2.48,"12,193,900",2.51,"40,853"
14,2.51,"May 25, 2018",2.83,2.47,"12,992,200",2.68,"76,297"
15,2.67,"May 24, 2018",2.81,2.38,"11,999,700",2.47,"90,201"
16,2.48,"May 23, 2018",2.91,2.45,"14,028,900",2.89,"150,044"
17,2.89,"May 22, 2018",3.28,2.82,"15,857,700",3.27,"171,224"
18,3.27,"May 21, 2018",3.77,3.15,"16,743,700",3.49,"235,736"
19,3.48,"May 20, 2018",3.72,3.46,"16,936,100",3.53,"182,333"
20,3.52,"May 19, 2018",3.63,3.26,"17,050,500",3.55,"197,606"
21,3.55,"May 18, 2018",3.63,2.85,"14,335,600",2.99,"320,398"
22,2.98,"May 17, 2018",3.41,2.97,"15,616,300",3.25,"101,491"
23,3.25,"May 16, 2018",3.39,3.07,"16,266,700",3.39,"138,968"
24,3.39,"May 15, 2018",3.68,3.33,"17,298,400",3.60,"136,506"
25,3.56,"May 14, 2018",3.70,3.22,"15,883,300",3.31,"348,203"
26,3.32,"May 13, 2018",3.51,3.00,"14,419,600",3.00,"444,647"
27,3.01,"May 12, 2018",3.07,2.72,"13,371,400",2.78,"137,790"
28,2.79,"May 11, 2018",3.24,2.76,"15,133,200",3.15,"91,328"
29,3.15,"May 10, 2018",3.43,3.10,"15,727,300",3.28,"131,386"
30,3.36,"May 09, 2018",3.42,2.96,"15,295,800",3.19,"134,954"
31,3.19,"May 08, 2018",3.44,3.12,"15,220,300",3.17,"233,324"
32,3.16,"May 07, 2018",3.16,2.82,"14,867,400",3.10,"289,408"
33,2.97,"May 06, 2018",3.35,2.71,"15,496,500",3.23,"537,830"
34,3.23,"May 05, 2018",3.67,3.01,"16,830,100",3.51,"314,412"
35,3.51,"May 04, 2018",3.76,3.36,"16,696,900",3.48,"286,052"
36,3.50,"May 03, 2018",3.68,2.99,"16,139,100",3.36,"633,656"
37,3.37,"May 02, 2018",3.82,3.35,"16,805,500",3.50,"321,838"
38,3.51,"May 01, 2018",3.68,3.28,"17,658,400",3.68,"198,109"
39,3.67,"Apr 30, 2018",3.97,3.52,"18,182,900",3.79,"231,325"
40,3.79,"Apr 29, 2018",4.12,3.50,"19,424,300",4.05,"258,531"
41,4.05,"Apr 28, 2018",4.16,3.58,"16,789,100",3.64,"209,261"
42,3.61,"Apr 27, 2018",4.16,3.61,"19,151,500",4.15,"271,049"
43,4.14,"Apr 26, 2018",4.27,3.41,"17,148,400",3.71,"521,909"
44,3.65,"Apr 25, 2018",4.35,3.13,"20,084,100",4.35,"845,026"
45,4.34,"Apr 24, 2018",4.85,3.83,"17,120,900",3.85,"809,485"
46,3.85,"Apr 23, 2018",4.31,3.40,"15,833,200",3.65,"838,856"
47,3.70,"Apr 22, 2018",3.72,3.05,"14,049,700",3.24,"410,218"
48,3.24,"Apr 21, 2018",3.29,2.69,"11,839,400",2.73,"437,920"
49,2.75,"Apr 20, 2018",2.75,2.47,"11,323,700",2.61,"169,506"
50,2.55,"Apr 19, 2018",2.90,2.44,"12,056,700",2.90,"208,067"
51,2.90,"Apr 18, 2018",2.92,2.51,"10,460,100",2.52,"101,096"
52,2.52,"Apr 17, 2018",2.90,2.26,"10,814,300",2.64,"189,866"
