,close,date,high,low,market_cap,open,volume
0,0.047690,"Jun 08, 2018",0.048115,0.047250,"2,407,850",0.048016,553
1,0.047979,"Jun 07, 2018",0.048217,0.038806,"1,965,890",0.039203,601
2,0.039167,"Jun 06, 2018",0.039325,0.035998,"1,814,110",0.036176,213
3,0.036192,"Jun 05, 2018",0.099881,0.029352,"1,853,990",0.036971,"1,883"
4,0.036954,"Jun 04, 2018",0.042601,0.029685,"1,905,170",0.037992,440
5,0.042359,"Jun 03, 2018",0.070422,0.011237,"3,325,750",0.066320,"31,944"
6,0.066311,"Jun 02, 2018",0.071047,0.066232,"3,499,800",0.069791,"8,168"
7,0.069820,"Jun 01, 2018",0.080533,0.065219,"4,021,210",0.080188,"7,936"
8,0.080072,"May 31, 2018",0.140655,0.060698,"3,287,370",0.065555,"17,167"
9,0.065578,"May 30, 2018",0.068674,0.059865,"3,005,850",0.059941,"7,732"
10,0.059900,"May 29, 2018",0.068817,0.059717,"3,296,230",0.065731,"4,807"
11,0.065753,"May 28, 2018",0.069115,0.057244,"3,455,130",0.068900,"7,952"
12,0.068888,"May 27, 2018",0.070515,0.060205,"3,140,820",0.062632,"12,201"
13,0.062573,"May 26, 2018",0.069528,0.062573,"3,430,090",0.068401,675
14,0.068675,"May 25, 2018",0.069607,0.054816,"3,329,960",0.066404,"38,073"
15,0.066209,"May 24, 2018",0.122229,0.058852,"6,013,910",0.119925,"3,301"
16,0.120676,"May 23, 2018",0.120676,0.063515,"3,544,920",0.070691,"18,426"
17,0.070764,"May 22, 2018",0.075150,0.061076,"3,535,290",0.070498,"23,167"
18,0.070517,"May 21, 2018",0.070592,0.059900,"3,263,280",0.065074,"5,815"
19,0.064993,"May 20, 2018",0.075578,0.062996,"3,724,340",0.074268,"15,909"
20,0.074057,"May 19, 2018",0.074057,0.058002,"2,961,310",0.059053,"24,455"
21,0.072611,"May 18, 2018",0.072631,0.054219,"2,718,920",0.054219,"39,894"
22,0.054329,"May 17, 2018",0.075786,0.053951,"3,683,520",0.073454,"15,619"
23,0.073387,"May 16, 2018",0.081352,0.063721,"3,832,940",0.076434,"12,006"
24,0.076443,"May 15, 2018",0.081843,0.041263,-,0.067190,"55,560"
25,0.067300,"May 14, 2018",0.071065,0.060203,-,0.070919,"3,881"
26,0.070936,"May 13, 2018",0.072186,0.060928,-,0.066986,"3,610"
27,0.067037,"May 12, 2018",0.067961,0.045355,-,0.056982,"5,471"
28,0.057137,"May 11, 2018",0.099682,0.057137,-,0.083368,"13,188"
29,0.083294,"May 10, 2018",0.091548,0.060785,-,0.060876,"34,883"
30,0.060883,"May 09, 2018",0.077495,0.059911,-,0.064673,"29,494"
31,0.064772,"May 08, 2018",0.079855,0.064772,-,0.079685,"16,272"
32,0.079514,"May 07, 2018",0.080379,0.066142,-,0.068696,"11,468"
33,0.068647,"May 06, 2018",0.093947,0.066860,-,0.088840,"52,917"
34,0.088781,"May 05, 2018",0.107774,0.044148,-,0.104823,"97,345"
35,0.104871,"May 04, 2018",0.105074,0.081998,-,0.090384,"15,752"
36,0.090437,"May 03, 2018",0.125353,0.067097,-,0.067130,"100,072"
37,0.067128,"May 02, 2018",0.072742,0.059948,-,0.072595,"91,726"
