,close,date,high,low,market_cap,open,volume
0,0.109729,"Jun 08, 2018",0.117574,0.100574,-,0.111720,"461,971"
1,0.113597,"Jun 07, 2018",0.120064,0.104417,-,0.116036,"504,710"
2,0.113076,"Jun 06, 2018",0.117047,0.097121,-,0.105902,"515,388"
3,0.107880,"Jun 05, 2018",0.113363,0.097467,-,0.103831,"418,787"
4,0.103465,"Jun 04, 2018",0.122764,0.098814,-,0.122760,"283,157"
5,0.113130,"Jun 03, 2018",0.122718,0.105819,-,0.114806,"441,225"
6,0.117874,"Jun 02, 2018",0.122053,0.110170,-,0.112540,"500,987"
7,0.113012,"Jun 01, 2018",0.118134,0.094159,-,0.112014,"395,804"
8,0.111868,"May 31, 2018",0.114770,0.108216,-,0.108873,"306,440"
9,0.112391,"May 30, 2018",0.119828,0.107413,-,0.113843,"378,195"
10,0.113549,"May 29, 2018",0.124101,0.104509,-,0.111811,"407,236"
11,0.108896,"May 28, 2018",0.122244,0.105086,-,0.120271,"401,624"
12,0.120437,"May 27, 2018",0.124396,0.119311,-,0.124170,"625,913"
13,0.122419,"May 26, 2018",0.133591,0.110221,-,0.122672,"439,922"
14,0.123205,"May 25, 2018",0.133097,0.119123,-,0.122529,"571,882"
15,0.122881,"May 24, 2018",0.134524,0.108119,-,0.111948,"492,615"
16,0.120664,"May 23, 2018",0.152414,0.107457,-,0.150759,"488,685"
17,0.150833,"May 22, 2018",0.171295,0.150376,-,0.169533,"528,602"
18,0.171043,"May 21, 2018",0.182349,0.167573,-,0.180028,"667,907"
19,0.180111,"May 20, 2018",0.194459,0.166533,-,0.167053,"425,630"
20,0.167434,"May 19, 2018",0.191244,0.167287,-,0.182108,"526,083"
21,0.181531,"May 18, 2018",0.189479,0.158190,-,0.176312,"699,018"
22,0.173857,"May 17, 2018",0.194966,0.158142,-,0.168073,"954,066"
23,0.169637,"May 16, 2018",0.186824,0.161580,-,0.179143,"758,720"
24,0.179219,"May 15, 2018",0.235318,0.161627,-,0.169921,"1,060,550"
25,0.170313,"May 14, 2018",0.181339,0.149178,-,0.179760,"454,418"
26,0.180575,"May 13, 2018",0.185586,0.142293,-,0.144790,"669,580"
27,0.144093,"May 12, 2018",0.163562,0.135591,-,0.152845,"526,344"
28,0.157657,"May 11, 2018",0.174829,0.139454,-,0.168712,"601,844"
29,0.170771,"May 10, 2018",0.186730,0.168442,-,0.176874,"734,366"
30,0.180019,"May 09, 2018",0.193201,0.169107,-,0.181891,"625,032"
31,0.182082,"May 08, 2018",0.196251,0.162175,-,0.173147,"477,205"
32,0.166508,"May 07, 2018",0.203728,0.158745,-,0.184771,"609,411"
33,0.180665,"May 06, 2018",0.214362,0.166119,-,0.209100,"693,309"
