,close,date,high,low,market_cap,open,volume
0,0.000229,"Jun 08, 2018",0.000230,0.000153,-,0.000205,6
1,0.000205,"Jun 07, 2018",0.000291,0.000204,-,0.000230,2
2,0.000229,"Jun 06, 2018",0.000240,0.000225,-,0.000239,9
3,0.000239,"Jun 05, 2018",0.000260,0.000224,-,0.000227,11
4,0.000227,"Jun 04, 2018",0.000302,0.000154,-,0.000220,33
5,0.000220,"Jun 03, 2018",0.000232,0.000152,-,0.000153,3
6,0.000153,"Jun 02, 2018",0.000170,0.000152,-,0.000166,5
7,0.000167,"Jun 01, 2018",0.000223,0.000164,-,0.000185,11
8,0.000185,"May 31, 2018",0.000238,0.000183,-,0.000235,2
9,0.000235,"May 30, 2018",0.000269,0.000223,-,0.000224,2
10,0.000224,"May 29, 2018",0.000226,0.000212,-,0.000214,16
11,0.000214,"May 28, 2018",0.000223,0.000213,-,0.000221,6
12,0.000221,"May 27, 2018",0.000223,0.000149,-,0.000221,108
13,0.000221,"May 26, 2018",0.000227,0.000148,-,0.000149,31
14,0.000150,"May 25, 2018",0.000153,0.000147,-,0.000151,1
15,0.000151,"May 24, 2018",0.000232,0.000149,-,0.000226,35
16,0.000226,"May 23, 2018",0.000310,0.000224,-,0.000289,13
17,0.000289,"May 22, 2018",0.000331,0.000249,-,0.000255,31
18,0.000255,"May 21, 2018",0.000339,0.000180,-,0.000256,366
19,0.000256,"May 20, 2018",0.000344,0.000246,-,0.000247,885
20,0.000247,"May 19, 2018",0.000299,0.000246,-,0.000262,38
21,0.000262,"May 18, 2018",0.000340,0.000247,-,0.000338,174
22,0.000337,"May 17, 2018",0.000416,0.000307,-,0.000334,10
23,0.000334,"May 16, 2018",0.000337,0.000253,-,0.000255,459
24,0.000255,"May 15, 2018",0.000357,0.000253,-,0.000351,14
25,0.000351,"May 14, 2018",0.000600,0.000349,-,0.000589,601
26,0.000594,"May 13, 2018",0.000619,0.000417,-,0.000423,35
27,0.000419,"May 12, 2018",0.000425,0.000342,-,0.000390,160
28,0.000390,"May 11, 2018",0.000459,0.000348,-,0.000362,37
29,0.000361,"May 10, 2018",0.000376,0.000280,-,0.000373,8
30,0.000373,"May 09, 2018",0.000374,0.000294,-,0.000369,106
31,0.000370,"May 08, 2018",0.000378,0.000363,-,0.000375,59
32,0.000374,"May 07, 2018",0.000378,0.000281,-,0.000295,31
33,0.000294,"May 06, 2018",0.000396,0.000291,-,0.000393,262
34,0.000393,"May 05, 2018",0.000398,0.000311,-,0.000388,215
35,0.000388,"May 04, 2018",0.000408,0.000289,-,0.000332,232
36,0.000332,"May 03, 2018",0.000407,0.000277,-,0.000358,128
37,0.000358,"May 02, 2018",0.000426,0.000356,-,0.000363,8
38,0.000364,"May 01, 2018",0.000379,0.000356,-,0.000379,23
39,0.000379,"Apr 30, 2018",0.000405,0.000290,-,0.000376,367
40,0.000376,"Apr 29, 2018",0.000494,0.000370,-,0.000484,118
41,0.000485,"Apr 28, 2018",0.000487,0.000300,-,0.000302,133
42,0.000303,"Apr 27, 2018",0.000397,0.000303,-,0.000356,128
43,0.000349,"Apr 26, 2018",0.000384,0.000283,-,0.000310,49
44,0.000314,"Apr 25, 2018",0.000418,0.000304,-,0.000406,29
45,0.000409,"Apr 24, 2018",0.000566,0.000394,-,0.000538,61
46,0.000541,"Apr 23, 2018",0.000678,0.000493,-,0.000495,57
47,0.000495,"Apr 22, 2018",0.000553,0.000336,-,0.000381,134
48,0.000381,"Apr 21, 2018",0.000436,0.000280,-,0.000281,94
49,0.000281,"Apr 20, 2018",0.000393,0.000260,-,0.000353,52
50,0.000352,"Apr 19, 2018",0.000353,0.000246,-,0.000329,57
51,0.000329,"Apr 18, 2018",0.000345,0.000240,-,0.000344,29
52,0.000343,"Apr 17, 2018",0.000460,0.000319,-,0.000322,18
53,0.000322,"Apr 16, 2018",0.000338,0.000317,-,0.000336,122
54,0.000336,"Apr 15, 2018",0.000468,0.000335,-,0.000358,411
55,0.000358,"Apr 14, 2018",0.000473,0.000291,-,0.000316,15
56,0.000316,"Apr 13, 2018",0.000327,0.000241,-,0.000254,682
57,0.000254,"Apr 12, 2018",0.000322,0.000233,-,0.000271,78
58,0.000271,"Apr 11, 2018",0.000314,0.000216,-,0.000282,357
59,0.000282,"Apr 10, 2018",0.000289,0.000207,-,0.000275,326
60,0.000275,"Apr 09, 2018",0.000303,0.000233,-,0.000233,48
61,0.000232,"Apr 08, 2018",0.000306,0.000214,-,0.000279,203
62,0.000279,"Apr 07, 2018",0.000400,0.000268,-,0.000268,777
63,0.000305,"Apr 06, 2018",0.000467,0.000282,-,0.000400,947
64,0.000408,"Apr 05, 2018",0.000484,0.000396,-,0.000407,"3,970"
65,0.000407,"Apr 04, 2018",0.000566,0.000199,-,0.000200,"117,368"
66,0.000200,"Apr 03, 2018",0.000232,0.000163,-,0.000229,15
67,0.000228,"Apr 02, 2018",0.000389,0.000220,-,0.000228,8
68,0.000228,"Apr 01, 2018",0.000273,0.000206,-,0.000222,23
69,0.000222,"Mar 31, 2018",0.000282,0.000209,-,0.000272,57
70,0.000272,"Mar 30, 2018",0.000402,0.000263,-,0.000281,12
71,0.000282,"Mar 29, 2018",0.000298,0.000233,-,0.000242,3
72,0.000242,"Mar 28, 2018",0.000252,0.000239,-,0.000246,54
