,close,date,high,low,market_cap,open,volume
0,1.59,"Jun 08, 2018",1.60,1.57,"5,912,250",1.59,3
1,1.59,"Jun 07, 2018",2.74,1.53,"10,026,900",2.70,239
2,2.70,"Jun 06, 2018",2.71,2.65,"9,983,890",2.69,3
3,2.69,"Jun 05, 2018",3.44,2.65,"12,761,700",3.44,49
4,3.44,"Jun 04, 2018",4.33,2.68,"16,014,600",4.32,32
5,4.31,"Jun 03, 2018",4.33,3.31,"12,287,800",3.31,199
6,2.69,"Jun 02, 2018",2.71,2.64,"9,836,710",2.65,13
7,2.65,"Jun 01, 2018",2.68,2.60,"9,804,850",2.64,20
8,2.64,"May 31, 2018",3.69,2.62,"13,692,000",3.69,2
9,3.69,"May 30, 2018",3.77,2.65,"10,272,600",2.77,2
10,2.77,"May 29, 2018",3.87,2.74,"11,513,600",3.10,154
11,3.10,"May 28, 2018",3.18,2.58,"9,588,660",2.58,163
12,2.58,"May 27, 2018",2.60,2.17,"8,176,290",2.20,4
13,2.20,"May 26, 2018",2.84,2.19,"8,414,660",2.27,21
14,2.81,"May 25, 2018",2.87,2.76,"10,518,500",2.84,5
15,2.83,"May 24, 2018",2.85,2.80,"10,498,600",2.83,5
16,2.82,"May 23, 2018",3.48,2.80,"11,133,200",3.00,10
17,3.00,"May 22, 2018",3.79,2.99,"13,837,700",3.73,14
18,3.73,"May 21, 2018",4.19,3.14,"15,210,900",4.10,24
19,4.10,"May 20, 2018",4.15,3.03,"11,714,600",3.16,99
20,3.16,"May 19, 2018",3.18,0.808549,"3,021,520",0.814497,306
21,0.814523,"May 18, 2018",4.39,0.808928,"16,164,400",4.36,443
22,4.35,"May 17, 2018",4.56,4.33,"16,719,600",4.51,19
23,4.50,"May 16, 2018",4.50,2.33,"8,997,950",2.43,43
24,2.42,"May 15, 2018",2.54,2.25,"9,311,050",2.51,162
25,2.51,"May 14, 2018",4.65,2.22,"17,203,500",4.64,169
26,4.64,"May 13, 2018",4.67,4.52,"16,956,800",4.57,91
27,4.57,"May 12, 2018",4.61,4.31,"16,149,100",4.35,21
28,4.36,"May 11, 2018",4.38,2.70,"15,003,800",4.04,89
29,4.04,"May 10, 2018",4.62,2.70,"12,423,000",3.35,129
