,close,date,high,low,market_cap,open,volume
0,0.010498,"Jun 08, 2018",0.011632,0.010078,"6,075,740",0.011426,"1,601,840"
1,0.011267,"Jun 07, 2018",0.012235,0.011204,"6,154,150",0.011909,"890,703"
2,0.011914,"Jun 06, 2018",0.012815,0.011660,"6,397,540",0.012380,"564,125"
3,0.012418,"Jun 05, 2018",0.012784,0.012043,"6,548,560",0.012672,"617,362"
4,0.012467,"Jun 04, 2018",0.013239,0.011657,"6,688,480",0.012943,"685,477"
5,0.012980,"Jun 03, 2018",0.013845,0.012573,"6,703,780",0.012973,"838,618"
6,0.013000,"Jun 02, 2018",0.013480,0.011937,"6,318,280",0.012227,"903,541"
7,0.012218,"Jun 01, 2018",0.013544,0.011691,"6,940,170",0.013430,"730,215"
8,0.013458,"May 31, 2018",0.014512,0.012844,"7,434,800",0.014388,"1,061,040"
9,0.014667,"May 30, 2018",0.016265,0.013936,"7,708,470",0.015675,"1,133,110"
10,0.015798,"May 29, 2018",0.015938,0.013905,"7,001,940",0.014239,"829,584"
11,0.014297,"May 28, 2018",0.015847,0.013651,"7,394,880",0.015038,"1,911,000"
12,0.015040,"May 27, 2018",0.016705,0.014480,"8,128,720",0.016530,"1,972,280"
13,0.016492,"May 26, 2018",0.017256,0.014666,"8,282,710",0.016843,"2,290,210"
14,0.016896,"May 25, 2018",0.019089,0.016492,"9,295,330",0.018902,"2,956,900"
15,0.018876,"May 24, 2018",0.019048,0.017094,"9,100,490",0.018506,"3,478,410"
16,0.018570,"May 23, 2018",0.020604,0.017355,"9,371,560",0.020601,"3,805,270"
17,0.020649,"May 22, 2018",0.022778,0.014868,"6,789,750",0.014925,"5,086,970"
18,0.014906,"May 21, 2018",0.015768,0.013109,"7,114,010",0.015638,"3,664,830"
19,0.015618,"May 20, 2018",0.016779,0.014499,"6,679,740",0.014683,"2,887,710"
20,0.014673,"May 19, 2018",0.016170,0.014247,"7,064,250",0.015529,"2,930,340"
21,0.015573,"May 18, 2018",0.024647,0.009383,"4,008,640",0.009524,"3,003,620"
22,0.009528,"May 17, 2018",0.012947,0.009437,"4,881,410",0.011598,"1,723,080"
23,0.011656,"May 16, 2018",0.013572,0.010789,"5,448,740",0.012946,"2,075,370"
24,0.013546,"May 15, 2018",0.014992,0.013325,"6,127,230",0.014558,"2,236,760"
25,0.014578,"May 14, 2018",0.016040,0.007828,"6,728,990",0.015988,"2,237,470"
26,0.015994,"May 13, 2018",0.017834,0.012982,"5,807,340",0.013798,"2,361,890"
27,0.013824,"May 12, 2018",0.014420,0.012636,"5,318,120",0.012636,"1,997,210"
28,0.012659,"May 11, 2018",0.018982,0.012335,"5,675,800",0.015303,"1,852,010"
29,0.015292,"May 10, 2018",0.020506,0.015292,"5,856,420",0.015790,"2,065,850"
30,0.015778,"May 09, 2018",0.021951,0.014632,"7,348,130",0.019813,"1,908,610"
31,0.019838,"May 08, 2018",0.023831,0.013495,"7,652,790",0.020634,"1,996,730"
32,0.020501,"May 07, 2018",0.034709,0.020035,"11,008,000",0.029680,"2,102,170"
33,0.029663,"May 06, 2018",0.038483,0.008688,"5,911,870",0.015940,"423,682"
34,0.015942,"May 05, 2018",0.017613,0.013852,"5,892,920",0.015889,"1,390,180"
35,0.015877,"May 04, 2018",0.019629,0.014235,"6,445,130",0.017378,"1,194,610"
36,0.017672,"May 03, 2018",0.022093,0.016182,"6,445,030",0.017378,"1,259,660"
37,0.017378,"May 02, 2018",0.018551,0.015032,"5,653,900",0.015244,"1,201,050"
38,0.015289,"May 01, 2018",0.018750,0.013514,"6,645,640",0.017918,"934,025"
39,0.017860,"Apr 30, 2018",0.019596,0.010741,-,0.013084,"1,185,260"
40,0.013058,"Apr 29, 2018",0.015321,0.008874,-,0.010873,"756,160"
