,close,date,high,low,market_cap,open,volume
0,0.030337,"Jun 08, 2018",0.030693,0.027351,"3,495,080",0.029185,"191,233"
1,0.029208,"Jun 07, 2018",0.030875,0.028330,"3,460,670",0.029068,"115,092"
2,0.029023,"Jun 06, 2018",0.029594,0.028204,"3,477,340",0.029208,"165,875"
3,0.029317,"Jun 05, 2018",0.029677,0.028121,"3,371,180",0.028316,"174,986"
4,0.028313,"Jun 04, 2018",0.030382,0.028263,"3,580,280",0.030072,"159,609"
5,0.029995,"Jun 03, 2018",0.030115,0.028379,"3,394,020",0.028508,"149,887"
6,0.028572,"Jun 02, 2018",0.028855,0.027220,"3,289,300",0.027629,"139,156"
7,0.027681,"Jun 01, 2018",0.027753,0.025541,"3,168,770",0.026616,"122,561"
8,0.026527,"May 31, 2018",0.027993,0.024983,"3,233,210",0.027157,"138,203"
9,0.027177,"May 30, 2018",0.029400,0.026834,"3,405,000",0.028600,"141,644"
10,0.028665,"May 29, 2018",0.029231,0.026142,"3,167,110",0.026602,"135,222"
11,0.026666,"May 28, 2018",0.029009,0.026253,"3,429,880",0.028809,"144,303"
12,0.028741,"May 27, 2018",0.029836,0.028210,"3,475,110",0.029189,"90,850"
13,0.029146,"May 26, 2018",0.031296,0.029120,"3,577,540",0.030049,"101,404"
14,0.030099,"May 25, 2018",0.032138,0.029279,"3,794,260",0.031870,"110,229"
15,0.031880,"May 24, 2018",0.032116,0.029086,"3,508,700",0.029471,"86,016"
16,0.029584,"May 23, 2018",0.035130,0.028760,"4,144,540",0.034812,"86,930"
17,0.035183,"May 22, 2018",0.041701,0.035034,"4,951,150",0.041587,"93,718"
18,0.041737,"May 21, 2018",0.041847,0.036716,"4,486,320",0.037683,"109,749"
19,0.037629,"May 20, 2018",0.038824,0.034519,"4,151,270",0.034869,"101,309"
20,0.034743,"May 19, 2018",0.035446,0.033343,"4,059,100",0.034094,"90,037"
21,0.033426,"May 18, 2018",0.034270,0.031515,"3,837,230",0.032231,"80,962"
22,0.032238,"May 17, 2018",0.033876,0.032050,"3,879,860",0.032589,"65,587"
23,0.032650,"May 16, 2018",0.035922,0.031847,"4,254,650",0.035737,"98,329"
24,0.035822,"May 15, 2018",0.036260,0.032659,"4,252,400",0.035718,"87,710"
25,0.035874,"May 14, 2018",0.036612,0.031261,"3,951,760",0.033193,"97,709"
26,0.033204,"May 13, 2018",0.034123,0.030745,"3,782,180",0.031768,"92,165"
27,0.031657,"May 12, 2018",0.033870,0.029605,"3,895,630",0.032721,"86,031"
28,0.032109,"May 11, 2018",0.037297,0.030731,"4,440,450",0.037297,"104,972"
29,0.037347,"May 10, 2018",0.040519,0.036711,"4,751,000",0.039906,"70,279"
30,0.039885,"May 09, 2018",0.041668,0.037227,"4,721,140",0.039655,"92,143"
31,0.039575,"May 08, 2018",0.044607,0.038434,"5,235,760",0.043978,"114,590"
32,0.043802,"May 07, 2018",0.050619,0.042625,"6,012,100",0.050499,"168,886"
33,0.050523,"May 06, 2018",0.056320,0.048884,"6,636,040",0.055739,"160,975"
34,0.055950,"May 05, 2018",0.056700,0.053126,"6,515,590",0.054728,"235,863"
35,0.054616,"May 04, 2018",0.056609,0.049923,"6,071,930",0.051001,"371,268"
36,0.050777,"May 03, 2018",0.057039,0.050777,"6,258,310",0.052567,"421,541"
37,0.052514,"May 02, 2018",0.053674,0.048456,"5,884,320",0.049425,"384,814"
38,0.049646,"May 01, 2018",0.049827,0.043450,"5,476,030",0.045996,"267,898"
39,0.045446,"Apr 30, 2018",0.050921,0.045034,"5,856,930",0.049195,"292,129"
40,0.049608,"Apr 29, 2018",0.051067,0.046741,"5,791,210",0.048643,"287,733"
41,0.048598,"Apr 28, 2018",0.053572,0.043528,"5,255,170",0.044141,"294,440"
42,0.043618,"Apr 27, 2018",0.050347,0.043327,"5,994,070",0.050347,"207,060"
43,0.050293,"Apr 26, 2018",0.054326,0.045162,"5,966,710",0.050117,"402,171"
44,0.049513,"Apr 25, 2018",0.060894,0.041003,"6,776,230",0.056917,"621,754"
45,0.057697,"Apr 24, 2018",0.065815,0.052467,"6,379,290",0.053583,"778,146"
46,0.053938,"Apr 23, 2018",0.119745,0.041920,"5,238,500",0.044001,"762,907"
