,close,date,high,low,market_cap,open,volume
0,0.000611,"Jun 08, 2018",0.000702,0.000566,"3,106,710",0.000701,639
1,0.000700,"Jun 07, 2018",0.000766,0.000549,"3,055,930",0.000689,482
2,0.000688,"Jun 06, 2018",0.000770,0.000626,"2,914,340",0.000657,"3,872"
3,0.000657,"Jun 05, 2018",0.000899,0.000595,"3,986,090",0.000899,"2,799"
4,0.000898,"Jun 04, 2018",0.000978,0.000675,"3,636,830",0.000820,"20,270"
5,0.000820,"Jun 03, 2018",0.000824,0.000666,"3,278,760",0.000739,"3,343"
6,0.000739,"Jun 02, 2018",0.000782,0.000652,"3,333,730",0.000752,"3,701"
7,0.000752,"Jun 01, 2018",0.000850,0.000604,"2,991,410",0.000675,"12,673"
8,0.000674,"May 31, 2018",0.000753,0.000548,"3,237,870",0.000730,"18,598"
9,0.000730,"May 30, 2018",0.000730,0.000516,"2,287,220",0.000516,"20,243"
10,0.000515,"May 29, 2018",0.000595,0.000370,"2,209,740",0.000498,"5,308"
11,0.000498,"May 28, 2018",0.000553,0.000435,"2,454,020",0.000553,"14,995"
12,0.000553,"May 27, 2018",0.000553,0.000366,"1,698,130",0.000383,"3,317"
13,0.000383,"May 26, 2018",0.000447,0.000377,"1,719,630",0.000388,"2,245"
14,0.000390,"May 25, 2018",0.000390,0.000300,"1,341,600",0.000303,"1,323"
15,0.000302,"May 24, 2018",0.000534,0.000302,"88,129",0.000464,"12,264"
16,0.000534,"May 23, 2018",0.000563,0.000452,"106,587",0.000562,"5,381"
17,0.000562,"May 22, 2018",0.000673,0.000559,"127,636",0.000673,"8,482"
18,0.000673,"May 21, 2018",0.000767,0.000588,"144,908",0.000764,"5,976"
19,0.000679,"May 20, 2018",0.000768,0.000582,"110,346",0.000582,"4,410"
20,0.000581,"May 19, 2018",0.000743,0.000573,"125,186",0.000660,"1,049"
21,0.000660,"May 18, 2018",0.000738,0.000568,"124,016",0.000654,"3,840"
22,0.000653,"May 17, 2018",0.000756,0.000583,"127,125",0.000670,"5,476"
23,0.000670,"May 16, 2018",0.000827,0.000581,"130,124",0.000686,"22,369"
24,0.000686,"May 15, 2018",0.000705,0.000520,"113,532",0.000598,"12,530"
25,0.000599,"May 14, 2018",0.000697,0.000436,"98,927",0.000521,"11,896"
26,0.000522,"May 13, 2018",0.000525,0.000418,"80,339",0.000423,"2,061"
27,0.000424,"May 12, 2018",0.000520,0.000419,"96,909",0.000511,"4,896"
28,0.000512,"May 11, 2018",0.000525,0.000427,"85,845",0.000452,"3,336"
29,0.000452,"May 10, 2018",0.000557,0.000451,"105,212",0.000555,"2,684"
30,0.000555,"May 09, 2018",0.000560,0.000450,"87,279",0.000460,"1,727"
31,0.000461,"May 08, 2018",0.000566,0.000404,"94,880",0.000500,"2,159"
32,0.000499,"May 07, 2018",0.000653,0.000388,"123,773",0.000652,"17,973"
33,0.000652,"May 06, 2018",0.000661,0.000522,"111,887",0.000590,"3,507"
34,0.000589,"May 05, 2018",0.000691,0.000494,"128,302",0.000676,"9,218"
35,0.000677,"May 04, 2018",0.000682,0.000575,"111,335",0.000587,"3,249"
36,0.000587,"May 03, 2018",0.000638,0.000551,"119,233",0.000628,"3,778"
