,close,date,high,low,market_cap,open,volume
0,0.038771,"Jun 08, 2018",0.042781,0.038125,"1,367,330",0.042596,932
1,0.042542,"Jun 07, 2018",0.043426,0.038042,"1,221,150",0.038042,"3,379"
2,0.038035,"Jun 06, 2018",0.049521,0.035478,"1,559,300",0.048577,"12,317"
3,0.048632,"Jun 05, 2018",0.050367,0.047089,"1,559,360",0.048579,844
4,0.047449,"Jun 04, 2018",0.054703,0.046891,"1,741,220",0.054244,"28,686"
5,0.051902,"Jun 03, 2018",0.054761,0.048174,"1,754,040",0.054643,"2,479"
6,0.054683,"Jun 02, 2018",0.067142,0.046911,"1,513,660",0.047155,"8,909"
7,0.047170,"Jun 01, 2018",0.057757,0.045260,"1,586,980",0.049439,"4,022"
8,0.049357,"May 31, 2018",0.056012,0.044989,"1,595,610",0.049708,"3,138"
9,0.045496,"May 30, 2018",0.050263,0.043647,"1,443,610",0.044973,572
10,0.044944,"May 29, 2018",0.048496,0.041131,"1,353,640",0.042170,"3,215"
11,0.042276,"May 28, 2018",0.050534,0.040256,"1,496,880",0.046632,"6,022"
12,0.046630,"May 27, 2018",0.049542,0.044973,"1,563,790",0.048717,"2,848"
13,0.048660,"May 26, 2018",0.058370,0.048601,"1,873,650",0.058370,"2,178"
14,0.058391,"May 25, 2018",0.060452,0.055401,"1,926,400",0.060013,"1,412"
15,0.059924,"May 24, 2018",0.063075,0.053388,"1,805,790",0.056255,"2,377"
16,0.056453,"May 23, 2018",0.058868,0.051849,"1,825,740",0.056897,"2,226"
17,0.056961,"May 22, 2018",0.061081,0.056517,"1,855,560",0.057826,"5,676"
18,0.057893,"May 21, 2018",0.061770,0.053898,"1,772,810",0.055247,"3,185"
19,0.055176,"May 20, 2018",0.063165,0.054343,"1,902,200",0.059279,"73,443"
20,0.059230,"May 19, 2018",0.064889,0.058533,"1,909,440",0.059505,"6,280"
21,0.059512,"May 18, 2018",0.061924,0.057687,"1,913,940",0.059645,"8,410"
22,0.059654,"May 17, 2018",0.064714,0.059350,"2,046,940",0.063790,"4,233"
23,0.063734,"May 16, 2018",0.068850,0.058680,"1,986,750",0.061914,"8,551"
24,0.061902,"May 15, 2018",0.071064,0.058645,"2,101,770",0.065499,"7,254"
25,0.065607,"May 14, 2018",0.069066,0.062641,"2,185,570",0.068110,"2,625"
26,0.068935,"May 13, 2018",0.073853,0.058553,"2,305,320",0.071842,"26,968"
27,0.071940,"May 12, 2018",0.076966,0.065629,"2,439,450",0.076022,"23,550"
28,0.076197,"May 11, 2018",0.087468,0.069030,"2,524,180",0.078662,"13,075"
29,0.078585,"May 10, 2018",0.092314,0.068295,"2,648,930",0.082550,"27,521"
30,0.082494,"May 09, 2018",0.094517,0.068055,"2,253,510",0.070227,"19,177"
31,0.062916,"May 08, 2018",0.100684,0.062916,"3,004,510",0.093631,"28,869"
32,0.093025,"May 07, 2018",0.101323,0.088325,"3,236,430",0.100859,"8,679"
33,0.100802,"May 06, 2018",0.108179,0.093131,"3,401,280",0.105996,"11,152"
34,0.106015,"May 05, 2018",0.117216,0.095144,"3,274,020",0.102030,"11,514"
35,0.101918,"May 04, 2018",0.106554,0.089001,"3,126,870",0.097445,"16,254"
36,0.097762,"May 03, 2018",0.104361,0.091665,"3,001,340",0.093533,"19,914"
37,0.093541,"May 02, 2018",0.106885,0.084986,"3,039,390",0.094718,"30,296"
38,0.094993,"May 01, 2018",0.105078,0.084098,"2,817,210",0.087794,"52,102"
39,0.087507,"Apr 30, 2018",0.103923,0.068343,"2,266,720",0.070639,"76,070"
40,0.070631,"Apr 29, 2018",0.086729,0.051695,"2,385,730",0.074348,"23,255"
41,0.074340,"Apr 28, 2018",0.094310,0.072333,"2,663,850",0.083015,"35,784"
42,0.083734,"Apr 27, 2018",0.103731,0.082149,"2,977,360",0.092785,"22,074"
43,0.092624,"Apr 26, 2018",0.109837,0.073567,"2,941,220",0.091659,"50,372"
44,0.090769,"Apr 25, 2018",0.120783,0.081346,"2,938,760",0.091582,"58,518"
45,0.091050,"Apr 24, 2018",0.135354,0.072003,"2,805,570",0.087432,"159,843"
46,0.087429,"Apr 23, 2018",0.097577,0.056891,"1,821,310",0.056916,"73,305"
47,0.057128,"Apr 22, 2018",0.060945,0.045297,"1,593,370",0.049793,"53,446"
48,0.049732,"Apr 21, 2018",0.051227,0.041614,"1,610,360",0.050324,"58,855"
49,0.050233,"Apr 20, 2018",0.050797,0.040210,"1,435,270",0.044852,"110,539"
50,0.044963,"Apr 19, 2018",0.055478,0.041861,"1,723,690",0.053865,"121,821"
51,0.053836,"Apr 18, 2018",0.054011,0.048359,"1,601,560",0.050049,"117,979"
52,0.049974,"Apr 17, 2018",0.052210,0.043872,-,0.051229,"107,408"
53,0.050572,"Apr 16, 2018",0.051085,0.041861,-,0.042381,"159,622"
54,0.042165,"Apr 15, 2018",0.042265,0.034142,-,0.035093,"75,499"
55,0.035115,"Apr 14, 2018",0.035485,0.032015,-,0.032756,"65,320"
56,0.032263,"Apr 13, 2018",0.035825,0.028309,-,0.028986,"62,609"
57,0.028738,"Apr 12, 2018",0.029211,0.024238,-,0.025791,"45,922"
58,0.025963,"Apr 11, 2018",0.028521,0.021456,-,0.028229,"62,545"
59,0.028121,"Apr 10, 2018",0.028340,0.026330,-,0.026613,"42,951"
60,0.026332,"Apr 09, 2018",0.029460,0.025690,-,0.027291,"56,415"
61,0.027187,"Apr 08, 2018",0.027699,0.026349,-,0.026606,"6,552"
62,0.026656,"Apr 07, 2018",0.027386,0.026146,-,0.026305,"16,053"
63,0.026386,"Apr 06, 2018",0.029063,0.025260,-,0.028722,"32,948"
64,0.028832,"Apr 05, 2018",0.029545,0.025534,-,0.026560,"55,161"
65,0.026362,"Apr 04, 2018",0.028836,0.024303,-,0.028000,"47,803"
66,0.028028,"Apr 03, 2018",0.029521,0.024853,-,0.025496,"58,426"
67,0.025429,"Apr 02, 2018",0.028411,0.024303,-,0.026422,"57,218"
68,0.026299,"Apr 01, 2018",0.028709,0.024586,-,0.026389,"52,455"
69,0.026222,"Mar 31, 2018",0.029604,0.026222,-,0.026953,"47,098"
70,0.026978,"Mar 30, 2018",0.027046,0.022961,-,0.023277,"41,935"
71,0.023383,"Mar 29, 2018",0.029614,0.022328,-,0.028063,"51,130"
72,0.028281,"Mar 28, 2018",0.030559,0.022289,-,0.023567,"44,015"
73,0.023649,"Mar 27, 2018",0.028109,0.023508,-,0.027781,"48,802"
74,0.027260,"Mar 26, 2018",0.029585,0.024950,-,0.029466,"57,844"
75,0.029427,"Mar 25, 2018",0.030951,0.028051,-,0.030056,"49,391"
76,0.030367,"Mar 24, 2018",0.032445,0.029566,-,0.031942,"60,252"
77,0.031757,"Mar 23, 2018",0.035688,0.027047,-,0.027288,"67,768"
78,0.028316,"Mar 22, 2018",0.034297,0.027147,-,0.028498,"63,939"
79,0.028149,"Mar 21, 2018",0.033106,0.026353,-,0.030721,"59,787"
80,0.030811,"Mar 20, 2018",0.033468,0.025900,-,0.030614,"56,408"
81,0.030151,"Mar 19, 2018",0.032627,0.024057,-,0.028760,"72,092"
82,0.028606,"Mar 18, 2018",0.034316,0.019966,-,0.027817,"98,386"
