,close,date,high,low,market_cap,open,volume
0,0.008928,"Jun 08, 2018",0.009490,0.008550,"566,771",0.008835,"1,986"
1,0.008828,"Jun 07, 2018",0.009488,0.008234,"540,311",0.008422,"2,824"
2,0.008415,"Jun 06, 2018",0.015059,0.008355,"537,992",0.008386,"25,055"
3,0.008389,"Jun 05, 2018",0.008480,0.007898,"514,973",0.008027,87
4,0.008024,"Jun 04, 2018",0.008271,0.007994,"529,154",0.008249,6
5,0.008245,"Jun 03, 2018",0.008570,0.007869,"543,663",0.008475,834
6,0.008472,"Jun 02, 2018",0.008565,0.008297,"535,244",0.008343,22
7,0.008347,"Jun 01, 2018",0.009001,0.008001,"514,241",0.008016,944
8,0.008010,"May 31, 2018",0.008193,0.007934,"511,497",0.007973,62
9,0.007975,"May 30, 2018",0.008822,0.007914,"521,962",0.008136,659
10,0.008131,"May 29, 2018",0.008351,0.007929,"511,461",0.007973,117
11,0.007975,"May 28, 2018",0.008227,0.007951,"523,052",0.008153,102
12,0.008151,"May 27, 2018",0.008322,0.007885,"512,906",0.007995,124
13,0.007992,"May 26, 2018",0.008386,0.007949,"524,746",0.008180,33
14,0.008078,"May 25, 2018",0.008341,0.008023,"528,826",0.008243,37
15,0.008228,"May 24, 2018",0.008571,0.008077,"535,452",0.008347,71
16,0.008368,"May 23, 2018",0.008910,0.008300,"569,909",0.008884,93
17,0.008893,"May 22, 2018",0.009661,0.008885,"598,694",0.009333,38
18,0.009334,"May 21, 2018",0.009899,0.009087,"634,573",0.009892,540
19,0.009879,"May 20, 2018",0.010557,0.009169,"634,747",0.009895,631
20,0.009887,"May 19, 2018",0.010887,0.008395,"681,817",0.010628,"4,726"
21,0.010630,"May 18, 2018",0.011215,0.010425,"678,865",0.010582,"2,264"
22,0.010573,"May 17, 2018",0.011079,0.010512,"706,346",0.011011,732
23,0.011366,"May 15, 2018",0.011730,0.011307,"740,117",0.011537,91
24,0.011557,"May 14, 2018",0.011780,0.011075,"741,468",0.011558,98
25,0.011560,"May 13, 2018",0.011678,0.011131,"744,206",0.011601,10
26,0.011605,"May 12, 2018",0.011762,0.010901,"721,653",0.011249,451
27,0.011282,"May 11, 2018",0.012437,0.011208,"765,332",0.011930,500
28,0.011916,"May 10, 2018",0.013106,0.011904,"836,495",0.013039,"1,222"
29,0.013043,"May 09, 2018",0.013087,0.011960,"784,868",0.012235,41
30,0.012253,"May 08, 2018",0.012573,0.012066,"799,195",0.012458,110
31,0.012432,"May 07, 2018",0.012793,0.012247,"820,252",0.012786,13
32,0.012777,"May 06, 2018",0.013889,0.012561,"882,732",0.013760,35
33,0.013751,"May 05, 2018",0.013881,0.013064,"839,424",0.013085,49
34,0.013091,"May 04, 2018",0.014264,0.012970,"912,975",0.014232,704
35,0.014237,"May 03, 2018",0.014305,0.013319,"857,565",0.013368,22
36,0.013367,"May 02, 2018",0.013419,0.012581,"815,789",0.012717,239
37,0.012736,"May 01, 2018",0.013030,0.012412,"835,865",0.013030,6
38,0.013018,"Apr 30, 2018",0.013309,0.012901,"850,400",0.013256,126
39,0.013261,"Apr 29, 2018",0.013270,0.013241,"851,178",0.013268,51
40,0.013046,"Apr 28, 2018",0.013198,0.012450,"800,729",0.012482,19
41,0.012525,"Apr 27, 2018",0.013494,0.012525,"864,813",0.013481,654
42,0.013462,"Apr 26, 2018",0.013492,0.012409,"824,430",0.012851,16
43,0.012746,"Apr 25, 2018",0.013740,0.012728,"877,221",0.013674,157
44,0.013768,"Apr 24, 2018",0.013768,0.012578,"807,292",0.012584,132
45,0.012573,"Apr 23, 2018",0.012610,0.012196,"783,021",0.012206,64
46,0.012231,"Apr 22, 2018",0.012780,0.012168,"819,050",0.012767,290
47,0.012767,"Apr 21, 2018",0.012909,0.012386,"828,142",0.012909,60
48,0.012905,"Apr 20, 2018",0.013025,0.011776,"758,552",0.011824,40
49,0.011817,"Apr 19, 2018",0.012031,0.011758,"764,680",0.011920,215
50,0.011911,"Apr 18, 2018",0.011986,0.011506,"739,557",0.011528,23
51,0.011518,"Apr 17, 2018",0.011889,0.011480,"759,088",0.011833,131
52,0.011827,"Apr 16, 2018",0.012434,0.011639,"797,689",0.012434,115
53,0.012440,"Apr 15, 2018",0.012700,0.011922,"764,803",0.011922,68
54,0.011909,"Apr 14, 2018",0.012176,0.011682,"751,968",0.011722,12
55,0.011722,"Apr 13, 2018",0.012409,0.011427,"746,716",0.011640,133
56,0.011625,"Apr 12, 2018",0.012242,0.010414,"686,255",0.010697,51
57,0.010723,"Apr 11, 2018",0.010723,0.010042,"644,179",0.010042,30
58,0.010032,"Apr 10, 2018",0.010230,0.009781,"637,524",0.009938,31
59,0.009930,"Apr 09, 2018",0.011113,0.009868,"698,547",0.010889,84
60,0.010871,"Apr 08, 2018",0.010916,0.010133,"659,950",0.010287,405
61,0.010278,"Apr 07, 2018",0.010490,0.009851,"632,904",0.009866,275
62,0.009854,"Apr 06, 2018",0.010202,0.009722,"647,723",0.010097,4
63,0.010148,"Apr 05, 2018",0.010560,0.009666,"644,840",0.010052,299
64,0.010048,"Apr 04, 2018",0.011347,0.009956,"727,929",0.011347,8
65,0.011355,"Apr 03, 2018",0.011464,0.010329,"664,755",0.010362,282
66,0.010355,"Apr 02, 2018",0.010434,0.009968,"643,631",0.010033,80
67,0.009984,"Apr 01, 2018",0.010369,0.009497,"631,269",0.009840,"1,021"
68,0.009841,"Mar 31, 2018",0.009974,0.009340,"600,901",0.009367,20
69,0.009365,"Mar 30, 2018",0.010080,0.009127,"636,207",0.009917,64
70,0.009800,"Mar 29, 2018",0.010897,0.009584,"697,935",0.010880,39
71,0.010867,"Mar 28, 2018",0.012198,0.010776,"714,334",0.011135,706
72,0.011138,"Mar 27, 2018",0.012677,0.011017,"765,123",0.011927,127
73,0.011945,"Mar 26, 2018",0.012834,0.011229,"768,831",0.011985,69
74,0.011994,"Mar 25, 2018",0.012409,0.011940,"780,042",0.012159,120
75,0.012329,"Mar 24, 2018",0.013956,0.012300,"891,866",0.013902,196
76,0.013703,"Mar 23, 2018",0.013703,0.011974,"803,811",0.012530,162
77,0.012530,"Mar 22, 2018",0.014060,0.012329,"884,524",0.013788,637
78,0.013813,"Mar 21, 2018",0.013940,0.013070,"839,702",0.013089,994
79,0.013066,"Mar 20, 2018",0.013555,0.011601,"763,406",0.011900,"1,273"
80,0.011769,"Mar 19, 2018",0.011891,0.011152,"719,824",0.011221,79
81,0.011268,"Mar 18, 2018",0.011385,0.010019,"693,130",0.010805,17
82,0.010831,"Mar 17, 2018",0.011979,0.010704,"766,868",0.011954,955
83,0.011934,"Mar 16, 2018",0.012354,0.011211,"747,200",0.011647,27
84,0.011654,"Mar 15, 2018",0.012021,0.011009,"763,419",0.011900,277
85,0.011906,"Mar 14, 2018",0.013196,0.011594,"827,588",0.012901,168
86,0.012899,"Mar 13, 2018",0.014508,0.012512,"822,109",0.012815,313
87,0.012889,"Mar 12, 2018",0.014838,0.012425,"912,301",0.014221,76
88,0.014266,"Mar 11, 2018",0.014483,0.012553,"838,789",0.013075,363
89,0.013120,"Mar 10, 2018",0.014687,0.012364,"801,928",0.012501,358
90,0.012495,"Mar 09, 2018",0.014387,0.012399,"912,164",0.014219,7
91,0.014309,"Mar 08, 2018",0.014923,0.012416,"945,397",0.014737,"1,277"
92,0.014758,"Mar 07, 2018",0.016429,0.014073,"1,038,330",0.016186,256
93,0.016207,"Mar 06, 2018",0.018178,0.016045,"1,166,170",0.018178,476
94,0.018229,"Mar 05, 2018",0.018311,0.016443,"1,062,130",0.016556,642
95,0.016569,"Mar 04, 2018",0.016748,0.015981,"1,056,790",0.016473,415
96,0.016502,"Mar 03, 2018",0.016892,0.016250,"1,053,290",0.016419,133
97,0.016439,"Mar 02, 2018",0.016562,0.014026,"958,293",0.014938,"1,515"
98,0.014977,"Mar 01, 2018",0.015489,0.014035,"907,436",0.014145,181
99,0.014124,"Feb 28, 2018",0.016439,0.014112,"1,019,360",0.015890,47
100,0.015909,"Feb 27, 2018",0.016100,0.014142,"972,415",0.015158,820
101,0.015114,"Feb 26, 2018",0.015298,0.013304,"891,734",0.013900,"1,444"
102,0.013883,"Feb 25, 2018",0.014338,0.013531,"901,920",0.014059,441
103,0.014081,"Feb 24, 2018",0.015328,0.013625,"950,347",0.014814,187
104,0.014833,"Feb 23, 2018",0.015428,0.014307,"941,030",0.014669,282
105,0.014683,"Feb 22, 2018",0.016252,0.014527,"1,000,440",0.015595,18
106,0.015611,"Feb 21, 2018",0.017104,0.015309,"1,064,940",0.016600,122
107,0.016621,"Feb 20, 2018",0.017397,0.016422,"1,053,500",0.016422,141
108,0.016630,"Feb 19, 2018",0.017526,0.016258,"1,046,220",0.016309,462
109,0.016384,"Feb 18, 2018",0.017049,0.015149,"1,046,150",0.016307,203
110,0.016258,"Feb 17, 2018",0.017425,0.015146,"1,059,360",0.016514,"2,778"
111,0.016517,"Feb 16, 2018",0.016569,0.015578,"1,042,180",0.016246,295
112,0.016315,"Feb 15, 2018",0.016630,0.015456,"1,002,920",0.015634,146
113,0.015625,"Feb 14, 2018",0.015665,0.013956,"895,305",0.013956,137
114,0.013998,"Feb 13, 2018",0.014592,0.013355,"896,140",0.013969,78
115,0.013944,"Feb 12, 2018",0.014772,0.012727,"816,453",0.012727,98
116,0.012646,"Feb 11, 2018",0.013851,0.012493,"888,532",0.013851,588
117,0.013862,"Feb 10, 2018",0.015390,0.013333,"908,568",0.014163,54
118,0.014153,"Feb 09, 2018",0.014722,0.012750,"868,493",0.013538,70
119,0.013497,"Feb 08, 2018",0.013865,0.011741,"753,227",0.011741,305
120,0.011789,"Feb 07, 2018",0.013228,0.010897,"776,356",0.012102,47
121,0.012224,"Feb 06, 2018",0.012598,0.009775,"788,060",0.012284,"1,159"
122,0.012269,"Feb 05, 2018",0.016010,0.011228,"1,015,280",0.015826,"3,298"
123,0.015765,"Feb 04, 2018",0.018012,0.015765,"1,138,630",0.017749,27
124,0.017740,"Feb 03, 2018",0.018718,0.015993,"1,103,000",0.017194,579
125,0.017135,"Feb 02, 2018",0.018115,0.015346,"1,106,920",0.017255,60
126,0.017291,"Feb 01, 2018",0.021041,0.017204,"1,344,040",0.020951,"1,806"
127,0.020903,"Jan 31, 2018",0.022451,0.019967,"1,368,720",0.021336,"1,882"
128,0.021302,"Jan 30, 2018",0.024363,0.020654,"1,530,360",0.023856,"1,862"
129,0.023848,"Jan 29, 2018",0.025520,0.023526,"1,637,120",0.025520,559
130,0.025544,"Jan 28, 2018",0.025927,0.022752,"1,604,020",0.025004,"5,238"
