,close,date,high,low,market_cap,open,volume
0,0.153761,"Jun 08, 2018",0.160930,0.148683,"68,703",0.150679,162
1,0.150568,"Jun 07, 2018",0.193108,0.150120,"81,481",0.178704,52
2,0.176556,"Jun 06, 2018",0.178520,0.155469,"77,854",0.170750,97
3,0.170779,"Jun 05, 2018",0.208284,0.158782,"83,663",0.183490,784
4,0.183402,"Jun 04, 2018",0.224785,0.173546,"83,592",0.183333,403
5,0.174014,"Jun 03, 2018",0.214044,0.173373,"80,910",0.177451,760
6,0.177504,"Jun 02, 2018",0.187097,0.170914,"78,388",0.171920,317
7,0.171840,"Jun 01, 2018",0.191398,0.166340,"80,424",0.176386,"1,432"
8,0.176114,"May 31, 2018",0.195237,0.175549,"80,230",0.175960,274
9,0.176401,"May 30, 2018",0.202907,0.175823,"80,265",0.176038,143
10,0.176547,"May 29, 2018",0.192936,0.156975,"79,071",0.173418,433
11,0.163777,"May 28, 2018",0.197771,0.156797,"87,389",0.191662,135
12,0.191675,"May 27, 2018",0.214999,0.191512,"93,938",0.206024,114
13,0.205864,"May 26, 2018",0.226317,0.193065,"91,201",0.200021,168
14,0.200106,"May 25, 2018",0.214772,0.192384,"91,124",0.199854,279
15,0.199621,"May 24, 2018",0.231140,0.185443,"91,929",0.201619,266
16,0.202249,"May 23, 2018",0.292994,0.198266,"108,808",0.238637,785
17,0.238992,"May 22, 2018",0.280271,0.180289,"100,751",0.220967,"1,000"
18,0.220681,"May 21, 2018",0.225984,0.199717,"98,989",0.217102,188
19,0.211544,"May 20, 2018",0.235311,0.191206,"94,973",0.208296,428
20,0.209070,"May 19, 2018",0.228107,0.169938,"86,533",0.189785,689
21,0.195777,"May 18, 2018",0.206908,0.156128,"80,317",0.176151,122
22,0.176324,"May 17, 2018",0.226027,0.175428,"100,010",0.219342,100
23,0.219292,"May 16, 2018",0.229555,0.213270,"104,576",0.229357,562
24,0.229475,"May 15, 2018",0.237846,0.220904,"103,182",0.226298,677
25,0.226526,"May 14, 2018",0.249128,0.207689,"97,656",0.214180,252
26,0.218112,"May 13, 2018",0.235196,0.186732,"98,492",0.216013,541
27,0.211194,"May 12, 2018",0.261622,0.204618,"116,790",0.256145,378
28,0.256141,"May 11, 2018",0.282411,0.234279,"119,592",0.262288,146
29,0.261974,"May 10, 2018",0.266898,0.241701,"121,549",0.266580,76
30,0.266570,"May 09, 2018",0.290162,0.244203,"121,820",0.267176,129
31,0.269143,"May 08, 2018",0.283163,0.245682,"112,020",0.245682,519
32,0.245253,"May 07, 2018",0.311145,0.244067,"117,915",0.258612,89
33,0.257948,"May 06, 2018",0.292875,0.247789,"120,635",0.264576,185
34,0.269159,"May 05, 2018",0.317566,0.265517,"144,796",0.317566,643
35,0.317570,"May 04, 2018",0.323181,0.249373,"130,752",0.286765,311
36,0.286732,"May 03, 2018",0.337548,0.283941,"146,955",0.322302,"1,027"
37,0.322095,"May 02, 2018",0.334875,0.313260,"146,052",0.320320,847
38,0.320853,"May 01, 2018",0.335439,0.306991,"152,682",0.334861,225
39,0.335476,"Apr 30, 2018",0.463766,0.310399,"211,139",0.463070,450
40,0.463041,"Apr 29, 2018",0.463088,0.325706,"149,802",0.328547,551
41,0.328963,"Apr 28, 2018",0.382251,0.319572,"146,260",0.320778,"1,712"
42,0.321502,"Apr 27, 2018",0.361446,0.317099,"161,134",0.353399,298
43,0.353100,"Apr 26, 2018",0.354328,0.314032,"152,972",0.335497,207
44,0.332908,"Apr 25, 2018",0.382179,0.322309,"173,857",0.381302,888
45,0.364012,"Apr 24, 2018",0.372785,0.339887,"154,990",0.339923,"1,608"
46,0.339665,"Apr 23, 2018",0.364358,0.335794,"162,041",0.355387,394
47,0.356119,"Apr 22, 2018",0.360632,0.312822,"147,649",0.323824,312
48,0.323617,"Apr 21, 2018",0.359729,0.315172,"152,350",0.334134,805
49,0.334093,"Apr 20, 2018",0.336995,0.304594,"139,498",0.305948,185
50,0.305542,"Apr 19, 2018",0.322886,0.290005,"138,412",0.303566,351
51,0.303087,"Apr 18, 2018",0.357050,0.290299,"161,055",0.353225,"1,202"
52,0.352871,"Apr 17, 2018",0.361944,0.314040,"143,874",0.315545,268
53,0.315089,"Apr 16, 2018",0.335320,0.311314,"147,515",0.323530,131
54,0.323246,"Apr 15, 2018",0.358951,0.321298,"153,658",0.337003,517
55,0.336621,"Apr 14, 2018",0.367497,0.322467,"149,794",0.328528,200
56,0.329275,"Apr 13, 2018",0.362528,0.306886,"142,733",0.313042,535
57,0.312658,"Apr 12, 2018",0.331297,0.283043,"141,076",0.309408,253
