,close,date,high,low,market_cap,open,volume
0,7.15,"Jun 08, 2018",7.50,7.14,"318,592,000",7.40,"32,907,700"
1,7.36,"Jun 07, 2018",7.61,7.23,"321,386,000",7.46,"35,449,300"
2,7.46,"Jun 06, 2018",7.74,7.31,"331,667,000",7.70,"36,553,900"
3,7.70,"Jun 05, 2018",7.78,7.20,"324,834,000",7.54,"36,060,200"
4,7.54,"Jun 04, 2018",8.30,7.41,"353,963,000",8.22,"40,790,500"
5,8.18,"Jun 03, 2018",8.39,8.08,"354,128,000",8.22,"42,950,500"
6,8.24,"Jun 02, 2018",8.50,7.89,"342,488,000",7.95,"44,127,500"
7,7.97,"Jun 01, 2018",8.22,7.30,"314,399,000",7.30,"53,178,100"
8,7.32,"May 31, 2018",7.50,7.07,"306,334,000",7.12,"34,315,700"
9,7.08,"May 30, 2018",7.46,6.95,"315,707,000",7.33,"31,690,400"
10,7.25,"May 29, 2018",7.47,6.64,"292,889,000",6.80,"35,738,800"
11,6.76,"May 28, 2018",7.29,6.70,"307,862,000",7.15,"30,733,800"
12,7.12,"May 27, 2018",7.33,6.98,"314,389,000",7.31,"31,311,200"
13,7.30,"May 26, 2018",7.49,7.03,"306,064,000",7.11,"31,176,900"
14,7.07,"May 25, 2018",7.53,6.94,"320,438,000",7.45,"37,251,200"
15,7.43,"May 24, 2018",7.59,6.73,"296,013,000",6.88,"46,460,400"
16,6.87,"May 23, 2018",8.43,6.70,"361,596,000",8.41,"50,282,700"
17,8.41,"May 22, 2018",9.16,8.39,"394,184,000",9.16,"40,312,400"
18,9.10,"May 21, 2018",9.67,8.94,"403,736,000",9.39,"44,392,800"
19,9.36,"May 20, 2018",9.53,8.88,"387,246,000",9.00,"42,344,200"
20,9.02,"May 19, 2018",9.32,8.86,"390,693,000",9.09,"39,073,100"
21,9.10,"May 18, 2018",9.17,8.54,"383,669,000",8.92,"45,855,000"
22,8.89,"May 17, 2018",9.71,8.79,"398,250,000",9.26,"44,861,700"
23,9.26,"May 16, 2018",9.77,8.92,"419,482,000",9.76,"46,417,100"
24,9.79,"May 15, 2018",10.67,9.51,"416,908,000",9.70,"64,361,200"
25,9.73,"May 14, 2018",9.88,9.02,"421,926,000",9.82,"59,161,300"
26,9.81,"May 13, 2018",10.00,8.96,"405,739,000",9.44,"53,869,800"
27,9.47,"May 12, 2018",9.73,8.19,"398,952,000",9.28,"62,758,500"
28,9.30,"May 11, 2018",11.00,9.00,"472,772,000",11.00,"58,290,300"
29,11.00,"May 10, 2018",11.71,10.96,"493,220,000",11.48,"61,131,000"
30,11.52,"May 09, 2018",11.87,11.15,"510,068,000",11.87,"67,079,000"
31,11.85,"May 08, 2018",12.41,11.59,"512,282,000",11.93,"71,529,800"
32,11.91,"May 07, 2018",12.37,11.20,"527,455,000",12.28,"84,227,600"
33,12.28,"May 06, 2018",13.30,12.04,"567,050,000",13.20,"77,171,400"
34,13.24,"May 05, 2018",13.91,13.05,"574,492,000",13.38,"84,740,400"
35,13.42,"May 04, 2018",14.29,12.82,"613,773,000",14.29,"110,429,000"
36,14.28,"May 03, 2018",16.02,12.57,"551,013,000",12.83,"275,380,000"
37,12.84,"May 02, 2018",13.30,11.10,"484,965,000",11.30,"79,826,200"
38,11.30,"May 01, 2018",11.35,10.21,"476,456,000",11.10,"56,850,900"
39,11.04,"Apr 30, 2018",12.86,10.85,"529,040,000",12.32,"65,162,100"
40,12.39,"Apr 29, 2018",13.58,11.78,"572,321,000",13.33,"87,550,900"
41,13.32,"Apr 28, 2018",13.52,11.24,"483,566,000",11.27,"102,845,000"
42,11.29,"Apr 27, 2018",12.43,10.27,"455,827,000",10.62,"94,696,400"
43,10.63,"Apr 26, 2018",10.67,8.75,"385,540,000",8.99,"90,817,600"
44,8.94,"Apr 25, 2018",10.62,8.71,"455,460,000",10.62,"82,181,500"
45,10.68,"Apr 24, 2018",10.91,8.28,"355,321,000",8.28,"106,743,000"
46,8.28,"Apr 23, 2018",8.30,7.79,"334,353,000",7.79,"46,584,800"
47,7.80,"Apr 22, 2018",8.20,7.51,"330,665,000",7.71,"44,028,600"
48,7.67,"Apr 21, 2018",8.33,7.34,"356,478,000",8.31,"44,306,500"
49,8.29,"Apr 20, 2018",8.41,7.23,"319,706,000",7.46,"46,447,900"
50,7.44,"Apr 19, 2018",7.47,6.98,"303,450,000",7.08,"33,806,900"
51,7.06,"Apr 18, 2018",7.12,6.58,"282,469,000",6.59,"44,181,100"
52,6.58,"Apr 17, 2018",6.85,6.57,"284,911,000",6.65,"49,431,200"
53,6.63,"Apr 16, 2018",7.02,6.47,"300,432,000",7.01,"17,837,300"
54,7.02,"Apr 15, 2018",7.12,6.63,"284,506,000",6.64,"20,285,800"
55,6.63,"Apr 14, 2018",6.95,6.45,"284,995,000",6.65,"20,449,400"
56,6.69,"Apr 13, 2018",7.53,6.62,"306,054,000",7.14,"29,132,000"
57,7.16,"Apr 12, 2018",7.22,5.39,"235,150,000",5.49,"37,222,900"
58,5.52,"Apr 11, 2018",5.52,5.17,"223,070,000",5.21,"16,439,500"
59,5.19,"Apr 10, 2018",5.28,5.13,"222,789,000",5.20,"13,608,900"
60,5.21,"Apr 09, 2018",5.56,5.12,"226,273,000",5.28,"15,606,400"
61,5.30,"Apr 08, 2018",5.35,5.16,"222,850,000",5.20,"12,939,800"
62,5.21,"Apr 07, 2018",5.35,5.10,"219,465,000",5.12,"12,123,500"
63,5.12,"Apr 06, 2018",5.49,5.06,"228,866,000",5.34,"15,049,100"
64,5.36,"Apr 05, 2018",5.39,5.16,"226,012,000",5.28,"14,967,700"
65,5.28,"Apr 04, 2018",5.75,5.17,"246,047,000",5.75,"13,782,400"
66,5.74,"Apr 03, 2018",5.92,5.63,"248,210,000",5.80,"14,844,800"
67,5.77,"Apr 02, 2018",5.82,5.46,"235,766,000",5.51,"13,280,400"
68,5.51,"Apr 01, 2018",5.97,5.26,"244,103,000",5.70,"15,346,600"
69,5.70,"Mar 31, 2018",5.86,5.58,"240,207,000",5.61,"15,236,700"
70,5.58,"Mar 30, 2018",5.79,5.27,"240,291,000",5.61,"16,516,600"
71,5.62,"Mar 29, 2018",6.23,5.55,"266,058,000",6.22,"16,498,700"
72,6.20,"Mar 28, 2018",6.38,5.96,"257,673,000",6.02,"16,938,000"
73,6.02,"Mar 27, 2018",6.38,5.96,"272,442,000",6.37,"16,338,800"
74,6.37,"Mar 26, 2018",6.65,6.08,"280,524,000",6.56,"20,421,900"
75,6.53,"Mar 25, 2018",6.79,6.48,"290,018,000",6.78,"18,720,600"
76,6.87,"Mar 24, 2018",7.29,6.84,"302,644,000",7.08,"20,948,300"
77,6.99,"Mar 23, 2018",6.99,6.37,"295,057,000",6.90,"23,154,600"
78,6.90,"Mar 22, 2018",7.41,6.35,"291,769,000",6.82,"25,906,300"
79,6.83,"Mar 21, 2018",7.08,6.08,"261,144,000",6.11,"23,570,400"
80,6.09,"Mar 20, 2018",6.39,5.67,"254,744,000",5.96,"21,038,700"
81,5.77,"Mar 19, 2018",5.77,5.04,"221,497,000",5.18,"17,819,100"
82,5.19,"Mar 18, 2018",5.25,4.57,"214,165,000",5.01,"18,565,900"
83,5.02,"Mar 17, 2018",5.53,4.99,"236,584,000",5.53,"12,603,700"
84,5.53,"Mar 16, 2018",5.78,5.31,"239,500,000",5.60,"14,352,400"
85,5.60,"Mar 15, 2018",5.73,5.21,"237,271,000",5.55,"17,403,900"
86,5.56,"Mar 14, 2018",6.32,5.45,"264,546,000",6.19,"17,738,800"
87,6.18,"Mar 13, 2018",6.36,5.98,"259,589,000",6.08,"17,758,900"
88,6.10,"Mar 12, 2018",6.46,5.88,"271,371,000",6.35,"25,215,100"
89,6.36,"Mar 11, 2018",6.50,5.73,"254,211,000",5.95,"20,647,300"
90,5.97,"Mar 10, 2018",6.42,5.94,"274,384,000",6.42,"19,514,400"
91,6.42,"Mar 09, 2018",6.42,5.38,"259,212,000",6.07,"28,597,800"
92,6.11,"Mar 08, 2018",7.19,5.80,"270,976,000",6.34,"34,952,300"
93,6.33,"Mar 07, 2018",8.28,6.28,"348,715,000",8.17,"36,359,800"
94,8.16,"Mar 06, 2018",9.15,8.13,"389,283,000",9.12,"30,826,900"
95,9.12,"Mar 05, 2018",9.70,8.84,"408,429,000",9.57,"57,938,300"
96,9.54,"Mar 04, 2018",9.76,9.28,"410,433,000",9.61,"18,920,100"
97,9.66,"Mar 03, 2018",9.97,9.31,"403,614,000",9.45,"26,967,100"
98,9.45,"Mar 02, 2018",9.82,9.36,"403,113,000",9.44,"27,832,800"
99,9.46,"Mar 01, 2018",9.65,9.11,"389,609,000",9.13,"30,660,000"
100,9.12,"Feb 28, 2018",10.90,9.12,"417,601,000",9.79,"52,398,500"
101,9.75,"Feb 27, 2018",10.56,8.83,"406,259,000",9.52,"63,317,100"
102,9.46,"Feb 26, 2018",10.37,8.49,"401,746,000",9.42,"78,693,200"
103,9.84,"Feb 25, 2018",11.09,8.64,"425,610,000",9.98,"64,791,400"
104,9.84,"Feb 24, 2018",11.74,9.36,"451,323,000",10.58,"81,023,900"
105,10.70,"Feb 23, 2018",11.60,9.82,"443,403,000",10.39,"75,507,200"
106,9.96,"Feb 22, 2018",12.04,9.61,"473,937,000",11.11,"68,427,400"
107,11.26,"Feb 21, 2018",12.41,10.42,"504,674,000",11.83,"58,717,400"
108,12.27,"Feb 20, 2018",13.43,11.47,"563,502,000",13.21,"69,310,300"
109,13.20,"Feb 19, 2018",13.42,11.99,"530,623,000",12.44,"74,110,500"
110,12.26,"Feb 18, 2018",13.51,11.68,"567,047,000",13.30,"76,226,100"
111,13.49,"Feb 17, 2018",13.79,13.00,"570,485,000",13.38,"69,145,700"
112,13.38,"Feb 16, 2018",13.47,12.83,"571,597,000",13.41,"71,895,500"
113,13.44,"Feb 15, 2018",13.73,13.07,"581,187,000",13.63,"78,419,400"
114,13.63,"Feb 14, 2018",13.65,12.69,"540,833,000",12.69,"83,691,800"
115,12.73,"Feb 13, 2018",12.84,11.74,"523,586,000",12.29,"81,440,900"
116,12.29,"Feb 12, 2018",12.39,11.60,"494,518,000",11.61,"60,837,700"
117,11.23,"Feb 11, 2018",12.09,10.94,"510,309,000",11.98,"43,560,800"
118,12.00,"Feb 10, 2018",13.42,11.52,"539,405,000",12.66,"74,036,800"
119,12.66,"Feb 09, 2018",12.70,10.31,"455,792,000",10.70,"57,212,900"
120,10.69,"Feb 08, 2018",11.05,10.01,"426,180,000",10.01,"64,725,900"
121,10.01,"Feb 07, 2018",10.89,9.41,"446,483,000",10.48,"66,448,400"
122,10.56,"Feb 06, 2018",10.67,7.20,"363,262,000",8.53,"85,757,600"
123,8.50,"Feb 05, 2018",10.56,8.05,"440,663,000",10.35,"61,644,200"
124,10.50,"Feb 04, 2018",12.34,9.98,"512,429,000",12.03,"69,902,000"
125,11.99,"Feb 03, 2018",12.50,10.47,"493,310,000",11.59,"80,317,600"
126,11.53,"Feb 02, 2018",11.92,9.58,"505,665,000",11.88,"80,177,100"
127,11.90,"Feb 01, 2018",14.66,11.28,"601,368,000",14.13,"82,753,900"
128,14.09,"Jan 31, 2018",14.62,13.03,"622,292,000",14.62,"107,610,000"
129,14.61,"Jan 30, 2018",16.79,14.37,"684,767,000",16.09,"115,185,000"
130,15.97,"Jan 29, 2018",16.95,14.74,"698,990,000",16.43,"126,988,000"
131,16.45,"Jan 28, 2018",17.23,16.32,"711,159,000",16.71,"129,529,000"
132,16.96,"Jan 27, 2018",18.16,16.48,"730,590,000",17.17,"151,517,000"
133,17.10,"Jan 26, 2018",20.10,16.12,"751,081,000",17.65,"216,520,000"
134,17.47,"Jan 25, 2018",18.39,15.49,"668,416,000",15.71,"202,443,000"
135,15.41,"Jan 24, 2018",16.45,11.61,"505,451,000",11.88,"174,625,000"
136,11.85,"Jan 23, 2018",12.97,10.40,"479,068,000",11.26,"109,341,000"
137,11.27,"Jan 22, 2018",12.74,10.45,"521,265,000",12.26,"104,489,000"
138,12.11,"Jan 21, 2018",14.61,11.61,"617,945,000",14.53,"96,962,000"
139,14.56,"Jan 20, 2018",14.99,13.27,"573,182,000",13.48,"115,697,000"
140,13.48,"Jan 19, 2018",13.78,10.48,"482,497,000",11.35,"141,744,000"
141,11.38,"Jan 18, 2018",12.28,10.44,"486,452,000",11.44,"113,301,000"
142,11.32,"Jan 17, 2018",11.95,8.74,"493,040,000",11.60,"127,693,000"
143,11.69,"Jan 16, 2018",17.39,10.26,"732,662,000",17.24,"127,663,000"
144,17.31,"Jan 15, 2018",18.68,17.29,"783,510,000",18.44,"167,830,000"
145,18.61,"Jan 14, 2018",22.66,17.59,"822,388,000",19.35,"218,194,000"
146,19.34,"Jan 13, 2018",19.73,18.17,"798,365,000",18.79,"192,686,000"
147,18.82,"Jan 12, 2018",19.91,16.89,"743,587,000",17.50,"197,786,000"
148,17.42,"Jan 11, 2018",20.23,16.60,"844,521,000",19.88,"175,547,000"
149,20.17,"Jan 10, 2018",23.40,18.61,"962,983,000",22.67,"197,389,000"
150,22.62,"Jan 09, 2018",25.47,19.70,"858,145,000",20.20,"203,836,000"
151,20.16,"Jan 08, 2018",25.03,19.52,"1,057,570,000",24.90,"137,125,000"
152,24.83,"Jan 07, 2018",26.77,23.45,"1,106,380,000",26.05,"244,111,000"
153,25.75,"Jan 06, 2018",26.35,22.32,"975,835,000",22.98,"260,457,000"
154,22.96,"Jan 05, 2018",24.80,22.37,"1,044,550,000",24.60,"212,222,000"
155,24.73,"Jan 04, 2018",25.33,23.33,"1,069,000,000",25.18,"184,889,000"
156,25.21,"Jan 03, 2018",27.39,24.40,"1,098,690,000",25.88,"236,658,000"
157,26.23,"Jan 02, 2018",29.23,25.26,"1,187,350,000",27.97,"222,538,000"
158,28.28,"Jan 01, 2018",31.10,26.23,"1,258,150,000",29.64,"244,012,000"
159,29.52,"Dec 31, 2017",35.68,22.91,"1,051,760,000",24.78,"331,258,000"
160,25.37,"Dec 30, 2017",29.61,24.62,"1,248,960,000",29.43,"185,927,000"
