,close,date,high,low,market_cap,open,volume
0,0.005265,"Jun 08, 2018",0.007390,0.005065,"219,311",0.007375,42
1,0.007370,"Jun 07, 2018",0.007406,0.004594,"136,597",0.004594,174
2,0.004590,"Jun 06, 2018",0.004680,0.002278,"68,001",0.002287,12
3,0.002288,"Jun 05, 2018",0.008261,0.002278,"245,339",0.008253,596
4,0.008249,"Jun 04, 2018",0.008368,0.005619,"169,575",0.005705,9
5,0.005702,"Jun 03, 2018",0.007572,0.005694,"224,600",0.007556,7
6,0.008089,"Jun 02, 2018",0.008131,0.007923,"236,810",0.007968,3
7,0.007971,"Jun 01, 2018",0.007989,0.007846,"236,260",0.007949,61
8,0.007997,"May 31, 2018",0.008042,0.007787,"232,548",0.007826,1
9,0.007827,"May 30, 2018",0.008230,0.007744,"241,762",0.008136,5
10,0.008131,"May 29, 2018",0.008210,0.007504,"224,195",0.007546,3
11,0.007548,"May 28, 2018",0.007731,0.007525,"227,903",0.007671,6
12,0.008281,"May 26, 2018",0.008386,0.008130,"244,027",0.008215,13
13,0.008226,"May 25, 2018",0.008226,0.006681,"199,920",0.006731,33
14,0.006718,"May 24, 2018",0.008339,0.006476,"241,197",0.008121,1
15,0.008142,"May 23, 2018",0.008749,0.006799,"259,064",0.008724,2
16,0.008733,"May 22, 2018",0.009171,0.008684,"272,122",0.009164,9
17,0.009166,"May 21, 2018",0.009437,0.006836,"278,514",0.009380,20
18,0.009368,"May 20, 2018",0.009372,0.007946,"237,448",0.007998,2
19,0.007992,"May 19, 2018",0.009120,0.007964,"266,591",0.008980,2
20,0.008982,"May 18, 2018",0.009014,0.008118,"244,568",0.008240,5
21,0.008232,"May 17, 2018",0.009456,0.008185,"272,548",0.009183,10
22,0.009178,"May 16, 2018",0.010203,0.006364,"299,684",0.010098,113
23,0.010104,"May 15, 2018",0.010136,0.009656,"293,435",0.009889,10
24,0.009906,"May 14, 2018",0.011736,0.009532,"304,256",0.010254,4
25,0.010256,"May 13, 2018",0.010332,0.010249,"305,081",0.010282,1
26,0.009618,"May 12, 2018",0.009843,0.009389,"283,896",0.009570,8
27,0.009598,"May 11, 2018",0.012082,0.009535,"340,459",0.011478,257
28,0.011465,"May 10, 2018",0.011569,0.010167,"309,384",0.010431,73
29,0.010434,"May 09, 2018",0.010470,0.008843,"291,893",0.009843,5
30,0.009858,"May 08, 2018",0.011040,0.008430,"249,976",0.008430,144
31,0.008412,"May 07, 2018",0.009138,0.008288,"270,788",0.009133,20
32,0.009126,"May 06, 2018",0.009378,0.009004,"278,052",0.009378,4
33,0.009180,"May 04, 2018",0.009281,0.009084,"274,478",0.009260,2
34,0.009264,"May 03, 2018",0.010029,0.008946,"292,363",0.009865,4
35,0.009864,"May 02, 2018",0.009902,0.008807,"263,800",0.008902,180
36,0.008915,"May 01, 2018",0.009819,0.008113,"249,181",0.008409,10
37,0.008402,"Apr 30, 2018",0.009882,0.008359,"259,240",0.008749,112
38,0.008740,"Apr 29, 2018",0.008825,0.008740,"261,402",0.008823,2
