,close,date,high,low,market_cap,open,volume
0,0.048987,"Jun 08, 2018",0.051284,0.048535,"30,406",0.051284,4
1,0.049222,"Jun 07, 2018",0.049588,0.049003,"29,054",0.049003,18
2,0.048958,"Jun 06, 2018",0.057004,0.048107,"33,449",0.056417,21
3,0.056432,"Jun 05, 2018",0.068681,0.048126,"29,431",0.049640,190
4,0.049632,"Jun 04, 2018",0.051943,0.049604,"30,714",0.051804,2
5,0.051780,"Jun 03, 2018",0.068010,0.049286,"40,235",0.067861,88
6,0.067843,"Jun 02, 2018",0.067976,0.049055,"33,626",0.056715,73
7,0.056738,"Jun 01, 2018",0.056859,0.048023,"28,959",0.048844,335
8,0.048813,"May 31, 2018",0.058324,0.048137,"28,652",0.048325,114
9,0.048332,"May 30, 2018",0.056139,0.047102,"28,351",0.047818,107
10,0.047786,"May 29, 2018",0.057942,0.045565,"27,158",0.045805,120
11,0.045819,"May 28, 2018",0.051360,0.045687,"30,180",0.050904,51
12,0.050892,"May 27, 2018",0.054742,0.050527,"32,343",0.054551,25
13,0.054527,"May 26, 2018",0.056369,0.049367,"29,539",0.049822,169
14,0.049887,"May 25, 2018",0.079650,0.049253,"47,171",0.079560,805
15,0.079411,"May 24, 2018",0.079960,0.050264,"37,868",0.063870,158
16,0.064031,"May 23, 2018",0.080330,0.063498,"46,755",0.078860,268
17,0.078932,"May 22, 2018",0.083908,0.078423,"49,691",0.083812,"1,351"
18,0.083826,"May 21, 2018",0.083826,0.074217,"44,440",0.074954,348
19,0.074871,"May 20, 2018",0.075379,0.071793,"42,817",0.072218,123
20,0.072168,"May 19, 2018",0.072888,0.069430,"42,986",0.072503,253
21,0.072514,"May 18, 2018",0.072537,0.053878,"32,424",0.054688,364
22,0.054640,"May 17, 2018",0.058984,0.054327,"33,324",0.056206,141
23,0.056174,"May 16, 2018",0.073362,0.054580,"33,180",0.055963,317
24,0.055989,"May 15, 2018",0.056059,0.053624,"32,523",0.054854,83
25,0.054940,"May 14, 2018",0.055930,0.049161,"29,995",0.050591,297
